t,cost
10,23.628
20,23.55
30,14.916
40,13.908
50,13.98
60,13.962
70,13.914
80,13.95
90,13.968
100,13.902
110,13.926
120,13.878
130,13.926
140,13.896
150,13.848
160,13.878
170,13.878
180,13.896
190,13.914
200,13.92
210,13.926
220,13.932
230,13.944
240,13.95
250,13.986
260,13.944
270,13.92
280,13.902
290,13.926
300,13.92
310,13.902
320,13.956
330,13.932
340,13.932
350,13.89
360,13.896
370,13.926
380,13.926
390,13.926
400,13.902
410,13.968
420,13.944
430,13.92
440,13.896
450,13.878
460,13.926
470,13.962
480,13.95
490,13.89
500,13.89
510,13.884
520,13.854
530,13.866
540,13.896
550,13.92
560,13.98
570,13.938
580,13.956
590,13.944
600,13.95
610,13.902
620,13.89
630,13.932
640,13.944
650,13.956
660,14.004
670,13.974
680,13.944
690,13.902
700,13.974
710,13.968
720,13.992
730,13.98
740,13.974
750,13.902
760,13.944
770,13.926
780,13.902
790,13.926
800,13.926
810,13.986
820,13.926
830,13.944
840,13.968
850,13.926
860,13.956
870,13.956
880,13.956
890,13.926
900,13.95
910,14.046
920,13.932
930,13.938
940,13.89
950,13.944
960,13.974
970,14.004
980,13.95
990,13.962
1000,13.938
1010,13.986
1020,13.992
1030,13.98
1040,13.986
1050,14.058
1060,14.034
1070,14.016
1080,13.95
1090,13.956
1100,13.896
1110,14.004
1120,13.95
1130,13.944
1140,13.98
1150,13.992
1160,13.944
1170,13.914
1180,14.01
1190,13.98
1200,13.95
1210,13.908
1220,13.98
1230,13.992
1240,13.992
1250,13.944
1260,13.974
1270,13.932
1280,13.974
1290,13.992
1300,13.986
1310,14.064
1320,14.004
1330,14.016
1340,13.998
1350,13.992
1360,13.956
1370,14.028
1380,14.028
1390,14.016
1400,14.01
1410,13.98
1420,14.004
1430,13.992
1440,13.95
1450,13.944
1460,13.998
1470,14.034
1480,13.974
1490,13.968
1500,14.016
1510,14.028
1520,14.028
1530,13.992
1540,14.028
1550,14.01
1560,14.016
1570,14.046
1580,14.022
1590,14.052
1600,14.052
1610,14.028
1620,14.004
1630,13.998
1640,13.986
1650,13.974
1660,14.07
1670,14.082
1680,14.028
1690,14.016
1700,14.016
1710,14.016
1720,14.034
1730,14.01
1740,14.034
1750,14.034
1760,14.052
1770,14.004
1780,14.034
1790,14.058
1800,14.07
1810,13.992
1820,14.022
1830,14.064
1840,14.088
1850,14.01
1860,14.058
1870,14.028
1880,14.058
1890,14.118
1900,14.004
1910,14.058
1920,14.082
1930,14.088
1940,14.07
1950,14.094
1960,14.04
1970,14.088
1980,14.076
1990,14.166
2000,14.106
2010,14.1
2020,14.1
2030,14.112
2040,14.064
2050,14.064
2060,14.112
2070,14.142
2080,14.154
2090,14.076
2100,14.106
2110,14.178
2120,14.142
2130,14.142
2140,14.202
2150,14.142
2160,14.166
2170,14.142
2180,14.166
2190,14.136
2200,14.136
2210,14.214
2220,14.244
2230,14.25
2240,14.184
2250,14.166
2260,14.25
2270,14.172
2280,14.238
2290,14.13
2300,14.172
2310,14.196
2320,14.232
2330,14.226
2340,14.274
2350,14.226
2360,14.25
2370,14.238
2380,14.202
2390,14.226
2400,14.304
2410,14.358
2420,14.328
2430,14.328
2440,14.328
2450,14.34
2460,14.31
2470,14.382
2480,14.37
2490,14.394
2500,14.412
2510,14.46
2520,14.418
2530,14.4
2540,14.376
2550,14.424
2560,14.4
2570,14.442
2580,14.424
2590,14.472
2600,14.394
2610,14.34
2620,14.454
2630,14.466
2640,14.478
2650,14.544
2660,14.484
2670,14.454
2680,14.502
2690,14.478
2700,14.472
2710,14.496
2720,14.496
2730,14.556
2740,14.484
2750,14.472
2760,14.508
2770,14.55
2780,14.52
2790,14.508
2800,14.556
2810,14.64
2820,14.64
2830,14.61
2840,14.652
2850,14.736
2860,14.634
2870,14.586
2880,14.706
2890,14.712
2900,14.694
2910,14.838
2920,14.676
2930,14.748
2940,14.748
2950,14.802
2960,14.736
2970,14.724
2980,14.724
2990,14.712
3000,14.79
3010,14.814
3020,14.79
3030,14.736
3040,14.814
3050,14.958
3060,14.844
3070,14.814
3080,14.904
3090,14.844
3100,14.766
3110,14.892
3120,14.952
3130,14.862
3140,14.838
3150,14.934
3160,14.898
3170,14.88
3180,14.892
3190,15.108
3200,15.006
3210,15.012
3220,15.138
3230,15.024
3240,15.072
3250,14.958
3260,15.018
3270,15.204
3280,15.006
3290,15.054
3300,15.084
3310,15.042
3320,15.144
3330,15.096
3340,15.222
3350,15.102
3360,15.084
3370,15.258
3380,15.18
3390,15.282
3400,15.252
3410,15.306
3420,15.15
3430,15.318
3440,15.186
3450,15.312
3460,15.24
3470,15.294
3480,15.12
3490,15.324
3500,15.288
