t,eps_f,eps_g
10,0.005,5e-05
20,0.005,5e-05
30,0.00666667,0.000111111
40,0.00714286,0.000119048
50,0.00714286,0.000119048
60,0.00714286,0.000119048
70,0.00714286,0.000119048
80,0.00714286,0.000119048
90,0.00714286,0.000119048
100,0.00714286,0.000119048
110,0.00714286,0.000119048
120,0.00714286,0.000119048
130,0.00714286,0.000119048
140,0.00714286,0.000119048
150,0.00714286,0.000119048
160,0.00714286,0.000119048
170,0.00714286,0.000119048
180,0.00714286,0.000119048
190,0.00714286,0.000119048
200,0.00714286,0.000119048
210,0.00714286,0.000119048
220,0.00714286,0.000119048
230,0.00714286,0.000119048
240,0.00714286,0.000119048
250,0.00714286,0.000119048
260,0.00714286,0.000119048
270,0.00714286,0.000119048
280,0.00714286,0.000119048
290,0.00714286,0.000119048
300,0.00714286,0.000119048
310,0.00714286,0.000119048
320,0.00714286,0.000119048
330,0.00714286,0.000119048
340,0.00714286,0.000119048
350,0.00714286,0.000119048
360,0.00714286,0.000119048
370,0.00714286,0.000119048
380,0.00714286,0.000119048
390,0.00714286,0.000119048
400,0.00714286,0.000119048
410,0.00714286,0.000119048
420,0.00714286,0.000119048
430,0.00714286,0.000119048
440,0.00714286,0.000119048
450,0.00714286,0.000119048
460,0.00714286,0.000119048
470,0.00714286,0.000119048
480,0.00714286,0.000119048
490,0.00714286,0.000119048
500,0.00714286,0.000119048
510,0.00714286,0.000119048
520,0.00714286,0.000119048
530,0.00714286,0.000119048
540,0.00714286,0.000119048
550,0.00714286,0.000119048
560,0.00714286,0.000119048
570,0.00714286,0.000119048
580,0.00714286,0.000119048
590,0.00714286,0.000119048
600,0.00714286,0.000119048
610,0.00714286,0.000119048
620,0.00714286,0.000119048
630,0.00714286,0.000119048
640,0.00714286,0.000119048
650,0.00714286,0.000119048
660,0.00714286,0.000119048
670,0.00714286,0.000119048
680,0.00714286,0.000119048
690,0.00714286,0.000119048
700,0.00714286,0.000119048
710,0.00714286,0.000119048
720,0.00714286,0.000119048
730,0.00714286,0.000119048
740,0.00714286,0.000119048
750,0.00714286,0.000119048
760,0.00714286,0.000119048
770,0.00714286,0.000119048
780,0.00714286,0.000119048
790,0.00714286,0.000119048
800,0.00714286,0.000119048
810,0.00714286,0.000119048
820,0.00714286,0.000119048
830,0.00714286,0.000119048
840,0.00714286,0.000119048
850,0.00714286,0.000119048
860,0.00714286,0.000119048
870,0.00714286,0.000119048
880,0.00714286,0.000119048
890,0.00714286,0.000119048
900,0.00714286,0.000119048
910,0.00714286,0.000119048
920,0.00714286,0.000119048
930,0.00714286,0.000119048
940,0.00714286,0.000119048
950,0.00714286,0.000119048
960,0.00714286,0.000119048
970,0.00714286,0.000119048
980,0.00714286,0.000119048
990,0.00714286,0.000119048
1000,0.00714286,0.000119048
1010,0.00714286,0.000119048
1020,0.00714286,0.000119048
1030,0.00714286,0.000119048
1040,0.00714286,0.000119048
1050,0.00714286,0.000119048
1060,0.00714286,0.000119048
1070,0.00714286,0.000119048
1080,0.00714286,0.000119048
1090,0.00714286,0.000119048
1100,0.00714286,0.000119048
1110,0.00714286,0.000119048
1120,0.00714286,0.000119048
1130,0.00714286,0.000119048
1140,0.00714286,0.000119048
1150,0.00714286,0.000119048
1160,0.00714286,0.000119048
1170,0.00714286,0.000119048
1180,0.00714286,0.000119048
1190,0.00714286,0.000119048
1200,0.00714286,0.000119048
1210,0.00714286,0.000119048
1220,0.00714286,0.000119048
1230,0.00714286,0.000119048
1240,0.00714286,0.000119048
1250,0.00714286,0.000119048
1260,0.00714286,0.000119048
1270,0.00714286,0.000119048
1280,0.00714286,0.000119048
1290,0.00714286,0.000119048
1300,0.00714286,0.000119048
1310,0.00714286,0.000119048
1320,0.00714286,0.000119048
1330,0.00714286,0.000119048
1340,0.00714286,0.000119048
1350,0.00714286,0.000119048
1360,0.00714286,0.000119048
1370,0.00714286,0.000119048
1380,0.00714286,0.000119048
1390,0.00714286,0.000119048
1400,0.00714286,0.000119048
1410,0.00714286,0.000119048
1420,0.00714286,0.000119048
1430,0.00714286,0.000119048
1440,0.00714286,0.000119048
1450,0.00714286,0.000119048
1460,0.00714286,0.000119048
1470,0.00714286,0.000119048
1480,0.00714286,0.000119048
1490,0.00714286,0.000119048
1500,0.00714286,0.000119048
1510,0.00714286,0.000119048
1520,0.00714286,0.000119048
1530,0.00714286,0.000119048
1540,0.00714286,0.000119048
1550,0.00714286,0.000119048
1560,0.00714286,0.000119048
1570,0.00714286,0.000119048
1580,0.00714286,0.000119048
1590,0.00714286,0.000119048
1600,0.00714286,0.000119048
1610,0.00714286,0.000119048
1620,0.00714286,0.000119048
1630,0.00714286,0.000119048
1640,0.00714286,0.000119048
1650,0.00714286,0.000119048
1660,0.00714286,0.000119048
1670,0.00714286,0.000119048
1680,0.00714286,0.000119048
1690,0.00714286,0.000119048
1700,0.00714286,0.000119048
1710,0.00714286,0.000119048
1720,0.00714286,0.000119048
1730,0.00714286,0.000119048
1740,0.00714286,0.000119048
1750,0.00714286,0.000119048
1760,0.00714286,0.000119048
1770,0.00714286,0.000119048
1780,0.00714286,0.000119048
1790,0.00714286,0.000119048
1800,0.00714286,0.000119048
1810,0.00714286,0.000119048
1820,0.00714286,0.000119048
1830,0.00714286,0.000119048
1840,0.00714286,0.000119048
1850,0.00714286,0.000119048
1860,0.00714286,0.000119048
1870,0.00714286,0.000119048
1880,0.00714286,0.000119048
1890,0.00714286,0.000119048
1900,0.00714286,0.000119048
1910,0.00714286,0.000119048
1920,0.00714286,0.000119048
1930,0.00714286,0.000119048
1940,0.00714286,0.000119048
1950,0.00714286,0.000119048
1960,0.00714286,0.000119048
1970,0.00714286,0.000119048
1980,0.00714286,0.000119048
1990,0.00714286,0.000119048
2000,0.00714286,0.000119048
2010,0.00714286,0.000119048
2020,0.00714286,0.000119048
2030,0.00714286,0.000119048
2040,0.00714286,0.000119048
2050,0.00714286,0.000119048
2060,0.00714286,0.000119048
2070,0.00714286,0.000119048
2080,0.00714286,0.000119048
2090,0.00714286,0.000119048
2100,0.00714286,0.000119048
2110,0.00714286,0.000119048
2120,0.00714286,0.000119048
2130,0.00714286,0.000119048
2140,0.00714286,0.000119048
2150,0.00714286,0.000119048
2160,0.00714286,0.000119048
2170,0.00714286,0.000119048
2180,0.00714286,0.000119048
2190,0.00714286,0.000119048
2200,0.00714286,0.000119048
2210,0.00714286,0.000119048
2220,0.00714286,0.000119048
2230,0.00714286,0.000119048
