t,|deltaS|
1,0.6917
2,0.2345
3,0.299
4,0.18
5,0.04475
6,0.0991
7,0.04879
8,0.07051
9,0.05226
10,0.1631
11,0.08919
12,0.1462
13,0.1415
14,0.07075
15,0.1244
16,0.09367
17,0.1124
18,0.03307
19,0.07624
20,0.1253
21,0.2302
22,0.3207
23,0.02332
24,0.08717
25,0.1829
26,0.2124
27,0.2755
28,0.06421
29,0.03357
30,0.2076
31,0.2496
32,0.1823
33,0.6191
34,0.008032
35,0.1712
36,0.5286
37,0.7845
38,0.5891
39,0.4908
40,0.3913
41,0.1667
42,0.7882
43,0.2266
44,0.9055
45,0.4266
46,0.008948
47,0.8565
48,0.6508
49,0.2057
50,0.8557
51,0.7482
52,0.7493
53,0.06208
54,0.2088
55,0.3233
56,0.958
57,0.8351
58,0.78
59,0.8769
60,0.9791
61,0.415
62,0.3455
63,0.4517
64,0.2915
65,0.9663
66,0.5615
67,0.3927
68,0.8602
69,0.1358
70,0.1591
71,0.1565
72,1.06
73,0.3005
74,0.3344
75,0.2398
76,0.1856
77,0.145
78,0.7241
79,0.1679
80,0.03647
81,0.6156
82,1.409
83,0.2715
84,1.038
85,0.4408
86,1.136
87,0.3007
88,0.21
89,0.1686
90,0.1083
91,1.438
92,0.01381
93,0.4137
94,0.6016
95,0.6477
96,0.2959
97,0.3119
98,0.7346
99,0.5044
100,1.043
101,0.4151
102,0.1551
103,0.5085
104,0.446
105,0.4611
106,0.2251
107,0.6561
108,0.04228
109,0.1639
110,0.208
111,0.1093
112,0.3864
113,0.455
114,0.6223
115,0.3749
116,0.5435
117,0.2175
118,0.1867
119,0.2582
120,0.4212
121,0.2319
122,0.007125
123,0.2351
124,0.2624
125,0.7352
126,0.05931
127,0.2487
128,0.3532
129,0.08884
130,0.4434
131,0.008183
132,0.302
133,0.4189
134,0.68
135,0.3227
136,0.2302
137,0.3797
138,0.09898
139,0.1849
140,0.07778
141,0.605
142,1.612
143,0.3496
144,0.2936
145,0.6932
146,0.6781
147,0.2895
148,1.092
149,0.7282
150,0.319
151,0.7509
152,0.2435
153,0.6548
154,0.4107
155,0.05566
156,0.9423
157,0.8386
158,1.121
159,0.9154
160,0.6921
161,1.03
162,1.01
163,0.2887
164,1.305
165,0.6797
166,0.4813
167,0.1801
168,0.9476
169,0.1538
170,1.546
171,0.6134
172,0.4888
173,0.1168
174,0.5107
175,0.2877
176,0.5595
177,0.1341
178,0.9936
179,0.08704
180,0.7457
181,0.04464
182,1.115
183,0.1698
184,0.3366
185,0.4378
186,0.544
187,0.2933
188,0.2492
189,0.6168
190,0.1243
191,0.5042
192,1.065
193,0.3511
194,0.6027
195,0.5196
196,0.009344
197,0.243
198,1.012
199,1.171
200,0.439
201,0.2859
202,0.9776
203,0.08125
204,0.3998
205,0.3337
206,0.4647
207,0.6832
208,0.5081
209,0.2412
210,0.6365
211,0.9361
212,0.9159
213,0.7266
214,0.1192
215,0.3169
216,0.3176
217,0.1808
218,0.1366
219,0.6414
220,0.038
221,0.9887
222,0.1199
223,0.4777
224,0.02151
225,0.9814
226,0.7381
227,0.4799
228,0.6888
229,0.07362
230,0.5916
231,0.1844
232,1.572
233,0.6635
234,1.569
235,0.3371
236,0.9966
237,1.018
238,0.3162
239,1.163
240,0.1842
241,0.4256
242,1.094
243,0.8366
244,0.4284
245,1.558
246,0.5159
247,0.8506
248,0.4808
249,0.3545
250,0.2407
251,0.3787
252,0.4592
253,0.994
254,0.2555
255,0.2435
256,0.3584
257,1.237
