MDTU,min_ave,max_ave
1,-0.0379783,0.0371474
2,-0.037507,0.0433708
3,-0.0362934,0.0404733
4,-0.0350079,0.0484089
5,-0.0362046,0.042928
6,-0.0366941,0.0396483
7,-0.0364112,0.0454498
8,-0.0394533,0.0402993
9,-0.0376081,0.0431658
10,-0.0397111,0.03416
11,-0.0395106,0.0344739
12,-0.0407105,0.0396735
13,-0.0404199,0.0392106
14,-0.0417555,0.0334733
15,-0.0368514,0.0446354
16,-0.0353648,0.0418181
17,-0.0353648,0.0418181
18,-0.0336151,0.0413887
19,-0.0369898,0.0406875
20,-0.0382278,0.0368523
21,-0.0382278,0.0368523
22,-0.0382278,0.0368523
23,-0.0354922,0.0444797
24,-0.0353813,0.0396534
25,-0.0374409,0.0345471
26,-0.0363855,0.0377313
27,-0.0395935,0.0337299
28,-0.0454813,0.0345847
29,-0.0441345,0.0353188
30,-0.0436226,0.0373364
31,-0.0405856,0.0376798
32,-0.0420406,0.0361541
33,-0.0447358,0.0409206
34,-0.0404294,0.0345672
35,-0.0322164,0.0448228
36,-0.0333562,0.0390476
37,-0.0375568,0.0396823
38,-0.0428366,0.0404682
39,-0.0411258,0.0351959
40,-0.0409283,0.0402524
41,-0.0416804,0.041407
42,-0.0379498,0.0372837
43,-0.0412896,0.0360444
44,-0.0341099,0.037849
45,-0.0360478,0.0397464
46,-0.0428181,0.0399842
47,-0.0388721,0.0405983
48,-0.0293503,0.0429612
49,-0.0370498,0.0449784
50,-0.0338991,0.0459901
51,-0.0338991,0.0459901
52,-0.0340875,0.0397336
53,-0.0432617,0.0397899
54,-0.0368,0.0366206
55,-0.0368,0.0366206
56,-0.038759,0.036623
57,-0.0398121,0.03504
58,-0.0331765,0.0470967
59,-0.0358994,0.0401817
60,-0.0323865,0.0445218
61,-0.0302655,0.0463156
62,-0.0342805,0.0405437
63,-0.0333956,0.0412525
64,-0.0371087,0.0447931
65,-0.0426232,0.0382859
66,-0.0399859,0.0374156
67,-0.0355806,0.0416425
68,-0.0355537,0.0382037
69,-0.0400107,0.0437222
70,-0.037388,0.045096
71,-0.0340424,0.0417225
72,-0.0354569,0.0417569
73,-0.0420268,0.0418842
74,-0.0299802,0.0417361
75,-0.0370245,0.0450666
76,-0.0318465,0.0440165
77,-0.0318465,0.0440165
78,-0.0271199,0.0463692
79,-0.0248011,0.0466583
80,-0.0272268,0.0468234
81,-0.0299238,0.0480028
82,-0.0298308,0.046814
83,-0.0362476,0.0453847
84,-0.0315183,0.0479187
85,-0.0352357,0.0467606
86,-0.0305033,0.0417941
87,-0.0368275,0.0391974
88,-0.0398009,0.0394158
89,-0.0391924,0.0374418
90,-0.0418026,0.0389683
91,-0.0346768,0.0402896
92,-0.0341115,0.0402903
93,-0.0379867,0.0357083
94,-0.0379867,0.0357083
95,-0.0405384,0.0386706
96,-0.0373781,0.0388826
97,-0.0406781,0.039862
98,-0.042568,0.0355453
99,-0.0374987,0.0416422
100,-0.0324406,0.0415705
101,-0.0361804,0.0400301
102,-0.0345717,0.0386784
103,-0.0321113,0.0488581
104,-0.0321113,0.0488581
105,-0.0375094,0.0448582
106,-0.038345,0.0407039
107,-0.0394029,0.0382288
108,-0.0416198,0.0380634
109,-0.0393608,0.0381851
110,-0.0333975,0.0374842
111,-0.0425485,0.0430171
112,-0.0314201,0.0413439
113,-0.0340442,0.0426317
114,-0.0379392,0.0421512
115,-0.0348065,0.0408799
116,-0.0365902,0.048396
117,-0.0321965,0.045534
118,-0.0405823,0.0398456
119,-0.039709,0.0421814
120,-0.0396739,0.0440548
121,-0.0308784,0.0439197
122,-0.0320672,0.0482975
123,-0.0463777,0.0443499
124,-0.0350143,0.0437377
125,-0.030417,0.0419997
126,-0.030417,0.0419997
127,-0.0339238,0.0445998
128,-0.0370894,0.0392565
129,-0.0282062,0.0448919
130,-0.0319546,0.051928
131,-0.0321256,0.0463526
132,-0.0358984,0.0425462
133,-0.0315138,0.0434309
134,-0.0354393,0.0468624
135,-0.0384083,0.0415667
136,-0.0371814,0.040879
137,-0.0317483,0.0427048
138,-0.0359799,0.0384718
139,-0.0390608,0.0383
140,-0.0382555,0.0385199
141,-0.0419371,0.044097
142,-0.0360702,0.044257
143,-0.0390257,0.0479265
144,-0.028013,0.0449327
145,-0.0379666,0.0440321
146,-0.040538,0.0423003
147,-0.0358186,0.0396499
148,-0.041645,0.0403859
149,-0.0391334,0.038786
150,-0.0428905,0.0343873
151,-0.0428905,0.0343873
152,-0.0450372,0.0321004
153,-0.0418727,0.0359264
154,-0.0401025,0.032671
155,-0.0379016,0.0332949
156,-0.0361603,0.0398709
157,-0.0340546,0.0385133
158,-0.0336137,0.0394808
159,-0.0389455,0.0397277
160,-0.034851,0.0420351
161,-0.0370699,0.0418013
162,-0.0319477,0.0414998
163,-0.0319477,0.0414998
164,-0.0351569,0.0416312
165,-0.0359722,0.0419599
166,-0.0347315,0.0461481
167,-0.0398796,0.0436303
168,-0.0316191,0.0454285
169,-0.0307742,0.047887
170,-0.032534,0.0447934
171,-0.0345285,0.0425778
172,-0.0370991,0.0475076
173,-0.0339474,0.0487173
174,-0.0329409,0.0412475
175,-0.0355142,0.0456164
176,-0.0365265,0.039436
177,-0.0329545,0.0432145
178,-0.0333203,0.041138
179,-0.0418077,0.0340178
180,-0.0414233,0.0376261
181,-0.0313057,0.0445488
182,-0.03559,0.0369568
183,-0.0384125,0.0373868
184,-0.0324046,0.0376721
185,-0.0329939,0.0408896
186,-0.041309,0.0390241
187,-0.0424913,0.0350192
188,-0.0404886,0.0354729
189,-0.0519608,0.0300859
190,-0.0496727,0.0314673
191,-0.0376742,0.0355093
192,-0.0426544,0.033788
193,-0.0380895,0.0353142
194,-0.0358112,0.0373456
195,-0.0431105,0.036256
196,-0.0357846,0.0359444
197,-0.0416186,0.0350116
198,-0.0437619,0.0336051
199,-0.0426409,0.0337717
200,-0.0410051,0.0346284
201,-0.0423193,0.0331489
202,-0.0461428,0.0320441
203,-0.0413983,0.0385904
204,-0.0451483,0.0378352
205,-0.0451483,0.0378352
206,-0.0480012,0.0305512
207,-0.0472398,0.0326974
208,-0.0435699,0.0320004
209,-0.0417277,0.0370555
210,-0.0392873,0.0389647
211,-0.0435968,0.0311546
212,-0.0419323,0.0323621
213,-0.0379579,0.0365481
214,-0.0335672,0.0360427
215,-0.0305633,0.0453665
216,-0.0379874,0.0447918
217,-0.0379195,0.0413959
218,-0.0328893,0.0426405
219,-0.0386471,0.0435426
220,-0.0360394,0.0411268
221,-0.0271676,0.0487979
222,-0.0304036,0.04736
223,-0.0258713,0.0462436
224,-0.0253801,0.0455307
225,-0.0248787,0.041855
226,-0.0248787,0.041855
227,-0.0308948,0.0491034
228,-0.0296706,0.0477998
229,-0.0387043,0.0435199
230,-0.036124,0.0431885
231,-0.042151,0.0410144
232,-0.035738,0.04453
233,-0.0380113,0.0451985
234,-0.0318398,0.0390905
235,-0.0332092,0.0434735
236,-0.0364943,0.0441942
237,-0.0343615,0.045329
238,-0.0329031,0.0495182
239,-0.0319147,0.0476476
240,-0.035396,0.0425248
241,-0.0362272,0.0445807
242,-0.0289173,0.042451
243,-0.0359486,0.0399845
244,-0.0282737,0.0463173
245,-0.0334791,0.047163
246,-0.0331742,0.0404808
247,-0.0362807,0.0432387
248,-0.0325238,0.0439363
249,-0.0423221,0.0426856
250,-0.0383398,0.0411834
251,-0.0436257,0.0394107
252,-0.0393125,0.0416066
253,-0.0409139,0.0355934
254,-0.0385924,0.0383845
255,-0.0374066,0.0434964
256,-0.0374066,0.0434964
257,-0.0321503,0.0439703
258,-0.0314927,0.0454876
259,-0.0357762,0.0356896
260,-0.0351735,0.0405003
261,-0.0301458,0.0384536
262,-0.0334372,0.0384144
263,-0.0348357,0.0458096
264,-0.0332569,0.0432154
265,-0.0332569,0.0432154
266,-0.0332569,0.0432154
267,-0.0408894,0.0371007
268,-0.0403044,0.0432786
269,-0.0401427,0.0403443
270,-0.0340686,0.0368395
271,-0.0354031,0.0391717
272,-0.0380439,0.0307035
273,-0.0431495,0.0384999
274,-0.0417538,0.0357485
275,-0.0363823,0.0397721
276,-0.0363819,0.0507897
277,-0.035889,0.0435199
278,-0.0387754,0.0344393
279,-0.0367489,0.0369801
280,-0.0397777,0.0380005
281,-0.0368825,0.0397668
282,-0.0466992,0.0369347
283,-0.0405803,0.0400068
284,-0.0415214,0.0410669
285,-0.0388449,0.0342718
286,-0.0437124,0.0374963
287,-0.0472416,0.0350387
288,-0.0498233,0.0333628
289,-0.0404019,0.0340471
290,-0.041033,0.0311466
291,-0.0399588,0.0372452
292,-0.0405561,0.0457442
293,-0.0387246,0.0461431
294,-0.0439157,0.039042
295,-0.0393672,0.0414147
296,-0.0374645,0.0401593
297,-0.0362799,0.0426095
298,-0.0378483,0.0480348
299,-0.0401435,0.0425757
300,-0.0388751,0.0462345
301,-0.0367081,0.0510566
302,-0.0409008,0.0400814
303,-0.0353488,0.0374414
304,-0.0382316,0.0411349
305,-0.0375007,0.0379156
306,-0.0388165,0.0360585
307,-0.0410828,0.0381645
308,-0.0456107,0.0369863
309,-0.0448879,0.0366671
310,-0.0338956,0.0386344
311,-0.0355017,0.0414199
312,-0.0403797,0.0351416
313,-0.0442733,0.0356257
314,-0.0422035,0.0405322
315,-0.0326156,0.0462603
316,-0.0359788,0.0468735
317,-0.0340068,0.0452099
318,-0.0280543,0.0446943
319,-0.0280543,0.0446943
320,-0.0340454,0.0414098
321,-0.0330886,0.0440099
322,-0.0313444,0.0430963
323,-0.0336204,0.045847
324,-0.0306962,0.0488145
325,-0.0242218,0.0489265
326,-0.0287393,0.0509979
327,-0.0287393,0.0509979
328,-0.0287393,0.0509979
329,-0.031297,0.0486409
330,-0.0313338,0.0457768
331,-0.0352215,0.0426879
332,-0.0299672,0.0444939
333,-0.0318186,0.0416647
334,-0.0365719,0.0393283
335,-0.0331474,0.0453189
336,-0.0322169,0.0426178
337,-0.0362679,0.0349868
338,-0.0352965,0.0399627
339,-0.0358638,0.0455744
340,-0.0383639,0.0407404
341,-0.0387231,0.0388614
342,-0.0404345,0.0397546
343,-0.0404345,0.0397546
344,-0.0320263,0.0437087
345,-0.0319945,0.0406508
346,-0.0358825,0.0398304
347,-0.0361058,0.0430425
348,-0.0400971,0.0404038
349,-0.0328139,0.0460557
350,-0.0340144,0.0443556
351,-0.0306479,0.045808
352,-0.0288758,0.0467683
353,-0.0288758,0.0467683
354,-0.0403822,0.0400957
355,-0.0368518,0.0373293
356,-0.0375756,0.0413736
357,-0.0381672,0.0406101
358,-0.0356465,0.0401578
359,-0.031905,0.0431622
360,-0.0384048,0.044778
361,-0.0378384,0.0431139
362,-0.0378384,0.0431139
363,-0.0378384,0.0431139
364,-0.0298939,0.0449933
365,-0.0298939,0.0449933
366,-0.0282519,0.0429596
367,-0.0301032,0.0437032
368,-0.0330096,0.0453382
369,-0.0414756,0.0387902
370,-0.0345862,0.0412302
371,-0.043353,0.0349872
372,-0.045337,0.0386413
373,-0.0316423,0.0354095
374,-0.0369002,0.0384147
375,-0.0335404,0.0423325
376,-0.0360851,0.0483022
377,-0.0327268,0.0503783
378,-0.0366302,0.044076
379,-0.0391731,0.0394989
380,-0.0378134,0.0424272
381,-0.0409061,0.036242
382,-0.0361429,0.0350727
383,-0.0397365,0.0401882
384,-0.0397365,0.0401882
385,-0.0455791,0.0376938
386,-0.0356035,0.0438714
387,-0.0324818,0.0479864
388,-0.0349877,0.0433802
389,-0.0358721,0.0429977
390,-0.0359379,0.0437438
391,-0.0317527,0.03975
392,-0.0316546,0.0416429
393,-0.03622,0.0445369
394,-0.0331757,0.039022
395,-0.0354747,0.0380272
396,-0.0531918,0.0355174
397,-0.0418115,0.0343
398,-0.0427668,0.033782
399,-0.0495638,0.0288251
400,-0.0440706,0.030182
401,-0.052466,0.0251439
402,-0.0500678,0.0333142
403,-0.0430816,0.0322867
404,-0.0407059,0.034176
405,-0.0403464,0.0367303
406,-0.0431222,0.037787
407,-0.0415364,0.0395329
408,-0.0403826,0.0382575
409,-0.0430057,0.0389321
410,-0.0392784,0.0323561
411,-0.0376337,0.0379477
412,-0.0376337,0.0379477
413,-0.0379463,0.0372232
414,-0.0387376,0.0378122
415,-0.0387376,0.0378122
416,-0.0387376,0.0378122
417,-0.0410016,0.0407834
418,-0.044477,0.0355351
419,-0.0410433,0.0365258
420,-0.0382569,0.0430876
421,-0.0481482,0.0305037
422,-0.0422657,0.0301355
423,-0.043621,0.0333104
424,-0.043621,0.0333104
425,-0.0400927,0.0354326
426,-0.0414139,0.0318303
427,-0.0398983,0.0387907
428,-0.0445598,0.033438
429,-0.0378489,0.0370128
430,-0.0421227,0.0351753
431,-0.0457544,0.0419137
432,-0.0315588,0.0427493
433,-0.0381343,0.0412668
434,-0.0300834,0.0386401
435,-0.0369142,0.0420164
436,-0.0383868,0.0373278
437,-0.0405969,0.035817
438,-0.0399192,0.0343684
439,-0.0393406,0.0359467
440,-0.0359185,0.0415265
441,-0.0356402,0.0407072
442,-0.0335039,0.0409087
443,-0.0365063,0.0407061
444,-0.0388021,0.0421584
445,-0.0312664,0.0484683
446,-0.0407083,0.0428519
447,-0.0434031,0.040791
448,-0.0394615,0.0486198
449,-0.0320835,0.0449034
450,-0.034081,0.0442807
451,-0.0360548,0.036908
452,-0.0332576,0.0389929
453,-0.0389122,0.0415561
454,-0.0437761,0.0403603
455,-0.0366232,0.0418638
456,-0.0438597,0.0376716
457,-0.0415934,0.0462905
458,-0.0385325,0.0425567
459,-0.0330841,0.0438753
460,-0.0354392,0.0484287
461,-0.0282958,0.0430346
462,-0.0335047,0.0454626
463,-0.0333013,0.0442291
464,-0.0374203,0.0389845
465,-0.0362098,0.0438131
466,-0.0318266,0.047034
467,-0.0318266,0.047034
468,-0.0305332,0.0445488
469,-0.0326576,0.0457221
470,-0.0326576,0.0457221
471,-0.0299401,0.0402542
472,-0.0371627,0.0378847
473,-0.0335864,0.0395635
474,-0.0354475,0.043114
475,-0.0399242,0.0413087
476,-0.0412159,0.0349318
477,-0.0376172,0.0402649
478,-0.0376172,0.0402649
479,-0.0383425,0.0363834
480,-0.0406075,0.0402345
481,-0.039581,0.0384707
482,-0.0407292,0.0339479
483,-0.0424854,0.0370358
484,-0.0359258,0.0352308
485,-0.0387056,0.0408866
486,-0.0396221,0.0346779
487,-0.0396221,0.0346779
488,-0.041416,0.0385135
489,-0.0361038,0.0349637
490,-0.0388354,0.0436639
491,-0.0338413,0.0429053
492,-0.0390294,0.0408952
493,-0.0442967,0.0395117
494,-0.0417655,0.0383282
495,-0.0436478,0.0377104
496,-0.0357064,0.0476804
497,-0.0361,0.0436089
498,-0.0441102,0.0401992
499,-0.0454928,0.0332854
500,-0.0469851,0.0302898
501,-0.044713,0.0346789
502,-0.0440844,0.0337843
503,-0.0410112,0.0301043
504,-0.0368486,0.0328939
505,-0.0357432,0.0363856
506,-0.040731,0.0292166
507,-0.0389387,0.0322041
508,-0.0407544,0.0371773
509,-0.0347768,0.0362931
510,-0.0308512,0.0350765
511,-0.0434973,0.0362607
512,-0.0383543,0.0417884
513,-0.0429579,0.0339126
514,-0.039195,0.0381203
515,-0.039195,0.0381203
516,-0.03815,0.0359085
517,-0.0355486,0.0373982
518,-0.0367397,0.0393497
519,-0.0398578,0.0388887
520,-0.0496735,0.0351841
521,-0.042964,0.0354571
522,-0.0427554,0.0351778
523,-0.0369812,0.0362886
524,-0.0396542,0.036876
525,-0.0408239,0.0390906
526,-0.0416181,0.0341811
527,-0.0465494,0.0334462
528,-0.0426558,0.0341789
529,-0.0426558,0.0341789
530,-0.0426558,0.0341789
531,-0.0474406,0.0331953
532,-0.0507752,0.032691
533,-0.053856,0.0314701
534,-0.0562759,0.0360612
535,-0.0490718,0.0334065
536,-0.0428229,0.0344308
537,-0.0443683,0.032555
538,-0.0412547,0.03533
539,-0.0473589,0.0370052
540,-0.0406576,0.0383698
541,-0.0355976,0.0392625
542,-0.0440992,0.0329777
543,-0.0443749,0.0402623
544,-0.0443749,0.0402623
545,-0.0473655,0.03079
546,-0.0466545,0.0327758
547,-0.0482879,0.0299391
548,-0.0455498,0.0296405
549,-0.0365914,0.0369791
550,-0.048177,0.0384522
551,-0.037267,0.038704
552,-0.0456869,0.0357996
553,-0.0456869,0.0357996
554,-0.0446346,0.0337228
555,-0.0438478,0.0362253
556,-0.0328432,0.0403935
557,-0.0371195,0.0406863
558,-0.033733,0.0443525
559,-0.0361357,0.0427978
560,-0.0374247,0.0431486
561,-0.0371351,0.0407804
562,-0.0401378,0.041828
563,-0.0299543,0.0442796
564,-0.0293028,0.0422091
565,-0.0293028,0.0422091
566,-0.0323733,0.0416475
567,-0.0326014,0.0450121
568,-0.0423754,0.0443767
569,-0.0323512,0.0417039
570,-0.0388795,0.0383719
571,-0.0404813,0.0386538
572,-0.0408427,0.0390157
573,-0.0434482,0.030095
574,-0.0459343,0.0278596
575,-0.0384206,0.0303546
576,-0.0384206,0.0303546
577,-0.0490285,0.0286691
578,-0.039396,0.0397033
579,-0.0429214,0.0359103
580,-0.0463155,0.0328835
581,-0.0449847,0.0361143
582,-0.0412039,0.0399312
583,-0.0429049,0.033946
584,-0.0414377,0.0332918
585,-0.0426288,0.0394412
586,-0.0439596,0.0346663
587,-0.0395763,0.0411977
588,-0.0334649,0.0387592
589,-0.0381734,0.0382962
590,-0.0394457,0.0379106
591,-0.0438838,0.0344684
592,-0.0427874,0.0333542
593,-0.034323,0.0377995
594,-0.0398991,0.0409457
595,-0.0339212,0.0392823
596,-0.0361492,0.0435905
597,-0.0384461,0.0501911
598,-0.0289134,0.0404085
599,-0.0276873,0.051176
600,-0.0329949,0.0471365
601,-0.0329949,0.0471365
602,-0.0329949,0.0471365
603,-0.0360787,0.0418146
604,-0.0304942,0.0434914
605,-0.0312804,0.0436134
606,-0.0360608,0.0355656
607,-0.0420623,0.0325425
608,-0.0381601,0.0360616
609,-0.0432399,0.0381169
610,-0.0388486,0.0354852
