t,deltaS
1,-0.08943
2,-0.2496
3,0.09718
4,-0.02455
5,0.0918
6,0.3071
7,0.02389
8,0.05804
9,-0.004622
10,0.01575
11,-0.2269
12,0.1727
13,0.3488
14,-0.1363
15,-0.2794
16,0.131
17,0.2693
18,0.2629
19,0.195
20,0.09935
21,0.2479
22,0.391
23,0.05903
24,0.1239
25,0.1003
26,-0.2044
27,0.0656
28,0.1181
29,0.05973
30,-0.163
31,0.1435
32,-0.003763
33,-0.1031
34,-0.2058
35,-0.06666
36,0.08982
37,0.09628
38,-0.003095
39,-0.05394
40,0.1091
41,-0.01958
42,-0.1434
43,0.03167
44,0.03792
45,0.3322
46,0.1274
47,0.05892
48,-0.3059
49,0.1339
50,-0.05292
51,0.1672
52,-0.1195
53,0.3282
54,0.01932
55,0.18
56,0.009081
57,-0.1747
58,-0.2661
59,0.3778
60,-0.2886
61,-0.08498
62,0.4711
63,-0.3596
64,0.06378
65,0.3174
66,0.06959
67,-0.4666
68,0.07101
69,-0.03522
70,-0.0362
71,0.07321
72,0.09054
73,0.1263
74,-0.08477
75,-0.08234
76,-0.01988
77,0.388
78,-0.2955
79,-0.007207
80,-0.166
81,0.2344
82,0.002308
83,0.1868
84,-0.09409
85,0.3144
86,-0.1407
87,-0.05424
88,0.05937
89,0.138
90,-0.03873
91,0.04432
92,-0.08758
93,0.09329
94,0.3071
95,-0.1702
96,-0.2422
97,0.1006
98,0.1545
99,-0.3085
100,0.07404
101,-0.004881
102,0.02582
103,-0.2502
104,0.3407
105,0.002883
106,0.15
107,0.1564
108,0.06606
109,0.07992
110,-0.02001
111,-0.1153
112,-0.3626
113,0.07651
114,-0.02175
115,0.1734
116,-0.1704
117,-0.0447
118,0.2558
119,-0.0863
120,-0.2998
121,0.0234
122,-0.05242
123,0.2033
124,-0.05582
125,0.2739
126,0.3063
127,0.05017
128,-0.02673
129,-0.2062
130,-0.02365
131,0.1484
132,-0.0184
133,-0.2105
134,-0.1013
135,-0.1889
136,0.01028
137,-0.08466
138,0.1315
139,0.2439
140,-0.09471
141,0.06293
142,0.1304
143,-0.2333
144,0.06655
145,0.04218
146,0.09875
147,-0.04048
148,0.2543
149,0.1298
150,0.3411
151,0.1682
152,-0.1091
153,-0.06152
154,0.0416
155,-0.05955
156,-0.2753
157,-0.1184
158,0.226
159,0.2648
160,-0.1047
161,-0.02006
162,0.04246
163,0.3587
164,0.1594
165,0.06626
166,-0.1032
167,0.06554
168,0.02473
169,0.2229
170,0.2141
171,0.07789
172,-0.01865
173,-0.08163
174,0.09501
175,-0.1464
176,0.206
177,0.07568
178,0.1006
179,0.3944
180,-0.3095
181,-0.1704
182,0.3852
183,0.06436
184,-0.07246
185,0.02767
186,-0.06256
187,0.3528
188,0.09989
189,0.2237
190,-0.04473
191,-0.4042
192,0.06125
193,0.2327
194,-0.009949
195,0.08924
196,-0.05251
197,0.3061
198,0.06029
199,0.013
200,-0.06545
201,-0.04026
202,0.1743
203,-0.1265
204,-0.06798
205,0.09777
206,0.2477
207,-0.003854
208,-0.2807
209,-0.1316
210,-0.3107
211,0.241
212,-0.2042
213,-0.2421
214,-0.005316
215,-0.2129
216,-0.04561
217,0.3339
218,-0.1987
219,-0.089
220,0.1959
221,-0.6078
222,0.06796
223,0.02227
224,-0.03134
225,0.2269
226,0.1096
227,0.1813
228,0.1623
229,0.1367
230,0.2169
231,0.07842
232,-0.3173
233,-0.02129
234,0.07867
235,-0.1057
236,0.01288
237,0.07191
238,-0.174
239,-0.1489
240,0.2735
241,-0.1635
242,-0.1419
243,0.3183
244,-0.3377
245,-0.09347
246,0.2546
247,-0.0511
248,0.0981
249,0.1699
250,-0.1001
251,0.5133
252,0.09649
253,-0.2614
254,-0.07343
255,0.06033
256,0.3428
257,-0.4403
258,0.02683
259,0.3662
260,0.0309
261,-0.06295
262,-0.1485
263,0.1251
264,0.153
265,0.2603
266,0.279
267,0.3293
268,-0.0991
269,0.03658
270,0.08483
271,-0.1798
272,0.1737
273,-0.06705
274,0.05519
275,-0.251
276,-0.1128
277,-0.03696
278,0.3438
279,0.2375
280,-0.1236
281,-0.08676
282,-0.09721
283,-0.1196
284,0.03261
285,-0.07041
286,0.1907
287,0.08392
288,0.06068
289,-0.2513
290,-0.0429
291,-0.06356
292,0.1032
293,-0.1755
294,0.1131
295,0.07818
296,-0.05737
297,-0.1372
298,-0.2311
299,-0.08491
300,-0.1912
301,0.1742
302,0.2572
303,0.1003
304,-0.05292
305,0.05245
306,0.1433
307,-0.2444
308,0.2606
309,-0.09324
310,0.05466
311,0.06028
312,-0.1271
313,0.127
314,-0.01163
315,-0.3243
316,-0.001313
317,-0.2479
318,0.1119
