MDTU,|det-1|^2,1-Re(det),Im(det)
1,0.0148394,-0.11782,-4.61643e-06
2,0.137826,-0.36957,-1.44506e-05
3,0.0298945,-0.17038,-1.53025e-05
4,0.0966981,-0.30938,8.12161e-06
5,0.068166,-0.25835,-4.15926e-05
6,0.0110844,-0.10134,-3.04424e-05
7,0.0435085,-0.20504,-1.91172e-05
8,0.0430044,-0.20528,-2.15271e-05
9,0.014728,-0.11783,1.56319e-06
10,0.00155409,-0.02994,2.10128e-05
11,0.00156688,-0.02591,-1.2053e-05
12,0.00670219,-0.07661,-1.91056e-06
13,0.0123473,0.109502,-2.09252e-06
14,0.0167063,0.127901,1.08689e-05
15,0.0140695,-0.11512,2.22203e-05
16,0.0684589,-0.26015,-1.11571e-07
17,0.0684589,-0.26015,-1.11571e-07
18,0.0654013,-0.2544,-7.71648e-06
19,0.00695234,-0.0797,5.08328e-06
20,0.00450382,-0.06251,-1.4698e-05
21,0.00450382,-0.06251,-1.4698e-05
22,0.00450382,-0.06251,-1.4698e-05
23,0.039023,-0.19622,2.32396e-06
24,0.0145734,-0.11853,5.50736e-06
25,0.00118832,0.019891,2.91708e-05
26,0.000586705,-0.00356,5.52639e-05
27,0.00624964,0.074346,3.87924e-06
28,0.0589244,0.2415,2.0052e-05
29,0.0337506,0.180788,3.06725e-05
30,0.0248704,0.153759,6.50607e-05
31,0.00550823,0.068553,4.82397e-06
32,0.00725108,0.081721,-1.02407e-05
33,0.00310988,0.05198,2.15069e-05
34,0.000601107,-0.00849,-2.80941e-06
35,0.058893,-0.2405,-6.44181e-06
36,0.0645471,-0.25268,1.31441e-05
37,0.00974995,-0.09556,1.83955e-05
38,0.00107624,-0.02457,3.09577e-07
39,0.00558883,0.070589,-1.53329e-05
40,0.00149297,-0.03157,1.14753e-05
41,0.00104186,-0.00875,-5.18945e-05
42,0.0011954,-0.00721,5.06714e-05
43,0.0017294,0.028938,2.02124e-05
44,0.0289234,-0.16675,2.24619e-05
45,0.03505,-0.18483,5.38047e-06
46,0.00249494,-0.04429,1.18889e-05
47,0.00621684,-0.07149,2.29445e-05
48,0.152735,-0.38826,2.06048e-05
49,0.0595752,-0.24264,9.06364e-06
50,0.076832,-0.27584,5.76253e-06
51,0.076832,-0.27584,5.76259e-06
52,0.0872625,-0.29383,1.39262e-05
53,0.00489141,-0.06588,1.23266e-05
54,0.015648,-0.1214,3.08185e-05
55,0.015648,-0.1214,3.08185e-05
56,0.00464319,-0.06184,3.58573e-05
57,0.00952824,-0.09078,7.93622e-05
58,0.187513,-0.43092,4.54903e-05
59,0.0175666,-0.12975,-2.39605e-05
60,0.176517,-0.41787,6.43374e-06
61,0.156448,-0.39351,-6.00154e-06
62,0.0172198,-0.12864,-3.15142e-05
63,0.128699,-0.35614,1.89479e-05
64,0.101245,-0.31567,-8.52934e-05
65,0.00601207,-0.06925,3.40439e-06
66,0.00109396,-0.01363,1.13833e-05
67,0.0295434,-0.16864,1.37471e-05
68,0.00248769,0.044773,-1.44837e-05
69,0.000649433,-0.00173,1.32487e-05
70,0.0161906,-0.12249,-1.00427e-05
71,0.0296438,-0.16807,-8.13547e-05
72,0.0104849,-0.09621,-3.8591e-05
73,0.0646877,-0.25211,-4.44536e-05
74,0.12541,-0.35252,-5.18581e-05
75,0.147915,-0.38257,-6.58632e-06
76,0.145435,-0.38029,-1.00025e-05
77,0.145435,-0.38029,-1.00025e-05
78,0.268723,-0.51749,1.27828e-06
79,0.38169,-0.61698,-3.5556e-05
80,0.68499,-0.82694,2.91135e-05
81,0.34559,-0.58668,-1.75195e-05
82,0.1495,-0.38515,-4.22184e-05
83,0.0830895,-0.28666,-1.38612e-05
84,0.159131,-0.3977,-1.27858e-05
85,0.082797,-0.28631,2.69508e-05
86,0.118343,-0.34279,1.528e-05
87,0.0202649,-0.13961,1.32917e-06
88,0.00228988,-0.04148,2.92217e-05
89,0.00433064,-0.05775,3.51505e-05
90,0.00193524,-0.03474,1.80259e-05
91,0.0148647,-0.11809,-3.10248e-05
92,0.0170195,-0.12598,-1.3515e-05
93,0.0017365,0.027655,1.39655e-05
94,0.0017365,0.027655,1.39655e-05
95,0.00135172,-0.02502,-5.54695e-06
96,0.00950739,-0.09373,3.02034e-06
97,0.000907563,-0.01707,4.80568e-05
98,0.0199742,0.140129,-2.38187e-06
99,0.022751,-0.14864,-2.32844e-05
100,0.048041,-0.21653,-1.32494e-05
