MDTU,|Tr(Lx)|
1,0.361422
2,0.26819
3,0.264631
4,0.144609
5,0.144609
6,0.25536
7,0.261451
8,0.261451
9,0.261451
10,0.328201
11,0.328201
12,0.24058
13,0.354971
14,0.152509
15,0.175248
16,0.194818
17,0.42139
18,0.504129
19,0.272053
20,0.385965
21,0.329196
22,0.329196
23,0.500391
24,0.699077
25,0.598187
26,0.577708
27,0.542872
28,0.57956
29,0.57956
30,0.57956
31,0.674805
32,0.70422
33,0.70422
34,0.649415
35,0.614719
36,0.614719
37,0.464841
38,0.415277
39,0.350024
40,0.296934
41,0.216324
42,0.202067
43,0.187832
44,0.138641
45,0.129169
46,0.243008
47,0.460782
48,0.391558
49,0.477457
50,0.371499
51,0.243256
52,0.158549
53,0.197064
54,0.256906
55,0.256906
56,0.407273
57,0.377301
58,0.490086
59,0.454416
60,0.561338
61,0.497312
62,0.485026
63,0.44455
64,0.295838
65,0.428351
66,0.395116
67,0.395116
68,0.455515
69,0.562179
70,0.25994
71,0.498006
72,0.541285
73,0.541285
74,0.604275
75,0.722536
76,0.694031
77,0.694031
78,0.694031
79,0.694031
80,0.694031
81,0.637026
82,0.605257
83,0.586935
84,0.59952
85,0.579001
86,0.598162
87,0.543966
88,0.435497
89,0.276336
90,0.214947
91,0.200479
92,0.133679
93,0.133679
94,0.133679
95,0.33034
96,0.376866
97,0.400433
98,0.356919
99,0.461328
100,0.439519
101,0.439519
102,0.439519
103,0.171968
104,0.0589278
105,0.0677983
106,0.13192
107,0.174641
108,0.261379
109,0.270718
110,0.253568
111,0.363646
112,0.338449
113,0.410737
114,0.455066
115,0.39104
116,0.597304
117,0.597304
118,0.582031
119,0.74688
120,0.629477
121,0.653428
122,0.650875
123,0.719176
124,0.719176
125,0.685738
126,0.685738
127,0.685738
128,0.685738
129,0.685738
130,0.610536
131,0.490527
132,0.657528
133,0.654438
134,0.591765
135,0.449925
136,0.515047
137,0.609026
138,0.518517
139,0.560042
140,0.560042
141,0.560042
142,0.560042
143,0.642222
144,0.655689
145,0.641308
146,0.497022
147,0.614121
148,0.6247
149,0.639727
150,0.639727
151,0.530756
152,0.530756
153,0.629856
154,0.394148
155,0.474634
156,0.497277
157,0.54943
158,0.473207
159,0.430089
160,0.432866
161,0.449564
162,0.476756
163,0.476756
164,0.438327
165,0.41961
166,0.555138
167,0.555138
168,0.584822
169,0.625403
170,0.499917
171,0.468981
172,0.443899
173,0.443899
174,0.540405
175,0.458405
176,0.324949
177,0.227049
178,0.210266
179,0.196695
180,0.290189
181,0.22272
182,0.35567
183,0.465397
184,0.254144
185,0.1837
186,0.28029
187,0.223412
188,0.416682
189,0.416757
190,0.416757
191,0.497113
192,0.453196
193,0.407208
194,0.510461
195,0.389915
196,0.493626
197,0.52986
198,0.522453
199,0.524939
200,0.450103
201,0.445456
202,0.368847
203,0.415145
204,0.460931
205,0.460931
206,0.292888
207,0.210978
208,0.118982
209,0.0849088
210,0.179681
211,0.0606156
212,0.0270824
213,0.072206
214,0.072206
215,0.072206
216,0.0185792
217,0.232947
218,0.363678
219,0.363678
220,0.363678
221,0.478252
222,0.621519
223,0.621519
224,0.654969
225,0.581787
226,0.581787
227,0.661453
228,0.576583
229,0.466112
230,0.404625
231,0.404625
232,0.530136
233,0.622309
234,0.66349
235,0.682565
236,0.615862
237,0.612478
238,0.610063
239,0.557702
240,0.601813
241,0.669919
