t,cg_iters
1,8086
2,8173
3,8264
4,8176
5,8056
6,8081
7,8095
8,8174
9,8217
10,8222
11,8167
12,8083
13,8157
14,8170
15,8086
16,8096
17,8116
18,8132
19,8182
20,8279
21,8252
22,8184
23,8186
24,8298
25,8273
26,8279
27,8296
28,8308
29,8414
30,8309
31,8305
32,8301
33,8457
34,8312
35,8352
36,8337
37,8250
38,8214
39,8271
40,8215
41,8207
42,8118
43,8183
44,8196
45,8213
46,8104
47,8155
48,8206
49,8330
50,8295
51,8154
52,8192
53,8169
54,8140
55,8087
56,8156
57,8164
58,8265
59,8202
60,8265
61,8310
62,8176
63,8247
64,8268
65,8137
66,8158
67,8217
68,8234
69,8378
70,8220
71,8200
72,8262
73,8427
74,8335
75,8474
76,8480
77,8321
78,8258
79,8337
80,8428
81,8397
82,8340
83,8321
84,8290
85,8278
86,8309
87,8308
88,8364
89,8192
90,8128
91,8159
92,8052
93,8054
94,8005
95,8097
96,8097
97,8102
98,8285
99,8254
100,8321
101,8227
102,8164
103,8128
104,8093
105,8105
106,8096
107,8164
108,8230
109,8225
110,8201
111,8117
112,8296
113,8166
114,8275
115,8221
116,8280
117,8132
118,8210
119,8335
120,8387
121,8322
122,8359
123,8361
124,8340
125,8475
126,8329
127,8295
128,8452
129,8458
130,8411
131,8334
132,8305
133,8283
134,8295
135,8368
136,8317
137,8337
138,8267
139,8177
140,8317
141,8373
142,8343
143,8362
144,8279
145,8254
146,8265
147,8237
148,8390
149,8293
150,8305
151,8278
152,8212
153,8204
154,8316
155,8238
156,8238
157,8263
158,8253
159,8256
160,8278
161,8228
162,8240
163,8342
164,8239
165,8228
166,8317
167,8179
168,8279
169,8385
170,8299
171,8311
172,8266
173,8294
174,8298
175,8341
176,8247
177,8212
178,8174
179,8111
180,8162
181,8268
182,8289
183,8259
184,8195
185,8216
186,8275
187,8242
188,8227
189,8348
190,8299
191,8440
192,8268
193,8362
194,8221
195,8031
196,8218
197,8219
198,8149
199,8176
200,8275
201,8153
202,8272
203,8284
204,8271
205,8227
206,8241
207,8171
208,8053
209,8045
210,8144
211,8186
212,8099
213,8140
214,8169
215,8090
216,8038
217,8256
218,8187
219,8222
220,8346
221,8292
222,8205
223,8285
224,8342
225,8362
226,8332
227,8293
228,8256
229,8348
230,8240
231,8265
232,8202
233,8271
234,8350
235,8385
236,8370
237,8256
238,8293
239,8368
240,8337
241,8284
242,8366
243,8335
244,8435
245,8450
246,8364
247,8470
248,8362
249,8320
250,8274
251,8271
252,8201
253,8061
254,8210
255,8250
256,8353
257,8164
258,8233
259,8313
260,8362
261,8269
262,8272
263,8134
264,8208
265,8115
266,8219
267,8151
268,8149
269,8123
270,7991
271,8068
272,8169
273,8149
274,8196
275,8283
276,8150
277,8215
278,8394
279,8288
280,8258
281,8127
282,8213
283,8059
284,8143
285,8230
286,8111
287,8235
288,8115
289,8139
290,8179
291,8222
292,8253
293,8226
294,8197
295,8336
296,8182
297,8216
298,8328
299,8330
300,8408
301,8239
302,8130
303,8185
304,8187
305,8193
306,8061
307,8166
308,8190
309,8147
310,8176
311,8170
312,8306
313,8291
314,8160
315,8208
316,8234
317,8160
318,8347
319,8220
320,8348
321,8246
322,8375
323,8334
324,8269
325,8280
326,8295
327,8232
328,8099
329,8056
330,8160
331,8114
332,8158
333,8161
334,8141
335,8282
336,8139
337,8244
338,8155
339,8193
340,8301
341,8261
342,8210
343,8263
344,8246
345,8280
346,8163
347,8285
348,8179
349,8179
350,8241
351,8259
352,8238
353,8297
354,8240
355,8167
356,8234
357,8077
358,8156
359,8056
360,8067
361,8171
362,8205
363,8144
364,8142
365,8107
366,8143
367,8113
368,8129
369,8123
370,8171
371,8220
372,8122
373,8168
374,8040
375,8132
376,8002
377,8112
378,8190
379,8208
380,8199
381,8157
382,8219
383,8183
384,8154
385,8172
386,8178
387,8074
388,8209
389,8232
390,8253
391,8362
392,8301
393,8319
394,8298
395,8242
396,8262
397,8292
398,8330
399,8218
400,8252
401,8330
402,8307
403,8354
404,8343
405,8356
406,8325
407,8176
408,8263
409,8166
410,8088
411,8013
412,8193
413,8218
414,8245
415,8288
416,8252
417,8202
418,8133
419,8115
420,8106
421,8226
422,8144
423,8073
424,8081
425,8101
426,8111
427,8134
428,8164
429,8183
430,8092
431,8075
432,8136
433,8125
434,8169
435,8157
436,8031
437,8108
438,8194
439,8056
440,8204
441,8079
442,8097
443,8135
444,8166
445,8260
446,8238
447,8228
448,8157
449,8090
450,8244
451,8187
452,8218
453,8191
454,8259
455,8163
456,8172
457,8455
458,8301
459,8370
460,8335
461,8343
462,8272
463,8346
464,8321
465,8406
466,8372
467,8376
468,8266
469,8285
470,8245
471,8200
472,8170
473,8165
474,8211
475,8320
476,8239
477,8283
478,8194
479,8361
480,8264
481,8354
482,8275
483,8303
484,8267
485,8222
486,8168
487,8260
488,8195
489,8277
490,8449
491,8253
492,8324
493,8352
494,8406
495,8259
496,8191
497,8201
498,8245
499,8251
500,8178
501,8160
502,8226
503,8296
504,8253
505,8292
506,8211
507,8379
508,8257
509,8318
510,8408
511,8328
512,8266
513,8178
514,8159
515,8168
516,8178
517,8249
518,8195
519,8316
520,8342
521,8461
522,8261
523,8258
524,8383
525,8369
526,8325
527,8439
528,8447
529,8320
530,8347
531,8303
532,8330
533,8447
534,8420
535,8391
536,8305
537,8389
538,8417
539,8414
540,8175
541,8136
542,8178
543,8232
544,8378
545,8322
546,8257
547,8277
548,8240
549,8171
550,8260
551,8274
552,8281
553,8320
554,8240
555,8247
556,8156
557,8172
558,8218
559,8184
560,8223
561,8175
562,8115
563,8145
564,8216
565,8228
566,8167
567,8174
568,8344
569,8174
570,8187
571,8161
572,8135
573,8196
574,8111
575,8157
576,8117
