t,|deltaS|
1,0.6911
2,0.01177
3,0.8393
4,0.1873
5,0.4878
6,0.2787
7,0.5739
8,0.5974
9,0.466
10,0.5807
11,0.2827
12,0.4087
13,0.471
14,0.1018
15,0.2202
16,0.6302
17,0.1558
18,0.05096
19,0.6247
20,1.119
21,0.1353
22,1.653
23,0.5903
24,0.03678
25,0.4868
26,0.316
27,0.0226
28,0.9533
29,1.384
30,0.8906
31,0.1211
32,0.8578
33,0.7067
34,0.4215
35,0.06205
36,0.3452
37,0.7136
38,0.6619
39,0.2574
40,0.2033
41,0.1834
42,0.1543
43,0.2543
44,0.7169
45,0.6843
46,1.187
47,0.1697
48,0.8255
49,0.4538
50,0.6112
51,0.257
52,0.1152
53,0.5827
54,0.3745
55,0.3081
56,0.3647
57,0.1735
58,0.1429
59,0.3959
60,0.228
61,0.1954
62,0.3622
63,0.69
64,0.3527
65,0.9005
66,0.09709
67,0.7009
68,0.2335
69,0.605
70,0.4975
71,1.13
72,0.3864
73,0.8689
74,0.0929
75,0.4105
76,0.5621
77,1.039
78,1.024
79,0.7834
80,0.2326
81,0.4629
82,0.3664
83,0.3489
84,0.7641
85,0.4681
86,0.2336
87,0.5243
88,0.3511
89,0.01596
90,0.3148
91,0.005894
92,0.4023
93,1.017
94,0.3763
95,0.1873
96,0.3464
97,0.03784
98,0.3864
99,0.2542
100,0.05365
101,0.9726
102,0.8483
103,0.6185
104,0.03168
105,0.03155
106,0.6165
107,0.5295
108,0.1412
109,0.1114
110,0.106
111,0.2049
112,0.1897
113,0.1246
114,0.388
115,0.6053
116,0.8773
117,0.2914
118,0.379
119,0.2569
120,0.7538
121,0.7347
122,0.216
123,1.009
124,0.4694
125,0.03036
126,1.232
127,1.359
128,0.2592
129,0.9425
130,0.6064
131,1.304
132,0.09609
133,0.1702
134,0.07288
135,0.04129
136,1.055
137,0.1352
138,0.1917
139,0.4577
140,0.9073
141,0.4611
142,0.6343
143,0.238
144,0.2368
145,0.6604
146,0.05103
147,0.2564
148,0.5207
149,0.1973
150,0.932
151,0.1862
152,0.7388
153,0.7254
154,0.2027
155,0.2799
156,0.113
157,0.3563
158,0.1498
159,0.901
160,0.7162
161,0.7785
162,0.1515
163,0.8756
164,0.2624
165,0.5672
166,0.09025
167,0.4905
168,0.4724
169,0.2138
170,0.1777
171,0.9633
172,0.7138
173,0.539
174,0.3202
175,0.4743
176,0.3387
177,0.02524
178,0.6545
179,0.6972
180,0.186
181,0.3382
182,0.1401
183,0.7815
184,0.5849
185,0.8057
186,0.701
187,0.1574
188,0.4663
189,0.184
190,0.7125
191,0.4047
192,1.06
193,0.1405
194,0.4628
195,0.9355
196,0.2827
197,0.08674
198,0.4322
199,0.3646
200,0.738
201,0.02635
202,0.2129
203,0.4478
204,0.9264
205,0.3589
206,0.1016
207,0.05137
208,0.06799
209,0.06334
210,0.08691
211,0.4331
212,0.1153
213,0.5762
214,0.6149
215,0.3124
216,1.091
217,0.1909
218,0.09662
219,0.8297
220,0.38
221,0.4045
222,0.09908
223,0.3426
224,0.2935
225,0.02124
226,0.4657
227,0.7906
228,0.4079
229,0.05515
230,0.07431
231,0.6885
232,0.09057
233,0.02917
234,0.003126
235,0.06691
236,0.3403
237,0.2813
238,0.4251
239,0.3309
240,0.6954
241,1.158
242,0.00153
243,0.3198
244,0.2186
245,0.6082
246,0.3368
247,0.874
248,0.142
249,0.1637
250,0.2178
251,0.246
252,0.0001116
253,0.6335
254,0.05549
255,0.4906
256,0.6689
257,0.2823
258,0.1337
259,0.1686
260,0.12
261,1.276
262,0.1333
263,0.9156
264,0.9678
265,0.7144
266,1.273
267,0.7152
268,0.1254
269,0.8949
270,0.7192
271,0.8384
272,0.2826
273,0.265
274,0.8033
275,0.02979
276,0.834
277,0.275
278,0.5116
279,0.6346
280,0.5273
281,0.1882
282,0.3145
283,0.2825
284,0.05505
285,0.4892
286,0.4089
287,0.4782
288,0.379
289,0.1083
290,0.002595
291,0.06999
292,0.3175
293,0.6037
294,0.3427
295,0.2018
296,0.754
297,0.3518
298,0.5551
299,0.3502
300,0.9447
301,0.4922
302,0.006373
303,0.3112
304,0.1008
305,0.07994
306,0.904
307,0.99
308,0.08106
309,0.123
310,0.4837
311,0.2625
312,0.8122
313,0.431
314,0.003988
315,1.081
316,0.3973
317,0.1425
318,0.03439
319,0.1476
320,0.7825
321,0.3914
322,0.1238
323,0.5101
324,0.4403
325,0.1763
326,0.05312
327,0.5937
328,0.1135
329,0.7628
330,0.08924
331,0.3019
332,0.119
333,0.571
334,0.03839
335,0.5272
336,0.7224
337,0.6148
338,0.03592
339,0.162
340,0.07668
341,1.272
342,0.006124
343,0.2967
344,0.7253
345,0.11
346,1.695
347,0.2489
348,0.4363
349,0.2993
350,0.7457
351,1.058
352,0.1093
353,0.4761
354,0.2469
355,0.3353
356,0.3552
357,1.023
358,0.5774
359,0.3269
360,0.08777
361,0.4832
362,0.4819
