t,cost
10,6.312
20,6.312
30,6.396
40,6.402
50,6.342
60,6.342
70,6.366
80,6.426
90,6.39
100,6.318
110,6.33
120,6.366
130,6.438
140,6.402
150,6.402
160,6.378
170,6.39
180,6.366
190,6.372
200,6.372
210,6.33
220,6.336
230,6.402
240,6.396
250,6.45
260,6.384
270,6.336
280,6.36
290,6.312
300,6.378
310,6.336
320,6.366
330,6.366
340,6.354
350,6.366
360,6.342
370,6.324
380,6.306
390,6.33
400,6.408
410,6.384
420,6.342
430,6.312
440,6.318
450,6.342
460,6.384
470,6.414
480,6.384
490,6.384
500,6.396
510,6.402
520,6.372
530,6.438
540,6.45
550,6.378
560,6.372
570,6.36
580,6.348
590,6.384
600,6.324
610,6.354
620,6.36
630,6.378
640,6.366
650,6.348
660,6.39
670,6.336
680,6.36
690,6.348
700,6.39
710,6.396
720,6.426
730,6.426
740,6.324
750,6.384
760,6.336
770,6.354
780,6.342
790,6.402
800,6.36
810,6.378
820,6.366
830,6.336
840,6.372
850,6.384
860,6.396
870,6.378
880,6.342
890,6.384
900,6.366
910,6.396
920,6.354
930,6.384
940,6.312
950,6.336
960,6.366
970,6.384
980,6.42
990,6.432
1000,6.396
1010,6.408
1020,6.408
1030,6.372
1040,6.402
1050,6.36
1060,6.348
1070,6.324
1080,6.366
1090,6.408
1100,6.45
1110,6.36
1120,6.348
1130,6.414
1140,6.372
1150,6.336
1160,6.396
1170,6.414
1180,6.378
1190,6.348
1200,6.354
1210,6.384
1220,6.324
1230,6.342
1240,6.312
1250,6.372
1260,6.372
1270,6.438
1280,6.414
1290,6.432
1300,6.354
1310,6.342
1320,6.366
1330,6.396
1340,6.42
1350,6.408
1360,6.462
1370,6.348
1380,6.372
1390,6.432
1400,6.384
1410,6.438
1420,6.414
1430,6.402
1440,6.39
1450,6.384
1460,6.414
1470,6.39
1480,6.426
1490,6.39
1500,6.414
1510,6.432
1520,6.396
1530,6.456
1540,6.408
1550,6.414
1560,6.402
1570,6.42
1580,6.426
1590,6.414
1600,6.456
1610,6.45
1620,6.426
1630,6.354
1640,6.402
1650,6.42
1660,6.372
1670,6.372
1680,6.408
1690,6.384
1700,6.39
1710,6.438
1720,6.432
1730,6.396
1740,6.456
1750,6.45
1760,6.432
1770,6.372
1780,6.378
1790,6.45
1800,6.402
1810,6.414
1820,6.414
1830,6.456
1840,6.462
1850,6.432
1860,6.432
1870,6.42
1880,6.462
1890,6.432
1900,6.444
1910,6.396
1920,6.396
1930,6.432
1940,6.426
1950,6.42
1960,6.486
1970,6.468
1980,6.498
1990,6.492
2000,6.462
2010,6.498
2020,6.444
2030,6.498
2040,6.48
2050,6.42
2060,6.54
2070,6.486
2080,6.534
2090,6.534
2100,6.51
2110,6.522
2120,6.552
2130,6.522
2140,6.552
2150,6.534
2160,6.516
2170,6.51
2180,6.486
2190,6.504
2200,6.48
2210,6.462
2220,6.486
2230,6.54
2240,6.456
2250,6.486
2260,6.51
2270,6.564
2280,6.57
2290,6.57
2300,6.564
2310,6.594
2320,6.552
2330,6.57
2340,6.57
2350,6.516
2360,6.606
2370,6.612
2380,6.552
2390,6.606
2400,6.564
2410,6.528
2420,6.582
2430,6.582
2440,6.534
2450,6.594
2460,6.642
2470,6.516
2480,6.612
2490,6.63
2500,6.576
2510,6.636
2520,6.636
2530,6.576
2540,6.63
2550,6.63
2560,6.648
2570,6.582
2580,6.696
2590,6.666
2600,6.582
2610,6.612
2620,6.696
2630,6.6
2640,6.642
2650,6.714
2660,6.654
2670,6.618
2680,6.762
2690,6.708
2700,6.702
2710,6.624
2720,6.786
2730,6.762
2740,6.75
2750,6.672
2760,6.756
2770,6.756
2780,6.732
2790,6.624
2800,6.714
2810,6.75
2820,6.744
2830,6.636
2840,6.768
2850,6.756
2860,6.732
2870,6.642
2880,6.75
2890,6.828
2900,6.858
2910,6.678
2920,6.81
2930,6.804
2940,6.798
2950,6.654
2960,6.714
2970,6.804
2980,6.846
2990,6.888
3000,6.732
3010,6.846
3020,6.852
3030,6.894
3040,6.876
3050,6.762
3060,6.744
3070,6.84
3080,6.894
3090,6.942
3100,6.888
3110,6.708
3120,6.852
3130,6.84
3140,6.876
3150,6.924
3160,6.732
3170,6.816
3180,6.93
3190,6.954
3200,6.936
3210,6.984
3220,6.972
3230,6.93
3240,6.894
3250,6.93
3260,6.978
3270,7.02
3280,7.02
3290,7.038
3300,6.996
3310,6.99
3320,6.912
3330,6.846
3340,7.02
3350,7.02
3360,7.002
3370,7.056
3380,7.02
3390,7.056
3400,7.008
3410,6.978
3420,6.888
3430,6.96
3440,7.098
3450,7.038
3460,7.11
3470,7.08
3480,7.092
3490,7.134
3500,7.092
