MDTU,min_ave,max_ave
1,-0.0545186,0.0589907
2,-0.0639565,0.049536
3,-0.0616328,0.0478101
4,-0.0508005,0.0549161
5,-0.0508005,0.0549161
6,-0.0561468,0.0571902
7,-0.058175,0.0501235
8,-0.058175,0.0501235
9,-0.065838,0.0561332
10,-0.065838,0.0561332
11,-0.060492,0.0500749
12,-0.0581247,0.0502354
13,-0.0595426,0.0537477
14,-0.0595426,0.0537477
15,-0.0595426,0.0537477
16,-0.0566918,0.0552116
17,-0.0579584,0.0550502
18,-0.0610502,0.0545118
19,-0.0545932,0.0548225
20,-0.0545326,0.0514002
21,-0.0614039,0.0546589
22,-0.0587119,0.0538851
23,-0.0589538,0.0533448
24,-0.0628918,0.0497615
25,-0.0538618,0.0524015
26,-0.0560405,0.056668
27,-0.0591835,0.0510964
28,-0.0618739,0.05137
29,-0.0615181,0.0535316
30,-0.0615181,0.0535316
31,-0.0617125,0.0468881
32,-0.0615048,0.0514746
33,-0.0627871,0.0517457
34,-0.0662742,0.0555686
35,-0.0642008,0.0521393
36,-0.060279,0.0503136
37,-0.0560724,0.0518717
38,-0.0527409,0.0514472
39,-0.0536476,0.0584291
40,-0.0588151,0.0522159
41,-0.0612897,0.0502849
42,-0.0631905,0.0558001
43,-0.0561763,0.0582024
44,-0.0532038,0.0587152
45,-0.0531384,0.0523458
46,-0.0531384,0.0523458
47,-0.0592685,0.0492677
48,-0.0592685,0.0492677
49,-0.0624797,0.0518639
50,-0.0659133,0.0500576
51,-0.065542,0.0514135
52,-0.0510344,0.0608262
53,-0.0538477,0.0577844
54,-0.0593881,0.0573423
55,-0.0593881,0.0573423
56,-0.050594,0.0587111
57,-0.0547777,0.0528586
58,-0.0511987,0.0598296
59,-0.0500352,0.061774
60,-0.0522829,0.0577155
61,-0.050566,0.060522
62,-0.0534882,0.0554276
63,-0.0502465,0.0530387
64,-0.0540612,0.0578197
65,-0.0574592,0.0524383
66,-0.063282,0.04954
67,-0.0660768,0.0512833
