t,cond_num
10,5.15936
20,5.1235
30,5.08363
40,5.1228
50,5.07361
60,5.13598
70,5.0553
80,5.11014
90,5.10248
100,5.09072
110,5.03462
120,5.09462
130,5.08585
140,5.07801
150,5.16944
160,5.04913
170,5.06372
180,5.13319
190,5.14185
200,5.14997
210,5.09997
220,5.09169
230,5.10172
240,5.10601
250,5.09595
260,5.12892
270,5.10034
280,5.10077
290,5.07416
300,5.07931
310,5.03044
320,5.10539
330,5.12921
340,5.09277
350,5.14816
360,5.05381
370,5.05349
380,5.11793
390,5.09992
400,5.01579
410,5.09994
420,5.04309
430,5.16108
440,5.07206
450,5.06164
460,5.03534
470,5.12207
480,5.12045
490,5.10681
500,5.09135
510,5.03988
520,5.03951
530,5.05629
540,5.08998
550,5.03947
560,5.10298
570,5.14412
580,5.08589
590,5.12125
600,5.0716
610,5.04826
620,5.06749
630,5.08759
640,5.07447
650,5.12253
660,5.10976
670,5.11923
680,5.06866
690,5.00182
700,5.12559
710,5.07292
720,5.09135
730,5.07966
740,5.0526
750,5.09542
760,5.05589
770,5.03909
780,5.08862
790,5.13386
800,5.09932
810,5.05568
820,5.11178
830,5.09442
840,5.04021
850,5.11669
860,5.13213
870,5.0474
880,5.0862
890,5.03351
900,5.14838
910,5.08288
920,5.0829
930,5.08552
940,5.08519
950,5.11735
960,5.16123
970,5.12128
980,5.15296
990,5.06489
1000,5.01989
1010,5.12685
1020,5.0843
1030,5.14792
1040,5.10744
1050,5.16954
1060,5.10224
1070,5.15314
1080,5.11763
1090,5.0699
1100,5.08983
1110,5.09462
1120,5.1153
1130,5.07496
1140,5.08291
1150,5.05116
1160,5.10874
1170,5.15465
1180,5.08456
1190,5.08174
1200,5.12111
1210,5.04371
1220,5.10878
1230,5.07729
1240,5.01584
1250,5.1312
1260,5.12701
1270,5.06538
1280,5.09419
1290,5.11095
1300,5.11547
1310,5.11673
1320,5.11396
1330,5.11373
1340,5.09725
1350,5.10443
1360,5.05519
1370,5.12746
1380,5.11514
1390,5.06878
1400,5.10083
1410,5.0747
1420,5.13703
1430,5.11428
1440,5.0668
1450,5.09788
1460,5.07159
1470,5.1084
1480,5.07389
1490,5.07019
1500,5.08867
1510,5.09868
1520,5.0538
1530,5.15312
1540,5.08137
1550,5.11224
1560,5.07073
1570,5.10241
1580,5.10075
1590,5.16486
1600,5.08115
1610,5.06201
1620,5.17674
1630,5.03045
1640,5.09013
1650,5.12362
1660,5.08935
1670,5.08203
1680,5.09841
1690,5.09951
1700,5.09929
1710,5.09525
1720,5.07982
1730,5.12023
1740,5.03985
1750,5.08915
1760,5.08972
1770,5.04143
1780,5.03592
1790,5.0607
1800,5.06585
1810,5.11443
1820,5.13936
1830,5.20198
1840,5.06683
1850,5.07834
1860,5.12583
1870,5.05366
1880,5.0929
1890,5.07563
1900,5.04822
1910,5.11225
1920,5.11109
1930,5.08184
1940,5.07224
1950,5.0934
1960,5.09535
1970,5.10065
1980,5.06624
1990,5.04749
2000,5.07918
2010,5.12623
2020,5.09854
2030,5.14821
2040,5.01993
2050,5.06059
2060,5.11466
2070,5.09045
2080,5.09407
2090,5.15545
2100,5.15458
2110,5.08562
2120,5.08687
2130,5.09257
2140,5.12984
2150,5.15837
2160,5.11025
2170,5.0661
2180,5.17046
2190,5.12478
2200,5.118
2210,5.06849
2220,5.06157
2230,5.11465
2240,5.09701
2250,5.08665
2260,5.09558
2270,5.10097
2280,5.11336
2290,5.07866
2300,5.09335
2310,5.07037
2320,5.07952
2330,5.05918
2340,5.11018
2350,5.09454
2360,5.0798
2370,5.12472
2380,5.0463
2390,5.06987
2400,5.08753
2410,5.07846
2420,5.18034
2430,5.12141
2440,5.11688
2450,5.08062
2460,5.08161
2470,5.07757
2480,5.08822
2490,5.12724
2500,5.10339
2510,5.0971
2520,5.18436
2530,5.10387
2540,5.10667
2550,5.08864
2560,5.08046
2570,5.0706
2580,5.05458
2590,5.09288
2600,5.11727
2610,5.16021
2620,5.06837
2630,5.14965
2640,5.08697
2650,5.07605
2660,5.03203
2670,5.06005
2680,5.0756
2690,5.06355
2700,5.08412
2710,5.0769
2720,5.09171
2730,5.06571
2740,5.0267
2750,5.04725
2760,5.17058
2770,5.09056
2780,5.07226
2790,5.07716
2800,5.13612
2810,5.13484
2820,5.08528
2830,5.13252
2840,5.11368
2850,5.16747
2860,5.05729
2870,5.16118
2880,5.11382
2890,5.02516
2900,5.05336
2910,5.06436
2920,5.04271
2930,5.08182
2940,5.04259
2950,5.11076
2960,5.09549
2970,5.15885
2980,5.05888
2990,5.09364
3000,5.04218
3010,5.09425
3020,5.11949
3030,5.09478
3040,5.12155
3050,5.08885
3060,5.08076
3070,5.08126
3080,5.12989
3090,5.1595
3100,5.09901
3110,5.15337
3120,5.09555
3130,5.06006
3140,5.05999
3150,5.1293
3160,5.10759
3170,5.08306
3180,5.08331
3190,5.07901
3200,5.11803
3210,5.09657
3220,5.08332
3230,5.07827
3240,5.04378
3250,5.12985
3260,5.13052
3270,5.07644
3280,5.10393
3290,5.14291
3300,5.12772
3310,5.0627
3320,5.03609
3330,5.13929
3340,5.05402
3350,5.09786
3360,5.04257
3370,5.10467
3380,5.11781
3390,5.04717
3400,5.06031
3410,5.05932
3420,5.13218
3430,5.08225
3440,5.03105
3450,5.10504
3460,5.1031
3470,5.11076
3480,5.07912
3490,5.11386
3500,5.09406
