t,N_f,N_g
10,55,1100
20,55,1100
30,55,1100
40,55,1100
50,55,1100
60,55,1100
70,55,1100
80,55,1100
90,55,1100
100,55,1100
110,55,1100
120,55,1100
130,55,1100
140,55,1100
150,55,1100
160,55,1100
170,55,1100
180,55,1100
190,55,1100
200,55,1100
210,55,1100
220,55,1100
230,55,1100
240,55,1100
250,55,1100
260,55,1100
270,55,1100
280,55,1100
290,55,1100
300,55,1100
310,55,1100
320,55,1100
330,55,1100
340,55,1100
350,55,1100
360,55,1100
370,55,1100
380,55,1100
390,55,1100
400,55,1100
410,55,1100
420,55,1100
430,55,1100
440,55,1100
450,55,1100
460,55,1100
470,55,1100
480,55,1100
490,55,1100
500,55,1100
510,55,1100
520,55,1100
530,55,1100
540,55,1100
550,55,1100
560,55,1100
570,55,1100
580,55,1100
590,55,1100
600,55,1100
610,55,1100
620,55,1100
630,55,1100
640,55,1100
650,55,1100
660,55,1100
670,55,1100
680,55,1100
690,55,1100
700,55,1100
710,55,1100
720,55,1100
730,55,1100
740,55,1100
750,55,1100
760,55,1100
770,55,1100
780,55,1100
790,55,1100
800,55,1100
810,55,1100
820,55,1100
830,55,1100
840,55,1100
850,55,1100
860,55,1100
870,55,1100
880,55,1100
890,55,1100
900,55,1100
910,55,1100
920,55,1100
930,55,1100
940,55,1100
950,55,1100
960,55,1100
970,55,1100
980,55,1100
990,55,1100
1000,55,1100
1010,55,1100
1020,55,1100
1030,55,1100
1040,55,1100
1050,55,1100
1060,55,1100
1070,55,1100
1080,55,1100
1090,55,1100
1100,55,1100
1110,55,1100
1120,55,1100
1130,55,1100
1140,55,1100
1150,55,1100
1160,55,1100
1170,55,1100
1180,55,1100
1190,55,1100
1200,55,1100
1210,55,1100
1220,55,1100
1230,55,1100
1240,55,1100
1250,55,1100
1260,55,1100
1270,55,1100
1280,55,1100
1290,55,1100
1300,55,1100
1310,55,1100
1320,55,1100
1330,55,1100
1340,55,1100
1350,55,1100
1360,55,1100
1370,55,1100
1380,55,1100
1390,55,1100
1400,55,1100
1410,55,1100
1420,55,1100
1430,55,1100
1440,55,1100
1450,55,1100
1460,55,1100
1470,55,1100
1480,55,1100
1490,55,1100
1500,55,1100
1510,55,1100
1520,55,1100
1530,55,1100
1540,55,1100
1550,55,1100
1560,55,1100
1570,55,1100
1580,55,1100
1590,55,1100
1600,55,1100
1610,55,1100
1620,55,1100
1630,55,1100
1640,55,1100
1650,55,1100
1660,55,1100
1670,55,1100
1680,55,1100
1690,55,1100
1700,55,1100
1710,55,1100
1720,55,1100
1730,55,1100
1740,55,1100
1750,55,1100
1760,55,1100
1770,55,1100
1780,55,1100
1790,55,1100
1800,55,1100
1810,55,1100
1820,55,1100
1830,55,1100
1840,55,1100
1850,55,1100
1860,55,1100
1870,55,1100
1880,55,1100
1890,55,1100
1900,55,1100
1910,55,1100
1920,55,1100
1930,55,1100
1940,55,1100
1950,55,1100
1960,55,1100
1970,55,1100
1980,55,1100
1990,55,1100
2000,55,1100
2010,55,1100
2020,55,1100
2030,55,1100
2040,55,1100
2050,55,1100
2060,55,1100
2070,55,1100
2080,55,1100
2090,55,1100
2100,55,1100
2110,55,1100
2120,55,1100
2130,55,1100
2140,55,1100
2150,55,1100
2160,55,1100
2170,55,1100
2180,55,1100
2190,55,1100
2200,55,1100
2210,55,1100
2220,55,1100
2230,55,1100
2240,55,1100
2250,55,1100
2260,55,1100
2270,55,1100
2280,55,1100
2290,55,1100
2300,55,1100
2310,55,1100
2320,55,1100
2330,55,1100
2340,55,1100
2350,55,1100
2360,55,1100
2370,55,1100
2380,55,1100
2390,55,1100
2400,55,1100
2410,55,1100
2420,55,1100
2430,55,1100
2440,55,1100
2450,55,1100
2460,55,1100
2470,55,1100
2480,55,1100
2490,55,1100
2500,55,1100
2510,55,1100
2520,55,1100
2530,55,1100
2540,55,1100
2550,55,1100
2560,55,1100
2570,55,1100
2580,55,1100
2590,55,1100
2600,55,1100
2610,55,1100
2620,55,1100
2630,55,1100
2640,55,1100
2650,55,1100
2660,55,1100
2670,55,1100
2680,55,1100
2690,55,1100
2700,55,1100
2710,55,1100
2720,55,1100
2730,55,1100
2740,55,1100
2750,55,1100
2760,55,1100
2770,55,1100
2780,55,1100
2790,55,1100
2800,55,1100
2810,55,1100
2820,55,1100
2830,55,1100
2840,55,1100
2850,55,1100
2860,55,1100
2870,55,1100
2880,55,1100
2890,55,1100
2900,55,1100
2910,55,1100
2920,55,1100
2930,55,1100
2940,55,1100
2950,55,1100
2960,55,1100
2970,55,1100
2980,55,1100
2990,55,1100
3000,55,1100
3010,55,1100
3020,55,1100
3030,55,1100
3040,55,1100
3050,55,1100
3060,55,1100
3070,55,1100
3080,55,1100
3090,55,1100
3100,55,1100
3110,55,1100
3120,55,1100
3130,55,1100
3140,55,1100
3150,55,1100
3160,55,1100
3170,55,1100
3180,55,1100
3190,55,1100
3200,55,1100
3210,55,1100
3220,55,1100
3230,55,1100
3240,55,1100
3250,55,1100
3260,55,1100
3270,55,1100
3280,55,1100
3290,55,1100
3300,55,1100
3310,55,1100
3320,55,1100
3330,55,1100
3340,55,1100
3350,55,1100
3360,55,1100
3370,55,1100
3380,55,1100
3390,55,1100
3400,55,1100
3410,55,1100
3420,55,1100
3430,55,1100
3440,55,1100
3450,55,1100
3460,55,1100
3470,55,1100
3480,55,1100
3490,55,1100
3500,55,1100
