MDTU,susyTrans,Im(bilin)
10,-0.0126163,-1.9612e-05
20,-0.0121671,-2.46695e-05
30,0.00592257,5.97397e-05
40,-0.0174207,5.56525e-05
50,0.00431031,0.000117192
60,0.020655,7.81739e-06
70,-0.00739109,9.00838e-07
80,0.00800557,0.000149741
90,0.00334927,-5.00955e-06
100,-0.0088805,1.5613e-05
110,-0.0131838,-6.40466e-05
120,-0.0091476,4.94675e-06
130,-0.00201751,3.56798e-05
140,0.00657124,-0.000107349
150,0.00996256,-7.25773e-05
160,-0.00470879,-4.63553e-05
170,-0.00141832,-0.000190755
180,-0.00158788,-8.93291e-05
190,-0.00974648,1.27966e-05
200,-0.00830264,7.79241e-05
210,0.00322028,4.72242e-05
220,0.00928342,0.000107165
230,0.0213257,1.665e-05
240,0.00543257,7.43351e-05
250,-0.000998545,-4.01676e-05
260,-0.0124122,7.05574e-06
270,0.00025513,0.00010499
280,-0.00271009,-5.22491e-05
290,-0.0201876,8.28557e-05
300,-0.00561215,-1.94885e-05
310,-0.00303048,0.000107491
320,-0.00918408,-8.96431e-05
330,0.00175765,-4.70353e-05
340,-0.00691028,-7.23726e-07
350,0.00195911,-2.68469e-06
360,-0.000132097,8.81862e-05
370,-0.00515664,-2.68205e-05
380,0.0215385,1.2213e-05
390,-0.0193608,-7.28706e-05
400,-0.00369147,-3.55507e-05
410,0.00945887,-8.13763e-05
420,-0.0117657,-2.87813e-05
430,-3.81047e-05,0.000164511
440,0.012239,0.000120781
450,-0.0282537,-6.98025e-05
460,-0.0125699,-8.85166e-05
470,-0.00247745,8.95479e-05
480,0.0151067,-2.75369e-05
490,0.0214129,6.22517e-05
500,0.00748397,6.00855e-05
510,0.00210888,-5.15958e-05
520,-0.00280372,0.00014705
530,-0.014979,5.83353e-06
540,-0.00341986,-8.0588e-05
550,0.017943,3.35111e-05
560,-0.0028998,3.91212e-05
570,0.00905216,-3.35059e-05
580,-0.00531252,-4.44045e-05
590,-0.010766,-5.60347e-06
600,0.0118383,-2.15142e-05
610,-0.00799241,2.95583e-05
620,-0.00519952,-0.00022542
630,0.00220571,-0.000181444
640,0.0107044,1.73198e-06
650,0.00252053,-1.54838e-06
660,-0.00635819,0.000124811
670,-0.0027379,5.02076e-05
680,0.00338519,5.43944e-05
690,-0.0296112,-7.05937e-06
700,-0.00885805,-0.000134283
710,-0.00191996,8.64368e-06
720,0.0102071,-5.70045e-05
