t,cost
10,4.8156
20,4.8228
30,4.7982
40,4.8258
50,4.83
60,4.7916
70,4.8132
80,4.8258
90,4.8138
100,4.8246
110,4.8204
120,4.8288
130,4.8132
140,4.8276
150,4.8276
160,4.8336
170,4.7946
180,4.8348
190,4.8366
200,4.8168
210,4.8234
220,4.8144
230,4.8156
240,4.8114
250,4.8336
260,4.8396
270,4.8372
280,4.8342
290,4.8318
300,4.8174
310,4.824
320,4.8012
330,4.812
340,4.8306
350,4.8186
360,4.8354
370,4.8072
380,4.8294
390,4.8186
400,4.8114
410,4.8018
420,4.8048
430,4.8234
440,4.8048
450,4.8084
460,4.8276
470,4.8102
480,4.8156
490,4.8204
500,4.8126
510,4.821
520,4.821
530,4.8648
540,4.8456
550,4.8
560,4.8384
570,4.8468
580,4.8114
590,4.8252
600,4.8216
610,4.8348
620,4.8234
630,4.824
640,4.8384
650,4.8186
660,4.824
670,4.8084
680,4.8546
690,4.836
700,4.8384
710,4.8396
720,4.8198
730,4.8408
740,4.8156
750,4.8264
760,4.8114
770,4.8246
780,4.8366
790,4.8228
800,4.8384
810,4.8318
820,4.8294
830,4.8288
840,4.8324
850,4.8402
860,4.857
870,4.8498
880,4.7988
890,4.8276
900,4.851
910,4.8426
920,4.8324
930,4.809
940,4.845
950,4.8144
960,4.8378
970,4.845
980,4.8306
990,4.8222
1000,4.8378
1010,4.8522
1020,4.8474
1030,4.8192
1040,4.8504
1050,4.8384
1060,4.8504
1070,4.848
1080,4.8276
1090,4.8132
1100,4.8438
1110,4.851
1120,4.8444
1130,4.8636
1140,4.8402
1150,4.836
1160,4.8324
1170,4.8552
1180,4.8366
1190,4.8318
1200,4.8612
1210,4.833
1220,4.8312
1230,4.8618
1240,4.8294
1250,4.8456
1260,4.8438
1270,4.857
1280,4.8252
1290,4.8438
1300,4.8642
1310,4.848
1320,4.8438
1330,4.854
1340,4.8618
1350,4.8588
1360,4.845
1370,4.8426
1380,4.8786
1390,4.8462
1400,4.8378
1410,4.857
1420,4.863
1430,4.8312
1440,4.8636
1450,4.8402
1460,4.8504
1470,4.8588
1480,4.818
1490,4.8456
1500,4.8384
1510,4.8732
1520,4.8648
1530,4.8504
1540,4.857
1550,4.851
1560,4.8702
1570,4.8606
1580,4.8792
1590,4.884
1600,4.8606
1610,4.8582
1620,4.8582
1630,4.8822
1640,4.8498
1650,4.8888
1660,4.872
1670,4.8546
1680,4.8924
1690,4.902
1700,4.8858
1710,4.857
1720,4.8654
1730,4.875
1740,4.8552
1750,4.89
1760,4.8918
1770,4.8822
1780,4.8762
1790,4.9116
1800,4.8936
1810,4.8876
1820,4.8846
1830,4.9002
1840,4.902
1850,4.9056
1860,4.914
1870,4.914
1880,4.9164
1890,4.8954
1900,4.9344
1910,4.9368
1920,4.9554
1930,4.9104
1940,4.9074
1950,4.9344
1960,4.9434
1970,4.881
1980,4.905
1990,4.923
2000,4.9686
2010,4.914
2020,4.899
2030,4.9386
2040,4.965
2050,4.8996
2060,4.8972
2070,4.989
2080,4.974
2090,4.9632
2100,4.9152
2110,4.9722
2120,4.9608
2130,4.983
2140,4.9398
2150,4.9866
2160,4.9914
2170,4.9746
2180,4.9914
2190,4.9404
2200,4.9962
2210,5.0016
2220,5.0292
2230,4.932
2240,5.0142
2250,5.031
2260,5.031
2270,5.0238
2280,4.9578
2290,5.0334
2300,5.0106
2310,5.0466
2320,5.0376
2330,4.9746
2340,5.0424
2350,5.0418
2360,5.0358
2370,5.0394
2380,4.9836
2390,4.9698
2400,5.0772
2410,5.0568
2420,5.0658
2430,5.0832
2440,4.98
2450,5.0508
2460,5.0778
2470,5.1018
2480,5.097
2490,5.0472
2500,5.0034
2510,5.0772
2520,5.0736
2530,5.1054
2540,5.0994
2550,5.0178
2560,5.0628
2570,5.1312
2580,5.0988
2590,5.118
2600,5.1024
2610,5.1318
2620,5.0268
2630,5.0946
2640,5.1072
2650,5.0994
2660,5.1174
2670,5.1426
2680,5.1174
2690,5.0178
2700,5.1438
2710,5.1276
2720,5.1564
2730,5.1486
2740,5.1384
2750,5.1756
2760,5.0646
2770,5.172
2780,5.1792
2790,5.1582
2800,5.1762
2810,5.1972
2820,5.1966
2830,5.1828
2840,5.1246
2850,5.082
2860,5.1594
2870,5.166
2880,5.2326
2890,5.2092
2900,5.2284
2910,5.2032
2920,5.2206
2930,5.2182
2940,5.1258
2950,5.166
2960,5.2494
2970,5.2302
2980,5.2476
2990,5.2338
3000,5.2338
3010,5.2644
3020,5.2314
3030,5.2938
3040,5.2122
3050,5.2158
3060,5.0856
3070,5.1588
3080,5.2032
3090,5.2272
3100,5.2362
3110,5.2272
3120,5.253
3130,5.274
3140,5.244
3150,5.247
3160,5.2362
3170,5.2494
3180,5.2626
3190,5.1642
3200,5.2254
3210,5.2404
3220,5.2644
3230,5.301
3240,5.2944
3250,5.2716
3260,5.307
3270,5.3316
3280,5.3382
3290,5.3346
3300,5.3322
3310,5.3454
3320,5.3376
3330,5.3478
3340,5.3568
3350,5.3478
3360,5.3862
3370,5.349
3380,5.3616
3390,5.3646
3400,5.3886
3410,5.3622
3420,5.388
3430,5.394
3440,5.3826
3450,5.3844
3460,5.3856
3470,5.4174
3480,5.3664
3490,5.3976
3500,5.4264
