MDTU,S_F
1,0.996303
2,1.00418
3,1.00031
4,0.999107
5,0.994674
6,1.00289
7,1.00041
8,0.998138
9,1.00273
10,1.00032
11,1.00247
12,1.00368
13,0.994693
14,0.996883
15,1.00473
16,0.995738
17,1.00538
18,0.995911
19,1.00017
20,1.00714
21,0.998094
22,0.99867
23,1.00448
24,1.0022
25,0.996778
26,1.00203
27,0.998246
28,0.999049
29,1.00097
30,1.00097
31,1.00085
32,1.00352
33,0.996011
34,0.999531
35,0.998746
36,0.997447
37,0.999652
38,1.00336
39,0.999729
40,1.00085
41,0.997162
42,1.00377
43,0.994707
44,0.997645
45,0.996853
46,0.991777
47,0.997184
48,1.00598
49,1.0024
50,1.00169
51,1.00245
52,0.996
53,1.00094
54,0.992611
55,1.00058
56,1.00224
57,0.997765
58,1.00215
59,1.00163
60,0.998438
61,1.00912
62,1.00214
63,1.00156
64,1.00262
65,0.995287
66,1.00466
67,1.00087
68,1.00269
69,0.999112
70,1.00164
71,0.99618
72,1.00442
73,0.999258
74,1.00008
75,1.0014
76,1.0005
77,0.999986
78,1.0015
79,1.00526
80,0.998416
81,1.00121
82,0.996894
83,1.00229
84,0.998493
85,1.00069
86,1.0057
87,0.995751
88,0.999126
89,0.99517
90,1.00128
91,1.00577
92,1.00015
93,0.997924
94,1.00216
95,0.99424
96,1.00021
97,1.00136
98,0.998065
99,0.996167
100,0.999956
101,1.0065
102,0.99989
103,0.99872
104,1.00507
105,0.997877
106,1.00238
107,1.00476
108,0.998741
109,0.998374
110,1.0015
111,1.00759
112,0.994223
113,1.00228
114,0.997471
115,0.991202
116,1.00262
117,0.999557
118,1.00128
119,1.00252
120,0.997799
121,1.00011
122,1.00136
123,0.995293
124,0.999368
125,1.00269
126,0.996486
127,0.997884
128,1.00833
129,1.00494
130,1.00817
131,1.00445
132,0.997593
133,1.00007
134,1.00062
135,1.00007
136,0.995762
137,1.002
138,0.998467
139,1.00178
140,0.998835
141,0.992275
142,0.997758
143,0.998516
144,1.00292
145,1.00255
146,0.988188
147,0.998936
148,0.99429
149,0.999808
150,0.999676
151,0.993924
152,1.00367
153,1.00062
154,1.00327
155,1.00749
156,0.999832
157,0.997336
158,1.00193
159,1.00196
160,1.0054
161,1.0034
162,1.00111
163,0.993513
164,0.99787
165,0.997462
166,0.997296
167,1.00019
168,1.00032
169,0.999648
170,1.00004
171,1.00092
172,1.00232
173,0.996221
174,0.999108
175,1.00374
176,1.00204
177,1.00349
178,0.993853
179,1
180,0.996897
181,1.00015
182,1.00604
183,0.999858
184,1.00416
185,1.0036
186,0.993235
187,1.00318
188,1.0063
189,0.991325
190,0.99164
191,1.00507
192,0.997393
193,1.00665
194,0.998697
195,0.999387
196,1.00704
197,0.99705
198,0.997783
199,0.99743
200,0.999611
201,0.994648
202,0.999704
203,1.00335
204,0.999597
205,1.00051
206,1.00459
207,0.996494
208,1.00125
209,1.00162
210,0.999892
211,0.999191
212,1.00045
213,1.0021
214,0.999968
215,1.0049
216,0.99798
217,0.994062
218,1.00227
219,0.999851
220,0.997359
221,1.00264
222,1.00274
223,0.996349
224,0.998064
225,0.999683
226,0.997918
227,0.994946
228,0.998527
229,1.00359
230,0.99629
231,1.00282
232,0.997763
233,0.996726
234,0.997248
235,1.0018
236,1.00462
237,1.00264
238,1.00559
239,1.00024
240,0.999251
241,1.00856
242,1.00234
243,0.998982
244,1.00916
245,1.00578
246,0.993349
247,0.998717
248,0.99474
249,0.999419
250,1.00253
251,0.994845
252,1.00429
253,1.00106
254,0.99913
255,1.01063
256,1.00042
257,1.00365
258,1.00025
259,1.0047
260,0.999993
261,0.999613
262,0.994101
263,0.999243
264,1.00271
265,0.994343
266,0.998608
267,1.00136
268,1.00407
269,0.998895
270,0.997896
271,1.00062
272,1.00388
273,1.0037
274,0.997093
275,0.998831
276,1.00546
277,0.9913
278,0.996333
279,0.999504
280,1.00014
281,0.998509
282,1.00098
283,0.999303
284,1.00285
285,0.999708
286,0.999458
287,0.998546
288,1.00571
289,1.00353
290,1.00013
291,1.00091
292,1.00085
293,1.00327
294,0.999845
295,0.999454
296,0.994434
297,0.998531
298,1.00033
299,0.999765
300,0.998241
301,1.00515
302,1.00059
303,1.00122
304,0.995538
305,0.999606
306,0.997171
307,0.998676
308,0.997486
309,1.00012
310,1.0004
311,1.00391
312,0.99595
313,0.999791
314,1.00293
315,0.99609
316,1.00323
317,1.00278
318,0.996192
319,0.996345
320,1.00114
321,1.00133
322,1.00386
323,0.998529
324,1.00369
325,0.99261
326,1.00006
327,1.00208
328,1.00113
329,0.999762
330,0.99745
331,0.995096
332,0.995023
333,1.00106
334,1.0006
335,0.998014
336,1.0019
337,0.989325
338,0.996621
339,0.999189
340,1.00425
341,0.998449
342,1.00243
343,0.987365
344,1.00475
345,1.00307
346,1.00099
347,1.00347
348,1.00297
349,0.99579
350,1.00107
351,0.999615
352,1.00171
353,0.997375
354,0.996417
355,0.998882
356,1.00108
357,1.00061
358,0.995141
359,0.997775
360,0.992903
361,0.998122
362,0.994837
363,1.00725
364,1.00277
365,1.00216
366,1.00436
367,0.997096
368,1.00432
369,1.00136
370,1.00123
371,1.00119
372,1.00336
373,1.00429
374,0.997106
375,1.00834
376,1.00298
377,0.99716
378,0.995529
379,1.00114
380,0.996131
381,0.998725
382,0.998506
383,1.00032
384,1.00646
385,0.99896
386,1.00036
387,1.00066
388,0.999311
389,0.997071
390,1.00266
391,0.995053
392,0.998666
393,0.996378
394,0.99978
395,1.00207
396,1.00206
397,0.998831
398,0.991399
399,0.993
400,1.00403
401,1.00064
402,0.99703
403,1.00439
404,1.0066
405,1.003
406,1.00238
407,1.00248
408,0.999044
409,1.00153
410,0.998733
411,1.00154
412,0.998623
413,0.996108
414,1.00401
415,0.995758
416,0.995106
417,0.998181
418,0.996657
419,0.998033
420,1.0042
421,0.992926
422,0.999886
423,0.999989
424,1.00065
425,0.993635
426,0.993492
427,0.996643
428,0.995995
429,1.00506
430,0.99451
431,1.00573
432,1.00382
433,1.00637
434,1.00241
435,0.998225
436,0.999493
437,1.00185
438,0.995985
439,1.00224
440,1.0052
441,1.00365
442,1.0022
443,1.00275
444,0.996735
445,1.00162
446,0.997613
447,0.998724
448,0.999025
449,0.998834
450,1.00182
451,0.994641
452,1.00412
453,0.990691
454,0.997603
455,1.0045
456,1.00098
457,0.99922
458,0.996073
459,0.999124
460,1.00361
461,0.997186
462,0.999785
463,1.00113
464,1.00563
465,0.997054
466,1.00198
467,0.999262
468,1.00308
469,0.994964
470,0.997124
471,0.999121
472,1.00029
473,0.999769
474,0.99885
475,0.998193
476,0.994594
477,0.999387
478,1.00069
479,0.998751
480,1.00447
481,1.00477
482,0.99935
483,1.00192
484,1.00069
485,0.998977
486,0.995794
487,1.00148
488,1.0006
489,0.998322
490,0.998247
491,1.00196
492,1.00081
493,1.00072
494,0.998908
495,0.997488
496,1.0085
497,0.997104
498,1.00272
499,1.00749
500,0.993151
501,0.995993
502,1.0006
503,1.0027
504,1.01007
505,0.994317
506,0.999363
507,0.999093
508,1.00061
509,0.991986
510,1.00112
511,0.997648
512,0.993469
513,0.997385
514,0.999447
515,1.00035
516,1.0034
517,1.00506
518,0.998621
519,0.998399
520,0.997212
521,0.997617
522,0.998667
523,0.999623
524,1.00331
525,1.00086
526,1.00134
527,0.99727
528,1.00291
529,0.999884
530,1.0027
531,1.00682
532,0.998592
533,0.995206
534,0.994382
535,0.995646
536,0.996134
537,0.99919
538,1.00107
539,1.00157
540,1.0017
541,1.00078
542,1.0082
543,1.00135
544,0.990899
545,0.996675
546,1.00079
547,0.997554
548,0.991446
549,1.00972
550,1.0078
551,0.999411
552,0.99575
553,0.996181
554,1.00051
555,1.00176
556,1.00092
557,0.995366
558,1.00178
559,1.0004
560,1.00533
561,0.999745
562,0.997554
563,0.999072
564,0.995586
565,1.00772
566,1.00262
567,0.998968
568,0.998076
569,1.00022
570,1.00179
571,0.996155
572,1.0022
573,1.00114
574,1.0038
575,0.998733
576,0.998424
577,0.997644
578,0.999139
579,1.00315
580,1.00373
581,1.00298
582,0.998835
583,0.996809
584,1.00011
585,0.99992
586,0.991055
587,0.997034
588,0.996402
589,1.00204
590,0.998744
591,0.998195
592,1.00024
593,0.996439
594,1.00291
595,0.995895
596,0.999198
597,1.00166
598,1.00218
599,0.999142
600,1.00116
601,0.998478
602,1.00424
603,1.00087
604,1.003
605,0.991609
606,0.998628
607,1.00417
608,0.999307
609,0.99933
610,1.00433
611,1.00037
612,1.00721
613,0.994714
614,1.00522
615,1.00334
616,0.996298
617,1.00169
618,1.00129
619,1.00033
620,0.98757
621,1.00295
622,1.00514
623,0.997825
624,0.99321
625,1.00151
626,0.997992
627,1.00228
628,1.00437
629,0.998723
630,1.00475
631,1.00238
632,0.997018
633,0.996073
634,1.00168
635,0.998203
636,1.00341
637,1.001
