MDTU,plaq
1,1.04023
2,1.02509
3,1.02308
4,1.03868
5,1.04008
6,1.04675
7,1.0469
8,1.03663
9,1.03274
10,1.02702
11,1.02702
12,1.01657
13,0.999209
14,1.02757
15,1.0247
16,1.05238
17,1.05238
18,1.04052
19,1.03303
20,1.02748
21,1.02503
22,1.02503
23,1.00155
24,1.00948
25,1.00948
26,1.00948
27,1.03557
28,1.03557
29,1.05005
30,1.05005
31,1.01931
32,0.987409
33,0.987409
34,0.977759
35,0.977759
36,0.991409
37,0.986997
38,0.986997
39,1.00051
40,1.00051
41,0.989938
42,0.989938
43,1.0008
44,1.00988
45,1.0248
46,1.0248
47,1.02913
48,1.02913
49,1.02913
50,1.01459
51,1.00456
52,1.03765
53,1.02248
54,1.02162
55,1.02162
56,1.01425
57,1.00919
58,1.014
59,1.01429
60,1.00583
61,0.986792
62,0.979806
63,0.985239
64,0.985239
65,0.974968
66,0.969855
67,0.969855
68,0.98954
69,0.992518
70,0.981593
71,1.00115
72,0.989676
73,0.989676
74,1.00515
75,1.02848
76,1.03719
77,1.03434
78,1.02158
79,1.0188
80,1.0688
81,1.03477
82,1.03477
83,1.03039
84,1.01678
85,1.02739
86,1.04798
87,1.04798
88,1.04798
89,1.04147
90,1.03236
91,1.04969
92,1.04007
93,1.01552
94,1.01552
95,1.03526
96,1.02545
97,1.02859
98,1.01871
99,1.00373
100,1.01484
101,0.998659
102,1.02167
103,1.01533
104,1.01533
105,1.01533
106,1.01777
107,0.999288
108,1.00889
109,1.00889
110,0.987588
111,0.985916
112,0.985916
113,0.985916
114,0.972337
115,0.976649
116,0.975411
117,0.986172
118,0.99098
119,0.982826
120,0.997349
121,0.999907
122,0.999694
123,1.00823
124,1.01761
125,0.997908
126,0.997908
127,1.02118
128,1.02511
129,1.01465
130,1.00662
131,0.992555
132,1.00457
133,1.00726
134,1.00425
135,1.00425
136,1.00425
137,1.00929
138,1.01882
139,1.01526
140,1.0017
141,0.998274
142,0.988337
143,0.987835
144,0.996354
145,1.00369
146,1.00369
147,0.98006
148,0.982928
149,0.979497
150,0.979497
151,0.989273
152,1.01159
153,1.00721
154,1.01467
155,1.01465
