MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,1.33305,-0.908045,-0.975949
2,1.32282,-1.08051,-0.763129
3,1.3149,-1.06504,-0.771136
4,1.3771,-1.10023,-0.828192
5,1.36513,-1.05613,-0.864972
6,1.31254,-1.13063,-0.666665
7,1.33313,-1.21986,-0.537754
8,1.33256,-1.08131,-0.778774
9,1.26396,-1.0229,-0.742473
10,1.29651,-0.975975,-0.853473
11,1.29651,-0.975975,-0.853473
12,1.2922,-1.092,-0.690888
13,1.22196,-0.9297,-0.792989
14,1.28553,-1.0973,-0.669717
15,1.32448,-1.21717,-0.522246
16,1.37375,-1.2493,-0.571363
17,1.37375,-1.2493,-0.571363
18,1.33376,-1.24171,-0.486919
19,1.33672,-1.24237,-0.493275
20,1.31227,-1.16669,-0.600739
21,1.33296,-1.08864,-0.769186
22,1.33296,-1.08864,-0.769186
23,1.23554,-0.919168,-0.82565
24,1.32925,-0.927796,-0.951896
25,1.32925,-0.927796,-0.951896
26,1.32925,-0.927796,-0.951896
27,1.40368,-0.964212,-1.0201
28,1.40368,-0.964212,-1.0201
29,1.32812,-0.997308,-0.87709
30,1.32812,-0.997308,-0.87709
31,1.32249,-0.836253,-1.02453
32,1.22406,-0.623746,-1.05322
33,1.22406,-0.623746,-1.05322
34,1.21324,-0.595881,-1.05682
35,1.21324,-0.595881,-1.05682
36,1.23904,-0.478474,-1.14292
37,1.25819,-0.656685,-1.07322
38,1.25819,-0.656685,-1.07322
39,1.21877,-0.507953,-1.10787
40,1.21877,-0.507953,-1.10787
41,1.22686,-0.625913,-1.05518
42,1.22686,-0.625913,-1.05518
43,1.22239,-0.527538,-1.1027
44,1.28414,-0.51004,-1.17851
45,1.32643,-0.707803,-1.1218
46,1.32643,-0.707803,-1.1218
47,1.3011,-0.59834,-1.15536
48,1.3011,-0.59834,-1.15536
49,1.3011,-0.59834,-1.15536
50,1.29556,-0.371886,-1.24104
51,1.34522,-0.243547,-1.32299
52,1.32628,-0.154707,-1.31722
53,1.30742,-0.00894233,-1.30739
54,1.26841,-0.0541175,-1.26726
55,1.26841,-0.0541175,-1.26726
56,1.29912,-0.189746,-1.28519
57,1.31003,-0.0707896,-1.30812
