MDTU,S_F
457,0.995915
458,0.992355
459,1.00028
460,1.00527
461,1.00123
462,0.99851
463,0.999052
464,1.00447
465,0.997054
466,1.00017
467,0.996832
468,1.00547
469,0.997664
470,0.997124
471,1.00169
472,1.00251
473,0.995839
474,0.999951
475,0.998089
476,0.994594
477,0.99821
478,1.00082
479,0.998658
480,1.00569
481,1.00139
482,0.996271
483,1.00201
484,1.00192
485,0.998053
486,0.996554
487,1.00402
488,1.00416
489,0.996205
490,0.999495
491,1.00131
492,0.997557
493,1.00221
494,0.999941
495,1.00283
496,1.00662
497,0.99578
498,1.0003
499,1.00421
500,0.994259
501,0.997678
502,1.00302
503,1.00334
504,1.00798
505,0.996786
506,0.998033
507,1.00364
508,1.00309
509,0.991986
510,1.00027
511,0.998946
512,0.991571
513,0.99569
514,1.00203
515,1.00036
516,1.00248
517,1.00719
518,0.994541
519,0.998034
520,1.0008
521,0.997617
522,0.996007
523,1.00127
524,1.00666
525,0.99845
526,1.00015
527,0.994569
528,1.00348
529,1.00412
530,1.00257
531,1.00309
532,0.998521
533,0.995694
534,0.998259
535,0.995181
536,1.00011
537,1.00127
538,1.00613
539,1.00037
540,0.996808
541,0.997838
542,1.0054
543,1.00008
544,0.996766
545,0.997853
546,1.00113
547,0.997554
548,0.991565
549,1.00587
550,1.01172
551,0.996525
552,0.9961
553,0.995812
554,1.00214
555,1.00019
556,1.00092
557,0.995362
558,1.00104
559,1.00131
560,1.00533
561,1.00012
562,0.993201
563,1.00172
564,0.996951
565,1.00772
566,1.00495
567,1.00174
568,0.996903
569,1.00022
570,0.998647
571,0.998391
572,1.00265
573,1.00069
574,1.00061
575,0.998246
576,0.998918
577,0.99843
578,0.999972
579,1.00445
580,0.999586
581,1.00134
582,1.00364
583,0.996252
584,1.00011
585,0.999459
586,0.999054
587,0.998094
588,0.996127
589,1.00169
590,0.996946
591,1.00266
592,1.00024
593,0.998658
594,1.00184
595,0.995508
596,0.997277
597,1.00004
598,1.00613
599,1.00035
600,1.00569
601,1.00056
602,1.00337
603,0.994361
604,1.00458
605,0.99425
606,0.996676
607,1.00055
608,0.999582
609,1.00015
610,1.00388
611,1.00303
612,1.00496
613,0.996022
614,1.00657
615,1.00334
616,0.996945
617,1.00072
618,1.00224
619,0.994751
620,0.9956
621,1.00257
622,1.00514
623,0.997073
624,0.99321
625,1.00188
626,1.00271
627,0.998534
628,1.00395
629,0.997977
630,0.999043
631,1.00306
632,0.997018
633,0.996073
634,1.00073
635,0.998064
636,1.00712
637,0.996546
638,1.00099
639,1.00152
640,1.00015
641,0.999051
642,1.00346
643,1.00603
644,0.996201
645,1.00628
646,1.00429
647,1.00568
648,1.00073
649,1.00537
650,1.00528
651,0.999595
652,0.996375
653,1.01011
654,0.998231
655,1.00063
656,1.00406
657,1.00327
658,1.00574
659,0.997985
660,1.00046
661,1.0045
662,1.00596
663,1.00566
664,1.00215
665,0.999317
666,0.998863
667,1.00374
668,0.995189
669,1.00719
670,0.996673
671,0.999342
672,0.997862
673,0.998868
674,1.00629
675,1.0036
676,0.995448
677,1.00111
678,1.00245
679,0.996088
680,0.998745
681,1.00012
682,1.00163
683,0.99841
684,1.00214
685,0.992759
686,1.00484
687,0.992939
688,0.996164
689,1.00177
690,0.999115
691,1.00305
692,0.998265
693,0.996061
694,1.00731
695,1.00075
696,1.00388
697,1.00158
698,0.994806
699,1.00012
700,0.996838
701,1.00073
702,1.00151
703,1.0035
704,0.999971
705,1.00636
706,0.997492
707,1.00306
708,0.999843
709,1.00517
710,1.00528
