t,deltaS
1,-0.1715
2,-0.5304
3,2.148
4,-0.1311
5,0.5829
6,0.5919
7,0.9668
8,-0.7392
9,0.9905
10,-0.4136
11,-0.589
12,-0.0933
13,-0.0008778
14,-0.2646
15,0.5546
16,-0.7516
17,-0.2729
18,0.2967
19,-0.8654
20,0.601
21,0.1047
22,0.5928
23,0.1778
24,0.005121
25,0.4398
26,1.123
27,1.44
28,1.173
29,-0.727
30,0.2675
31,1.219
32,-0.1614
33,-0.3989
34,-0.3652
35,0.4472
36,-0.8666
37,0.2601
38,-1.18
39,0.3778
40,-0.2158
41,0.1636
42,-0.3097
43,0.02728
44,-0.2258
45,-0.325
46,1.123
47,0.04433
48,0.6963
49,-0.009371
50,-0.4286
51,0.9688
52,0.5834
53,0.5461
54,1.096
55,0.3902
56,1.193
57,-0.6687
58,-0.2984
59,-1.553
60,0.3129
61,-0.3169
62,0.7469
63,1.097
64,0.5244
65,0.5336
66,0.4743
67,0.4756
68,-0.5605
69,0.1904
70,0.9288
71,0.08916
72,-0.3517
73,0.2347
74,-0.01722
75,-0.403
76,-0.5834
77,-0.6393
78,0.6757
79,-0.3368
80,-0.0448
81,0.1354
82,0.9221
83,0.3566
84,-0.752
85,0.1684
86,0.001458
87,-0.3192
88,-0.632
89,0.4411
90,0.6676
91,0.08438
92,0.6971
93,0.1869
94,0.1988
95,-0.8867
96,1.236
97,0.07498
98,1.361
99,0.735
100,0.1784
101,-0.8877
102,-0.509
103,-0.8187
104,-0.5337
105,-0.1681
106,1.196
107,-0.3978
108,0.03544
109,0.08798
110,-0.9217
111,-0.5466
112,0.5999
113,0.1702
114,-0.277
115,0.296
116,1.101
117,-0.1751
118,0.515
119,-0.3017
120,0.6024
121,-0.38
122,0.2561
123,0.6122
124,-0.5815
125,0.5277
126,0.9669
127,0.1134
128,0.2901
129,-0.2548
130,-0.2179
131,0.9521
132,0.6253
133,-0.04928
134,1.313
135,1.259
136,1.206
137,-0.4355
138,0.07619
139,0.06801
140,-0.4905
141,1.623
142,-0.2609
143,0.5335
144,0.3517
145,0.1306
146,1.289
147,0.6146
148,1.496
149,0.7296
150,-0.03246
151,0.06892
152,0.4401
153,2.117
154,0.4392
155,0.7127
156,0.8805
157,0.4461
158,0.4432
159,-0.3688
160,-0.9896
161,0.8617
162,0.2834
163,0.03696
164,1.257
165,0.1029
166,1.457
167,-0.5348
168,1.062
169,-0.4022
170,-0.1817
171,-0.01036
172,0.3093
173,0.9489
174,0.06076
175,-0.1482
176,-0.6845
177,-0.1413
178,-0.1459
179,0.1714
180,0.2847
181,0.3259
182,0.2473
183,0.424
184,0.7394
185,-0.4007
186,0.2025
187,0.1083
188,0.4341
189,-0.3858
190,-0.2705
191,-0.4867
192,0.2876
193,-0.3942
194,1.448
195,0.5893
196,0.4524
197,-0.0282
198,0.6248
199,0.4209
200,1.148
201,-0.374
202,0.07117
203,0.6375
204,0.6304
205,0.4615
206,0.6614
207,0.003478
208,-0.5607
209,0.1128
210,0.09633
211,0.6401
212,-1.256
213,0.6547
214,-0.6803
215,1.593
216,-0.4774
217,-0.8005
218,-0.3197
219,0.9662
220,0.3758
221,-0.3603
222,0.928
223,-0.3988
224,-0.6074
225,-0.5016
226,0.2614
227,-0.3979
228,0.1676
229,0.5106
230,0.9544
231,-0.3904
232,0.3783
233,-0.8654
234,0.2242
235,0.6975
236,0.5515
237,0.8248
238,0.2954
239,-0.034
240,-0.7126
241,-1.143
242,1.089
243,0.07889
244,0.3706
245,0.6335
246,1.04
247,0.4098
248,-0.65
249,-0.02976
250,1.729
251,-0.05939
252,0.3589
253,-0.4572
254,0.3664
255,0.4798
256,-0.2493
257,-0.9709
258,0.8758
259,0.2265
260,1.907
261,0.4194
262,0.6767
263,0.7057
264,-0.1137
265,0.4657
266,-0.204
267,-1.275
268,0.3017
269,0.6914
270,-0.9888
271,-0.4627
272,0.3777
273,1.168
274,0.5935
275,0.06837
276,0.5299
277,-0.5223
278,-0.8204
279,0.04752
280,0.2262
281,-0.02726
282,-0.03232
283,0.1403
284,0.6137
285,0.1993
286,0.1314
287,0.7654
288,1.102
289,-0.3018
290,-0.7659
291,-0.713
292,0.5149
293,0.807
294,0.8344
295,-0.1022
296,-0.3888
297,-0.002153
298,-0.3493
299,0.4047
300,0.703
301,0.3229
302,-0.1134
303,1.337
304,-0.2828
305,1.255
306,0.8623
307,-0.3188
308,-0.7944
309,-0.7639
310,-0.07917
311,-0.3393
312,0.69
313,-0.8678
314,-0.2394
315,-0.08065
316,0.001189
317,0.2864
318,-0.1568
319,0.9093
320,1.211
321,0.2268
322,0.4893
323,-1.179
324,0.4746
325,1.205
326,-0.4585
327,-0.294
328,0.3932
329,0.7879
330,-0.4182
331,-0.7009
332,0.5143
333,-0.04598
334,-0.1347
335,-0.7171
336,1.211
337,1.344
338,0.6047
339,0.2089
340,0.4506
341,1.528
342,0.1345
343,1.654
344,1.225
345,0.07165
346,-0.2929
347,0.5762
348,-0.09861
349,-0.05395
350,0.4721
351,0.6242
352,0.2712
353,-0.3641
354,-0.3126
355,0.1477
356,-0.006834
357,-0.5348
358,-0.04057
359,-0.2356
360,-0.3825
361,1.253
362,-0.2681
363,0.2984
364,-0.04576
365,1.06
366,-0.7288
367,-0.5693
368,-0.5899
369,-0.9432
370,-0.1542
371,0.805
372,-0.5031
373,-0.2221
374,-0.08982
375,0.171
376,-0.2576
377,-0.3129
378,0.03443
379,-1.215
380,0.6587
381,-0.05888
382,0.7767
383,-0.0004694
384,1.582
385,0.9309
386,-0.006392
387,-0.4433
388,0.1992
389,0.3398
390,0.5161
391,0.5515
392,0.1549
393,-1.035
394,0.3916
395,1.301
396,0.142
397,1.791
398,0.6979
399,0.2289
400,-1.406
401,-0.4822
402,0.5607
403,1.171
404,0.7723
405,-0.1448
406,1.282
407,0.5162
408,0.4122
409,1.12
410,-0.8256
411,-0.1302
412,-0.1154
413,0.3346
414,0.5684
415,0.6222
416,0.367
417,-0.7671
418,-0.1781
419,1.139
420,0.7951
421,0.5894
422,0.2807
423,0.1171
424,0.7371
425,0.8443
426,0.1285
427,0.1356
428,-0.3559
429,-0.08297
430,0.3521
431,0.02315
432,0.4485
433,-1.085
434,0.6673
435,-0.6341
436,0.2811
437,0.6354
438,-0.01913
439,-0.4407
440,-0.3157
441,-0.04217
442,0.9653
443,0.3949
444,-0.4611
445,1.664
446,-0.3816
447,0.5314
448,-0.1832
449,0.03011
450,-0.2467
451,0.04037
452,-1.257
453,-0.4344
454,-0.102
455,0.5426
456,-0.2173
457,-0.3085
458,0.6079
459,0.6328
460,-0.6152
461,0.7488
462,1.035
463,-0.07334
464,0.4673
465,1.441
466,0.8229
467,0.1224
468,0.4274
469,0.5043
470,0.8832
471,-0.6811
472,0.9593
473,0.7788
474,0.09829
475,0.01411
476,0.1682
477,1.412
478,1.4
479,-0.6162
480,-0.3052
481,-0.538
482,0.2563
483,0.1869
484,0.1416
485,-0.3767
486,-0.6044
487,-0.2805
488,0.1768
489,-0.09035
490,1.186
491,-0.3607
492,-0.4579
493,0.9446
494,-0.1045
495,-0.3139
496,0.112
497,0.2343
498,-0.1204
499,-0.4036
500,0.3574
501,-0.5057
502,-0.5123
503,-0.4094
504,0.7374
505,0.2384
506,-0.8742
507,-0.2098
508,-0.1411
509,0.5098
510,1.809
511,0.4596
512,-0.2158
513,-0.1119
514,0.2301
515,0.3409
516,1.046
517,1.442
518,-0.1135
519,0.3904
520,0.06956
521,0.1867
522,0.6366
523,-0.5742
524,-0.3433
525,1.573
526,1.281
527,0.6538
528,-0.2558
529,0.3261
530,0.04323
531,-0.05673
532,0.5333
533,0.03685
534,-0.02348
535,0.8874
536,0.8188
537,1.502
538,-0.1002
539,-0.5326
540,-0.6995
541,-0.2005
542,0.3782
543,-0.5235
544,-1.065
545,-0.6198
546,0.6652
547,1.326
548,0.87
549,-0.2639
550,0.2657
551,-0.4593
552,1.134
553,-0.5911
554,-0.5507
555,-0.1606
556,1.486
557,0.6534
558,-0.05057
559,1.032
560,0.5115
561,0.6158
562,-1.441
563,-0.5872
564,-0.3594
565,0.283
566,0.5672
