t,walltime
10,18.07
20,18.25
30,18.19
40,18.2
50,18.25
60,18.18
70,18.1
80,18.07
90,18.1
100,18.06
110,18.09
120,18.02
130,18.08
140,18.13
150,18.13
160,18.25
170,18.04
180,18.1
190,18.05
200,18.08
210,18.14
220,18.08
230,18.11
240,18.05
250,18.15
260,18.12
270,18.08
280,18.17
290,18.17
300,18.18
310,18.1
320,18.02
330,18
340,18.16
350,18.15
360,18.17
370,18.12
380,18.18
390,18.17
400,18.05
410,18.09
420,18.15
430,18.14
440,18.13
450,18.12
460,18.09
470,18.18
480,18.19
490,18.14
500,18.1
510,18.16
520,18.06
530,18.11
540,18.11
550,18.16
560,18.12
570,18.04
580,18.11
590,18.11
600,18.09
610,18.13
620,18.12
630,18.21
640,18.19
650,18.19
660,18.18
670,18.18
680,18.18
690,18.15
700,18.09
710,18.2
720,18.21
730,18.26
740,18.19
750,18.11
760,18.17
770,18.16
780,18.19
790,18.22
800,18.14
810,18.15
820,18.19
830,18.16
840,18.24
850,18.24
860,18.13
870,18.17
880,18.1
890,18.15
900,18.16
910,18.22
920,18.29
930,18.16
940,18.15
950,18.14
960,18.27
970,18.16
980,18.19
990,18.12
1000,18.25
1010,18.16
1020,18.13
1030,18.17
1040,18.13
1050,18.17
1060,18.24
1070,18.21
1080,18.18
1090,18.19
1100,18.23
1110,18.15
1120,18.16
1130,18.12
1140,18.09
1150,18.16
1160,18.14
1170,18.14
1180,18.16
1190,18.14
1200,18.18
1210,18.16
1220,18.1
1230,18.24
1240,18.21
1250,18.13
1260,18.21
1270,18.2
1280,18.16
1290,18.21
1300,18.19
1310,18.24
1320,18.16
1330,18.21
1340,18.27
1350,18.27
1360,18.13
1370,18.22
1380,18.19
1390,18.24
1400,18.23
1410,18.19
1420,18.21
1430,18.17
1440,18.27
1450,18.13
1460,18.21
1470,18.31
1480,18.29
1490,18.15
1500,18.29
1510,18.25
1520,18.14
1530,18.25
1540,18.29
1550,18.21
1560,18.21
1570,18.31
1580,18.25
1590,18.22
1600,18.35
1610,18.25
1620,18.31
1630,18.3
1640,18.26
1650,18.31
1660,18.26
1670,18.17
1680,18.2
1690,18.26
1700,18.22
1710,18.35
1720,18.44
1730,18.35
1740,18.35
1750,18.37
1760,18.33
1770,18.39
1780,18.43
1790,18.47
1800,18.42
1810,18.36
1820,18.35
1830,18.31
1840,18.34
1850,18.37
1860,18.5
1870,18.42
1880,18.46
1890,18.43
1900,18.42
1910,18.5
1920,18.56
1930,18.48
1940,18.52
1950,18.43
1960,18.41
1970,18.55
1980,18.5
1990,18.52
2000,18.46
2010,18.54
2020,18.62
2030,18.48
2040,18.54
2050,18.48
2060,18.5
2070,18.49
2080,18.63
2090,18.54
2100,18.47
2110,18.64
2120,18.72
2130,18.56
2140,18.54
2150,18.65
2160,18.64
2170,18.79
2180,18.52
2190,18.65
2200,18.66
2210,18.79
2220,18.71
2230,18.72
2240,18.7
2250,18.79
2260,18.63
2270,18.71
2280,18.73
2290,18.86
2300,18.78
2310,18.81
2320,18.84
2330,18.84
2340,18.7
2350,18.8
2360,18.89
2370,18.8
2380,18.71
2390,18.91
2400,18.85
2410,18.85
2420,19.07
2430,18.9
2440,18.83
2450,18.94
2460,18.85
2470,18.83
2480,18.89
2490,19.05
2500,18.97
2510,19.1
2520,18.98
2530,18.87
2540,19.02
2550,18.89
2560,19
2570,19.03
2580,18.96
2590,18.98
2600,19.24
2610,18.96
2620,19.03
2630,19.25
2640,19
2650,19.19
2660,19.03
2670,19.03
2680,19.35
2690,19.09
2700,19.2
2710,19.13
2720,19.06
2730,19.27
2740,19.13
2750,19.3
2760,19.08
2770,19.19
2780,19.29
2790,19.21
2800,19.32
2810,19.07
2820,19.3
2830,19.2
2840,19.26
2850,19.39
2860,19.24
2870,19.41
2880,19.24
2890,19.39
2900,19.26
2910,19.46
2920,19.3
2930,19.52
2940,19.33
2950,19.58
2960,19.45
2970,19.64
2980,19.4
2990,19.66
3000,19.39
3010,19.66
3020,19.44
3030,19.65
3040,19.45
3050,19.61
3060,19.62
3070,19.47
3080,19.69
3090,19.46
3100,19.78
3110,19.62
3120,19.8
3130,19.59
3140,19.5
3150,19.71
3160,19.52
3170,19.81
3180,19.57
3190,19.85
3200,19.54
3210,19.56
3220,19.82
3230,19.73
3240,19.91
3250,19.77
3260,19.73
3270,19.97
3280,19.77
3290,20.06
3300,19.94
3310,19.66
3320,19.93
3330,19.97
3340,19.72
3350,20.08
3360,20.04
3370,19.78
3380,20.14
3390,20.13
3400,19.71
3410,20.11
3420,20.23
3430,19.95
3440,19.92
3450,20.13
3460,20.07
3470,19.82
3480,20.1
3490,20.17
3500,19.94
