t,cost
10,10.842
20,10.95
30,10.914
40,10.92
50,10.95
60,10.908
70,10.86
80,10.842
90,10.86
100,10.836
110,10.854
120,10.812
130,10.848
140,10.878
150,10.878
160,10.95
170,10.824
180,10.86
190,10.83
200,10.848
210,10.884
220,10.848
230,10.866
240,10.83
250,10.89
260,10.872
270,10.848
280,10.902
290,10.902
300,10.908
310,10.86
320,10.812
330,10.8
340,10.896
350,10.89
360,10.902
370,10.872
380,10.908
390,10.902
400,10.83
410,10.854
420,10.89
430,10.884
440,10.878
450,10.872
460,10.854
470,10.908
480,10.914
490,10.884
500,10.86
510,10.896
520,10.836
530,10.866
540,10.866
550,10.896
560,10.872
570,10.824
580,10.866
590,10.866
600,10.854
610,10.878
620,10.872
630,10.926
640,10.914
650,10.914
660,10.908
670,10.908
680,10.908
690,10.89
700,10.854
710,10.92
720,10.926
730,10.956
740,10.914
750,10.866
760,10.902
770,10.896
780,10.914
790,10.932
800,10.884
810,10.89
820,10.914
830,10.896
840,10.944
850,10.944
860,10.878
870,10.902
880,10.86
890,10.89
900,10.896
910,10.932
920,10.974
930,10.896
940,10.89
950,10.884
960,10.962
970,10.896
980,10.914
990,10.872
1000,10.95
1010,10.896
1020,10.878
1030,10.902
1040,10.878
1050,10.902
1060,10.944
1070,10.926
1080,10.908
1090,10.914
1100,10.938
1110,10.89
1120,10.896
1130,10.872
1140,10.854
1150,10.896
1160,10.884
1170,10.884
1180,10.896
1190,10.884
1200,10.908
1210,10.896
1220,10.86
1230,10.944
1240,10.926
1250,10.878
1260,10.926
1270,10.92
1280,10.896
1290,10.926
1300,10.914
1310,10.944
1320,10.896
1330,10.926
1340,10.962
1350,10.962
1360,10.878
1370,10.932
1380,10.914
1390,10.944
1400,10.938
1410,10.914
1420,10.926
1430,10.902
1440,10.962
1450,10.878
1460,10.926
1470,10.986
1480,10.974
1490,10.89
1500,10.974
1510,10.95
1520,10.884
1530,10.95
1540,10.974
1550,10.926
1560,10.926
1570,10.986
1580,10.95
1590,10.932
1600,11.01
1610,10.95
1620,10.986
1630,10.98
1640,10.956
1650,10.986
1660,10.956
1670,10.902
1680,10.92
1690,10.956
1700,10.932
1710,11.01
1720,11.064
1730,11.01
1740,11.01
1750,11.022
1760,10.998
1770,11.034
1780,11.058
1790,11.082
1800,11.052
1810,11.016
1820,11.01
1830,10.986
1840,11.004
1850,11.022
1860,11.1
1870,11.052
1880,11.076
1890,11.058
1900,11.052
1910,11.1
1920,11.136
1930,11.088
1940,11.112
1950,11.058
1960,11.046
1970,11.13
1980,11.1
1990,11.112
2000,11.076
2010,11.124
2020,11.172
2030,11.088
2040,11.124
2050,11.088
2060,11.1
2070,11.094
2080,11.178
2090,11.124
2100,11.082
2110,11.184
2120,11.232
2130,11.136
2140,11.124
2150,11.19
2160,11.184
2170,11.274
2180,11.112
2190,11.19
2200,11.196
2210,11.274
2220,11.226
2230,11.232
2240,11.22
2250,11.274
2260,11.178
2270,11.226
2280,11.238
2290,11.316
2300,11.268
2310,11.286
2320,11.304
2330,11.304
2340,11.22
2350,11.28
2360,11.334
2370,11.28
2380,11.226
2390,11.346
2400,11.31
2410,11.31
2420,11.442
2430,11.34
2440,11.298
2450,11.364
2460,11.31
2470,11.298
2480,11.334
2490,11.43
2500,11.382
2510,11.46
2520,11.388
2530,11.322
2540,11.412
2550,11.334
2560,11.4
2570,11.418
2580,11.376
2590,11.388
2600,11.544
2610,11.376
2620,11.418
2630,11.55
2640,11.4
2650,11.514
2660,11.418
2670,11.418
2680,11.61
2690,11.454
2700,11.52
2710,11.478
2720,11.436
2730,11.562
2740,11.478
2750,11.58
2760,11.448
2770,11.514
2780,11.574
2790,11.526
2800,11.592
2810,11.442
2820,11.58
2830,11.52
2840,11.556
2850,11.634
2860,11.544
2870,11.646
2880,11.544
2890,11.634
2900,11.556
2910,11.676
2920,11.58
2930,11.712
2940,11.598
2950,11.748
2960,11.67
2970,11.784
2980,11.64
2990,11.796
3000,11.634
3010,11.796
3020,11.664
3030,11.79
3040,11.67
3050,11.766
3060,11.772
3070,11.682
3080,11.814
3090,11.676
3100,11.868
3110,11.772
3120,11.88
3130,11.754
3140,11.7
3150,11.826
3160,11.712
3170,11.886
3180,11.742
3190,11.91
3200,11.724
3210,11.736
3220,11.892
3230,11.838
3240,11.946
3250,11.862
3260,11.838
3270,11.982
3280,11.862
3290,12.036
3300,11.964
3310,11.796
3320,11.958
3330,11.982
3340,11.832
3350,12.048
3360,12.024
3370,11.868
3380,12.084
3390,12.078
3400,11.826
3410,12.066
3420,12.138
3430,11.97
3440,11.952
3450,12.078
3460,12.042
3470,11.892
3480,12.06
3490,12.102
3500,11.964
