t,N_f,N_g
10,130,2600
20,130,2600
30,130,2600
40,130,2600
50,130,2600
60,130,2600
70,130,2600
80,130,2600
90,130,2600
100,130,2600
110,130,2600
120,130,2600
130,130,2600
140,130,2600
150,130,2600
160,130,2600
170,130,2600
180,130,2600
190,130,2600
200,130,2600
210,130,2600
220,130,2600
230,130,2600
240,130,2600
250,130,2600
260,130,2600
270,130,2600
280,130,2600
290,130,2600
300,130,2600
310,130,2600
320,130,2600
330,130,2600
340,130,2600
350,130,2600
360,130,2600
370,130,2600
380,130,2600
390,130,2600
400,130,2600
410,130,2600
420,130,2600
430,130,2600
440,130,2600
450,130,2600
460,130,2600
470,130,2600
480,130,2600
490,130,2600
500,130,2600
510,130,2600
520,130,2600
530,130,2600
540,130,2600
550,130,2600
560,130,2600
570,130,2600
580,130,2600
590,130,2600
600,130,2600
610,130,2600
620,130,2600
630,130,2600
640,130,2600
650,130,2600
660,130,2600
670,130,2600
680,130,2600
690,130,2600
700,130,2600
710,130,2600
720,130,2600
730,130,2600
740,130,2600
750,130,2600
760,130,2600
770,130,2600
780,130,2600
790,130,2600
800,130,2600
810,130,2600
820,130,2600
830,130,2600
840,130,2600
850,130,2600
860,130,2600
870,130,2600
880,130,2600
890,130,2600
900,130,2600
910,130,2600
920,130,2600
930,130,2600
940,130,2600
950,130,2600
960,130,2600
970,130,2600
980,130,2600
990,130,2600
1000,130,2600
1010,130,2600
1020,130,2600
1030,130,2600
1040,130,2600
1050,130,2600
1060,130,2600
1070,130,2600
1080,130,2600
1090,130,2600
1100,130,2600
1110,130,2600
1120,130,2600
1130,130,2600
1140,130,2600
1150,130,2600
1160,130,2600
1170,130,2600
1180,130,2600
1190,130,2600
1200,130,2600
1210,130,2600
1220,130,2600
1230,130,2600
1240,130,2600
1250,130,2600
1260,130,2600
1270,130,2600
1280,130,2600
1290,130,2600
1300,130,2600
1310,130,2600
1320,130,2600
1330,130,2600
1340,130,2600
1350,130,2600
1360,130,2600
1370,130,2600
1380,130,2600
1390,130,2600
1400,130,2600
1410,130,2600
1420,130,2600
1430,130,2600
1440,130,2600
1450,130,2600
1460,130,2600
1470,130,2600
1480,130,2600
1490,130,2600
1500,130,2600
1510,130,2600
1520,130,2600
1530,130,2600
1540,130,2600
1550,130,2600
1560,130,2600
1570,130,2600
1580,130,2600
1590,130,2600
1600,130,2600
1610,130,2600
1620,130,2600
1630,130,2600
1640,130,2600
1650,130,2600
1660,130,2600
1670,130,2600
1680,130,2600
1690,130,2600
1700,130,2600
1710,130,2600
1720,130,2600
1730,130,2600
1740,130,2600
1750,130,2600
1760,130,2600
1770,130,2600
1780,130,2600
1790,130,2600
1800,130,2600
1810,130,2600
1820,130,2600
1830,130,2600
1840,130,2600
1850,130,2600
1860,130,2600
1870,130,2600
1880,130,2600
1890,130,2600
1900,130,2600
1910,130,2600
1920,130,2600
1930,130,2600
1940,130,2600
1950,130,2600
1960,130,2600
1970,130,2600
1980,130,2600
1990,130,2600
2000,130,2600
2010,130,2600
2020,130,2600
2030,130,2600
2040,130,2600
2050,130,2600
2060,130,2600
2070,130,2600
2080,130,2600
2090,130,2600
2100,130,2600
2110,130,2600
2120,130,2600
2130,130,2600
2140,130,2600
2150,130,2600
2160,130,2600
2170,130,2600
2180,130,2600
2190,130,2600
2200,130,2600
2210,130,2600
2220,130,2600
2230,130,2600
2240,130,2600
2250,130,2600
2260,130,2600
2270,130,2600
2280,130,2600
2290,130,2600
2300,130,2600
2310,130,2600
2320,130,2600
2330,130,2600
2340,130,2600
2350,130,2600
2360,130,2600
2370,130,2600
2380,130,2600
2390,130,2600
2400,130,2600
2410,130,2600
2420,130,2600
2430,130,2600
2440,130,2600
2450,130,2600
2460,130,2600
2470,130,2600
2480,130,2600
2490,130,2600
2500,130,2600
2510,130,2600
2520,130,2600
2530,130,2600
2540,130,2600
2550,130,2600
2560,130,2600
2570,130,2600
2580,130,2600
2590,130,2600
2600,130,2600
2610,130,2600
2620,130,2600
2630,130,2600
2640,130,2600
2650,130,2600
2660,130,2600
2670,130,2600
2680,130,2600
2690,130,2600
2700,130,2600
2710,130,2600
2720,130,2600
2730,130,2600
2740,130,2600
2750,130,2600
2760,130,2600
2770,130,2600
2780,130,2600
2790,130,2600
2800,130,2600
2810,130,2600
2820,130,2600
2830,130,2600
2840,130,2600
2850,130,2600
2860,130,2600
2870,130,2600
2880,130,2600
2890,130,2600
2900,130,2600
2910,130,2600
2920,130,2600
2930,130,2600
2940,130,2600
2950,130,2600
2960,130,2600
2970,130,2600
2980,130,2600
2990,130,2600
3000,130,2600
3010,130,2600
3020,130,2600
3030,130,2600
3040,130,2600
3050,130,2600
3060,130,2600
3070,130,2600
3080,130,2600
3090,130,2600
3100,130,2600
3110,130,2600
3120,130,2600
3130,130,2600
3140,130,2600
3150,130,2600
3160,130,2600
3170,130,2600
3180,130,2600
3190,130,2600
3200,130,2600
3210,130,2600
3220,130,2600
3230,130,2600
3240,130,2600
3250,130,2600
3260,130,2600
3270,130,2600
3280,130,2600
3290,130,2600
3300,130,2600
3310,130,2600
3320,130,2600
3330,130,2600
3340,130,2600
3350,130,2600
3360,130,2600
3370,130,2600
3380,130,2600
3390,130,2600
3400,130,2600
3410,130,2600
3420,130,2600
3430,130,2600
3440,130,2600
3450,130,2600
3460,130,2600
3470,130,2600
3480,130,2600
3490,130,2600
3500,130,2600
