t,|deltaS|
1,0.01327
2,0.07866
3,0.07016
4,0.07465
5,0.106
6,0.08945
7,0.07129
8,0.06463
9,0.2005
10,0.1483
11,0.06082
12,0.05351
13,0.3991
14,0.2605
15,0.1408
16,0.001936
17,0.002451
18,0.2052
19,0.1267
20,0.003244
21,0.2875
22,0.2154
23,0.1642
24,0.2913
25,0.3539
26,0.08038
27,0.235
28,0.2782
29,0.5263
30,0.05734
31,0.1576
32,0.2423
33,0.2231
34,0.1766
35,0.1987
36,0.3637
37,0.05714
38,0.1974
39,0.2188
40,0.01589
41,0.08639
42,0.08723
43,0.04319
44,0.3357
45,0.1697
46,0.1841
47,0.007906
48,0.1587
49,0.2046
50,0.4306
51,0.193
52,0.329
53,0.2962
54,0.002618
55,0.2313
56,0.1691
57,0.2356
58,0.1311
59,0.1224
60,0.3033
61,0.4056
62,0.01929
63,0.3885
64,0.0121
65,0.2015
66,0.385
67,0.208
68,0.1458
69,0.2841
70,0.1331
71,0.04123
72,0.0008666
73,0.4103
74,0.1095
75,0.02784
76,0.2546
77,0.255
78,0.057
79,0.3665
80,0.4359
81,0.2469
82,0.3137
83,0.3122
84,0.5663
85,0.0159
86,0.1946
87,0.2121
88,0.01716
89,0.2409
90,0.1228
91,0.1247
92,0.05294
93,0.2262
94,0.01339
95,0.1779
96,0.3129
97,0.2016
98,0.08275
99,0.4293
100,0.3912
101,0.07406
102,0.3442
103,0.007192
104,0.05816
105,0.1144
106,0.003141
107,0.119
108,0.3093
109,0.2126
110,0.1885
111,0.2116
112,0.2362
113,0.1521
114,0.05138
115,0.109
116,0.01241
117,0.05821
118,0.3364
119,0.047
120,0.1685
121,0.1371
122,0.06624
123,0.01384
124,0.3829
125,0.01372
126,0.1278
127,0.1268
128,0.2243
129,0.06529
130,0.1403
131,0.1414
132,0.1787
133,0.09518
134,0.03311
135,0.01548
136,0.3331
137,0.1521
138,0.1793
139,0.02681
140,0.03427
141,0.1219
142,0.08825
143,0.06644
144,0.04128
145,0.0177
146,0.2956
147,0.01166
148,0.2399
149,0.002687
150,0.1193
151,0.4707
152,0.01329
153,0.1398
154,0.2135
155,0.2216
156,0.07132
157,0.2303
158,0.2138
159,0.01759
160,0.04194
161,0.1169
162,0.2057
163,0.02878
164,0.1287
165,0.1972
166,0.2837
167,0.03882
168,0.4443
169,0.2218
170,0.157
171,0.1262
172,0.06787
173,0.07751
174,0.004148
175,0.1439
176,0.09918
177,0.0455
178,0.1886
179,0.07561
180,0.1193
181,0.1455
182,0.2349
183,0.2264
184,0.1311
185,0.363
186,0.1218
187,0.1153
188,0.00951
189,0.23
190,0.007229
191,0.09345
192,0.09275
193,0.1302
194,0.5465
195,0.0619
196,0.01431
197,0.06738
198,0.1337
199,0.1748
200,0.08144
201,0.007911
202,0.2135
203,0.08325
204,0.01911
205,0.04221
206,0.0786
207,0.1285
208,0.01108
209,0.2513
210,0.07993
211,0.02065
212,0.2413
213,0.3732
214,0.2104
215,0.2366
216,0.2164
217,0.07362
218,0.0473
219,0.01796
220,0.3155
221,0.0672
222,0.1754
223,0.03924
224,0.1551
225,0.2409
226,0.2183
227,0.4634
228,0.3354
229,0.04908
230,0.08661
231,0.122
232,0.2972
233,0.1785
234,0.3268
235,0.1703
236,0.2484
237,0.1148
238,0.2266
239,0.2296
240,0.1973
241,0.291
242,0.2205
243,0.07038
244,0.08061
245,0.255
246,0.1634
247,0.2592
248,0.05889
249,0.1407
250,0.09818
251,0.1506
252,0.08928
253,0.06745
254,0.05595
255,0.1089
256,0.01531
257,0.2432
258,0.4531
259,0.009599
260,0.1856
261,0.256
262,0.3348
263,0.2014
264,0.1655
265,0.2328
266,0.06987
267,0.2677
268,0.01924
269,0.06046
270,0.3594
271,0.1753
272,0.07697
273,0.2082
274,0.02195
275,0.4357
276,0.1797
277,0.2447
278,0.3248
279,0.295
280,0.3921
281,0.3184
282,0.02973
283,0.2389
284,0.1172
285,0.3619
286,0.1106
287,0.145
288,0.1386
289,0.3728
290,0.1976
291,0.0487
292,0.3589
293,0.3549
294,0.3102
295,0.1957
296,0.1506
297,0.2055
298,0.09956
299,0.0873
300,0.2523
301,0.1656
302,0.1757
303,0.06756
304,0.1388
305,0.1234
306,0.1095
307,0.1184
308,0.02872
309,0.01459
310,0.1458
311,0.2232
312,0.3213
313,0.03196
314,0.04892
315,0.004598
316,0.1304
317,0.08935
318,0.1763
319,0.1194
320,0.3258
321,0.2093
322,0.2113
323,0.3693
324,0.1391
325,0.1456
326,0.1712
327,0.1166
328,0.2656
329,0.1911
330,0.318
331,0.392
332,0.2345
333,0.1572
334,0.3635
335,0.00402
336,0.3204
337,0.4174
338,0.05129
339,0.2057
340,0.02111
341,0.02329
342,0.2705
343,0.01528
344,0.2501
345,0.06733
346,0.1617
347,0.2075
348,0.2212
349,0.1095
350,0.2053
351,0.2331
352,0.1942
353,0.1608
354,0.1674
355,0.2562
356,0.01541
357,0.1874
358,0.08201
359,0.05605
360,0.1764
361,0.055
362,0.006349
363,0.222
364,0.03291
365,0.02269
366,0.1743
367,0.0796
368,0.1883
369,0.1129
370,0.1317
371,0.3787
372,0.1835
373,0.2467
374,0.06904
375,0.2025
376,0.1197
377,0.4262
378,0.1516
379,0.2966
380,0.4893
381,0.03859
382,0.2354
383,0.03559
384,0.4118
385,0.07226
386,0.2759
387,0.2
388,0.3069
389,0.08524
390,0.261
391,0.1041
392,0.1279
393,0.2645
394,0.188
395,0.1478
396,0.1392
397,0.08235
398,0.2555
399,0.02831
400,0.5683
401,0.06266
402,0.09548
403,0.2114
404,0.1432
405,0.0009585
406,0.02917
407,0.175
408,0.01879
409,0.02722
410,0.3852
411,0.2276
412,0.06482
413,0.03252
414,0.3304
415,0.139
416,0.1391
417,0.06052
418,0.1545
419,0.2027
420,0.3535
421,0.2591
422,0.1847
423,0.06845
424,0.5463
425,0.2539
426,0.2283
427,0.2571
428,0.1721
429,0.3101
430,0.319
431,0.02396
432,0.02198
433,0.4737
434,0.1017
435,0.09462
436,0.1322
437,0.2313
438,0.3483
439,0.01325
440,0.1409
441,0.2874
442,0.4579
443,0.1359
444,0.03244
445,0.2217
446,0.05665
447,0.06331
448,0.4609
449,0.1384
450,0.04457
451,0.3987
452,0.0741
453,0.2584
454,0.2404
455,0.2748
456,0.09892
457,0.02655
458,0.01084
459,0.0239
460,0.09188
461,0.39
462,0.163
463,0.1421
464,0.08449
465,0.1047
466,0.1437
467,0.6246
468,0.1643
469,0.2771
470,0.3439
471,0.07209
472,0.3075
473,0.1649
474,0.1994
475,0.09216
476,0.08223
477,0.322
478,0.1685
479,0.2418
480,0.4014
481,0.1139
482,0.1196
483,0.02293
484,0.1807
485,0.1197
486,0.05377
487,0.06873
488,0.15
489,0.4128
490,0.16
491,0.004262
492,0.02563
493,0.1016
494,0.1451
495,0.001145
496,0.1153
497,0.01052
498,0.2074
499,0.1233
500,0.2759
501,0.0418
502,0.1977
503,0.2266
504,0.3897
505,0.006147
506,0.03891
507,0.009614
508,0.3218
509,0.2081
510,0.1953
511,0.2781
512,0.1388
513,0.4463
514,0.5562
515,0.1804
516,0.2603
517,0.2676
518,0.07613
519,0.1262
520,0.2456
521,0.2584
522,0.03617
523,0.02464
524,0.1116
525,0.1842
526,0.001639
527,0.1411
528,0.02121
529,0.001269
530,0.3572
531,0.05575
532,0.5442
533,0.1205
534,0.3262
535,0.2523
536,0.02412
537,0.1992
538,0.04631
539,0.2034
540,0.1502
541,0.5152
542,0.3264
543,0.0742
544,0.1771
545,0.06117
546,0.1847
547,0.2783
548,0.2255
549,0.01821
550,0.09004
551,0.3526
552,0.2901
553,0.006001
554,0.01512
555,0.1085
556,0.1252
557,0.09133
558,0.02136
559,0.1085
560,0.04462
561,0.07555
562,0.09002
563,0.1891
564,0.04865
565,0.3832
566,0.00313
567,0.1291
568,0.358
569,0.0944
570,0.338
571,0.2274
572,0.1682
573,0.1145
574,0.1186
575,0.1549
576,0.0907
577,0.09878
578,0.07854
579,0.02596
580,0.3595
581,0.1711
582,0.02462
583,0.2155
584,0.1028
585,0.159
586,0.1233
587,0.04759
588,0.1862
589,0.3847
590,0.1079
591,0.02218
592,0.1554
593,0.04399
594,0.03118
595,0.1873
596,0.2619
597,0.05419
598,0.2553
599,0.2052
600,0.3602
601,0.02574
602,0.1295
603,0.06301
604,0.01824
605,0.1652
606,0.05993
607,0.2325
608,0.01427
609,0.252
610,0.2716
611,0.287
612,0.2465
613,0.1823
614,0.2769
615,0.1715
616,0.1071
617,0.1737
618,0.1094
619,0.3729
620,0.004467
621,0.3235
622,0.2552
623,0.1912
624,0.09924
625,0.1428
626,0.1025
627,0.0906
628,0.2139
629,0.0416
630,0.01711
631,0.1869
632,0.06825
633,0.1802
634,0.009039
635,0.0256
636,0.1105
637,0.06145
638,0.2094
639,0.08613
640,0.1995
641,0.2374
642,0.3043
643,0.164
644,0.2427
645,0.4045
646,0.04195
647,0.3024
648,0.1673
649,0.0005515
650,0.1693
651,0.3535
652,0.1116
653,0.1703
654,0.2413
655,0.2249
656,0.1158
657,0.1021
658,0.3402
659,0.05778
660,0.00891
661,0.295
662,0.3691
663,0.1273
664,0.01153
665,0.4157
666,0.06696
667,0.1476
668,0.05677
669,0.285
670,0.1178
671,0.1487
672,0.287
673,0.0198
674,0.01808
675,0.4093
676,0.3212
677,0.1164
678,0.1199
679,0.01875
680,0.1265
681,0.01478
682,0.07289
683,0.1542
684,0.02786
685,0.02009
686,0.269
687,0.1239
688,0.02858
689,0.1896
690,0.3247
691,0.2186
692,0.09744
693,0.0822
694,0.2677
695,0.353
696,0.1608
697,0.2892
698,0.1868
699,0.2011
700,0.1623
701,0.5018
702,0.1748
703,0.108
704,0.3549
705,0.1563
706,0.007052
707,0.03904
708,0.04963
709,0.1102
710,0.1743
711,0.2188
712,0.2991
713,0.3199
714,0.0651
715,0.09898
716,0.2816
717,0.005124
718,0.1483
719,0.1441
720,0.1848
721,0.2131
722,0.1968
723,0.551
724,0.1884
725,0.3489
726,0.2039
727,0.07388
728,0.2696
729,0.1328
730,0.2261
731,0.1165
732,0.1529
733,0.101
734,0.1328
735,0.1759
736,0.172
737,0.05921
738,0.1493
739,0.04225
740,0.05572
741,0.2839
742,0.168
743,0.1054
744,0.1438
745,0.1239
746,0.3465
747,0.4519
748,0.03542
749,0.02609
750,0.1097
751,0.4157
752,0.1787
753,0.181
754,0.06314
755,0.203
756,0.2633
757,0.05178
758,0.1597
759,0.09959
760,0.0478
761,0.207
762,0.1131
763,0.1317
764,0.04234
765,0.01983
766,0.07557
767,0.3262
768,0.1514
769,0.03077
770,0.1115
771,0.3433
772,0.3051
773,0.2671
774,0.2164
775,0.3534
776,0.04053
777,0.1121
778,0.2092
779,0.3334
780,0.1143
781,0.3393
782,0.07414
783,0.04422
784,0.02603
785,0.1657
786,0.2834
787,0.08016
788,0.1015
789,0.07354
790,0.05665
791,0.1098
792,0.06894
793,0.2051
794,0.3277
795,0.08544
796,0.03835
797,0.1273
798,0.4185
799,0.1394
800,0.01611
801,0.02506
802,0.0163
803,0.2068
804,0.5124
805,0.4424
806,0.152
807,0.4077
808,0.3195
809,0.08159
810,0.1135
811,0.06143
812,0.02547
813,0.02785
814,0.292
815,0.1737
816,0.2703
817,0.1152
818,0.1141
819,0.05567
820,0.2493
821,0.1929
822,0.1264
823,0.04514
824,0.1008
825,0.09866
826,0.3066
827,0.1035
828,0.352
829,0.0336
830,0.09274
831,0.1044
832,0.01817
833,0.1736
834,0.2694
835,0.1672
836,0.1918
837,0.4442
838,0.06833
839,0.1494
840,0.4996
841,0.5084
842,0.01405
843,0.03411
844,0.1952
845,0.1859
846,0.1647
847,0.07754
848,0.1039
849,0.2236
850,0.1349
851,0.1764
852,0.2537
853,0.1342
854,0.06471
855,0.01972
856,0.05122
857,0.06334
858,0.01249
859,0.351
860,0.04922
861,0.09074
862,0.148
863,0.3895
864,0.1388
865,0.2723
866,0.2015
867,0.0271
868,0.01563
869,0.02304
870,0.1572
871,0.4163
872,0.1592
873,0.1151
874,0.1537
875,0.05138
876,0.01552
877,0.3134
878,0.3506
879,0.07622
880,0.0007575
881,0.1443
882,0.1838
883,0.2675
884,0.4312
885,0.08449
886,0.009256
887,0.01864
888,0.08385
889,0.407
890,0.01492
891,0.02681
892,0.244
893,0.07029
894,0.01699
895,0.08947
896,0.1597
897,0.1572
898,0.2699
899,0.07892
900,0.2097
901,0.1646
902,0.1297
903,0.1006
904,0.202
905,0.03235
906,0.2539
907,0.2741
908,0.006084
909,0.09538
910,0.2055
911,0.3862
912,0.03678
913,0.2153
914,0.03653
915,0.01004
916,0.5815
917,0.348
918,0.1922
919,0.2049
920,0.001128
921,0.1398
922,0.3058
923,0.4005
924,0.2848
925,0.01761
926,0.458
927,0.1566
928,0.1823
929,0.07537
930,0.1973
931,0.109
932,0.1211
933,0.1394
934,0.1906
935,0.02723
936,0.1736
937,0.2568
938,0.01469
939,0.1041
940,0.1003
941,0.2924
942,0.2352
943,0.4009
944,0.1583
945,0.03836
946,0.1557
947,0.1547
948,0.1189
949,0.1274
950,0.1991
951,0.1884
952,0.03325
953,0.2722
954,0.07535
955,0.1268
956,0.509
957,0.06692
958,0.1396
959,0.2271
960,0.1569
961,0.004904
962,0.3626
963,0.1111
964,0.05312
965,0.09453
966,0.1136
967,0.03318
968,0.02054
969,0.02997
970,0.1045
971,0.09093
972,0.1642
973,0.02789
974,0.185
975,0.4291
976,0.2155
977,0.2037
978,0.4359
979,0.1829
980,0.03136
981,0.288
982,0.009152
983,0.3183
984,0.2463
985,0.1878
986,0.2778
987,0.2938
988,0.1143
989,0.1741
990,0.1299
991,0.3165
992,0.05199
993,0.1597
994,0.2076
995,0.449
996,0.0629
997,0.2093
998,0.2453
999,0.1404
1000,0.2953
1001,0.1476
1002,0.2806
1003,0.08205
1004,0.3401
1005,0.1974
1006,0.1843
1007,0.2649
1008,0.1574
1009,0.3297
1010,0.07065
1011,0.2069
1012,0.185
1013,0.07011
1014,0.3792
1015,0.03781
1016,0.3022
1017,0.372
1018,0.002609
1019,0.1076
1020,0.1125
1021,0.3325
1022,0.007541
1023,0.005141
1024,0.1442
1025,0.03781
1026,0.09687
1027,0.09629
1028,0.2658
1029,0.2399
1030,0.2576
1031,0.03323
1032,0.05476
1033,0.1767
1034,0.2432
1035,0.281
1036,0.3962
1037,0.04619
1038,0.05406
1039,0.2412
1040,0.005198
1041,0.1804
1042,0.4625
1043,0.1078
1044,0.02543
1045,0.2045
1046,0.1113
1047,0.1497
1048,0.04271
1049,0.08245
1050,0.07232
1051,0.07533
1052,0.1858
1053,0.3249
1054,0.04988
1055,0.01826
1056,0.2568
1057,0.1851
1058,0.2693
1059,0.03179
1060,0.02734
1061,0.1011
1062,0.1927
1063,0.34
1064,0.1081
1065,0.248
1066,0.2274
1067,0.4698
1068,0.1077
1069,0.139
1070,0.169
1071,0.3907
1072,0.04568
1073,0.2821
1074,0.3644
1075,0.2011
1076,0.1795
1077,0.06035
1078,0.1654
1079,0.1155
1080,0.09339
1081,0.2974
1082,0.2314
1083,0.2066
1084,0.1285
1085,0.06291
1086,0.06138
1087,0.6422
1088,0.1001
1089,0.04125
1090,0.05327
1091,0.1999
1092,0.1002
1093,0.03399
1094,0.05169
1095,0.1709
1096,0.2357
1097,0.2696
1098,0.1315
1099,0.4709
1100,0.02843
1101,0.3429
1102,0.2698
1103,0.04902
1104,0.121
1105,0.02266
1106,0.004953
1107,0.3555
1108,0.02438
1109,0.1418
1110,0.1738
1111,0.06191
1112,0.1592
1113,0.1881
1114,0.1697
1115,0.05099
1116,0.1361
1117,0.1886
1118,0.05013
1119,0.2519
1120,0.07446
1121,0.03214
1122,0.3299
1123,0.2903
1124,0.3768
1125,0.003195
1126,0.4079
1127,0.29
1128,0.2193
1129,0.1718
1130,0.2395
1131,0.3114
1132,0.2155
1133,0.1758
1134,0.3131
1135,0.2802
1136,0.1238
1137,0.2468
1138,0.205
1139,0.1147
1140,0.3207
1141,0.3452
1142,0.2612
1143,0.3959
1144,0.06672
1145,0.0425
1146,0.2294
1147,0.2643
1148,0.1285
1149,0.07409
1150,0.2483
1151,0.02732
1152,0.2628
1153,0.6946
1154,0.1805
1155,0.1748
1156,0.2032
1157,0.1031
1158,0.07313
1159,0.4027
1160,0.1277
1161,0.2284
1162,0.1421
1163,0.008054
1164,0.5424
1165,0.04836
1166,0.4598
1167,0.1196
1168,0.0699
1169,0.0589
1170,0.1061
1171,0.06767
1172,0.09183
1173,0.2399
1174,0.1023
1175,0.2231
1176,0.04388
1177,0.2484
1178,0.2465
1179,0.02751
1180,0.2377
1181,0.131
1182,0.07927
1183,0.2982
1184,0.1669
1185,0.05002
1186,0.3235
1187,0.09989
1188,0.291
1189,0.1142
1190,0.1172
1191,0.2059
1192,0.2203
1193,0.5026
1194,0.146
1195,0.08593
1196,0.1659
1197,0.2054
1198,0.3272
1199,0.08405
1200,0.1518
1201,0.2467
1202,0.06185
1203,0.2102
1204,0.3248
1205,0.1185
1206,0.5777
1207,0.004731
1208,0.08874
1209,0.171
1210,0.09188
1211,0.3382
1212,0.2399
1213,0.1213
1214,0.3166
1215,0.2419
1216,0.1435
1217,0.0313
1218,0.3797
1219,0.4675
1220,0.2258
1221,0.1132
1222,0.02152
1223,0.2658
1224,0.3446
1225,0.1412
1226,0.1975
1227,0.1358
1228,0.3105
1229,0.2609
1230,0.02859
1231,0.07298
1232,0.5213
1233,0.412
1234,0.2814
1235,0.1525
1236,0.1533
1237,0.05319
1238,0.1346
1239,0.06101
1240,0.02524
1241,0.1373
1242,0.1127
1243,0.1796
1244,0.08192
1245,0.6148
1246,0.2183
1247,0.04705
1248,0.1618
1249,0.1844
1250,0.2709
1251,0.2956
1252,0.09601
1253,0.05794
1254,0.3338
1255,0.0003356
1256,0.144
1257,0.1476
1258,0.1968
1259,0.461
1260,0.03131
1261,0.3563
1262,0.1619
1263,0.209
1264,0.3527
1265,0.1653
1266,0.3224
1267,0.03038
1268,0.06574
1269,0.02023
1270,0.219
1271,0.01597
1272,0.08117
1273,0.03689
1274,0.1565
1275,0.1434
1276,0.027
1277,0.2978
1278,0.3791
1279,0.07854
1280,0.09592
1281,0.2627
1282,0.06398
1283,0.1076
1284,0.1129
1285,0.1045
1286,0.1961
1287,0.2688
1288,0.03379
1289,0.3288
1290,0.4232
1291,0.09765
1292,0.08489
1293,0.2414
1294,0.1447
1295,0.06384
1296,0.01096
1297,0.01
1298,0.3851
1299,0.1343
1300,0.05675
1301,0.2745
1302,0.1772
1303,0.3238
1304,0.136
1305,0.006554
1306,0.00337
1307,0.06416
1308,0.102
1309,0.09195
1310,0.05196
1311,0.07695
1312,0.1093
1313,0.05097
1314,0.1552
1315,0.05223
1316,0.1292
1317,0.4257
1318,0.1568
1319,0.09098
1320,0.01819
1321,0.07578
1322,0.009398
1323,0.03886
1324,0.2338
1325,0.2801
1326,0.253
1327,0.1199
1328,0.07897
1329,0.08356
1330,0.05135
1331,0.1549
1332,0.2502
1333,0.1799
1334,0.02471
1335,0.4
1336,0.08443
1337,0.02388
1338,0.0888
1339,0.1017
1340,0.08582
1341,0.04512
1342,0.06062
1343,0.04157
1344,0.3228
1345,0.08828
1346,0.2309
1347,0.1658
1348,0.0003116
1349,0.04355
1350,0.08698
1351,0.3307
1352,0.5047
1353,0.258
1354,0.06318
1355,0.09443
1356,0.3162
1357,0.1842
1358,0.009181
1359,0.3252
1360,0.1536
1361,0.1792
1362,0.0318
1363,0.1386
1364,0.0615
1365,0.3687
1366,0.2128
1367,0.227
1368,0.1482
1369,0.008415
1370,0.04035
1371,0.0771
1372,0.2598
1373,0.1083
1374,0.3366
1375,0.4037
1376,0.2093
1377,0.2765
1378,0.2014
1379,0.2967
1380,0.06397
1381,0.06691
1382,0.2217
1383,0.1582
1384,0.1101
1385,0.1236
1386,0.01165
1387,0.2083
1388,0.06054
1389,0.2184
1390,0.07435
1391,0.1996
1392,0.2484
1393,0.2791
1394,0.08674
1395,0.08344
1396,0.04861
1397,0.2158
1398,0.3036
1399,0.3531
1400,0.3236
1401,0.0104
1402,0.2873
1403,0.1375
1404,0.1467
1405,0.2084
1406,0.123
1407,0.1267
1408,0.1354
1409,0.0454
1410,0.08741
1411,0.1106
1412,0.1043
1413,0.2146
1414,0.136
1415,0.2861
1416,0.2708
1417,0.3991
1418,0.2018
1419,0.3309
1420,0.2046
1421,0.03038
1422,0.2169
1423,0.08018
1424,0.007964
1425,0.05243
1426,0.07045
1427,0.04747
1428,0.2246
1429,0.1443
1430,0.02959
1431,0.2397
1432,0.1287
1433,0.3872
1434,0.1031
1435,0.07235
1436,0.0362
1437,0.01144
1438,0.4055
1439,0.2447
1440,0.04431
1441,0.6265
1442,0.1041
1443,0.1154
1444,0.05166
1445,0.1777
1446,0.1746
1447,0.004482
1448,0.07884
1449,0.08687
1450,0.04975
1451,0.1123
1452,0.1015
1453,0.08847
1454,0.2478
1455,0.09014
1456,0.03297
1457,0.02028
1458,0.01808
1459,0.03257
1460,0.03941
1461,0.06248
1462,0.2015
1463,0.144
1464,0.4344
1465,0.08355
