t,cg_iters
1,8148
2,8058
3,8007
4,8074
5,7992
6,8065
7,8084
8,8020
9,8083
10,8120
11,8164
12,8112
13,8127
14,8116
15,8021
16,8115
17,8182
18,8124
19,8119
20,8108
21,8110
22,8004
23,8063
24,8057
25,8106
26,8022
27,8148
28,8124
29,8194
30,8070
31,8022
32,8129
33,8089
34,8034
35,8048
36,8100
37,8094
38,8133
39,8116
40,8053
41,8145
42,8160
43,8095
44,8169
45,8211
46,8122
47,8151
48,8175
49,8218
50,8131
51,8171
52,8161
53,8221
54,8165
55,8127
56,8297
57,8279
58,8182
59,8130
60,8050
61,8205
62,8138
63,8224
64,8130
65,8172
66,8195
67,8131
68,8192
69,8275
70,8166
71,8150
72,8059
73,8214
74,8251
75,8052
76,8043
77,8073
78,8019
79,8052
80,8105
81,8062
82,8213
83,8268
84,8160
85,8104
86,8107
87,8104
88,8041
89,8055
90,8046
91,8010
92,8065
93,8110
94,8064
95,7946
96,8021
97,7997
98,8008
99,8029
100,8070
101,8109
102,8016
103,8181
104,8251
105,8311
106,8234
107,8284
108,8229
109,8289
110,8147
111,8186
112,8135
113,8140
114,8121
115,8126
116,8065
117,8179
118,8069
119,8079
120,8142
121,8183
122,8170
123,8152
124,8182
125,8026
126,8203
127,8239
128,8085
129,8178
130,8250
131,8195
132,8219
133,8234
134,8053
135,8209
136,8269
137,8266
138,8177
139,8225
140,8156
141,8076
142,8214
143,8161
144,8091
145,8065
146,8033
147,8070
148,8188
149,8098
150,8107
151,8067
152,8125
153,8156
154,8158
155,8158
156,8263
157,8279
158,8171
159,8276
160,8315
161,8295
162,8184
163,8169
164,8146
165,8197
166,8180
167,8212
168,8234
169,8124
170,8236
171,8304
172,8252
173,8315
174,8289
175,8223
176,8212
177,8238
178,8232
179,8235
180,8192
181,8113
182,8089
183,8128
184,8054
185,8024
186,8143
187,8203
188,8119
189,8169
190,8073
191,8131
192,8074
193,8168
194,8187
195,8160
196,8241
197,8157
198,8198
199,8224
200,8025
201,8122
202,8080
203,8124
204,8115
205,8054
206,8080
207,8045
208,8019
209,8104
210,8076
211,8108
212,8110
213,8021
214,8046
215,8032
216,8075
217,8080
218,8087
219,8108
220,8247
221,8134
222,8102
223,8062
224,8069
225,8058
226,8162
227,8137
228,8156
229,8151
230,8059
231,8146
232,8029
233,8035
234,8018
235,7982
236,7979
237,8065
238,8085
239,8003
240,8023
241,8057
242,8109
243,8017
244,8208
245,8281
246,8132
247,8118
248,8206
249,8168
250,8075
251,8067
252,8089
253,8053
254,8061
255,7978
256,7978
257,8114
258,8125
259,8062
260,8047
261,7962
262,8090
263,8192
