t,cond_num
10,5.02474
20,5.0093
30,4.93631
40,4.94666
50,5.00442
60,5.02735
70,5.03627
80,5.03786
90,4.97996
100,4.99934
110,5.01954
120,5.01007
130,5.07544
140,5.02067
150,4.97643
160,5.04802
170,5.0351
180,5.0324
190,5.00627
200,5.02626
210,5.01683
220,5.06083
230,5.01317
240,4.98966
250,4.94427
260,5.00756
270,5.02787
280,4.98391
290,5.01611
300,4.97953
310,4.99129
320,4.97873
330,4.95892
340,4.98663
350,4.99959
360,5.00434
370,5.01265
380,5.06418
390,5.0115
400,5.04034
410,5.01346
420,5.07532
430,4.96888
440,5.024
450,5.0427
460,5.01628
470,5.08985
480,5.01761
490,5.05248
500,5.02707
510,5.00245
520,5.08106
530,5.04358
540,5.05328
550,5.02917
560,4.9898
570,4.98144
580,5.05269
590,5.09114
600,4.97594
610,4.98554
620,5.0039
630,5.08297
640,4.97754
650,5.00514
660,5.05645
670,5.07602
680,5.04836
690,5.0738
700,5.03
710,5.03752
720,5.03163
730,5.01594
740,5.02621
750,5.00268
760,4.97022
770,5.04278
780,5.0509
790,5.0063
800,4.95109
810,4.96582
820,5.01202
830,4.97103
840,4.98996
850,4.96676
860,4.98431
870,5.06028
880,4.9794
890,5.05836
900,5.10673
910,5.07255
920,5.00941
930,5.02445
940,4.98242
950,5.02366
960,5.03406
970,5.00871
980,5.02942
990,5.07199
1000,5.01655
1010,5.00958
1020,5.05962
1030,5.01034
1040,5.0335
1050,5.0287
1060,5.04912
1070,5.04911
1080,5.02537
1090,4.97087
1100,4.98237
1110,5.03318
1120,5.0472
1130,4.99479
1140,5.03679
1150,4.96589
1160,4.99135
1170,5.03721
1180,5.04176
1190,5.01145
1200,5.03132
1210,5.00399
1220,4.98317
1230,5.05687
1240,4.96207
1250,4.97781
1260,5.04687
1270,5.04311
1280,5.00688
1290,4.99242
1300,4.97489
1310,5.09338
1320,5.04079
1330,5.02481
1340,5.03047
1350,5.02581
1360,5.03625
1370,5.00805
1380,5.09917
1390,5.01154
1400,5.08903
1410,4.98676
1420,4.99581
1430,5.01978
1440,5.01909
1450,5.00737
1460,5.00213
1470,5.0083
1480,4.9933
1490,5.01679
1500,4.97248
1510,5.08533
1520,5.02618
1530,4.92669
1540,5.00578
1550,5.02161
1560,5.07014
1570,5.01931
1580,4.97921
1590,5.02289
1600,4.98822
1610,5.04326
1620,5.04684
1630,4.97387
1640,5.02305
1650,4.97347
1660,5.02651
1670,5.09042
1680,5.04826
1690,5.02308
1700,5.00981
1710,4.95976
1720,4.99107
1730,5.00178
1740,5.01655
1750,5.07642
1760,5.0749
1770,5.05386
1780,5.02071
1790,4.98634
1800,5.00368
1810,5.03398
1820,4.99345
1830,4.97136
1840,4.98908
1850,5.06998
1860,5.0348
1870,4.97399
1880,5.00677
1890,4.99259
1900,5.04249
1910,5.00017
1920,5.03431
1930,4.98393
1940,5.00527
1950,5.01443
1960,5.03149
1970,4.98111
1980,4.93551
1990,5.04317
2000,4.97673
2010,4.99526
2020,4.98997
2030,5.06251
2040,4.98629
2050,5.00916
2060,4.97283
2070,5.01609
2080,5.04473
2090,4.98682
2100,5.0152
2110,4.9916
2120,4.98482
2130,4.96493
2140,5.02443
2150,5.00851
2160,4.99063
2170,4.97652
2180,4.97339
2190,4.99333
2200,4.97962
2210,4.98507
2220,5.05966
2230,4.98699
2240,5.03215
2250,5.03072
2260,4.98777
2270,5.02173
2280,4.97186
2290,5.01331
2300,5.06042
2310,4.92549
2320,4.9695
2330,4.96579
2340,4.93874
2350,5.08792
2360,5.01772
2370,5.02686
2380,4.98642
2390,4.9854
2400,5.01385
2410,5.02082
2420,5.01748
2430,5.01052
2440,4.94552
2450,5.01526
2460,4.99928
2470,4.98191
2480,5.00109
2490,5.00742
2500,5.04613
2510,5.02816
2520,5.01449
2530,5.02204
2540,5.00693
2550,5.00088
2560,5.03672
2570,5.00504
2580,4.98927
2590,5.02052
2600,4.95941
2610,4.99717
2620,4.96597
2630,4.94803
2640,4.98647
2650,4.97097
2660,5.10021
2670,5.08741
2680,5.01598
2690,5.01422
2700,5.02506
2710,4.99458
2720,4.97244
2730,5.01759
2740,5.02951
2750,5.0394
2760,4.97438
2770,4.97584
2780,5.03751
2790,5.1096
2800,5.01797
2810,5.07244
2820,5.03546
2830,5.02736
2840,5.00975
2850,5.03397
2860,5.00986
2870,5.08732
2880,5.03965
2890,4.98033
2900,4.98156
2910,5.01783
2920,5.00263
2930,5.02774
2940,5.02121
2950,5.06914
2960,5.01381
2970,5.0534
2980,5.02204
2990,4.96586
3000,5.055
3010,5.0254
3020,5.02818
3030,4.96525
3040,4.97678
3050,4.97203
3060,4.97962
3070,4.97305
3080,5.00684
3090,4.97749
3100,4.96032
3110,5.02486
3120,5.08532
3130,5.00741
3140,5.07929
3150,5.01851
3160,5.05327
3170,5.04764
3180,5.05923
3190,4.99551
3200,5.00342
3210,4.99794
3220,5.01247
3230,4.99898
3240,4.97983
3250,4.97368
3260,5.01525
3270,4.98003
3280,5.00351
3290,4.94835
3300,5.04825
3310,5.07006
3320,4.9798
3330,5.01357
3340,5.08213
3350,4.97545
3360,4.98879
3370,5.0127
3380,4.96283
3390,5.01885
3400,4.97891
3410,5.0666
3420,5.02532
3430,5.03167
3440,4.99227
3450,5.03499
3460,4.98191
3470,5.01185
3480,4.97688
3490,5.09155
3500,5.06176
