t,walltime
10,18.07
20,18.03
30,17.97
40,17.81
50,17.84
60,17.85
70,17.8
80,17.89
90,17.89
100,17.9
110,17.84
120,17.8
130,17.76
140,17.8
150,17.78
160,17.79
170,17.76
180,17.84
190,17.88
200,17.87
210,17.77
220,17.88
230,17.92
240,17.84
250,17.88
260,17.83
270,17.89
280,17.8
290,17.94
300,17.82
310,17.83
320,17.77
330,17.88
340,17.75
350,17.85
360,17.89
370,17.85
380,17.88
390,17.83
400,17.91
410,17.83
420,17.92
430,17.87
440,17.88
450,17.82
460,17.76
470,17.83
480,17.9
490,17.73
500,17.87
510,17.95
520,17.94
530,17.88
540,17.92
550,17.92
560,17.81
570,17.89
580,17.82
590,17.89
600,17.92
610,17.94
620,17.9
630,17.88
640,17.92
650,17.85
660,17.83
670,17.9
680,17.94
690,17.84
700,17.97
710,17.94
720,17.91
730,17.92
740,17.95
750,17.81
760,17.85
770,17.95
780,17.87
790,17.87
800,17.9
810,17.91
820,17.83
830,17.9
840,17.97
850,17.95
860,17.84
870,17.91
880,17.9
890,17.92
900,17.93
910,17.89
920,17.9
930,17.84
940,17.86
950,17.81
960,17.9
970,17.88
980,17.92
990,17.86
1000,17.82
1010,17.8
1020,17.77
1030,17.88
1040,17.93
1050,17.97
1060,18.05
1070,17.95
1080,17.94
1090,18.01
1100,17.91
1110,17.95
1120,17.97
1130,17.88
1140,17.88
1150,17.98
1160,17.89
1170,17.88
1180,17.9
1190,17.83
1200,17.94
1210,17.98
1220,17.97
1230,17.98
1240,17.94
1250,17.91
1260,17.91
1270,17.93
1280,17.9
1290,17.89
1300,17.9
1310,17.95
1320,17.97
1330,17.89
1340,17.93
1350,17.87
1360,17.94
1370,18
1380,17.89
1390,17.95
1400,18
1410,17.94
1420,17.95
1430,17.97
1440,17.92
1450,17.91
1460,17.94
1470,17.99
1480,17.82
1490,17.93
1500,17.95
1510,17.94
1520,18.07
1530,17.94
1540,18.02
1550,17.95
1560,18.07
1570,18.04
1580,18.04
1590,18.05
1600,18.03
1610,17.93
1620,17.98
1630,17.99
1640,18.01
1650,18.14
1660,18.08
1670,18.07
1680,18.09
1690,18.1
1700,17.98
1710,18.08
1720,18.01
1730,18.02
1740,18.12
1750,18.12
1760,18.01
1770,18.02
1780,17.97
1790,18.11
1800,18.06
1810,18.06
1820,18.12
1830,18.12
1840,18.16
1850,18.1
1860,18.08
1870,18.11
1880,18.13
1890,18.12
1900,18.06
1910,18.04
1920,18.16
1930,18.23
1940,18.22
1950,18.15
1960,18.12
1970,18.16
1980,18.17
1990,18.16
2000,18.08
2010,18.22
2020,18.13
2030,18.2
2040,18.31
2050,18.27
2060,18.26
2070,18.36
2080,18.21
2090,18.21
2100,18.27
2110,18.23
2120,18.27
2130,18.29
2140,18.26
2150,18.16
2160,18.35
2170,18.39
2180,18.26
2190,18.31
2200,18.35
2210,18.34
2220,18.4
2230,18.37
2240,18.43
2250,18.35
2260,18.42
2270,18.45
2280,18.37
2290,18.38
2300,18.52
2310,18.42
2320,18.42
2330,18.45
2340,18.51
2350,18.55
2360,18.59
2370,18.51
2380,18.39
2390,18.51
2400,18.52
2410,18.59
2420,18.63
2430,18.58
2440,18.52
2450,18.5
2460,18.64
2470,18.49
2480,18.56
2490,18.67
2500,18.69
2510,18.69
2520,18.57
2530,18.62
2540,18.63
2550,18.68
2560,18.57
2570,18.71
2580,18.62
2590,18.65
2600,18.78
2610,18.57
2620,18.69
2630,18.7
2640,18.85
2650,18.83
2660,18.71
2670,18.94
2680,18.8
2690,18.67
2700,18.7
2710,18.86
2720,18.84
2730,18.8
2740,18.95
2750,18.79
2760,18.79
2770,18.91
2780,19.02
2790,18.73
2800,18.89
2810,18.98
2820,18.94
2830,18.95
2840,19.04
2850,18.94
2860,18.97
2870,19.09
2880,18.94
2890,18.94
2900,19.16
2910,18.98
2920,19.19
2930,18.86
2940,18.91
2950,19.22
2960,19.03
2970,19.07
2980,19.33
2990,19.05
3000,19.32
3010,19.04
3020,18.98
3030,19.28
3040,19.1
3050,19.26
3060,19.1
3070,19.15
3080,19.45
3090,19.27
3100,19.42
3110,19.32
3120,19.46
3130,19.17
3140,19.45
3150,19.2
3160,19.25
3170,19.42
3180,19.3
3190,19.54
3200,19.26
3210,19.55
3220,19.35
3230,19.48
3240,19.44
3250,19.52
3260,19.26
3270,19.52
3280,19.44
3290,19.66
3300,19.4
3310,19.62
3320,19.44
3330,19.77
3340,19.83
3350,19.55
3360,19.78
3370,19.37
3380,19.76
3390,19.55
3400,19.93
3410,19.91
3420,19.61
3430,19.87
3440,19.53
3450,19.73
3460,19.58
3470,19.51
3480,19.74
3490,19.42
3500,19.94
