MDTU,|Tr(Lx)|
454,0.168964
455,0.168964
456,0.157715
457,0.145928
458,0.141297
459,0.143006
460,0.160108
461,0.134307
462,0.140609
463,0.162348
464,0.237581
465,0.237581
466,0.177945
467,0.216118
468,0.263541
469,0.241393
470,0.241393
471,0.27385
472,0.212629
473,0.183693
474,0.221523
475,0.191246
476,0.245058
477,0.134107
478,0.134107
479,0.108038
480,0.138468
481,0.134171
482,0.179677
483,0.14225
484,0.133977
485,0.118018
486,0.110909
487,0.110909
488,0.07758
489,0.07758
490,0.107463
491,0.106744
492,0.144261
493,0.165432
494,0.161431
495,0.199372
496,0.20746
497,0.163226
498,0.180531
499,0.167402
500,0.178432
501,0.198922
502,0.198681
503,0.150484
504,0.224573
505,0.323509
506,0.249636
507,0.250596
508,0.250596
509,0.250596
510,0.300315
511,0.283298
512,0.283465
513,0.283465
514,0.244751
515,0.244751
516,0.29296
517,0.365385
518,0.398394
519,0.244831
520,0.262716
521,0.318539
522,0.1597
523,0.173559
524,0.183435
525,0.157412
526,0.224487
527,0.137539
528,0.143339
529,0.195552
530,0.154491
531,0.202681
532,0.223471
533,0.199217
534,0.24619
535,0.215945
536,0.219068
537,0.276497
538,0.245065
539,0.340894
540,0.283005
541,0.240853
542,0.301914
543,0.287863
544,0.287863
545,0.380842
546,0.269139
547,0.2559
548,0.241109
549,0.222267
550,0.199937
551,0.159594
552,0.164236
553,0.164236
554,0.127356
555,0.107483
556,0.136442
557,0.147904
558,0.110146
559,0.130425
560,0.177483
561,0.139247
562,0.205968
563,0.157866
564,0.220343
565,0.275408
566,0.174859
567,0.192396
568,0.209964
569,0.209964
570,0.217862
571,0.217862
572,0.156404
573,0.168622
574,0.190508
575,0.142209
576,0.142209
577,0.18204
578,0.155174
579,0.199424
580,0.193915
581,0.193915
582,0.201912
583,0.181922
584,0.231671
585,0.265706
586,0.19338
587,0.16765
588,0.16765
589,0.16458
590,0.212933
591,0.184528
592,0.183196
593,0.216927
594,0.205447
595,0.17393
596,0.17393
597,0.221043
598,0.207695
599,0.341576
600,0.215929
601,0.215929
602,0.258895
603,0.203452
604,0.205216
605,0.174116
606,0.136236
607,0.201346
608,0.241754
609,0.166497
610,0.179607
611,0.2065
612,0.259253
613,0.140348
614,0.228007
615,0.228007
616,0.2206
617,0.184409
618,0.203964
619,0.234273
620,0.20355
621,0.154287
622,0.227052
623,0.204392
624,0.193133
625,0.286917
626,0.253552
627,0.267548
628,0.242069
629,0.207232
630,0.206355
631,0.236824
632,0.236824
633,0.269372
634,0.259163
635,0.303202
636,0.207548
637,0.29354
638,0.29354
639,0.252491
640,0.243414
641,0.222938
642,0.19371
643,0.269183
644,0.269183
645,0.191399
646,0.186694
647,0.256441
648,0.206577
649,0.26734
650,0.196031
651,0.207623
652,0.187856
653,0.183482
654,0.145473
655,0.251892
656,0.126043
657,0.258836
658,0.180672
659,0.16175
660,0.144524
661,0.212363
662,0.20715
663,0.242494
664,0.281011
665,0.312891
666,0.476256
667,0.361211
668,0.361211
669,0.434202
670,0.320537
671,0.320537
672,0.356975
673,0.24496
674,0.255718
675,0.368601
676,0.228361
677,0.334013
678,0.334013
679,0.277304
680,0.277304
681,0.270197
682,0.210888
683,0.210888
684,0.141497
685,0.243901
686,0.15879
687,0.191816
688,0.138714
689,0.215801
690,0.218566
691,0.188778
692,0.247441
693,0.175596
694,0.213798
695,0.276833
696,0.261903
697,0.233282
698,0.209548
699,0.213497
700,0.241062
701,0.241062
702,0.256333
703,0.23371
704,0.282823
705,0.242811
706,0.259658
707,0.366128
708,0.285493
709,0.275062
710,0.23609
711,0.23609
712,0.240296
713,0.270888
714,0.203745
715,0.203745
716,0.185991
717,0.15336
718,0.17113
719,0.187709
720,0.217674
721,0.163945
722,0.125053
723,0.125053
724,0.131054
725,0.152198
726,0.200134
727,0.235389
728,0.213423
729,0.182443
730,0.197878
731,0.205788
732,0.178901
733,0.167215
734,0.22633
735,0.256574
736,0.215596
737,0.180071
738,0.216534
739,0.184597
740,0.151491
741,0.194521
742,0.191649
743,0.145627
744,0.165235
745,0.183616
746,0.177241
747,0.164677
748,0.155885
749,0.237993
750,0.21791
751,0.21791
752,0.185423
753,0.161828
754,0.124489
755,0.144931
756,0.177864
757,0.177271
758,0.188892
759,0.193248
760,0.226172
761,0.215217
762,0.192207
763,0.234495
764,0.234495
765,0.206856
766,0.20404
767,0.20404
768,0.222715
769,0.231376
770,0.187105
771,0.230838
772,0.204093
773,0.204093
774,0.163183
775,0.125882
776,0.16079
777,0.152847
778,0.218838
779,0.139249
780,0.211224
781,0.203489
782,0.162724
783,0.219987
784,0.198554
785,0.222039
786,0.169047
787,0.182582
788,0.147225
789,0.220722
790,0.190445
791,0.239484
792,0.241164
793,0.188841
794,0.213364
795,0.280399
796,0.254989
797,0.187884
798,0.261838
799,0.165724
800,0.174153
801,0.164785
802,0.26678
803,0.14443
804,0.14443
805,0.212975
806,0.17875
807,0.182818
808,0.220412
809,0.171384
810,0.210813
811,0.170182
812,0.165062
813,0.165062
814,0.165062
815,0.165062
816,0.196686
817,0.191408
818,0.157263
819,0.166127
820,0.218507
821,0.163226
822,0.182282
823,0.208472
824,0.221023
825,0.221023
826,0.221023
827,0.191953
828,0.193968
829,0.197021
830,0.220514
831,0.278494
832,0.199098
833,0.236397
834,0.178941
835,0.239913
836,0.204923
837,0.294591
838,0.301296
839,0.221698
840,0.235093
841,0.346714
842,0.216895
843,0.236192
844,0.189181
845,0.249754
846,0.288395
847,0.31376
848,0.132276
849,0.162555
850,0.116335
851,0.168146
852,0.168146
853,0.147336
854,0.168057
855,0.171898
856,0.171898
857,0.124567
858,0.11381
859,0.0975394
860,0.0975394
861,0.157124
862,0.117593
863,0.159124
864,0.127292
865,0.194769
866,0.178435
867,0.190509
868,0.190509
869,0.195188
870,0.165099
871,0.126914
872,0.172108
873,0.156166
874,0.18421
875,0.145958
876,0.173318
877,0.157832
878,0.1561
879,0.182619
880,0.129646
881,0.178262
882,0.147696
883,0.10447
884,0.114321
885,0.116861
886,0.125688
887,0.173507
888,0.21124
889,0.224293
890,0.191792
891,0.284148
892,0.241634
893,0.14943
894,0.218326
895,0.147083
896,0.140261
897,0.159618
898,0.159618
899,0.195224
900,0.316241
901,0.190445
902,0.190445
903,0.167512
904,0.248374
905,0.208141
906,0.184126
907,0.229003
908,0.229003
909,0.243416
910,0.180205
911,0.13535
912,0.188588
913,0.229423
914,0.254045
915,0.254045
916,0.239246
917,0.174248
918,0.169446
919,0.185071
920,0.171202
921,0.192769
922,0.117553
923,0.156086
924,0.176138
925,0.136337
926,0.142662
927,0.141355
928,0.136003
929,0.104793
930,0.115032
931,0.101403
932,0.0926179
933,0.130615
934,0.171437
935,0.148482
936,0.144341
937,0.144341
938,0.161772
939,0.15557
940,0.148535
941,0.18868
942,0.148697
943,0.162041
944,0.176846
945,0.160466
946,0.107705
947,0.132659
948,0.0999673
949,0.12612
950,0.12765
951,0.140075
952,0.154826
953,0.138575
954,0.136075
955,0.173917
956,0.17353
957,0.161197
958,0.141695
959,0.180433
960,0.0977701
961,0.121748
962,0.16109
963,0.153109
964,0.159551
965,0.180722
966,0.170097
967,0.166307
968,0.155513
969,0.169467
970,0.159752
971,0.211391
972,0.169641
973,0.141753
974,0.150399
975,0.134409
976,0.175601
977,0.179175
978,0.144484
979,0.199749
980,0.161839
981,0.180328
982,0.136527
983,0.151167
984,0.153481
985,0.163528
986,0.14828
987,0.182998
988,0.110061
989,0.110031
990,0.126806
991,0.126806
992,0.168877
993,0.143297
994,0.0918851
995,0.0940877
996,0.16116
997,0.176134
998,0.129562
999,0.171776
1000,0.185043
1001,0.120833
1002,0.16169
1003,0.143419
1004,0.0797077
1005,0.0868879
1006,0.101528
1007,0.118602
1008,0.128281
1009,0.107531
1010,0.11705
1011,0.0905946
1012,0.0890479
1013,0.0839
1014,0.0872151
1015,0.115429
1016,0.0919823
1017,0.125423
1018,0.128304
1019,0.157999
1020,0.151206
1021,0.18665
1022,0.181222
1023,0.183319
1024,0.154497
1025,0.140607
1026,0.155211
1027,0.148177
1028,0.186634
1029,0.183196
1030,0.22787
1031,0.218321
1032,0.255787
1033,0.255787
1034,0.211772
1035,0.177218
1036,0.203497
1037,0.158273
1038,0.175124
1039,0.21757
1040,0.194087
1041,0.276579
1042,0.252109
1043,0.197696
1044,0.242896
1045,0.181605
1046,0.286126
1047,0.220781
1048,0.199011
1049,0.217134
1050,0.171475
1051,0.255937
1052,0.277036
1053,0.302198
1054,0.305413
1055,0.305413
1056,0.338235
1057,0.338235
1058,0.29149
1059,0.31665
1060,0.207707
1061,0.226616
1062,0.37026
1063,0.258551
1064,0.263476
1065,0.311527
1066,0.311527
1067,0.236629
1068,0.308965
1069,0.270095
1070,0.351701
1071,0.261332
1072,0.23729
1073,0.222969
1074,0.171769
1075,0.241168
1076,0.295733
1077,0.243168
1078,0.18505
1079,0.18505
1080,0.17643
1081,0.200941
1082,0.169457
1083,0.22153
1084,0.290977
1085,0.176156
1086,0.271709
1087,0.124079
1088,0.185354
1089,0.156368
1090,0.208453
1091,0.217236
1092,0.200185
1093,0.235947
1094,0.203632
1095,0.203632
1096,0.182878
1097,0.182878
1098,0.173255
1099,0.128877
1100,0.165509
1101,0.230054
1102,0.304866
1103,0.190122
1104,0.234133
1105,0.234133
1106,0.231276
1107,0.18286
1108,0.243181
1109,0.195633
1110,0.195606
1111,0.149149
1112,0.178133
1113,0.167597
1114,0.206159
1115,0.237424
1116,0.171071
1117,0.181654
1118,0.225429
1119,0.202546
1120,0.211248
1121,0.228849
1122,0.188682
1123,0.169105
1124,0.194845
1125,0.18533
1126,0.129318
1127,0.207135
1128,0.166951
1129,0.0979787
1130,0.0979787
1131,0.130734
1132,0.0967274
1133,0.16845
1134,0.18895
1135,0.186506
1136,0.180651
1137,0.180651
1138,0.210432
1139,0.336562
1140,0.216296
1141,0.191172
1142,0.192708
1143,0.248899
1144,0.299265
1145,0.299265
1146,0.31278
1147,0.310311
1148,0.309805
1149,0.241554
1150,0.201461
1151,0.181068
1152,0.189633
1153,0.25464
1154,0.176015
1155,0.175621
1156,0.138773
1157,0.117599
1158,0.101717
1159,0.123803
1160,0.151217
1161,0.147128
1162,0.113322
1163,0.126129
1164,0.156727
1165,0.132082
1166,0.125915
1167,0.168996
1168,0.149955
1169,0.163462
1170,0.135226
1171,0.144663
1172,0.167255
1173,0.192757
1174,0.212255
1175,0.189253
1176,0.168486
1177,0.15559
1178,0.208775
1179,0.206343
1180,0.155648
1181,0.131239
1182,0.130574
1183,0.130574
1184,0.137244
1185,0.122895
1186,0.108792
1187,0.155026
1188,0.13244
1189,0.134406
1190,0.240582
1191,0.180216
1192,0.212874
1193,0.229759
1194,0.325992
1195,0.220065
1196,0.267075
1197,0.304681
1198,0.304681
1199,0.254275
1200,0.24037
1201,0.253042
1202,0.271378
1203,0.243885
1204,0.220797
1205,0.220797
1206,0.235776
1207,0.237852
1208,0.350955
1209,0.213773
1210,0.229677
1211,0.223086
1212,0.36007
1213,0.218059
1214,0.204308
1215,0.167054
1216,0.18064
1217,0.11902
1218,0.160945
1219,0.170913
1220,0.12959
1221,0.181573
1222,0.159282
1223,0.122472
1224,0.207301
1225,0.180038
1226,0.196951
1227,0.260089
1228,0.238811
1229,0.238811
1230,0.239869
1231,0.260478
1232,0.209693
1233,0.193316
1234,0.177607
1235,0.151258
1236,0.183154
1237,0.182501
1238,0.178035
1239,0.189767
1240,0.232702
1241,0.157886
1242,0.16177
1243,0.180629
1244,0.163271
1245,0.178748
1246,0.294083
1247,0.160416
1248,0.158737
1249,0.159374
1250,0.160028
1251,0.182593
1252,0.191017
1253,0.196678
1254,0.218945
1255,0.218945
1256,0.317708
1257,0.158523
1258,0.286711
1259,0.198188
1260,0.151654
1261,0.186517
1262,0.223463
1263,0.140266
1264,0.18882
1265,0.215068
1266,0.215068
1267,0.215068
1268,0.145411
1269,0.131228
1270,0.162933
1271,0.188633
1272,0.16509
1273,0.198929
1274,0.230631
1275,0.186247
1276,0.216796
1277,0.220325
1278,0.163353
1279,0.206708
1280,0.198039
1281,0.189136
1282,0.210473
1283,0.174141
1284,0.216628
1285,0.207235
1286,0.17266
1287,0.23816
1288,0.159904
1289,0.212306
1290,0.239254
1291,0.241062
1292,0.212197
1293,0.212197
1294,0.212197
1295,0.200668
1296,0.173884
1297,0.173884
1298,0.14074
1299,0.19281
1300,0.187849
1301,0.187849
1302,0.199995
1303,0.199083
1304,0.169228
1305,0.169228
1306,0.147685
1307,0.187714
1308,0.11742
1309,0.153282
1310,0.130331
1311,0.166021
1312,0.159785
1313,0.179335
1314,0.230712
1315,0.247674
1316,0.182722
1317,0.157154
1318,0.169952
1319,0.23522
1320,0.147802
1321,0.150742
1322,0.194871
1323,0.183397
1324,0.16564
1325,0.151537
1326,0.171608
1327,0.165332
1328,0.164742
1329,0.18441
1330,0.167976
1331,0.196106
1332,0.184195
1333,0.157494
1334,0.181749
1335,0.145758
1336,0.190534
1337,0.213755
1338,0.168047
1339,0.157132
1340,0.142567
1341,0.155716
1342,0.159176
1343,0.196257
1344,0.141435
1345,0.128869
1346,0.160086
1347,0.157172
1348,0.157607
1349,0.147172
1350,0.164222
1351,0.210969
1352,0.221975
1353,0.227907
1354,0.181337
1355,0.183301
1356,0.17169
1357,0.212361
1358,0.210868
1359,0.267427
1360,0.307883
1361,0.258733
1362,0.392641
1363,0.256241
1364,0.258788
1365,0.230827
1366,0.199141
1367,0.242646
1368,0.20603
1369,0.230262
1370,0.169846
1371,0.218906
1372,0.164993
1373,0.136725
1374,0.144061
1375,0.164185
1376,0.0849776
1377,0.106026
1378,0.101488
1379,0.0940576
1380,0.0940576
1381,0.135207
1382,0.132077
1383,0.162097
1384,0.142135
1385,0.154903
1386,0.107815
1387,0.139037
1388,0.175485
1389,0.142155
1390,0.137414
1391,0.192467
1392,0.198106
1393,0.175706
1394,0.175706
1395,0.136782
1396,0.175326
1397,0.182243
1398,0.150898
1399,0.0970023
1400,0.125366
1401,0.117538
1402,0.185698
1403,0.156913
1404,0.174091
1405,0.174091
1406,0.174091
1407,0.197757
1408,0.172462
1409,0.177538
1410,0.188313
1411,0.167156
1412,0.177371
1413,0.152389
1414,0.208471
1415,0.258799
1416,0.225513
1417,0.219045
1418,0.196224
1419,0.203165
1420,0.235275
1421,0.25381
1422,0.196817
1423,0.183731
1424,0.211292
1425,0.196361
1426,0.159039
1427,0.133295
1428,0.17253
1429,0.271805
1430,0.177949
1431,0.175825
1432,0.175825
1433,0.227194
1434,0.240145
1435,0.201779
1436,0.179394
1437,0.170527
1438,0.184916
1439,0.154214
1440,0.131971
1441,0.160446
1442,0.13482
1443,0.13482
1444,0.124217
1445,0.118583
1446,0.107932
1447,0.100886
1448,0.121074
1449,0.126257
1450,0.195476
1451,0.115551
1452,0.111388
1453,0.131968
1454,0.1768
1455,0.158599
1456,0.173319
1457,0.231783
1458,0.228135
1459,0.240788
1460,0.231467
1461,0.219734
1462,0.304026
1463,0.217964
1464,0.217964
1465,0.217964
1466,0.211591
1467,0.207986
1468,0.197545
1469,0.158132
1470,0.129149
1471,0.144831
1472,0.0877298
1473,0.088457
1474,0.0611028
1475,0.0816845
1476,0.0816845
1477,0.0816845
1478,0.0941552
1479,0.100153
1480,0.103743
1481,0.114227
1482,0.172122
1483,0.172122
1484,0.123041
1485,0.155436
1486,0.16924
1487,0.163159
1488,0.154219
1489,0.169944
1490,0.169944
1491,0.144904
1492,0.180019
1493,0.185793
1494,0.198384
1495,0.235643
1496,0.200616
1497,0.243736
1498,0.180713
1499,0.250896
1500,0.165029
1501,0.138294
1502,0.172848
1503,0.233395
1504,0.225859
1505,0.199322
1506,0.26136
1507,0.304595
1508,0.246934
1509,0.245485
1510,0.2812
1511,0.275039
1512,0.150527
1513,0.16897
1514,0.145692
1515,0.169792
1516,0.235082
1517,0.290536
1518,0.190644
1519,0.25164
1520,0.248238
1521,0.161952
1522,0.137765
1523,0.167673
1524,0.176976
1525,0.155881
1526,0.191132
1527,0.216031
1528,0.217134
1529,0.156021
1530,0.195974
1531,0.253179
1532,0.217088
1533,0.248183
1534,0.238303
1535,0.301257
1536,0.243716
1537,0.205832
1538,0.186362
1539,0.190023
1540,0.216963
1541,0.17142
1542,0.257302
1543,0.190039
1544,0.162415
1545,0.152414
1546,0.161517
1547,0.172139
1548,0.190565
1549,0.195204
1550,0.241738
1551,0.241738
1552,0.17944
1553,0.183284
1554,0.157004
1555,0.157004
1556,0.218795
1557,0.21964
1558,0.285824
1559,0.285824
1560,0.334623
1561,0.25465
1562,0.25465
1563,0.25465
1564,0.207946
1565,0.185773
1566,0.245588
1567,0.238004
1568,0.303165
1569,0.206358
1570,0.232238
1571,0.242752
1572,0.244802
1573,0.292468
1574,0.197508
1575,0.174322
1576,0.185287
1577,0.170223
1578,0.172802
1579,0.116631
1580,0.225259
1581,0.154611
1582,0.154611
1583,0.163913
1584,0.156384
1585,0.298486
1586,0.174394
1587,0.121976
1588,0.16121
1589,0.142001
1590,0.193406
1591,0.186969
1592,0.225601
1593,0.177123
1594,0.247606
1595,0.21529
1596,0.173921
1597,0.284476
1598,0.172995
1599,0.215855
1600,0.174396
1601,0.173456
1602,0.13631
1603,0.13631
1604,0.110688
1605,0.110688
1606,0.209036
1607,0.178473
1608,0.199621
1609,0.205693
1610,0.248292
1611,0.209321
1612,0.165185
1613,0.156058
1614,0.225054
1615,0.206787
1616,0.206787
1617,0.236051
1618,0.167419
1619,0.141654
1620,0.145547
1621,0.168028
1622,0.201977
1623,0.220384
1624,0.242411
1625,0.214632
1626,0.177917
1627,0.137008
1628,0.194884
1629,0.175732
1630,0.204102
1631,0.228585
1632,0.18226
1633,0.214912
1634,0.173542
1635,0.128152
1636,0.156007
1637,0.119947
1638,0.137775
1639,0.110196
1640,0.137994
1641,0.186062
1642,0.186062
1643,0.187849
1644,0.202357
1645,0.274193
1646,0.22054
1647,0.200346
1648,0.212687
1649,0.245324
1650,0.269625
1651,0.304566
1652,0.303442
1653,0.303442
1654,0.32052
1655,0.286259
1656,0.255541
1657,0.259201
1658,0.223842
1659,0.294906
1660,0.269162
1661,0.27529
1662,0.17199
1663,0.147745
1664,0.19689
1665,0.19689
1666,0.169279
1667,0.147772
1668,0.131502
1669,0.155352
1670,0.180926
1671,0.113613
1672,0.158087
1673,0.172201
1674,0.16433
1675,0.202492
1676,0.221268
1677,0.195769
1678,0.218695
1679,0.22121
1680,0.200577
1681,0.211904
1682,0.270662
1683,0.270662
1684,0.20157
1685,0.235093
1686,0.235093
1687,0.291092
1688,0.253575
1689,0.253575
1690,0.259999
1691,0.151147
1692,0.224581
1693,0.1686
1694,0.129664
1695,0.172524
1696,0.172205
1697,0.172205
1698,0.169868
1699,0.165963
1700,0.16617
1701,0.144314
1702,0.169471
1703,0.164574
1704,0.211141
1705,0.191809
1706,0.313828
1707,0.216159
1708,0.309818
1709,0.18526
1710,0.247164
1711,0.205778
1712,0.209793
1713,0.22106
1714,0.22106
1715,0.179355
1716,0.217693
1717,0.193817
1718,0.193817
1719,0.200065
1720,0.200065
1721,0.212761
1722,0.140224
1723,0.197604
1724,0.209649
1725,0.168976
1726,0.223562
1727,0.231999
1728,0.170739
1729,0.151349
1730,0.229059
1731,0.290999
1732,0.206386
1733,0.220912
1734,0.249897
1735,0.221171
1736,0.189592
1737,0.237393
1738,0.278019
1739,0.158485
1740,0.250032
1741,0.225926
1742,0.225926
1743,0.181229
1744,0.199637
1745,0.227385
1746,0.136919
1747,0.194383
1748,0.235102
1749,0.255323
1750,0.181104
1751,0.184423
1752,0.136745
1753,0.135449
1754,0.135449
1755,0.126655
1756,0.127619
1757,0.128375
1758,0.133437
1759,0.156008
1760,0.195193
1761,0.136535
1762,0.136535
1763,0.117781
1764,0.192892
1765,0.154685
1766,0.160567
1767,0.146151
1768,0.138334
1769,0.137279
1770,0.137279
1771,0.154248
1772,0.149719
1773,0.149719
1774,0.140785
1775,0.136371
1776,0.132518
1777,0.127067
1778,0.13532
1779,0.182834
1780,0.236843
1781,0.24897
1782,0.24897
1783,0.303627
1784,0.364402
1785,0.286478
1786,0.286478
1787,0.286478
1788,0.294985
1789,0.294985
1790,0.258963
1791,0.233172
1792,0.146719
1793,0.212833
1794,0.222508
1795,0.276467
1796,0.227417
1797,0.200211
1798,0.124724
1799,0.155611
1800,0.110157
1801,0.140005
1802,0.140005
1803,0.173811
1804,0.194039
1805,0.153392
1806,0.184894
1807,0.191963
1808,0.165897
1809,0.198271
1810,0.128024
1811,0.28636
1812,0.210159
1813,0.198055
1814,0.206122
1815,0.213372
1816,0.224287
1817,0.265969
1818,0.197246
1819,0.272084
1820,0.249438
1821,0.257675
1822,0.337542
1823,0.315946
1824,0.27986
1825,0.355531
1826,0.208
1827,0.273545
1828,0.14227
1829,0.255869
1830,0.208408
1831,0.322628
1832,0.208788
1833,0.187835
1834,0.152679
1835,0.2119
1836,0.224979
1837,0.252702
1838,0.255378
1839,0.230257
1840,0.252881
1841,0.207463
1842,0.195709
1843,0.204289
1844,0.142992
1845,0.179495
1846,0.190827
1847,0.19919
1848,0.146188
1849,0.172344
1850,0.157737
1851,0.135345
1852,0.260695
1853,0.237198
1854,0.236784
1855,0.172341
1856,0.151674
1857,0.255877
1858,0.180328
1859,0.180164
1860,0.164468
1861,0.215457
1862,0.25083
1863,0.198978
1864,0.180886
1865,0.180886
1866,0.189239
