t,e^(-dS)
457,0.614774
458,0.788203
459,1.11004
460,1.02041
461,1.02518
462,0.298496
463,0.773368
464,1.13906
465,2.23782
466,0.101672
467,1.85577
468,0.718564
469,0.85916
470,0.681063
471,1.52014
472,0.473407
473,2.03603
474,1.39598
475,0.364219
476,0.951191
477,0.871186
478,1.44383
479,0.187871
480,2.17472
481,1.38044
482,0.989733
483,0.966736
484,0.350638
485,0.293171
486,0.116717
487,1.74316
488,0.224249
489,0.414949
490,1.42604
491,3.96696
492,0.571723
493,0.637947
494,0.540803
495,0.743044
496,0.353808
497,0.749537
498,1.14717
499,0.778178
500,0.688321
501,0.384466
502,1.80002
503,0.17552
504,0.422993
505,0.364948
506,1.43276
507,0.689492
508,0.482005
509,0.150318
510,0.524663
511,0.341981
512,0.946097
513,0.878359
514,0.411643
515,0.139317
516,0.970096
517,0.637564
518,2.15718
519,0.883557
520,0.562986
521,2.99217
522,1.79373
523,1.23084
524,0.0939493
525,0.337564
526,1.14374
527,1.1386
528,1.73898
529,0.470528
530,0.113949
531,0.472178
532,0.424518
533,0.533178
534,0.930224
535,1.89857
536,0.475162
537,0.763532
538,0.483405
539,0.228779
540,2.07612
541,0.990697
542,2.90955
543,1.55457
544,0.312547
545,3.60745
546,0.477735
547,0.969185
548,0.490171
549,2.28874
550,1.01867
551,1.09704
552,0.180866
553,0.245858
554,1.45296
555,0.218931
556,0.279152
557,1.4408
558,0.630022
559,0.166627
560,1.9723
561,1.92149
562,0.159614
563,1.48335
564,0.745127
565,0.82267
566,1.44311
567,0.383544
568,1.15338
569,0.146314
570,0.532379
571,1.34031
572,0.694752
573,0.94009
574,0.264742
575,0.375799
576,1.08653
577,4.62742
578,1.16906
579,1.9211
580,0.573785
581,1.94936
582,0.261323
583,0.791362
584,1.48483
585,0.35134
586,0.236691
587,0.343695
588,1.78693
589,0.0995595
590,0.354162
591,0.867361
592,1.57554
593,0.775382
594,0.723974
595,0.349938
596,2.80107
597,0.914928
598,0.316637
599,0.45104
600,0.847894
601,0.453029
602,0.196322
603,0.972807
604,0.529882
605,0.30483
606,0.447312
607,1.06061
608,1.12795
609,0.413499
610,0.464729
611,0.636545
612,2.53857
613,0.333204
614,1.54512
615,2.37643
616,0.531687
617,1.55473
618,0.95342
619,0.362402
620,0.600856
621,0.834268
622,0.251076
623,1.90465
624,0.544929
625,1.39906
626,0.666843
627,0.503385
628,0.25487
629,0.32078
630,2.20472
631,1.88231
632,0.975056
633,2.8434
634,4.00683
635,0.708504
636,0.977262
637,0.389068
638,0.235982
639,0.565412
640,0.451581
641,2.96536
642,2.15265
643,0.570125
644,0.342666
645,1.42091
646,1.06805
647,1.1616
648,0.459645
649,0.40176
650,0.801877
651,0.476542
652,0.497828
653,0.435048
654,2.06597
655,0.965007
656,0.397166
657,0.697328
658,0.437228
659,0.16563
660,0.324004
661,0.830855
662,2.0569
663,0.263949
664,0.641786
665,1.36875
666,0.350638
667,1.8163
668,0.372544
669,1.03575
670,0.467666
671,0.258981
672,0.187496
673,4.91357
674,1.43004
675,1.06584
676,0.266868
677,0.38045
678,0.283938
679,0.193013
680,0.655603
681,0.127709
682,0.32726
683,0.662457
684,0.525082
685,0.398639
686,1.36834
687,1.20021
688,0.949595
689,2.06205
690,2.25218
691,2.41863
692,0.759572
693,2.60049
694,0.808156
695,0.833268
696,0.3718
697,2.37168
698,1.26162
699,0.523981
700,1.23924
701,0.65103
702,0.98113
703,7.47078
704,0.845777
705,0.693711
706,1.19542
707,0.454208
708,1.48394
709,1.61478
710,0.673478
711,1.75207
712,0.120633
713,0.256661
714,0.560907
715,3.8076
716,0.211189
717,1.16253
718,0.288229
719,2.22265
720,1.82577
721,5.18619
722,3.05262
723,0.306665
724,0.855901
725,0.822012
726,0.812369
727,0.385428
728,0.271173
729,0.843412
730,0.599775
731,0.220689
732,1.08569
733,0.296117
734,0.511811
735,0.596903
736,1.74752
737,1.91746
738,0.29671
739,0.0904462
740,1.23208
741,1.33523
742,0.393097
743,1.26706
744,0.606591
745,1.79751
746,0.295821
747,1.03209
748,0.732421
749,0.56203
750,1.45296
751,0.720219
752,1.01746
753,1.07525
754,1.08751
755,1.09139
756,1.41949
757,0.806945
758,0.766899
759,0.186747
760,0.265272
761,0.208879
762,1.32101
763,0.609083
764,0.654293
765,0.160574
766,1.00534
767,0.122212
768,0.104455
769,0.510278
770,0.231541
771,0.643521
772,2.00893
773,0.421894
774,0.282239
775,0.252082
776,1.08947
777,1.40284
778,0.91631
779,0.547222
780,2.22265
781,0.175696
782,0.447849
783,0.438673
784,1.19315
785,0.655341
786,0.37128
787,1.66213
788,0.736829
789,0.244143
790,0.534406
791,1.13009
792,0.828863
793,0.440211
794,0.471659
795,1.47846
796,4.93326
797,0.505403
798,0.733374
799,1.13906
800,0.72673
801,0.264477
802,0.819222
803,0.259759
804,0.402363
805,0.358438
806,0.54542
807,0.349938
808,0.424986
809,0.632295
810,0.76805
811,1.16672
812,0.461626
813,1.23269
814,0.995304
815,0.398519
816,0.415115
817,1.3792
818,0.315058
819,1.09938
820,0.309747
821,0.411848
822,0.630968
823,0.552446
824,3.96696
825,2.07508
826,0.867014
827,1.00024
828,2.20141
829,0.153355
830,0.13068
831,0.563606
832,1.05999
833,0.540371
834,0.713909
835,2.07218
836,0.194174
837,0.408935
838,0.264742
839,0.297304
840,0.767666
841,0.444413
842,2.23245
843,0.456028
844,1.262
845,1.56487
846,0.590728
847,0.406245
848,1.6446
849,0.330549
850,2.02081
851,1.21203
852,0.733007
853,0.544003
854,0.644552
855,0.430676
856,0.675434
857,0.288517
858,0.482488
859,0.89003
860,0.247585
861,0.290254
862,1.1859
863,1.02633
864,0.510431
865,0.3795
866,0.729789
867,0.889852
868,1.07568
869,0.703421
870,0.437316
871,1.18034
872,1.54172
873,1.18105
874,0.408322
875,0.396135
876,0.393215
877,0.963898
878,1.12536
879,0.121481
880,0.942933
881,0.261061
882,1.18258
883,1.60737
884,0.534994
885,1.26188
886,0.495891
887,0.745053
888,0.278873
889,0.432921
890,0.654489
891,1.36247
892,7.3522
893,0.674826
894,0.875991
895,0.525818
896,0.250074
897,0.532911
898,0.221795
899,1.22262
900,0.291417
901,2.42954
902,0.413665
903,0.278873
904,6.06782
905,0.19593
906,0.9945
907,0.232701
908,0.522098
909,0.714337
910,0.912406
911,0.101774
912,0.229237
913,1.34434
914,0.675366
915,0.55577
916,0.647912
917,0.795965
918,0.467339
919,0.325628
920,0.422866
921,0.292585
922,1.64345
923,0.681063
924,1.12232
925,1.12322
926,4.54033
927,2.90084
928,0.291417
929,0.87564
930,0.53089
931,0.659153
932,0.443126
933,0.5319
934,0.871796
935,0.23457
936,0.113042
937,1.13383
938,0.196322
939,2.24252
940,0.286791
941,3.22199
942,0.23457
943,1.48275
944,1.86769
945,1.68691
946,0.826794
947,0.240749
948,0.979297
949,0.640952
950,1.51695
951,0.435222
952,0.622196
953,1.50697
954,0.323033
955,0.133054
956,0.540533
957,1.02695
958,0.526502
959,0.380564
960,1.3667
961,1.04549
962,1.40579
963,0.232701
964,2.10939
965,0.288517
966,0.752165
967,0.392429
968,0.333537
969,0.181591
970,0.373701
971,0.140016
972,0.303917
973,3.27723
974,2.28531
975,0.908655
976,0.347149
977,1.28891
978,0.548318
979,0.294935
980,0.431365
981,0.291126
982,1.9077
983,0.394712
984,1.07799
985,2.25985
986,0.786077
987,0.169483
988,0.618907
989,0.179964
990,0.293171
991,0.414161
992,0.519027
993,1.21143
994,0.302704
995,0.608049
996,0.626191
997,0.37102
998,0.832185
999,1.76033
1000,3.46946
1001,1.37658
1002,0.799555
1003,0.306052
1004,0.720723
1005,2.96833
1006,5.4412
1007,0.70815
1008,1.42305
1009,0.447759
1010,3.08638
1011,0.524138
1012,0.697886
1013,0.53859
1014,0.409508
1015,0.628449
1016,1.9142
1017,0.553662
1018,0.239309
1019,0.547387
1020,0.725568
1021,1.5633
1022,1.6164
1023,0.378212
1024,0.536172
1025,0.304221
1026,1.31443
1027,1.04655
1028,1.17586
1029,0.198295
1030,0.491398
1031,0.742079
1032,0.588605
1033,0.920066
1034,0.232469
1035,0.60738
1036,2.4422
