MDTU,|Tr(L)|,ReTr(L),ImTr(L)
180,0.93421,0.0193948,0.934008
181,0.93421,0.0193948,0.934008
182,0.938606,0.00346882,0.9386
183,0.929835,-0.00150379,0.929833
184,0.929835,-0.00150379,0.929833
185,0.931989,0.0967025,0.926958
186,0.93261,0.039846,0.931758
187,0.93032,-0.0398371,0.929467
188,0.93032,-0.0398371,0.929467
189,0.931702,-0.0674358,0.929258
190,0.931702,-0.0674358,0.929258
191,0.932695,-0.101933,0.927108
192,0.931747,-0.130708,0.922533
193,0.931747,-0.130708,0.922533
194,0.935969,-0.16347,0.921583
195,0.937579,-0.174529,0.921192
196,0.930365,-0.137543,0.920142
197,0.933551,-0.164417,0.918958
198,0.936195,-0.275657,0.894692
199,0.936195,-0.275657,0.894692
200,0.928312,-0.27018,0.888125
201,0.932111,-0.229988,0.903292
202,0.932111,-0.229988,0.903292
203,0.932111,-0.229988,0.903292
204,0.934152,-0.2616,0.896775
205,0.934152,-0.2616,0.896775
206,0.934508,-0.345026,0.868483
207,0.934508,-0.345026,0.868483
208,0.934508,-0.345026,0.868483
209,0.931772,-0.283226,0.887683
210,0.936173,-0.246547,0.903125
211,0.930746,-0.231225,0.901567
212,0.93498,-0.282045,0.891425
213,0.929384,-0.311623,0.875583
214,0.930191,-0.285454,0.885308
215,0.933202,-0.360162,0.8609
216,0.932822,-0.316835,0.877367
217,0.932822,-0.316835,0.877367
218,0.932822,-0.316835,0.877367
219,0.932822,-0.316835,0.877367
220,0.932822,-0.316835,0.877367
221,0.932822,-0.316835,0.877367
222,0.932673,-0.286098,0.887708
223,0.932673,-0.286098,0.887708
224,0.932673,-0.286098,0.887708
225,0.929147,-0.260896,0.891767
226,0.929147,-0.260896,0.891767
227,0.932018,-0.12724,0.923292
228,0.93448,-0.19667,0.91355
229,0.927147,-0.231842,0.897692
230,0.933903,-0.198334,0.9126
231,0.933903,-0.198334,0.9126
232,0.937989,-0.206171,0.91505
233,0.933881,-0.300099,0.88435
234,0.931096,-0.226838,0.903042
235,0.932796,-0.156098,0.919642
236,0.934205,-0.133793,0.924575
237,0.935983,-0.216252,0.910658
238,0.934733,-0.20846,0.911192
239,0.931587,-0.177006,0.914617
240,0.931173,-0.170485,0.915433
241,0.930422,-0.155712,0.9173
242,0.933604,0.0602452,0.931658
243,0.931963,-0.017875,0.931792
244,0.931249,-0.0336271,0.930642
245,0.930325,0.0452247,0.929225
246,0.930325,0.0452247,0.929225
247,0.933325,0.0971192,0.928258
248,0.933325,0.0971192,0.928258
249,0.930737,0.152701,0.918125
250,0.929439,0.137243,0.91925
251,0.932506,0.16844,0.917167
252,0.932506,0.16844,0.917167
253,0.932506,0.16844,0.917167
254,0.932506,0.16844,0.917167
255,0.934687,0.223692,0.907525
256,0.935569,0.188901,0.9163
257,0.930147,0.207492,0.906708
258,0.930804,0.0446313,0.929733
259,0.934188,0.123164,0.926033
260,0.937535,0.0920192,0.933008
261,0.931703,0.0253235,0.931358
262,0.931703,0.0253235,0.931358
263,0.931863,0.0857642,0.927908
264,0.931863,0.0857642,0.927908
265,0.931863,0.0857642,0.927908
266,0.931863,0.0857642,0.927908
267,0.92999,0.166762,0.914917
268,0.92999,0.166762,0.914917
269,0.930124,0.187156,0.9111
270,0.930124,0.187156,0.9111
271,0.928719,0.147794,0.916883
272,0.931248,0.0978625,0.926092
273,0.931248,0.0978625,0.926092
274,0.931248,0.0978625,0.926092
275,0.9313,0.0748939,0.928283
276,0.9313,0.0748939,0.928283
277,0.933824,-0.00870792,0.933783
278,0.933365,0.116158,0.926108
279,0.933011,0.0132524,0.932917
280,0.933011,0.0132524,0.932917
281,0.935241,0.00680472,0.935217
282,0.935241,0.00680472,0.935217
283,0.935241,0.00680472,0.935217
284,0.934102,-0.0346731,0.933458
285,0.934102,-0.0346731,0.933458
286,0.931704,-0.00616273,0.931683
287,0.933377,0.0791246,0.930017
288,0.935141,0.131202,0.925892
289,0.935141,0.131202,0.925892
290,0.936746,0.246495,0.903733
291,0.935021,0.262389,0.89745
292,0.931397,0.375367,0.852408
293,0.931397,0.375367,0.852408
294,0.931397,0.375367,0.852408
295,0.931909,0.325942,0.87305
296,0.931909,0.325942,0.87305
297,0.931909,0.325942,0.87305
298,0.931909,0.325942,0.87305
299,0.931909,0.325942,0.87305
300,0.933246,0.276967,0.8912
301,0.929175,0.27286,0.888208
302,0.932298,0.365106,0.857833
303,0.932354,0.302573,0.881892
304,0.932162,0.310935,0.878775
305,0.932162,0.310935,0.878775
306,0.93448,0.315339,0.879667
307,0.933229,0.326569,0.874225
308,0.935653,0.195427,0.915017
309,0.935653,0.195427,0.915017
310,0.927297,0.255974,0.891267
311,0.932725,0.283018,0.88875
312,0.932748,0.231322,0.903608
313,0.932748,0.231322,0.903608
314,0.936048,0.20083,0.91425
315,0.936048,0.20083,0.91425
316,0.93213,0.297961,0.883225
317,0.930417,0.254559,0.894917
318,0.935658,0.288148,0.890183
319,0.935658,0.288148,0.890183
