t,walltime
10,780
20,163.1
30,49.21
40,32.53
50,27.76
60,23.97
70,20.19
80,20.16
90,20.22
100,20.17
110,20.19
120,20.24
130,20.27
140,20.17
150,20.31
160,20.22
170,20.3
180,20.14
190,20.16
200,20.33
210,20.2
220,20.09
230,20.31
240,20.16
250,20.31
260,20.16
270,20.23
280,20.27
290,20.15
300,20.4
310,20.19
320,20.22
330,20.19
340,20.28
350,20.12
360,20.31
370,20.17
380,20.28
390,20.17
400,20.08
410,20.2
420,20.23
430,20
440,20.33
450,20.2
460,20.2
470,20.3
480,20.28
490,20.35
500,20.35
510,20.49
520,20.27
530,20.16
540,20.56
550,20.25
560,20.18
570,20.31
580,20.15
590,20.13
600,20.43
610,20.27
620,20.23
630,19.99
640,20.21
650,20.33
660,20.1
670,20.2
680,20.24
690,20.21
700,20.03
710,20.31
720,20.13
730,20.21
740,20.34
750,20.09
760,20.23
770,20.13
780,20.31
790,20.31
800,20.14
810,20.03
820,20.34
830,20.27
840,20.27
850,20.44
860,20.44
870,20.39
880,20.24
890,20.05
900,20.29
910,20.29
920,20.26
930,20.07
940,20.05
950,20.44
960,20.18
970,20.29
980,20.49
990,20.2
1000,20.3
1010,20.08
1020,20.29
1030,20.35
1040,20.33
1050,20.42
1060,20.4
1070,20.39
1080,20.26
1090,20.56
1100,20.29
1110,20.28
1120,20.23
1130,20.49
1140,20.3
1150,20.26
1160,20.36
1170,20.31
1180,20.3
1190,20.25
1200,20.35
1210,20.32
1220,20.19
1230,20.03
1240,20.27
1250,20.16
1260,20.28
1270,20.53
1280,20.41
1290,20.45
1300,20.27
1310,20.28
1320,20.41
1330,20.35
1340,20.27
1350,20.33
1360,20.28
1370,20.33
1380,20.26
1390,20.28
1400,20.35
1410,20.33
1420,20.32
1430,20.44
1440,20.54
1450,20.42
1460,20.23
1470,20.33
1480,20.36
1490,20.41
1500,20.34
1510,20.41
1520,20.35
1530,20.43
1540,20.44
1550,20.34
1560,20.61
1570,20.35
1580,20.11
1590,20.21
1600,20.37
1610,20.53
1620,20.45
1630,20.32
1640,20.41
1650,20.36
1660,20.55
1670,20.36
1680,20.44
1690,20.42
1700,20.44
1710,20.48
1720,20.47
1730,20.4
1740,20.51
1750,20.25
1760,20.57
1770,20.31
1780,20.54
1790,20.52
1800,20.29
1810,20.28
1820,20.52
1830,20.5
1840,20.37
1850,20.49
1860,20.58
1870,20.7
1880,20.43
1890,20.54
1900,20.75
1910,20.48
1920,20.53
1930,20.46
1940,20.41
1950,20.59
1960,20.71
1970,20.52
1980,20.49
1990,20.61
2000,20.6
2010,20.6
2020,20.61
2030,20.67
2040,20.74
2050,20.54
2060,20.56
2070,20.61
2080,20.59
2090,20.48
2100,20.72
2110,20.53
2120,20.69
2130,20.67
2140,20.66
2150,20.87
2160,20.87
2170,20.88
2180,20.72
2190,20.81
2200,20.74
2210,20.88
2220,20.88
2230,20.73
2240,20.73
2250,20.86
2260,20.63
2270,20.82
2280,20.81
2290,20.78
2300,20.81
2310,20.81
2320,20.93
2330,20.98
2340,20.84
2350,20.86
2360,21
2370,20.99
2380,20.95
2390,21.03
2400,21.12
2410,21.08
2420,20.7
2430,21.01
2440,21.12
2450,20.93
2460,21.1
2470,21.07
2480,21.06
2490,21.07
2500,21.09
2510,21.18
2520,21.14
2530,21.21
2540,21.07
2550,21.11
2560,21.07
2570,21.29
2580,21.4
2590,21.21
2600,21.2
2610,21.29
2620,21.3
2630,21.28
2640,21.3
2650,21.3
2660,21.17
2670,21.22
2680,21.21
2690,21.52
2700,21.37
2710,21.26
2720,21.26
2730,21.39
2740,21.3
2750,21.48
2760,21.72
2770,21.47
2780,21.3
2790,21.44
2800,21.33
2810,21.38
2820,21.29
2830,21.47
2840,21.52
2850,21.74
2860,21.58
2870,21.78
2880,21.52
2890,21.64
2900,21.94
2910,21.81
2920,21.49
2930,21.6
2940,21.58
2950,22.03
2960,21.66
2970,21.49
2980,21.56
2990,21.78
3000,21.65
3010,21.64
3020,21.63
3030,21.63
3040,21.8
3050,21.66
3060,21.58
3070,21.72
3080,21.88
3090,22
3100,21.85
3110,21.99
3120,21.8
3130,21.81
3140,22.09
3150,22.02
3160,21.84
3170,22.1
3180,21.93
3190,21.99
3200,22.1
3210,21.88
3220,22.13
3230,21.85
3240,21.8
3250,22.34
3260,22.16
3270,22.2
3280,22.12
3290,21.98
3300,22.03
3310,21.97
3320,22.02
3330,22.11
3340,22.21
3350,21.96
3360,22.19
3370,22.26
3380,22.33
3390,22.03
3400,22.22
3410,22.18
3420,22.06
3430,22.4
3440,22.07
3450,22.35
3460,22.12
3470,22.18
3480,22.57
3490,22.29
3500,22.49
