MDTU,plaq,Re(det),Im(det),link
1,0.0145323,2.21404,1.36791,0.00347044
2,0.0318399,483.677,264.938,0.0340559
3,0.0403769,109.051,47.1618,0.0195036
4,0.0321295,24.8132,12.6202,0.0382556
5,0.0246894,6.96726,4.38949,0.0314806
6,0.0220763,2.2828,1.54469,0.0335626
7,0.0306505,1.32026,0.578138,0.020658
8,0.0262153,0.85178,0.43274,0.043916
9,0.0281967,0.398104,0.206869,0.0474575
10,0.0258355,0.37264,0.198513,0.0316332
11,0.0255098,0.241117,0.124804,0.0457962
12,0.0174266,0.108806,0.0738441,0.0443168
13,0.0171993,0.0701371,0.0574706,0.0306103
14,0.0198538,0.0672315,0.0405085,0.0615732
15,0.0226278,0.0591628,0.0331606,0.0274879
16,0.0192529,0.0521403,0.0319708,0.0431366
17,0.0254791,0.0554524,0.0246966,0.0379814
18,0.0178477,0.0308911,0.0198239,0.0422075
19,0.0272936,0.0421825,0.0199045,0.0778738
20,0.0201003,0.0302395,0.0187021,0.0356089
21,0.0206826,0.0330691,0.0202422,0.073397
22,0.0189145,0.0266527,0.0183285,0.0530633
23,0.0269589,0.0411455,0.0197176,0.0558639
24,0.018838,0.0338328,0.0222716,0.0641024
25,0.0165438,0.0305459,0.0212,0.0621242
26,0.0206959,0.0393531,0.0239554,0.035873
27,0.0185245,0.0284639,0.0187699,0.0491634
28,0.0267208,0.0437078,0.0189331,0.040445
29,0.0182479,0.0260579,0.0193071,0.0543306
30,0.017743,0.028901,0.0202179,0.0413198
31,0.0238827,0.0357711,0.0201403,0.0347908
32,0.0303385,0.0531079,0.0221675,0.0422608
33,0.0217864,0.0282753,0.0162642,0.0426426
34,0.0197062,0.0231624,0.0152058,0.0488052
35,0.0182986,0.0186203,0.0125625,0.0537403
36,0.0172494,0.0189626,0.0124359,0.0231833
37,0.0178857,0.0223254,0.0153921,0.0540036
38,0.021897,0.0290476,0.0172272,0.0622507
39,0.0283447,0.0332539,0.0143674,0.0635641
40,0.0281406,0.040886,0.018324,0.0490892
41,0.022813,0.0331802,0.018947,0.0639353
42,0.0247624,0.0380935,0.0189143,0.0442894
43,0.0171176,0.0285301,0.0228786,0.0332414
44,0.0189117,0.0295953,0.0198487,0.0514024
45,0.0187382,0.0281953,0.0197114,0.0643241
46,0.0198407,0.0272928,0.0181573,0.0188538
47,0.0218172,0.026956,0.0153969,0.0571412
48,0.0207299,0.0238737,0.0146411,0.0373004
49,0.0207299,0.0238737,0.0146411,0.0373004
50,0.0164293,0.0165986,0.0127435,0.0540767
51,0.0261088,0.0316217,0.0147464,0.0420832
52,0.0261088,0.0316217,0.0147464,0.0420832
53,0.0261088,0.0316217,0.0147464,0.0420832
54,0.0208001,0.0238341,0.014462,0.0430089
55,0.0251865,0.0198099,0.00858299,0.0505165
56,0.0229945,0.018005,0.00965466,0.0451814
57,0.0184232,0.0127701,0.00883211,0.0389626
58,0.0181863,0.0197617,0.0133348,0.0524874
59,0.0243275,0.0270929,0.0138924,0.0542226
60,0.0180625,0.0181733,0.0111655,0.0545944
61,0.0216107,0.0221048,0.0130838,0.0561577
62,0.0216107,0.0221048,0.0130838,0.0561577
63,0.0173356,0.0144096,0.00934183,0.0444505
64,0.0194326,0.0139632,0.00959989,0.0649469
65,0.018971,0.0153946,0.0101356,0.0476058
66,0.018971,0.0153946,0.0101356,0.0476058
67,0.0188094,0.0155862,0.0111312,0.0642702
68,0.0218065,0.015151,0.00768282,0.075427
69,0.021057,0.01383,0.0092546,0.0673585
70,0.0202703,0.0118065,0.00711913,0.0665906
71,0.0211601,0.0106872,0.0063499,0.0554217
72,0.0217634,0.0155291,0.00822283,0.0454691
73,0.0221781,0.0204776,0.01148,0.0442973
74,0.021805,0.0204859,0.0125082,0.048344
75,0.0184609,0.0149125,0.0100206,0.0485159
76,0.0212369,0.0194525,0.0103814,0.0516813
77,0.0190807,0.0146695,0.00910059,0.079614
78,0.0269774,0.0275401,0.0127636,0.0462585
79,0.0229901,0.0244683,0.0141176,0.0649228
80,0.0203921,0.0190454,0.011723,0.0295466
81,0.0188108,0.0187271,0.0116299,0.0327381
82,0.0212621,0.0194209,0.0116203,0.0545476
83,0.0212621,0.0194209,0.0116203,0.0545476
84,0.0220383,0.0222366,0.0121005,0.03739
85,0.0257754,0.0389818,0.0198673,0.0613724
86,0.0245212,0.0299086,0.0149189,0.0464624
87,0.0228349,0.0287717,0.0144067,0.0582997
88,0.0186253,0.0192402,0.0113874,0.0538368
89,0.018242,0.0137237,0.00897685,0.0466398
90,0.0236725,0.0179934,0.00970415,0.0387439
91,0.0185977,0.0163561,0.00963955,0.0451004
92,0.0185977,0.0163561,0.00963955,0.0451004
93,0.0187456,0.0232399,0.0162836,0.0482531
94,0.0204104,0.0271035,0.0163077,0.0479435
95,0.0204104,0.0271035,0.0163077,0.0479435
96,0.0204104,0.0271035,0.0163077,0.0479435
97,0.0212429,0.0336821,0.0210338,0.060873
98,0.0212429,0.0336821,0.0210338,0.060873
99,0.0150811,0.0185038,0.0159334,0.0550708
100,0.0248875,0.0335499,0.0169965,0.0253325
101,0.0199627,0.0288689,0.0188461,0.05053
102,0.0203209,0.0274141,0.0180756,0.0381648
103,0.0308656,0.0414337,0.0164162,0.0641916
104,0.0308656,0.0414337,0.0164162,0.0641916
105,0.0308656,0.0414337,0.0164162,0.0641916
106,0.0175733,0.0215512,0.0141441,0.0387045
107,0.0201298,0.0264477,0.0162445,0.0603881
108,0.0201298,0.0264477,0.0162445,0.0603881
109,0.0197526,0.0225162,0.0141588,0.0484645
110,0.0194775,0.0221982,0.0142557,0.0603632
111,0.0226492,0.0238839,0.0132124,0.0565294
112,0.0228472,0.0261872,0.0150744,0.0227064
113,0.0237305,0.0270569,0.0142546,0.060211
114,0.0222502,0.0238904,0.014535,0.0304659
115,0.0219284,0.0157546,0.00972466,0.0546977
116,0.0149742,0.0106457,0.00788429,0.0479349
117,0.0183791,0.0161712,0.0111492,0.059842
118,0.0176801,0.0180691,0.0127327,0.0504502
119,0.0192582,0.0225207,0.0126651,0.0397714
120,0.0210776,0.0236663,0.0137936,0.0570957
121,0.020045,0.020694,0.0132486,0.0400918
122,0.0215193,0.0269814,0.0141725,0.0478997
123,0.0176833,0.0244346,0.0178092,0.033087
124,0.0235155,0.0272558,0.0132266,0.0504469
125,0.0235314,0.0291682,0.0161261,0.0472936
126,0.0226355,0.0259776,0.012901,0.0501942
127,0.0256385,0.0403237,0.0191556,0.0570364
128,0.023386,0.034758,0.0206869,0.0561333
129,0.023386,0.034758,0.0206869,0.0561333
130,0.0253369,0.0422265,0.0207025,0.0460188
131,0.0183821,0.0284283,0.0187928,0.0474365
132,0.0182445,0.0188012,0.0123095,0.0498247
133,0.0216191,0.0214522,0.012438,0.0493478
134,0.0216191,0.0214522,0.012438,0.0493478
135,0.021133,0.02137,0.0113681,0.0720084
136,0.0223443,0.0228228,0.0133541,0.0602289
137,0.0266257,0.0379942,0.0175815,0.0575908
138,0.0225336,0.0256026,0.0138903,0.051015
139,0.0238733,0.0288396,0.0156355,0.0586063
140,0.026194,0.0291864,0.0138572,0.0538735
141,0.026194,0.0291864,0.0138572,0.0538735
142,0.027737,0.0352459,0.0181237,0.0669129
143,0.0233843,0.0378875,0.0202785,0.0558416
144,0.0262237,0.0338841,0.0150998,0.0539041
145,0.0208691,0.0296426,0.0174484,0.0603991
146,0.0203362,0.0291339,0.0177658,0.0523323
147,0.0199859,0.0279781,0.0179815,0.050279
148,0.0152825,0.0182356,0.0153628,0.0404714
149,0.0152825,0.0182356,0.0153628,0.0404714
150,0.0254771,0.031384,0.0158136,0.0539239
151,0.0254771,0.031384,0.0158136,0.0539239
152,0.019802,0.0214441,0.0136113,0.0450779
153,0.0187188,0.0196117,0.0118083,0.0633279
154,0.0238688,0.0310796,0.0177954,0.0476087
155,0.0279482,0.0320886,0.0130487,0.0773906
156,0.0180263,0.0211306,0.0154113,0.0578361
157,0.0199637,0.025947,0.0170115,0.0605347
158,0.0254612,0.0321516,0.0161403,0.0491616
159,0.0167051,0.0233509,0.0171515,0.0583828
160,0.0238724,0.0347157,0.0184289,0.0380538
161,0.0189941,0.0254883,0.0167433,0.0419517
162,0.0210047,0.0333408,0.0197904,0.0613692
163,0.0210047,0.0333408,0.0197904,0.0613692
164,0.0202922,0.0302752,0.0181287,0.0488266
165,0.0271926,0.0390653,0.0195279,0.0464801
166,0.0271926,0.0390653,0.0195279,0.0464801
167,0.0249549,0.0360549,0.0189431,0.0526694
168,0.0298454,0.0450483,0.0177861,0.038017
169,0.0298454,0.0450483,0.0177861,0.038017
170,0.0226427,0.0285254,0.0151636,0.0629809
171,0.0216618,0.0245406,0.014069,0.0520616
172,0.0244368,0.0276179,0.0150282,0.0787413
173,0.0244368,0.0276179,0.0150282,0.0787413
174,0.0195279,0.0227297,0.0130502,0.0639434
175,0.0188489,0.0246225,0.0159043,0.0674555
176,0.0242815,0.0332048,0.0179512,0.0470134
177,0.0211573,0.0285026,0.0172011,0.0663423
178,0.0203825,0.0323521,0.0222321,0.0538644
179,0.0195959,0.0280391,0.0185957,0.0603991
180,0.0173112,0.0280093,0.0185088,0.060758
181,0.0238403,0.0371546,0.0188245,0.0667869
182,0.0235016,0.0283374,0.0157938,0.0434762
183,0.019103,0.0181632,0.0123668,0.0489256
184,0.0231743,0.0209128,0.0111982,0.0416206
185,0.0231743,0.0209128,0.0111982,0.0416206
186,0.0183747,0.0179777,0.0113667,0.0302759
187,0.017956,0.0181364,0.0137116,0.0408465
188,0.0226036,0.0256461,0.0150434,0.0450039
189,0.0298801,0.0311039,0.0128291,0.0409563
190,0.0269809,0.0263661,0.0115149,0.0592979
191,0.0226191,0.02661,0.0160698,0.037207
192,0.020583,0.0273439,0.0169763,0.0378184
193,0.0187423,0.0277581,0.0181936,0.0419801
194,0.0217004,0.030967,0.0177162,0.0683966
195,0.0183369,0.0230379,0.0155134,0.0477268
196,0.0242339,0.038214,0.0193662,0.0793274
197,0.0242969,0.0407614,0.0195434,0.0414343
198,0.0217128,0.0334882,0.0218085,0.0540192
199,0.0191247,0.0258843,0.0163431,0.0510144
200,0.0183195,0.0223669,0.015474,0.0781908
201,0.0212368,0.0221595,0.013929,0.0492672
202,0.0177973,0.0200026,0.0150926,0.0596485
203,0.0202066,0.0215795,0.0150777,0.0588588
204,0.0191208,0.0182356,0.0116206,0.0544945
205,0.0191208,0.0182356,0.0116206,0.0544945
206,0.0213746,0.0182544,0.0105364,0.0756467
207,0.0149506,0.0147534,0.0107589,0.0448208
208,0.0160418,0.0165491,0.0111972,0.0643837
209,0.0221301,0.0199034,0.0117599,0.0646017
210,0.0226807,0.026123,0.0143317,0.0844661
211,0.0201777,0.020144,0.0126976,0.0565379
212,0.0191785,0.0172242,0.0107708,0.0672486
