t,N_f,N_g
10,700,840000
20,500,100000
30,200,20000
40,150,9000
50,150,3000
60,130,2600
70,110,2200
80,110,2200
90,110,2200
100,110,2200
110,110,2200
120,110,2200
130,110,2200
140,110,2200
150,110,2200
160,110,2200
170,110,2200
180,110,2200
190,110,2200
200,110,2200
210,110,2200
220,110,2200
230,110,2200
240,110,2200
250,110,2200
260,110,2200
270,110,2200
280,110,2200
290,110,2200
300,110,2200
310,110,2200
320,110,2200
330,110,2200
340,110,2200
350,110,2200
360,110,2200
370,110,2200
380,110,2200
390,110,2200
400,110,2200
410,110,2200
420,110,2200
430,110,2200
440,110,2200
450,110,2200
460,110,2200
470,110,2200
480,110,2200
490,110,2200
500,110,2200
510,110,2200
520,110,2200
530,110,2200
540,110,2200
550,110,2200
560,110,2200
570,110,2200
580,110,2200
590,110,2200
600,110,2200
610,110,2200
620,110,2200
630,110,2200
640,110,2200
650,110,2200
660,110,2200
670,110,2200
680,110,2200
690,110,2200
700,110,2200
710,110,2200
720,110,2200
730,110,2200
740,110,2200
750,110,2200
760,110,2200
770,110,2200
780,110,2200
790,110,2200
800,110,2200
810,110,2200
820,110,2200
830,110,2200
840,110,2200
850,110,2200
860,110,2200
870,110,2200
880,110,2200
890,110,2200
900,110,2200
910,110,2200
920,110,2200
930,110,2200
940,110,2200
950,110,2200
960,110,2200
970,110,2200
980,110,2200
990,110,2200
1000,110,2200
1010,110,2200
1020,110,2200
1030,110,2200
1040,110,2200
1050,110,2200
1060,110,2200
1070,110,2200
1080,110,2200
1090,110,2200
1100,110,2200
1110,110,2200
1120,110,2200
1130,110,2200
1140,110,2200
1150,110,2200
1160,110,2200
1170,110,2200
1180,110,2200
1190,110,2200
1200,110,2200
1210,110,2200
1220,110,2200
1230,110,2200
1240,110,2200
1250,110,2200
1260,110,2200
1270,110,2200
1280,110,2200
1290,110,2200
1300,110,2200
1310,110,2200
1320,110,2200
1330,110,2200
1340,110,2200
1350,110,2200
1360,110,2200
1370,110,2200
1380,110,2200
1390,110,2200
1400,110,2200
1410,110,2200
1420,110,2200
1430,110,2200
1440,110,2200
1450,110,2200
1460,110,2200
1470,110,2200
1480,110,2200
1490,110,2200
1500,110,2200
1510,110,2200
1520,110,2200
1530,110,2200
1540,110,2200
1550,110,2200
1560,110,2200
1570,110,2200
1580,110,2200
1590,110,2200
1600,110,2200
1610,110,2200
1620,110,2200
1630,110,2200
1640,110,2200
1650,110,2200
1660,110,2200
1670,110,2200
1680,110,2200
1690,110,2200
1700,110,2200
1710,110,2200
1720,110,2200
1730,110,2200
1740,110,2200
1750,110,2200
1760,110,2200
1770,110,2200
1780,110,2200
1790,110,2200
1800,110,2200
1810,110,2200
1820,110,2200
1830,110,2200
1840,110,2200
1850,110,2200
1860,110,2200
1870,110,2200
1880,110,2200
1890,110,2200
1900,110,2200
1910,110,2200
1920,110,2200
1930,110,2200
1940,110,2200
1950,110,2200
1960,110,2200
1970,110,2200
1980,110,2200
1990,110,2200
2000,110,2200
2010,110,2200
2020,110,2200
2030,110,2200
2040,110,2200
2050,110,2200
2060,110,2200
2070,110,2200
2080,110,2200
2090,110,2200
2100,110,2200
2110,110,2200
2120,110,2200
2130,110,2200
2140,110,2200
2150,110,2200
2160,110,2200
2170,110,2200
2180,110,2200
2190,110,2200
2200,110,2200
2210,110,2200
2220,110,2200
2230,110,2200
2240,110,2200
2250,110,2200
2260,110,2200
2270,110,2200
2280,110,2200
2290,110,2200
2300,110,2200
2310,110,2200
2320,110,2200
2330,110,2200
2340,110,2200
2350,110,2200
2360,110,2200
2370,110,2200
2380,110,2200
2390,110,2200
2400,110,2200
2410,110,2200
2420,110,2200
2430,110,2200
2440,110,2200
2450,110,2200
2460,110,2200
2470,110,2200
2480,110,2200
2490,110,2200
2500,110,2200
2510,110,2200
2520,110,2200
2530,110,2200
2540,110,2200
2550,110,2200
2560,110,2200
2570,110,2200
2580,110,2200
2590,110,2200
2600,110,2200
2610,110,2200
2620,110,2200
2630,110,2200
2640,110,2200
2650,110,2200
2660,110,2200
2670,110,2200
2680,110,2200
2690,110,2200
2700,110,2200
2710,110,2200
2720,110,2200
2730,110,2200
2740,110,2200
2750,110,2200
2760,110,2200
2770,110,2200
2780,110,2200
2790,110,2200
2800,110,2200
2810,110,2200
2820,110,2200
2830,110,2200
2840,110,2200
2850,110,2200
2860,110,2200
2870,110,2200
2880,110,2200
2890,110,2200
2900,110,2200
2910,110,2200
2920,110,2200
2930,110,2200
2940,110,2200
2950,110,2200
2960,110,2200
2970,110,2200
2980,110,2200
2990,110,2200
3000,110,2200
3010,110,2200
3020,110,2200
3030,110,2200
3040,110,2200
3050,110,2200
3060,110,2200
3070,110,2200
3080,110,2200
3090,110,2200
3100,110,2200
3110,110,2200
3120,110,2200
3130,110,2200
3140,110,2200
3150,110,2200
3160,110,2200
3170,110,2200
3180,110,2200
3190,110,2200
3200,110,2200
3210,110,2200
3220,110,2200
3230,110,2200
3240,110,2200
3250,110,2200
3260,110,2200
3270,110,2200
3280,110,2200
3290,110,2200
3300,110,2200
3310,110,2200
3320,110,2200
3330,110,2200
3340,110,2200
3350,110,2200
3360,110,2200
3370,110,2200
3380,110,2200
3390,110,2200
3400,110,2200
3410,110,2200
3420,110,2200
3430,110,2200
3440,110,2200
3450,110,2200
3460,110,2200
3470,110,2200
3480,110,2200
3490,110,2200
3500,110,2200
