t,e^(-dS)
1,0.987706
2,1.00527
3,1.01068
4,0.996998
5,1.00626
6,1.00417
7,1.00656
8,0.99001
9,0.994298
10,1.00986
11,1.00514
12,0.99524
13,1.00184
14,0.997206
15,0.994955
16,0.992756
17,0.997485
18,1.00075
19,1.01873
20,0.996634
21,0.968158
22,0.977028
23,0.989951
24,1.02147
25,1.03647
26,0.947887
27,0.913483
28,0.984688
29,1.06083
30,1.01015
31,1.01261
32,1.01719
33,1.07424
34,0.955539
35,1.03628
36,1.04013
37,0.893061
38,1.23134
39,0.8063
40,0.964013
41,1.02322
42,1.13304
43,1.04631
44,0.823329
45,0.869445
46,0.86988
47,0.932049
48,0.974111
49,0.907837
50,0.848827
51,0.986729
52,0.581875
53,0.701454
54,0.826463
55,0.568758
56,0.932571
57,1.00956
58,1.7179
59,0.851292
60,0.95102
61,1.08047
62,0.84299
63,0.605682
64,0.865715
65,0.887453
66,0.79716
67,1.31983
68,0.606834
69,0.731982
70,0.793739
71,0.874852
72,1.80706
73,1.53373
74,0.944282
75,0.990055
76,1.32392
77,0.993819
78,0.889318
79,1.3033
80,0.58339
81,1.28595
82,0.912662
83,0.799155
84,1.04855
85,2.14728
86,0.723323
87,1.01641
88,0.468041
89,0.61965
90,1.02782
91,0.958707
92,0.696979
93,1.46477
94,0.942735
95,0.646876
96,0.761169
97,1.01487
98,0.399636
99,0.692186
100,0.896461
101,0.982505
102,0.832102
103,0.850781
104,0.65968
105,0.871709
106,1.12536
107,1.19674
108,0.452938
109,0.769357
110,0.873541
111,1.03979
112,1.15998
113,1.22667
114,0.902578
115,0.513143
116,0.968555
117,1.28982
118,1.21155
119,1.64132
120,1.14855
121,0.837612
122,1.38099
123,1.47935
124,0.800835
125,1.02129
126,1.11672
127,1.80164
128,0.903481
129,0.6812
130,0.929833
131,0.791441
132,0.707371
133,0.994422
134,0.923079
135,1.02619
136,1.2467
137,2.81229
138,0.525135
139,0.96384
140,0.990563
141,0.684135
142,1.31456
143,1.76579
144,0.699003
145,1.30944
146,0.895028
147,0.87915
148,0.987361
149,0.779424
150,1.60657
151,0.311611
152,0.720579
153,0.754651
154,0.915083
155,1.07722
156,0.947309
157,0.99283
158,0.911212
159,1.1039
160,1.09938
161,0.916283
162,1.16451
163,0.549031
164,0.760864
165,1.02239
166,0.48612
167,1.13519
168,0.950564
169,0.736976
170,0.707654
171,1.1714
172,0.817994
173,0.799715
174,1.05562
175,1.43677
176,0.87792
177,0.961751
178,1.54172
179,0.816442
180,1.34932
181,1.34689
182,0.623005
183,0.781844
184,1.04764
185,0.707371
186,1.27316
187,0.900415
188,1.34219
189,0.801476
190,0.892883
191,0.919744
192,1.00977
193,1.09144
194,1.69774
195,0.862604
196,1.17574
197,1.31259
198,1.0633
199,0.768665
200,0.9199
201,0.798995
202,1.1327
203,0.853764
204,0.762083
205,0.779112
206,1.21568
207,1.38044
208,0.955539
209,0.64185
210,1.35703
211,0.796443
212,0.67267
213,0.811558
214,0.604835
215,0.974588
216,0.685779
217,0.923033
218,1.21628
219,1.26909
220,1.07627
221,1.40284
222,1.04877
223,0.853082
224,0.799075
225,1.14798
226,1.18057
227,0.435265
228,1.18922
229,1.56784
230,0.842485
231,0.909882
232,0.692602
233,0.720147
234,1.1916
235,0.965808
236,1.39208
237,0.88338
238,1.45237
239,0.468696
240,1.51437
241,1.58598
242,0.568815
243,0.847216
244,0.978182
245,1.27367
246,0.580132
247,0.59768
248,0.923403
249,1.2158
250,0.747366
251,0.504241
252,0.806783
253,1.29525
254,2.07757
255,0.869619
256,1.98635
257,0.735356
258,1.00602
259,0.886123
260,0.973887
261,0.886743
262,1.07952
263,0.898346
264,0.957356
265,0.810179
266,1.15581
267,1.04533
268,0.691702
269,1.0112
270,0.672469
271,0.765597
272,0.809531
273,0.970591
274,0.988645
275,1.33776
276,0.80751
277,0.926316
278,1.05452
279,0.906169
280,0.349588
281,0.794375
282,0.987874
283,0.938803
284,0.892526
285,0.750662
286,1.09396
287,0.944179
288,0.92882
289,1.22336
290,1.17339
291,0.718564
292,0.823823
293,1.03693
294,0.998965
295,0.883557
296,0.65279
297,0.986364
298,1.39487
299,0.842316
300,0.561412
301,0.636291
302,1.02813
303,0.710135
304,1.38874
305,1.24384
306,0.91831
307,0.371317
308,0.675434
309,1.45761
310,1.07672
311,1.1116
312,1.15281
313,1.6364
314,0.808479
315,1.42533
316,0.981091
317,0.482681
318,0.593689
319,0.829693
320,0.984275
321,1.3678
322,0.792867
323,1.24633
324,0.60738
325,0.514943
326,0.834519
327,1.16988
328,1.37204
329,1.78854
330,0.814322
331,0.681608
332,0.945889
333,0.790018
334,1.21276
335,1.65169
336,0.636163
337,0.603868
338,0.982908
339,2.03501
340,0.740078
341,1.45455
342,1.05321
343,0.872145
344,1.37644
345,0.943216
346,0.827373
347,0.847216
348,1.71258
349,0.858817
350,0.856415
351,0.637246
352,0.76254
353,1.08498
354,1.35324
355,0.667577
356,0.495296
357,1.25232
358,0.825967
359,0.95404
360,0.783879
361,0.819058
362,1.11941
363,0.917191
364,1.35134
365,1.07797
366,1.12479
367,1.12378
368,0.90693
369,0.673882
370,1.77624
371,0.605077
372,1.49496
373,0.416029
374,0.793978
375,0.752993
376,1.36302
377,0.800675
378,1.00037
379,1.14214
380,0.732421
381,1.35337
382,0.772132
383,1.747
384,1.18223
385,1.13134
386,0.835939
387,1.55162
388,0.681608
389,0.968981
390,2.28074
391,0.692671
392,1.06569
393,1.33763
394,1.13383
395,0.660935
396,0.839373
397,1.19794
398,0.990523
399,1.678
400,0.784664
401,0.507327
402,1.12513
403,1.99931
404,0.736681
405,0.425836
406,0.973459
407,1.44933
408,0.88763
409,1.0486
410,1.06398
411,0.891544
412,0.988161
413,1.02095
414,0.675164
415,0.624065
416,0.955911
417,0.372879
418,0.397802
419,1.0253
420,1.01478
421,0.943886
422,1.01656
423,0.774297
424,1.35934
425,1.05849
426,0.847046
427,1.35446
428,1.9515
429,0.939216
430,0.673074
431,0.729935
432,1.29137
433,0.684409
434,0.744606
435,0.990757
436,1.03708
437,1.00455
438,0.778879
439,1.59552
440,1.46829
441,0.51376
442,1.09429
443,1.52333
444,0.770743
445,0.640056
446,1.1319
447,0.63375
448,0.881262
449,0.609083
450,0.876078
451,0.739338
452,1.37975
453,0.582457
454,1.20045
455,0.928811
456,1.16498
457,1.7402
458,1.37328
459,1.07552
460,0.632358
461,1.39948
462,1.06355
463,0.99048
464,1.01517
465,0.91331
466,0.688046
467,0.850441
468,1.27711
469,1.48483
470,0.801236
471,1.49586
472,0.797878
473,1.01358
474,0.969873
475,0.842822
476,0.922793
477,1.48855
478,0.795488
479,1.2527
480,1.20925
481,1.12671
482,0.5739
483,0.865109
484,0.918871
485,1.51786
486,0.747516
487,0.481861
488,0.54991
489,1.17058
490,0.541777
491,1.06463
492,1.4079
493,0.777867
494,2.41042
495,1.08852
496,0.754877
497,0.800355
498,1.66712
499,1.39139
500,1.23208
501,0.830689
502,0.603807
503,0.515767
504,0.626504
505,0.859332
506,0.842485
507,0.794216
508,0.911613
509,0.528295
510,0.879238
511,0.901766
512,0.783644
513,0.789149
514,1.22851
515,1.42889
516,1.05962
517,0.90312
518,1.19746
519,0.779658
520,1.44687
521,0.665045
522,1.55069
523,1.98794
524,1.11628
525,1.23467
526,1.04074
527,1.27532
528,0.794851
529,1.4385
530,0.809369
531,1.20093
532,0.830357
533,1.22826
534,1.30826
535,0.951429
536,0.607259
537,1.19794
538,1.79087
539,0.718708
540,1.28775
541,0.797319
542,0.782157
543,0.505352
544,0.563324
545,1.51695
546,1.05286
547,0.718133
548,0.486752
549,1.45586
550,1.20599
551,0.33088
552,0.615082
553,0.675029
554,1.03227
555,0.720723
556,0.670119
557,0.737861
558,1.20961
559,0.819222
560,1.62304
561,1.10113
562,0.884971
563,0.57304
564,1.27049
565,0.858387
566,1.45397
567,0.837947
568,1.3279
569,0.844424
570,1.44181
571,1.22998
572,0.907411
573,0.875465
574,0.642107
575,1.15974
576,0.786471
577,0.663451
578,1.59122
579,0.844424
580,1.36411
581,1.22397
582,0.444058
583,1.04794
584,1.38791
585,1.47565
586,0.449509
587,0.751714
588,0.737566
589,0.752541
590,0.414161
591,1.35676
592,1.90618
593,0.97694
594,0.834102
595,0.832685
596,0.94232
597,2.02668
598,2.00551
599,1.49018
600,1.08374
601,0.617115
602,0.607623
603,0.566488
604,1.5023
605,1.03168
606,0.917824
607,1.71224
608,0.572696
609,0.539831
610,2.16322
611,0.874153
612,1.08079
613,0.924668
614,1.28879
615,0.934718
616,0.85385
617,0.995826
618,0.257432
619,0.71541
620,0.741559
621,1.49227
622,1.01712
623,1.22654
624,1.00365
625,0.722527
626,0.63141
627,1.6598
628,1.01541
629,0.85479
630,0.587605
631,1.03749
632,0.955013
633,0.713837
634,1.049
635,1.27685
636,0.803081
637,1.28005
638,0.806864
639,0.873279
640,0.98525
641,0.925131
642,0.961751
643,0.706028
644,1.41765
645,0.921631
646,0.877744
647,0.607866
648,1.10705
649,1.4447
650,0.975476
651,0.444502
652,1.06626
653,1.17574
654,0.601096
655,1.01228
656,1.01321
657,1.24645
658,0.709922
659,1.23565
660,1.05466
661,2.19263
662,1.16953
663,1.00615
664,1.39808
665,1.22691
666,0.27036
667,1.10201
668,0.40771
669,0.996272
670,0.554882
671,0.950992
672,0.893061
673,1.21604
674,0.81587
675,0.778801
676,1.00219
677,0.925825
678,1.13247
679,0.492382
680,1.2477
681,0.878183
682,0.886211
683,1.15027
684,0.911558
685,0.648496
686,0.515561
687,1.18105
688,1.44817
689,0.79065
690,0.662921
691,1.18034
692,1.03758
693,1.30356
