MDTU,|Tr(L)|,ReTr(L),ImTr(L)
181,3.58878,0.0928703,3.58758
182,3.58161,0.00339992,3.58161
183,3.56138,0.00770641,3.56137
184,3.56138,0.00770641,3.56137
185,3.53543,0.348476,3.51822
186,3.39631,0.136512,3.39357
187,3.46314,-0.158907,3.45949
188,3.46314,-0.158907,3.45949
189,3.38679,-0.215779,3.37991
190,3.38679,-0.215779,3.37991
191,3.52141,-0.393288,3.49937
192,3.47446,-0.489773,3.43976
193,3.47446,-0.489773,3.43976
194,3.34048,-0.5944,3.28717
195,3.37813,-0.648179,3.31536
196,3.44445,-0.519088,3.40511
197,3.38696,-0.569584,3.33873
198,3.49124,-1.04804,3.33022
199,3.49124,-1.04804,3.33022
200,3.46608,-1.02026,3.31252
201,3.41276,-0.825574,3.3114
202,3.41276,-0.825574,3.3114
203,3.41276,-0.825574,3.3114
204,3.45734,-0.976119,3.31668
205,3.45734,-0.976119,3.31668
206,3.39263,-1.26826,3.14666
207,3.39263,-1.26826,3.14666
208,3.39263,-1.26826,3.14666
209,3.39594,-1.06161,3.22574
210,3.39082,-0.897536,3.26988
211,3.36738,-0.844102,3.25987
212,3.28557,-0.998783,3.13008
213,3.26543,-1.07743,3.08257
214,3.28161,-1.01409,3.121
215,3.37841,-1.32791,3.1065
216,3.39481,-1.12247,3.20387
217,3.39481,-1.12247,3.20387
218,3.39481,-1.12247,3.20387
219,3.39481,-1.12247,3.20387
220,3.39481,-1.12247,3.20387
221,3.39481,-1.12247,3.20387
222,3.49634,-1.04544,3.33639
223,3.49634,-1.04544,3.33639
224,3.49634,-1.04544,3.33639
225,3.35692,-0.937482,3.22335
226,3.35692,-0.937482,3.22335
227,3.36828,-0.450622,3.338
228,3.44102,-0.730913,3.36249
229,3.41095,-0.858246,3.30121
230,3.49785,-0.756633,3.41504
231,3.49785,-0.756633,3.41504
232,3.43815,-0.760484,3.35299
233,3.42318,-1.09555,3.24314
234,3.41303,-0.818094,3.31354
235,3.41446,-0.574755,3.36573
236,3.4754,-0.50389,3.43867
237,3.38074,-0.757888,3.29469
238,3.43934,-0.76981,3.35208
239,3.40046,-0.646626,3.33841
240,3.45021,-0.634676,3.39133
241,3.4676,-0.565082,3.42125
242,3.46387,0.236485,3.45579
243,3.44848,-0.049929,3.44812
244,3.38875,-0.112418,3.38688
245,3.33761,0.123755,3.33531
246,3.33761,0.123755,3.33531
247,3.22397,0.335165,3.2065
248,3.22397,0.335165,3.2065
249,3.28992,0.51731,3.249
250,3.23588,0.492256,3.19822
251,3.33071,0.587306,3.27852
252,3.33071,0.587306,3.27852
253,3.33071,0.587306,3.27852
254,3.33071,0.587306,3.27852
255,3.34163,0.768531,3.25205
256,3.4688,0.689503,3.39958
257,3.39234,0.731926,3.31244
258,3.47432,0.170631,3.47013
259,3.49741,0.453667,3.46786
260,3.49812,0.331864,3.48234
261,3.35844,0.0650007,3.35781
262,3.35844,0.0650007,3.35781
263,3.45286,0.319838,3.43801
264,3.45286,0.319838,3.43801
265,3.45286,0.319838,3.43801
266,3.45286,0.319838,3.43801
267,3.43662,0.613368,3.38144
268,3.43662,0.613368,3.38144
269,3.5307,0.710226,3.45853
270,3.5307,0.710226,3.45853
271,3.54575,0.540357,3.50433
272,3.51248,0.375186,3.49238
273,3.51248,0.375186,3.49238
274,3.51248,0.375186,3.49238
275,3.34336,0.290073,3.33075
276,3.34336,0.290073,3.33075
277,3.39993,-0.0221183,3.39986
278,3.49141,0.448054,3.46255
279,3.55579,0.058723,3.5553
280,3.55579,0.058723,3.5553
281,3.51121,0.0186583,3.51116
282,3.51121,0.0186583,3.51116
283,3.51121,0.0186583,3.51116
284,3.42535,-0.114191,3.42344
285,3.42535,-0.114191,3.42344
286,3.42997,-0.0240411,3.42988
287,3.45893,0.319542,3.44414
288,3.45399,0.454505,3.42396
289,3.45399,0.454505,3.42396
290,3.54337,0.939779,3.41648
291,3.47146,0.969951,3.3332
292,3.46431,1.38284,3.17635
293,3.46431,1.38284,3.17635
294,3.46431,1.38284,3.17635
295,3.45916,1.2177,3.23774
296,3.45916,1.2177,3.23774
297,3.45916,1.2177,3.23774
298,3.45916,1.2177,3.23774
299,3.45916,1.2177,3.23774
300,3.36796,0.996391,3.2172
301,3.48407,1.03175,3.3278
302,3.46278,1.34157,3.19233
303,3.48309,1.14353,3.29002
304,3.50663,1.1682,3.30632
305,3.50663,1.1682,3.30632
306,3.47996,1.15033,3.28433
307,3.54919,1.24758,3.3227
308,3.56457,0.725122,3.49004
309,3.56457,0.725122,3.49004
310,3.51338,0.996544,3.36909
311,3.48636,1.03855,3.32808
312,3.49811,0.877599,3.38623
313,3.49811,0.877599,3.38623
314,3.44654,0.746423,3.36474
315,3.44654,0.746423,3.36474
316,3.42992,1.09684,3.24981
317,3.42531,0.940096,3.29378
318,3.46678,1.07049,3.29737
319,3.46678,1.07049,3.29737
320,3.46678,1.07049,3.29737
321,3.46678,1.07049,3.29737
322,3.46785,1.66512,3.04194
323,3.46785,1.66512,3.04194
324,3.46785,1.66512,3.04194
325,3.37615,1.85358,2.82181
326,3.29542,1.29433,3.0306
327,3.29542,1.29433,3.0306
328,3.31607,1.57704,2.91706
329,3.37517,1.4409,3.05215
330,3.42167,1.52121,3.06492
331,3.42167,1.52121,3.06492
332,3.40886,1.94017,2.80287
333,3.40886,1.94017,2.80287
334,3.38538,1.80654,2.86307
335,3.47783,1.67759,3.04647
336,3.48502,2.11806,2.76752
337,3.3862,2.40378,2.385
338,3.31543,2.23621,2.44774
339,3.36885,2.37565,2.3886
340,3.34024,2.26468,2.45528
341,3.32684,2.32087,2.38358
342,3.36541,2.23299,2.51788
343,3.32643,2.15368,2.53511
344,3.32643,2.15368,2.53511
345,3.35522,2.22661,2.50991
346,3.41291,2.25467,2.56211
347,3.41291,2.25467,2.56211
348,3.36069,2.15703,2.5771
349,3.28544,2.09237,2.533
350,3.31391,1.94986,2.67957
351,3.39675,1.78356,2.89082
352,3.39675,1.78356,2.89082
353,3.39994,1.62771,2.98499
354,3.33778,1.5648,2.94824
355,3.33778,1.5648,2.94824
356,3.33778,1.5648,2.94824
357,3.33778,1.5648,2.94824
358,3.3155,1.79251,2.78916
359,3.46214,1.61916,3.06018
360,3.46214,1.61916,3.06018
361,3.49578,2.04815,2.83294
362,3.49578,2.04815,2.83294
363,3.49578,2.04815,2.83294
364,3.4351,1.9323,2.84009
365,3.4351,1.9323,2.84009
366,3.41773,2.31224,2.51682
367,3.41773,2.31224,2.51682
368,3.36409,2.12692,2.6064
369,3.36409,2.12692,2.6064
370,3.36409,2.12692,2.6064
371,3.40675,2.26847,2.54164
372,3.33524,1.86177,2.76724
373,3.40951,1.46327,3.07955
374,3.40951,1.46327,3.07955
375,3.42044,1.54481,3.05171
376,3.35648,1.65993,2.91729
377,3.35648,1.65993,2.91729
378,3.35648,1.65993,2.91729
379,3.28442,1.68001,2.82224
380,3.18194,1.73354,2.66825
381,3.18194,1.73354,2.66825
382,3.14883,1.72556,2.63393
383,3.29412,1.86692,2.71401
384,3.29412,1.86692,2.71401
385,3.33456,2.15163,2.5475
386,3.33456,2.15163,2.5475
387,3.33456,2.15163,2.5475
388,3.35168,2.43366,2.30458
389,3.36077,2.08753,2.63381
390,3.40319,1.96957,2.77534
391,3.4382,1.74936,2.95989
392,3.4382,1.74936,2.95989
393,3.4382,1.74936,2.95989
394,3.48821,1.72684,3.03079
395,3.5073,2.02926,2.86064
396,3.5073,2.02926,2.86064
397,3.39076,1.86578,2.83128
398,3.39076,1.86578,2.83128
399,3.3476,1.80857,2.817
400,3.41399,1.84678,2.87136
401,3.48815,1.83426,2.96693
402,3.48815,1.83426,2.96693
403,3.3803,1.68703,2.92923
404,3.3666,1.55765,2.98458
405,3.30066,1.38829,2.9945
406,3.30066,1.38829,2.9945
407,3.37626,1.45901,3.04474
408,3.32053,1.10806,3.13019
409,3.39267,1.6096,2.98653
410,3.39267,1.6096,2.98653
411,3.33755,1.43381,3.01388
412,3.33755,1.43381,3.01388
413,3.33755,1.43381,3.01388
414,3.31866,1.45158,2.98436
415,3.26891,1.08756,3.0827
416,3.26891,1.08756,3.0827
417,3.28699,1.23945,3.04435
418,3.2931,0.953768,3.15196
419,3.2931,0.953768,3.15196
420,3.33947,1.50548,2.98087
421,3.33947,1.50548,2.98087
422,3.33343,1.33027,3.05649
423,3.27562,1.5755,2.87185
424,3.27562,1.5755,2.87185
425,3.29785,1.88499,2.70604
426,3.2937,1.71669,2.81095
427,3.23165,1.65775,2.77407
428,3.253,1.7021,2.77215
429,3.21339,1.68105,2.7386
430,3.21339,1.68105,2.7386
431,3.21339,1.68105,2.7386
432,3.18857,1.26004,2.92904
433,3.27751,1.29164,3.01227
434,3.29658,0.963372,3.15268
435,3.21615,1.3968,2.89699
436,3.314,1.45622,2.97692
437,3.32115,1.42418,3.00029
438,3.30556,1.48236,2.95454
439,3.39603,1.66402,2.96042
440,3.39603,1.66402,2.96042
441,3.35152,1.54227,2.97558
442,3.37248,1.89328,2.7909
443,3.42387,1.85728,2.87635
444,3.43624,1.58446,3.04913
445,3.43624,1.58446,3.04913
446,3.35341,2.04488,2.65779
447,3.35341,2.04488,2.65779
448,3.35341,2.04488,2.65779
449,3.29915,1.77052,2.78382
450,3.29915,1.77052,2.78382
451,3.22566,1.99319,2.53616
452,3.22566,1.99319,2.53616
453,3.32065,2.12828,2.54894
454,3.26448,2.14786,2.45836
455,3.26806,2.27851,2.34278
456,3.4016,2.34225,2.46672
457,3.36046,2.16936,2.56643
458,3.31185,2.23504,2.44396
459,3.31033,1.96402,2.66476
460,3.40542,1.77452,2.90653
461,3.45056,1.58929,3.06276
462,3.39496,1.50609,3.04261
463,3.36097,1.43578,3.03886
464,3.43065,1.61581,3.0263
465,3.34712,1.2663,3.09833
466,3.37993,1.25476,3.13839
467,3.27992,1.10017,3.08991
468,3.30194,1.29378,3.03792
469,3.35151,1.31019,3.0848
470,3.35151,1.31019,3.0848
471,3.37628,1.21413,3.15042
472,3.27593,1.10434,3.08418
473,3.35553,1.59864,2.95024
474,3.20678,1.33151,2.91728
475,3.25438,1.26177,2.99982
476,3.26755,1.25511,3.01689
477,3.37096,0.951282,3.23395
478,3.39629,0.677115,3.3281
479,3.38626,0.539216,3.34305
480,3.33656,0.657673,3.2711
481,3.35671,0.401596,3.3326
482,3.37915,0.263814,3.36884
483,3.39501,0.104684,3.3934
484,3.39501,0.104684,3.3934
485,3.39501,0.104684,3.3934
486,3.39501,0.104684,3.3934
487,3.38241,-0.16533,3.37836
488,3.38241,-0.16533,3.37836
489,3.38241,-0.16533,3.37836
490,3.45474,-0.483678,3.42071
491,3.40926,-0.7618,3.32306
492,3.40926,-0.7618,3.32306
493,3.40926,-0.7618,3.32306
494,3.44235,-0.622948,3.38551
495,3.49172,-0.601092,3.43959
496,3.48329,-0.510428,3.44569
497,3.39455,-0.915162,3.26886
498,3.39337,-1.19577,3.17571
499,3.4732,-1.32896,3.20889
500,3.39394,-1.14626,3.19452
501,3.39394,-1.14626,3.19452
502,3.36628,-1.45454,3.03581
503,3.36628,-1.45454,3.03581
504,3.44472,-1.73433,2.97627
505,3.38049,-2.08059,2.66438
506,3.40156,-1.98325,2.76357
507,3.40156,-1.98325,2.76357
508,3.40156,-1.98325,2.76357
509,3.40156,-1.98325,2.76357
510,3.36323,-1.93086,2.75374
511,3.36323,-1.93086,2.75374
512,3.28337,-1.88682,2.68709
513,3.1881,-1.75253,2.6632
514,3.1881,-1.75253,2.6632
515,3.1881,-1.75253,2.6632
516,3.25199,-2.02864,2.54166
517,3.21792,-2.10615,2.43294
518,3.27282,-2.30146,2.32694
519,3.3037,-2.10182,2.54888
520,3.3037,-2.10182,2.54888
521,3.25226,-2.15716,2.4339
522,3.24192,-2.24223,2.34146
523,3.28441,-2.05768,2.55994
524,3.28441,-2.05768,2.55994
525,3.28441,-2.05768,2.55994
526,3.26027,-2.25548,2.35418
527,3.19397,-2.38126,2.12863
528,3.19795,-2.37705,2.13927
529,3.19795,-2.37705,2.13927
530,3.19795,-2.37705,2.13927
531,3.26672,-2.23679,2.3808
532,3.25513,-2.14601,2.44756
533,3.25513,-2.14601,2.44756
534,3.28245,-1.85719,2.70654
535,3.21923,-2.07184,2.46392
536,3.21923,-2.07184,2.46392
537,3.17894,-2.10107,2.38562
538,3.28981,-2.19405,2.45133
539,3.28981,-2.19405,2.45133
540,3.3042,-2.49363,2.16784
541,3.29972,-2.48078,2.17574
542,3.36592,-2.46701,2.28982
543,3.26313,-2.1399,2.4635
544,3.26313,-2.1399,2.4635
545,3.30397,-1.72184,2.81984
546,3.29684,-1.98647,2.63117
547,3.3052,-2.10423,2.54883
548,3.27515,-1.96352,2.62129
549,3.44814,-2.00061,2.80842
550,3.53342,-2.12227,2.82507
551,3.44666,-2.05158,2.76957
552,3.44666,-2.05158,2.76957
553,3.44666,-2.05158,2.76957
554,3.46126,-1.76185,2.9793
555,3.46126,-1.76185,2.9793
556,3.46126,-1.76185,2.9793
557,3.4177,-1.70033,2.96472
558,3.38144,-1.59754,2.98026
559,3.38144,-1.59754,2.98026
560,3.40628,-1.7318,2.93319
561,3.38198,-1.9557,2.75918
562,3.38433,-2.56524,2.20753
563,3.4145,-2.48812,2.3384
564,3.40237,-2.72289,2.04009
565,3.40237,-2.72289,2.04009
566,3.49623,-3.03095,1.7427
567,3.39781,-3.02558,1.54627
568,3.39953,-2.93772,1.71073
569,3.39953,-2.93772,1.71073
570,3.41685,-2.97349,1.68322
571,3.32652,-2.85556,1.70631
572,3.33453,-3.03911,1.37217
573,3.35438,-3.0899,1.30552
574,3.35438,-3.0899,1.30552
575,3.38304,-3.01749,1.5296
576,3.44782,-2.94198,1.79784
577,3.44499,-2.96222,1.75875
578,3.48157,-3.12172,1.54149
579,3.45507,-2.92014,1.8467
580,3.4472,-2.92183,1.82923
581,3.44634,-2.75857,2.0658
582,3.44777,-2.4774,2.39783
583,3.36191,-2.36531,2.38909
584,3.34632,-1.79963,2.82121
585,3.34632,-1.79963,2.82121
586,3.34632,-1.79963,2.82121
587,3.34632,-1.79963,2.82121
588,3.42059,-2.1077,2.69407
589,3.45053,-1.58233,3.06634
590,3.51684,-1.71833,3.06847
591,3.56388,-2.23455,2.77633
592,3.47987,-2.45008,2.47115
593,3.44789,-2.43467,2.44138
594,3.43251,-2.08346,2.72788
595,3.43251,-2.08346,2.72788
596,3.31526,-2.13916,2.53278
597,3.28005,-2.10544,2.51513
598,3.34382,-2.0962,2.6052
599,3.34382,-2.0962,2.6052
600,3.32427,-2.09691,2.57948
601,3.32427,-2.09691,2.57948
602,3.32427,-2.09691,2.57948
603,3.34885,-2.00168,2.68479
604,3.35876,-2.10657,2.61603
605,3.40298,-1.99908,2.7539
606,3.47215,-2.43756,2.47267
607,3.39707,-2.43116,2.37266
608,3.57406,-2.58102,2.47229
609,3.57406,-2.58102,2.47229
610,3.57406,-2.58102,2.47229
611,3.52022,-2.39827,2.57687
612,3.46346,-2.14567,2.71876
613,3.35247,-1.86994,2.78251
614,3.4839,-2.21733,2.6872
615,3.39619,-2.48544,2.31446
616,3.33144,-2.25351,2.4536
617,3.3296,-1.95639,2.69421
618,3.33235,-2.11551,2.57471
619,3.27016,-2.10235,2.50481
620,3.24251,-1.82428,2.68065
621,3.24251,-1.82428,2.68065
622,3.24251,-1.82428,2.68065
623,3.38417,-1.81238,2.85794
624,3.38417,-1.81238,2.85794
625,3.26764,-1.58407,2.858
626,3.34653,-1.42166,3.02954
627,3.34653,-1.42166,3.02954
628,3.34653,-1.42166,3.02954
629,3.28671,-1.43214,2.95829
630,3.32127,-1.71,2.84723
631,3.34978,-1.88237,2.77087
632,3.27252,-1.98324,2.6031
633,3.32464,-1.50067,2.96669
634,3.34755,-1.24709,3.10658
635,3.36726,-1.26566,3.12035
636,3.37485,-1.75544,2.88236
637,3.37485,-1.75544,2.88236
638,3.37485,-1.75544,2.88236
639,3.34273,-1.45441,3.00974
640,3.27606,-1.32803,2.99481
641,3.26372,-1.10596,3.07063
642,3.3193,-1.07112,3.14172
643,3.43508,-0.693989,3.36425
644,3.43508,-0.693989,3.36425
645,3.48904,-0.677937,3.42255
646,3.39852,-0.630288,3.33956
647,3.43147,-0.475661,3.39835
648,3.38713,-0.767159,3.29911
649,3.38713,-0.767159,3.29911
650,3.28729,-1.21437,3.05477
651,3.30793,-1.35562,3.0174
652,3.30793,-1.35562,3.0174
653,3.30793,-1.35562,3.0174
654,3.27796,-1.23209,3.03759
655,3.36129,-1.31641,3.09279
656,3.36129,-1.31641,3.09279
657,3.44212,-0.713938,3.36726
658,3.44212,-0.713938,3.36726
659,3.44212,-0.713938,3.36726
