MDTU,S_F
457,0.998387
458,0.995651
459,0.999898
460,1.00189
461,0.996698
462,0.999786
463,1.00275
464,1.00064
465,0.998965
466,0.99832
467,1.00235
468,1.00487
469,0.99638
470,0.997124
471,0.999617
472,0.99888
473,0.997831
474,0.999119
475,0.999863
476,0.994892
477,0.99483
478,1.00067
479,1.00004
480,1.00843
481,1.00252
482,0.997635
483,1.00634
484,0.9997
485,0.998967
486,0.995794
487,1.00101
488,1.00393
489,0.995683
490,0.997385
491,1.00379
492,0.997372
493,1.00221
494,0.996593
495,0.999251
496,1.00564
497,0.997516
498,1.0004
499,1.00308
500,0.994524
501,0.995993
502,1.00118
503,1.00127
504,1.00541
505,0.998894
506,0.998489
507,1.00094
508,1.00061
509,0.991985
510,0.999967
511,0.998946
512,0.996233
513,0.998809
514,0.999447
515,1.00035
516,0.999195
517,1.00824
518,0.993735
519,0.997486
520,0.999368
521,0.99909
522,0.996487
523,1.0008
524,1.00486
525,0.99845
526,1.00001
527,1.00204
528,0.999048
529,1.00412
530,1.0027
531,1.00316
532,0.999846
533,0.995206
534,0.993884
535,0.99594
536,1.00011
537,1.00063
538,1.00418
539,1.00157
540,0.997979
541,0.998287
542,1.00269
543,1.00442
544,0.995071
545,0.996596
546,1.00012
547,0.997281
548,0.991782
549,1.0035
550,1.00939
551,0.999697
552,0.995871
553,0.996181
554,1.00088
555,1.00196
556,1.00092
557,0.994386
558,1.00272
559,1.00131
560,1.00532
561,1.00258
562,0.997929
563,0.998653
564,0.996372
565,1.00772
566,1.0011
567,1.00441
568,0.995397
569,1.00022
570,1.00011
571,1.00115
572,1.00125
573,1.00045
574,1.0001
575,0.998434
576,0.996142
577,1.00001
578,1.00257
579,1.00183
580,1.00072
581,1.00075
582,1.00037
583,0.99804
584,1.0017
585,1.0002
586,0.995476
587,0.997033
588,0.993737
589,1.00251
590,0.998093
591,1.00012
592,1.0021
593,1.00097
594,1.0025
595,0.994377
596,1.00339
597,1.00299
598,1.00292
599,0.998956
600,1.00523
601,0.998477
602,1.00337
603,0.996831
604,1.00143
605,0.992468
606,0.995547
607,1.00654
608,0.996796
609,0.998456
610,1.00433
611,1.0022
612,1.00529
613,0.999485
614,1.00208
615,1.00544
616,1.0023
617,1.00132
618,1.00112
619,0.997034
620,0.993378
621,1.00257
622,1.00513
623,0.995543
624,0.99321
625,1.00496
626,0.997409
627,1.00228
628,1.00437
629,1.00031
630,0.999943
631,1.00523
632,0.999012
633,0.994466
634,0.999394
635,0.999742
636,1.00431
637,0.996546
638,1.00099
639,1.00183
640,1.00262
641,1.00133
642,1.00171
643,1.00234
644,0.996201
645,1.0025
646,1.00627
647,1.00443
648,1.00689
649,1.00537
650,1.00855
651,1.00347
652,0.996374
653,1.00737
654,0.99681
655,1.00138
656,1.00604
657,0.999976
658,1.00402
659,0.997985
660,1.00203
661,1.0032
662,1.00613
663,1.00604
664,1.00368
665,1.00303
666,0.996991
667,1.00244
668,0.996029
669,1.00146
670,0.996673
671,0.999342
672,0.997445
673,0.999773
674,1.00125
675,1.00138
676,0.995879
677,1.00111
678,1.00444
679,0.994715
680,0.998059
681,1.00103
682,1.00308
683,1.00023
684,1.00214
685,0.992854
686,1.00204
687,0.994097
688,0.996603
689,1.00779
690,0.998302
691,1.00237
692,0.998088
693,0.99361
694,1.01005
695,0.998627
696,1.0041
697,1.0021
698,0.994788
699,1.00012
700,0.999383
701,1.00073
702,0.993985
703,0.998015
704,1.00227
705,1.00532
706,1.00095
707,1.00382
708,1.00546
709,1.00156
710,1.00241
711,1.00072
712,1.01018
713,1.00417
714,0.998538
715,0.997434
716,0.995944
717,0.999813
718,0.999556
719,1.00181
720,0.999197
721,0.997621
722,0.994494
723,0.999996
724,0.998486
725,1.00291
726,1.00121
727,0.997244
728,0.996667
729,0.997854
730,0.999147
731,0.997839
732,1.00277
733,1.00194
734,1.00317
735,0.998459
