MDTU,|det-1|^2,1-Re(det),Im(det)
219,1,1,5.55721e-24
220,1,1,5.55721e-24
221,1,1,5.55721e-24
222,1,1,-6.51313e-24
223,1,1,-6.51313e-24
224,1,1,-6.51313e-24
225,1,1,1.88362e-23
226,1,1,1.88362e-23
227,1,1,1.79372e-23
228,1,1,-6.45051e-25
229,1,1,-3.38293e-24
230,1,1,1.11509e-24
231,1,1,1.11509e-24
232,1,1,4.13913e-24
233,1,1,6.85592e-24
234,1,1,3.20267e-25
235,1,1,2.31753e-24
236,1,1,1.14955e-23
237,1,1,1.56139e-23
238,1,1,-5.30487e-24
239,1,1,5.62766e-24
240,1,1,3.25443e-24
241,1,1,1.69249e-24
242,1,1,8.95206e-24
243,1,1,-3.41114e-24
244,1,1,2.55139e-24
245,1,1,4.94552e-24
246,1,1,4.94552e-24
247,1,1,-2.03243e-24
248,1,1,-2.03243e-24
249,1,1,-6.72252e-25
250,1,1,9.08283e-24
251,1,1,1.67508e-24
252,1,1,1.67508e-24
253,1,1,1.67508e-24
254,1,1,1.67508e-24
255,1,1,-6.92514e-24
256,1,1,-2.95056e-24
257,1,1,4.75607e-24
258,1,1,-3.94843e-24
259,1,1,4.65408e-24
260,1,1,1.02838e-23
261,1,1,-2.44473e-23
262,1,1,-2.44473e-23
263,1,1,8.90116e-24
264,1,1,8.90116e-24
265,1,1,8.90116e-24
266,1,1,8.90116e-24
267,1,1,2.9165e-24
268,1,1,2.9165e-24
269,1,1,-1.6932e-23
270,1,1,-1.6932e-23
271,1,1,2.21236e-24
272,1,1,1.47465e-23
273,1,1,1.47465e-23
274,1,1,1.47465e-23
275,1,1,3.69924e-24
276,1,1,3.69924e-24
277,1,1,4.14375e-24
278,1,1,-1.25252e-24
279,1,1,-4.2017e-24
280,1,1,-4.2017e-24
281,1,1,-2.65113e-23
282,1,1,-2.65113e-23
283,1,1,-2.65113e-23
284,1,1,2.4478e-24
285,1,1,2.4478e-24
286,1,1,-5.05737e-24
287,1,1,1.22017e-24
288,1,1,-1.34834e-24
289,1,1,-1.34834e-24
290,1,1,3.64153e-24
291,1,1,-1.16887e-23
292,1,1,-2.44796e-24
293,1,1,-2.44796e-24
294,1,1,-2.44796e-24
295,1,1,-8.54017e-25
296,1,1,-8.54017e-25
297,1,1,-8.54017e-25
298,1,1,-8.54017e-25
299,1,1,-8.54017e-25
300,1,1,-6.67866e-24
301,1,1,7.44983e-24
302,1,1,-1.43165e-26
303,1,1,9.86392e-24
304,1,1,1.2111e-25
305,1,1,1.2111e-25
306,1,1,2.647e-23
307,1,1,-1.07435e-23
308,1,1,-7.07658e-24
309,1,1,-7.07658e-24
310,1,1,7.9817e-27
311,1,1,-1.17093e-23
312,1,1,-1.32277e-23
313,1,1,-1.32277e-23
314,1,1,1.08922e-24
315,1,1,1.08922e-24
316,1,1,4.36419e-24
317,1,1,-8.81646e-24
318,1,1,-1.26329e-24
319,1,1,-1.26329e-24
320,1,1,-1.26329e-24
321,1,1,-1.26329e-24
322,1,1,1.15003e-23
323,1,1,1.15003e-23
324,1,1,1.15003e-23
325,1,1,-1.79954e-23
326,1,1,-4.66094e-25
327,1,1,-4.66094e-25
328,1,1,-3.34447e-24
329,1,1,1.05933e-24
330,1,1,5.96299e-24
331,1,1,5.96299e-24
332,1,1,8.60946e-24
333,1,1,8.60946e-24
334,1,1,1.99672e-23
335,1,1,-2.32822e-24
336,1,1,-6.8071e-24
337,1,1,-1.62859e-23
338,1,1,1.34591e-24
339,1,1,8.39532e-24
340,1,1,-3.87458e-24
341,1,1,-1.46998e-23
342,1,1,-1.56999e-23
343,1,1,-2.78947e-24
344,1,1,-2.78947e-24
345,1,1,7.14086e-25
346,1,1,-2.14619e-23
347,1,1,-2.14619e-23
348,1,1,-9.41186e-24
349,1,1,6.97496e-24
350,1,1,5.16903e-23
351,1,1,4.69319e-24
352,1,1,4.69319e-24
353,1,1,5.99636e-24
