MDTU,min_min,min_max,max_min,max_max5
128,-0.162006,0.00851289,-0.0193675,0.120308
129,-0.162006,0.00851289,-0.0193675,0.120308
130,-0.155521,0.0117512,-0.0163525,0.12632
131,-0.154024,-0.00132006,-0.0123971,0.122106
132,-0.147616,-0.00978558,-0.0132449,0.109957
133,-0.15242,0.0143931,-0.0126745,0.125718
134,-0.15242,0.0143931,-0.0126745,0.125718
135,-0.143466,-0.0111824,-0.0106147,0.118264
136,-0.143466,-0.0111824,-0.0106147,0.118264
137,-0.14834,0.00594307,-0.0162213,0.120312
138,-0.135927,0.00661887,-0.00546967,0.121935
139,-0.134812,0.0020163,0.00193463,0.125162
140,-0.144634,0.000242046,0.0034186,0.124128
141,-0.138579,0.00826889,-0.0014888,0.126863
142,-0.140342,0.00545911,-0.00239356,0.124809
143,-0.154092,0.0141643,-0.0152048,0.134359
144,-0.140169,0.00854152,-0.00452758,0.129094
145,-0.13513,0.00908302,-0.000997272,0.122215
146,-0.13513,0.00908302,-0.000997272,0.122215
147,-0.147914,0.00805013,-0.0139696,0.126944
148,-0.145805,-0.005169,-0.00349151,0.115949
149,-0.145805,-0.005169,-0.00349151,0.115949
150,-0.145805,-0.005169,-0.00349151,0.115949
151,-0.145805,-0.005169,-0.00349151,0.115949
152,-0.145805,-0.005169,-0.00349151,0.115949
153,-0.141187,0.00121844,-0.00341377,0.12085
154,-0.159556,0.0140189,-0.0128211,0.120049
155,-0.135562,0.00573417,-0.00138296,0.116336
156,-0.133737,0.0037122,-0.00166093,0.126745
157,-0.165223,0.0121912,-0.0166373,0.130863
158,-0.150782,0.0120461,-0.0153357,0.129989
159,-0.15567,0.0222375,-0.0158162,0.146438
160,-0.165613,0.0257327,-0.0204699,0.137475
161,-0.18155,0.0168176,-0.022623,0.135283
162,-0.162678,0.0142273,-0.0120607,0.12421
163,-0.162678,0.0142273,-0.0120607,0.12421
164,-0.163268,0.0137729,-0.0151975,0.133509
165,-0.151644,0.00325922,-0.000866135,0.131379
166,-0.145118,0.00533233,-0.00499587,0.122656
167,-0.15698,0.00681143,-0.0124735,0.129343
168,-0.14586,0.0110341,-0.013455,0.127492
169,-0.14586,0.0110341,-0.013455,0.127492
170,-0.144207,-0.00112474,-0.00736948,0.120354
171,-0.16277,0.0133796,-0.0109927,0.116689
172,-0.162006,-0.00526548,-0.0170219,0.120397
173,-0.1462,-0.00703095,-0.010896,0.117575
