t,deltaS
1,-9.092
2,2.7
3,2.344
4,2.393
5,2.772
6,2.153
7,2.669
8,2.698
9,2.834
10,2.257
11,1.954
12,2.839
13,2.743
14,2.776
15,2.75
16,2.241
17,2.406
18,3.117
19,2.151
20,2.862
21,2.58
22,2.297
23,2.561
24,2.056
25,2.646
26,2.414
27,2.847
28,2.551
29,2.416
30,1.923
31,2.593
32,2.693
33,1.868
34,1.962
35,2.596
36,2.662
37,1.742
38,1.389
39,1.822
40,1.555
41,2.11
42,1.636
43,1.179
44,0.8729
45,1.437
46,1.047
47,0.7836
48,0.1062
49,1.422
50,0.6933
51,1.01
52,1.632
53,0.1747
54,0.7931
55,0.7678
56,0.3694
57,0.5599
58,1.04
59,0.2969
60,-0.09429
61,0.2142
62,-0.02663
63,0.7563
64,-0.3547
65,0.1818
66,-0.2354
67,-0.1655
68,-0.04479
69,0.5476
70,1.408
71,-0.1573
72,-0.1939
73,-0.09013
74,-0.2459
75,0.2488
76,0.04239
77,0.2001
78,0.1759
79,0.3096
80,-0.1107
81,-0.2046
82,1.13
83,1.016
84,0.6827
85,-0.1692
86,0.02251
87,1.233
88,1.128
89,0.2982
90,0.9267
91,-0.4231
92,0.09526
93,0.208
94,-0.3292
95,0.4893
96,0.225
97,-0.04764
98,1.197
99,-0.0131
100,0.008941
101,0.2809
102,-0.01782
103,-0.3068
104,0.4949
105,0.9111
106,-0.191
107,-0.4416
108,0.3006
109,-0.6155
110,-0.2004
111,-0.787
112,0.007894
113,-0.09675
114,0.4199
115,-0.2058
116,-0.7348
117,0.06699
118,0.2124
119,-0.5009
120,0.2021
121,-0.1574
122,0.917
123,-0.4582
124,0.3008
125,0.6825
126,0.06419
127,-0.09847
128,0.1755
129,0.3572
130,0.117
131,0.02057
132,0.2096
133,-0.09253
134,0.8674
135,-0.1328
136,0.2549
137,-0.255
138,-0.1832
139,0.5157
140,-0.4466
141,0.1143
142,-0.4556
143,-0.5003
144,0.6915
145,0.3108
146,1.037
147,0.1979
148,0.1624
149,0.2773
150,0.5306
151,0.5549
152,1.086
153,0.5699
154,0.07684
155,-0.06647
156,-0.5331
157,-0.5721
158,0.454
159,0.2034
160,0.5647
161,0.7892
162,-0.5005
163,0.3784
164,-0.02013
165,-0.3882
166,-0.8809
167,-0.03279
168,-0.1722
169,0.6101
170,-0.1606
171,-0.05818
172,0.7357
173,0.07263
174,0.5206
175,-0.007051
176,0.341
177,0.08975
178,-0.217
179,0.1295
180,0.5517
181,0.1866
182,0.2491
183,-0.284
184,-0.1625
185,0.5822
186,-0.1338
187,0.2152
188,0.07715
189,0.7251
190,-0.03034
191,0.5064
192,0.8086
193,-0.1702
194,-1.033
195,-0.3291
196,0.5359
197,-0.1443
198,-0.5486
199,0.4057
200,-0.3272
201,0.46
202,-0.1782
203,0.6997
204,-0.09743
205,0.481
206,-0.3118
207,0.9399
208,0.5529
209,-0.02307
210,-0.1866
211,0.009964
212,-0.6745
213,-0.09035
214,0.4267
215,0.5816
216,-0.0445
217,0.1312
218,0.2444
219,-0.5636
220,0.5348
221,0.03065
222,-0.877
223,0.9496
224,0.506
225,-0.1707
226,0.1688
227,0.3985
228,0.1195
229,0.3556
230,0.5358
231,-0.5368
232,0.7358
233,0.6426
234,0.7386
235,-0.2838
236,0.4612
237,0.4929
238,0.5028
239,-0.2084
240,0.8269
241,0.5108
242,0.7291
243,1.217
244,-0.9557
245,-0.6215
246,1.2
247,0.9151
248,-0.4168
249,0.4398
250,0.3559
251,-0.07144
252,-0.1748
253,-0.5047
254,0.2444
255,0.01024
256,-0.1183
257,0.6343
258,-0.001475
259,1.343
260,0.5791
261,0.09104
262,-0.1799
263,0.1465
264,0.5189
265,0.6577
266,0.3357
267,0.6978
268,0.02124
269,0.5752
270,0.5836
271,0.442
272,0.1317
273,0.2062
274,-0.2027
275,-0.001682
276,0.421
277,-0.2396
278,1.184
279,0.1278
280,-0.5293
281,-0.1262
282,-0.3587
283,0.06722
284,0.4633
285,0.9805
286,0.1136
287,-0.4957
288,0.3231
289,-0.5675
290,0.169
291,0.08145
292,1.017
293,-0.1734
294,-0.6268
295,-0.3202
296,0.01783
297,0.4106
298,-0.1883
299,0.06496
300,-0.6247
301,-0.2336
302,-0.004178
303,0.6182
304,0.398
305,0.3114
306,0.4765
307,0.1398
308,-0.3383
309,0.1857
310,0.7875
311,0.005884
312,0.7796
313,0.3147
314,0.4375
315,0.58
316,0.4355
317,-0.1296
318,-0.2994
319,0.865
320,-0.05323
321,-0.8811
322,-0.01466
323,0.3991
324,-0.3629
325,0.0447
326,0.09158
327,1.03
328,0.6637
329,-0.2535
330,-0.3495
331,0.5054
332,1.044
333,-0.1485
334,-0.1912
335,1.023
336,0.6146
337,0.1073
338,0.4609
339,-0.1773
340,-0.2624
341,-0.3972
342,0.4182
343,0.4064
344,0.5704
345,0.4249
346,-0.5811
347,0.8682
348,0.6927
349,-0.2546
350,0.4807
351,-0.4953
352,-0.5048
353,1.222
354,1.005
355,-0.06145
356,1.32
357,0.8752
358,-0.1667
359,-0.3804
360,0.1802
361,0.2189
362,0.1204
363,0.7191
364,-0.09278
365,0.0592
366,-0.9481
367,0.03832
368,0.3583
369,0.4834
370,-0.191
371,0.1162
372,-0.12
373,-0.2102
374,0.2917
375,0.487
376,-0.3241
377,0.1741
378,0.8293
379,0.4415
380,0.1677
381,-0.03041
382,0.9565
383,0.3403
384,-0.2766
385,-0.06651
386,-0.3683
387,-0.5881
388,0.8974
389,-0.3824
390,-0.1696
391,-0.03806
392,0.06667
393,-0.2093
394,0.7588
395,-0.6775
396,-0.2678
397,-0.2073
398,-0.1179
399,0.6973
400,0.2643
401,-0.8418
402,-0.2329
403,-0.2851
404,0.5547
405,-0.09967
406,0.04182
407,-0.2327
408,-0.7683
409,-0.2907
410,0.7679
411,0.7196
412,0.4478
