t,cost
10,4.7562
20,4.7784
30,4.7874
40,4.7916
50,4.7814
60,4.785
70,4.7736
80,4.7502
90,4.7646
100,4.7304
110,4.7886
120,4.7784
130,4.7532
140,4.7688
150,4.758
160,4.7544
170,4.7406
180,4.758
190,4.7748
200,4.7604
210,4.7502
220,4.7496
230,4.7406
240,4.7634
250,4.7532
260,4.7424
270,4.782
280,4.7604
290,4.7586
300,4.776
310,4.7574
320,4.8072
330,4.776
340,4.758
350,4.767
360,4.767
370,4.7472
380,4.758
390,4.7526
400,4.782
410,4.7874
420,4.7658
430,4.785
440,4.7544
450,4.7502
460,4.764
470,4.764
480,4.7784
490,4.764
500,4.7814
510,4.7568
520,4.7532
530,4.7808
540,4.7748
550,4.77
560,4.7538
570,4.7616
580,4.7646
590,4.7604
600,4.7736
610,4.7814
620,4.764
630,4.7544
640,4.7736
650,4.7976
660,4.7712
670,4.7586
680,4.788
690,4.7862
700,4.7724
710,4.782
720,4.773
730,4.7712
740,4.7868
750,4.7682
760,4.767
770,4.7814
780,4.7778
790,4.7814
800,4.7682
810,4.7766
820,4.7754
830,4.7892
840,4.776
850,4.7496
860,4.7574
870,4.7448
880,4.8042
890,4.7616
900,4.7892
910,4.779
920,4.758
930,4.7712
940,4.7742
950,4.7592
960,4.7802
970,4.7838
980,4.7766
990,4.7754
1000,4.8036
1010,4.7784
1020,4.776
1030,4.7754
1040,4.7766
1050,4.7856
1060,4.7886
1070,4.755
1080,4.7736
1090,4.8048
1100,4.779
1110,4.7892
1120,4.7898
1130,4.7658
1140,4.7832
1150,4.782
1160,4.7736
1170,4.7928
1180,4.749
1190,4.8084
1200,4.7676
1210,4.788
1220,4.812
1230,4.779
1240,4.7958
1250,4.7742
1260,4.7508
1270,4.7622
1280,4.7784
1290,4.8018
1300,4.7976
1310,4.8144
1320,4.7988
1330,4.7988
1340,4.7916
1350,4.7922
1360,4.7892
1370,4.8006
1380,4.7748
1390,4.7892
1400,4.7952
1410,4.7676
1420,4.8168
1430,4.8006
1440,4.7946
1450,4.7976
1460,4.7742
1470,4.8066
1480,4.812
1490,4.8282
1500,4.815
1510,4.7868
1520,4.7892
1530,4.8288
1540,4.7994
1550,4.785
1560,4.785
1570,4.7898
1580,4.8228
1590,4.8126
1600,4.8132
1610,4.8126
1620,4.806
1630,4.7982
1640,4.8108
1650,4.8228
1660,4.8108
1670,4.836
1680,4.821
1690,4.824
1700,4.8012
1710,4.7982
1720,4.8318
1730,4.7898
1740,4.836
1750,4.8498
1760,4.83
1770,4.8252
1780,4.8414
1790,4.8048
1800,4.8306
1810,4.8288
1820,4.8726
1830,4.8168
1840,4.8204
1850,4.8654
1860,4.8024
1870,4.8528
1880,4.8648
1890,4.8096
1900,4.8678
1910,4.8816
1920,4.8642
1930,4.8078
1940,4.8708
1950,4.8816
1960,4.845
1970,4.8714
1980,4.8792
1990,4.881
2000,4.8522
2010,4.8744
2020,4.9062
2030,4.8888
2040,4.8798
2050,4.9206
2060,4.908
2070,4.854
2080,4.9194
2090,4.899
2100,4.914
2110,4.8702
2120,4.8822
2130,4.9032
2140,4.9188
2150,4.8822
2160,4.9032
2170,4.9326
2180,4.929
2190,4.8714
2200,4.9266
2210,4.938
2220,4.9632
2230,4.8984
2240,4.9428
2250,4.9212
2260,4.9566
2270,4.9098
2280,4.9692
2290,4.9686
2300,4.9506
2310,4.8966
2320,4.9704
2330,4.9674
2340,4.9692
2350,4.902
2360,4.9974
2370,4.9746
2380,4.9914
2390,4.9938
2400,4.956
2410,4.9974
2420,5.0148
2430,5.0226
2440,4.9488
2450,4.884
2460,4.98
2470,5.01
2480,4.9926
2490,4.9416
2500,5.0394
2510,5.0196
2520,5.0412
2530,5.0082
2540,4.926
2550,5.0082
2560,5.019
2570,5.0358
2580,5.0202
2590,4.9434
2600,5.0076
2610,5.0454
2620,5.043
2630,5.0532
2640,4.9716
2650,5.0532
2660,5.0514
2670,5.0406
2680,5.064
2690,4.965
2700,5.0862
2710,5.097
2720,5.0862
2730,5.079
2740,5.0892
2750,4.974
2760,5.0676
2770,5.1042
2780,5.0946
2790,5.1234
2800,5.13
2810,4.9962
2820,5.1144
2830,5.1168
2840,5.1186
2850,5.1312
2860,5.139
2870,5.1132
2880,5.0304
2890,5.1228
2900,5.1078
2910,5.1138
2920,5.1336
2930,5.1156
2940,5.0376
2950,5.0772
2960,5.1642
2970,5.1534
2980,5.1672
2990,5.1558
3000,5.1384
3010,5.1174
3020,5.0082
3030,5.16
3040,5.1672
3050,5.1786
3060,5.2338
3070,5.1984
3080,5.2122
3090,5.1984
3100,5.1078
3110,5.1036
3120,5.2164
3130,5.2308
3140,5.2404
3150,5.2374
3160,5.2098
3170,5.2182
3180,5.2266
3190,5.2566
3200,5.2554
3210,5.163
3220,5.1
3230,5.235
3240,5.256
3250,5.229
3260,5.2344
3270,5.2578
3280,5.2464
3290,5.262
3300,5.2662
3310,5.2398
3320,5.268
3330,5.2758
3340,5.1996
3350,5.1846
3360,5.2314
3370,5.286
3380,5.2764
3390,5.2944
3400,5.3106
3410,5.2812
3420,5.3088
3430,5.3424
3440,5.313
3450,5.307
3460,5.2986
3470,5.334
3480,5.3466
3490,5.3346
3500,5.3016
