MDTU,0,2,4,6,8,10
10,0.0714659,0.0717891,0.0735181,0.0735261,0.0766304,0.0768871
20,0.0714659,0.0717891,0.0735181,0.0735261,0.0766304,0.0768871
30,0.0714659,0.0717891,0.0735181,0.0735261,0.0766304,0.0768871
40,0.0655346,0.0655956,0.0674799,0.067688,0.0677448,0.0680322
50,0.0598254,0.060478,0.0624986,0.0625638,0.062964,0.0629876
60,0.0540183,0.0542986,0.0561838,0.0568067,0.0570471,0.0579486
70,0.050982,0.0510546,0.0532171,0.0535244,0.0538955,0.0540152
80,0.0504726,0.0507707,0.0515043,0.0519618,0.0536582,0.0542754
90,0.0547966,0.0549862,0.0565084,0.0568062,0.0570482,0.057435
100,0.0511515,0.0519066,0.0524625,0.0528733,0.0537637,0.0544904
110,0.048324,0.0483677,0.0494499,0.0494827,0.0503177,0.0507814
120,0.0527705,0.053564,0.0546495,0.0546799,0.0558673,0.0562671
130,0.0511569,0.0513533,0.0529496,0.0531131,0.0538914,0.0539241
140,0.0516568,0.0517474,0.0527723,0.0529182,0.0542185,0.0544105
150,0.0519488,0.0520383,0.0543091,0.0543582,0.0549118,0.0550023
160,0.0522495,0.0523133,0.0536594,0.0537752,0.054934,0.0551131
170,0.0510745,0.0511296,0.0519501,0.0521229,0.054213,0.0546739
180,0.0508544,0.0509491,0.0523252,0.0524702,0.0539131,0.0545735
190,0.0502359,0.0503978,0.0529125,0.052951,0.0536608,0.0538926
200,0.0500159,0.050374,0.0528945,0.0532817,0.0536663,0.0542548
210,0.052951,0.0529958,0.0540639,0.0543107,0.0564558,0.0565462
220,0.0507812,0.0512942,0.0533191,0.0534455,0.0543192,0.054336
230,0.0515404,0.0518356,0.0545537,0.0545897,0.0552742,0.0556701
240,0.0509771,0.0515802,0.052376,0.0529287,0.0535921,0.0538069
250,0.050831,0.0513409,0.0524617,0.0525081,0.0538003,0.0539312
260,0.053775,0.0539956,0.0556558,0.0556714,0.0560454,0.0565414
270,0.0507007,0.0510354,0.051391,0.0514971,0.052872,0.0535409
280,0.0504177,0.0505494,0.0525489,0.0526839,0.0530626,0.0534139
290,0.0483294,0.0484863,0.0496737,0.0502805,0.0517789,0.0519193
300,0.052996,0.0536031,0.0540155,0.0543767,0.0554873,0.0561717
310,0.0470555,0.0479239,0.0498333,0.0504666,0.0511208,0.0514734
320,0.0511361,0.0512715,0.0524797,0.0526013,0.0536084,0.0538853
330,0.0545339,0.0547572,0.0554289,0.0557908,0.0562611,0.0563781
340,0.0474792,0.0475923,0.0496877,0.0499605,0.051495,0.0517482
350,0.0530971,0.0535466,0.054336,0.0544112,0.0557029,0.0559015
360,0.0499024,0.0501791,0.0522046,0.0522669,0.0528685,0.0530772
370,0.0514165,0.0519322,0.0524097,0.0529375,0.0553946,0.0559503
380,0.0531564,0.0533892,0.0550706,0.0551661,0.0553791,0.0558381
390,0.0521486,0.0525711,0.0536113,0.0541206,0.0545552,0.0551978
400,0.0487469,0.0492328,0.0510297,0.0512022,0.0519565,0.0524123
410,0.050805,0.0516788,0.0528828,0.0529296,0.0537137,0.0538699
420,0.0515422,0.0519721,0.0540263,0.0541758,0.0544988,0.0546032
430,0.051104,0.0514496,0.0525731,0.0526424,0.0539717,0.0545977
440,0.0521802,0.0523434,0.0527678,0.0529741,0.0545743,0.0548967
450,0.0541531,0.0541953,0.055427,0.0554722,0.0561076,0.056499
460,0.0517318,0.051807,0.0541274,0.0543882,0.0548737,0.0550116
470,0.0495816,0.0496206,0.0515963,0.0516217,0.0522018,0.0525954
480,0.0517261,0.0522262,0.0533679,0.0534984,0.0545458,0.0550447
490,0.0481779,0.0486002,0.050412,0.0507224,0.0516224,0.0517138
500,0.0485648,0.0487281,0.0503754,0.0504213,0.0521235,0.0522258
510,0.0521067,0.0522272,0.0534332,0.0540607,0.0547304,0.0553756
520,0.0496257,0.0504613,0.0515843,0.0521475,0.0525229,0.0532523
530,0.0504936,0.050778,0.0520904,0.0521679,0.0544303,0.0550918
540,0.0521957,0.0531233,0.0532423,0.0534846,0.0541814,0.0546733
550,0.0512959,0.0514278,0.052343,0.0530084,0.0544879,0.0546105
560,0.0515157,0.0523454,0.0530372,0.0535649,0.0540387,0.0543146
570,0.0476895,0.0484215,0.0498997,0.0502965,0.0514991,0.0517914
580,0.0466059,0.0468877,0.0477884,0.0482052,0.049291,0.0495143
590,0.0531194,0.0532132,0.0543782,0.0547716,0.0554554,0.0558888
600,0.0515457,0.0520048,0.052891,0.0535712,0.0539643,0.054117
610,0.0516546,0.0518893,0.0531089,0.0531287,0.0543681,0.0544067
620,0.0518607,0.0521022,0.0531718,0.0532576,0.0541615,0.0546356
630,0.0479126,0.0480055,0.0510744,0.0511993,0.0513575,0.0517444
640,0.0513352,0.051434,0.0537511,0.0538809,0.0545504,0.054919
650,0.0493906,0.0501879,0.0511532,0.051265,0.0527932,0.0528242
660,0.0513457,0.0518483,0.0529781,0.0535413,0.0541834,0.054683
670,0.0535187,0.0538617,0.054088,0.0543216,0.0547198,0.0547439
680,0.0531221,0.0531473,0.0539442,0.054088,0.0545399,0.0550196
690,0.0519474,0.0520224,0.0537056,0.0537283,0.0547908,0.054971
700,0.046985,0.0473435,0.0504488,0.0504762,0.0520229,0.0522992
710,0.0505801,0.0506236,0.0528747,0.0529067,0.0534297,0.0534543
720,0.0529322,0.0535484,0.05448,0.0547737,0.0555716,0.0558979
730,0.0488592,0.0489453,0.0507216,0.0510298,0.05111,0.051247
740,0.0524807,0.0526701,0.0549703,0.0552266,0.0556242,0.0557058
750,0.0540762,0.0547041,0.0548858,0.0554528,0.0566039,0.0569227
760,0.054123,0.0541689,0.0550758,0.0551843,0.0560876,0.0561495
770,0.0532285,0.0535458,0.0546824,0.0549778,0.0553327,0.0556477
780,0.0498349,0.0499553,0.0516154,0.0520322,0.0530493,0.0533388
790,0.0494496,0.0494827,0.0501008,0.0501539,0.0518523,0.052311
800,0.0510863,0.0512898,0.0517091,0.0518714,0.052909,0.0529457
810,0.0496517,0.0496913,0.0523402,0.0528738,0.0533237,0.0537298
820,0.0505749,0.0510085,0.0529403,0.053236,0.053258,0.0543534
830,0.049689,0.0501664,0.0523044,0.052677,0.0531696,0.0534183
840,0.0488146,0.0489335,0.0511456,0.0512779,0.0534352,0.053929
850,0.0515879,0.0516135,0.0527599,0.0530596,0.0554498,0.0556944
860,0.0554962,0.0555656,0.0568387,0.0572071,0.0581534,0.0585718
870,0.0505693,0.0507713,0.0520487,0.0524216,0.0534399,0.0535614
880,0.0514821,0.051744,0.0520582,0.0521751,0.0536115,0.0538996
890,0.0533691,0.0537763,0.054283,0.0544266,0.0556466,0.0560737
900,0.0521138,0.0522821,0.0531497,0.053482,0.0539347,0.0539723
910,0.052941,0.0531719,0.0544906,0.0551933,0.0552684,0.0554599
920,0.0525548,0.0530766,0.0551285,0.0556828,0.0561728,0.0566755
930,0.0501143,0.050157,0.0509656,0.051379,0.054149,0.0541694
940,0.0514067,0.0515874,0.0529557,0.053235,0.0539635,0.0540256
950,0.0524699,0.0527458,0.0539468,0.0542371,0.0555441,0.0560825
960,0.047291,0.0476791,0.0495658,0.0500188,0.0503916,0.0505475
970,0.0486205,0.0492854,0.0500044,0.0505426,0.0525412,0.0530057
980,0.0533771,0.053417,0.055291,0.0554176,0.0563923,0.0565646
990,0.0516135,0.0521441,0.0535594,0.0542294,0.0547897,0.0552222
