MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,1.25625,1.08342,-0.635901
2,1.16239,1.03417,-0.530689
3,1.19514,1.06484,-0.542648
4,1.21901,1.16541,-0.357491
5,1.21901,1.16541,-0.357491
6,1.25204,1.1601,-0.470926
7,1.27559,1.10446,-0.638194
8,1.34862,1.17764,-0.657226
9,1.34862,1.17764,-0.657226
10,1.34862,1.17764,-0.657226
11,1.317,1.20136,-0.539644
12,1.25072,1.1556,-0.478445
13,1.25085,1.18317,-0.405893
14,1.25085,1.18317,-0.405893
15,1.2315,1.15201,-0.435293
16,1.29275,1.24395,-0.351859
17,1.26389,1.19056,-0.424245
18,1.26198,1.2341,-0.263762
19,1.22101,1.20833,-0.175481
20,1.25166,1.23958,-0.173506
21,1.30933,1.29386,-0.200659
22,1.30933,1.29386,-0.200659
23,1.27849,1.21622,-0.394135
24,1.29247,1.18406,-0.518133
25,1.29247,1.18406,-0.518133
26,1.29247,1.18406,-0.518133
27,1.28156,1.1662,-0.531394
28,1.28156,1.1662,-0.531394
29,1.32048,1.13294,-0.678315
30,1.32908,1.16767,-0.63481
31,1.20259,1.08412,-0.520476
32,1.3119,1.11881,-0.685091
33,1.25753,0.990652,-0.774591
34,1.36678,1.15656,-0.728328
35,1.28619,1.01127,-0.794739
36,1.28619,1.01127,-0.794739
37,1.31365,1.13381,-0.663429
38,1.31365,1.13381,-0.663429
39,1.25484,1.10814,-0.588761
40,1.25484,1.10814,-0.588761
41,1.25484,1.10814,-0.588761
42,1.25484,1.10814,-0.588761
43,1.30561,1.09265,-0.71465
44,1.31074,1.10261,-0.708721
45,1.31074,1.10261,-0.708721
46,1.31074,1.10261,-0.708721
47,1.31757,0.919247,-0.943922
48,1.31757,0.919247,-0.943922
49,1.31757,0.919247,-0.943922
50,1.26627,0.851924,-0.936836
51,1.26627,0.851924,-0.936836
52,1.31041,0.885582,-0.965875
53,1.31683,0.880206,-0.979422
54,1.26007,0.689586,-1.05464
55,1.34861,0.678506,-1.16549
56,1.28962,0.751055,-1.04835
57,1.24826,0.716747,-1.02197
58,1.32504,0.823806,-1.03783
59,1.31118,0.697162,-1.11047
60,1.34477,0.685409,-1.15699
61,1.28007,0.720795,-1.05785
62,1.36118,0.813697,-1.0912
63,1.34912,0.729861,-1.13465
64,1.33879,0.658042,-1.1659
65,1.2556,0.688747,-1.04984
66,1.33412,0.796645,-1.07016
67,1.30295,0.709121,-1.09308
68,1.31165,0.790594,-1.04661
69,1.32898,0.840704,-1.02927
70,1.32713,0.739592,-1.10195
71,1.33575,0.861207,-1.02105
72,1.36022,1.05834,-0.85448
73,1.29392,1.03083,-0.782055
74,1.29392,1.03083,-0.782055
75,1.31012,0.959195,-0.892391
76,1.28272,1.06427,-0.716027
77,1.29382,0.950838,-0.87742
78,1.29382,0.950838,-0.87742
79,1.29382,0.950838,-0.87742
80,1.24807,0.995926,-0.752204
81,1.21815,0.928785,-0.788192
82,1.21815,0.928785,-0.788192
83,1.25135,0.894799,-0.874767
84,1.19931,0.839289,-0.856696
85,1.19931,0.839289,-0.856696
86,1.31817,0.83733,-1.01806
87,1.31817,0.83733,-1.01806
88,1.31817,0.83733,-1.01806
89,1.31817,0.83733,-1.01806
90,1.23302,0.822623,-0.918495
91,1.27624,0.627438,-1.11136
92,1.28729,0.690928,-1.08615
93,1.21869,0.634683,-1.04038
94,1.21869,0.634683,-1.04038
95,1.26647,0.591642,-1.11978
96,1.26807,0.696259,-1.05983
97,1.26807,0.696259,-1.05983
98,1.20027,0.556281,-1.06357
99,1.20027,0.556281,-1.06357
100,1.28644,0.748787,-1.04606
101,1.25006,0.551778,-1.12169
102,1.29603,0.543293,-1.17666
103,1.26222,0.647384,-1.08355
104,1.27583,0.63403,-1.10714
105,1.27583,0.63403,-1.10714
106,1.27583,0.63403,-1.10714
107,1.30436,0.648182,-1.1319
108,1.32486,0.544193,-1.20794
109,1.2558,0.623502,-1.09009
110,1.26105,0.576702,-1.12146
111,1.25755,0.559164,-1.12639
112,1.25755,0.559164,-1.12639
113,1.25755,0.559164,-1.12639
114,1.20215,0.500437,-1.09304
115,1.16138,0.553597,-1.02095
116,1.1922,0.546311,-1.05966
117,1.28804,0.703749,-1.07879
118,1.27197,0.775761,-1.00802
119,1.27052,0.623139,-1.10721
120,1.31236,0.535011,-1.19835
121,1.3174,0.584094,-1.18084
122,1.3174,0.584094,-1.18084
123,1.29118,0.550781,-1.16782
124,1.27903,0.508657,-1.17354
125,1.24212,0.469011,-1.15017
126,1.24212,0.469011,-1.15017
127,1.23108,0.571922,-1.09017
128,1.23108,0.571922,-1.09017
129,1.27584,0.607115,-1.12213
130,1.25736,0.653909,-1.07395
131,1.21536,0.48519,-1.11431
132,1.18483,0.59381,-1.02529
133,1.18483,0.59381,-1.02529
134,1.18483,0.59381,-1.02529
135,1.21758,0.58638,-1.06708
136,1.21758,0.58638,-1.06708
137,1.21444,0.693715,-0.996807
138,1.2497,0.843693,-0.921916
139,1.28206,0.8265,-0.980088
140,1.28206,0.8265,-0.980088
141,1.31891,0.842532,-1.01472
142,1.27428,0.623361,-1.1114
143,1.35691,0.878608,-1.03404
144,1.35691,0.878608,-1.03404
145,1.3444,0.881609,-1.01498
146,1.32321,0.912176,-0.958545
147,1.29676,0.809368,-1.01317
148,1.29618,0.87202,-0.958995
149,1.38009,1.00686,-0.943864
150,1.32432,0.984689,-0.885562
151,1.32432,0.984689,-0.885562
152,1.32432,0.984689,-0.885562
153,1.27689,1.13086,-0.592956
154,1.28288,1.18347,-0.495154
155,1.28711,1.13898,-0.599468
156,1.22396,1.08015,-0.575617
157,1.26918,1.06134,-0.69597
158,1.25905,1.02737,-0.727824
159,1.33132,0.932229,-0.950457
160,1.24156,0.82038,-0.93191
161,1.31927,0.95041,-0.914978
162,1.19984,0.926585,-0.762269
163,1.31191,0.983359,-0.868403
164,1.31191,0.983359,-0.868403
165,1.24758,0.997628,-0.749135
166,1.2094,1.07295,-0.558056
167,1.17848,1.0698,-0.494332
168,1.25376,1.20955,-0.329988
169,1.24828,1.17399,-0.424186
170,1.34431,1.19613,-0.613557
171,1.21911,1.07536,-0.57431
172,1.29999,1.19983,-0.500386
173,1.29999,1.19983,-0.500386
174,1.26191,1.18747,-0.426987
175,1.26232,1.21454,-0.344011
176,1.27237,1.25536,-0.207351
177,1.27905,1.27572,-0.0923368
178,1.16847,1.16831,0.0192812
179,1.2772,1.27662,0.0385967
180,1.23754,1.23699,0.0368942
181,1.2212,1.20828,0.177186
182,1.2291,1.20248,0.254388
183,1.2519,1.22473,0.259366
184,1.2519,1.22473,0.259366
185,1.2519,1.22473,0.259366
186,1.2519,1.22473,0.259366
187,1.24241,1.2267,0.196893
188,1.185,1.17277,0.169831
189,1.19314,1.17667,0.197577
190,1.19314,1.17667,0.197577
191,1.19314,1.17667,0.197577
192,1.22031,1.18716,0.282504
193,1.26539,1.23233,0.287331
194,1.34949,1.31053,0.321939
195,1.32745,1.28428,0.335761
196,1.3526,1.33972,0.186231
197,1.29843,1.26635,0.286834
198,1.32445,1.27607,0.35469
199,1.32445,1.27607,0.35469
200,1.31623,1.23283,0.461096
201,1.29207,1.15474,0.579671
202,1.31608,1.0435,0.801976
203,1.31876,0.975794,0.8871
204,1.33443,0.996551,0.887465
205,1.33443,0.996551,0.887465
206,1.3053,0.772736,1.05199
207,1.3053,0.772736,1.05199
208,1.3053,0.772736,1.05199
209,1.34464,0.749229,1.11656
210,1.30714,0.697924,1.10522
211,1.25972,0.692071,1.05258
212,1.36809,0.678209,1.18815
213,1.35019,0.730048,1.1358
214,1.31511,0.616727,1.16154
215,1.31511,0.616727,1.16154
216,1.31065,0.464359,1.22563
217,1.27998,0.540123,1.16044
218,1.22403,0.519113,1.1085
219,1.28608,0.35,1.23754
220,1.28608,0.35,1.23754
221,1.30678,0.338859,1.26208
222,1.20378,0.102437,1.19941
223,1.31312,0.0432443,1.31241
224,1.19225,0.182379,1.17822
225,1.30136,0.246078,1.27788
226,1.16829,0.141557,1.15969
227,1.23021,0.263942,1.20156
228,1.16004,0.153054,1.14989
229,1.22461,0.220745,1.20455
230,1.17388,-0.0604322,1.17232
231,1.17388,-0.0604322,1.17232
232,1.23242,-0.136151,1.22487
233,1.27062,-0.0345328,1.27015
234,1.18578,0.213008,1.16649
235,1.25893,0.382036,1.19956
236,1.31027,0.42437,1.23965
237,1.25999,0.517768,1.14869
238,1.3254,0.570818,1.19618
239,1.28848,0.581791,1.14965
240,1.29914,0.441076,1.22198
241,1.21554,0.255898,1.1883
242,1.29132,0.195997,1.27636
243,1.15481,0.161798,1.14342
244,1.27252,0.0810015,1.26994
245,1.26479,0.0414381,1.26411
246,1.26479,0.0414381,1.26411
247,1.26479,0.0414381,1.26411
248,1.26479,0.0414381,1.26411
249,1.26479,0.0414381,1.26411
