t,deltaS
1,0.8483
2,0.2452
3,-0.2317
4,-0.5599
5,1.113
6,-0.1621
7,-0.6048
8,-1.637
9,0.5798
10,0.2855
11,-0.2993
12,0.4068
13,-0.1613
14,1.297
15,0.4406
16,0.07021
17,0.04537
18,-0.7052
19,-0.5757
20,-0.7381
21,-0.1056
22,0.1218
23,-0.1887
24,0.4851
25,0.7009
26,0.7734
27,0.7141
28,2.104
29,-0.1467
30,0.02993
31,-0.1016
32,-0.6103
33,0.1912
34,-0.1384
35,0.4562
36,0.8871
37,-0.08946
38,0.1494
39,0.2992
40,0.6734
41,1.793
42,0.4324
43,-0.9903
44,0.2473
45,1.076
46,1.453
47,0.3964
48,0.4002
49,0.722
50,-0.08996
51,0.3099
52,-0.5161
53,0.2008
54,-0.2775
55,-0.07439
56,-0.02677
57,-0.07693
58,-0.5791
59,0.7304
60,-0.05233
61,-0.8848
62,-1.832
63,0.5068
64,-0.1581
65,-0.7907
66,-0.2227
67,-0.8107
68,-0.9495
69,0.1651
70,0.09259
71,0.1725
72,-0.4591
73,-0.1485
74,0.7554
75,0.712
76,-1.158
77,-0.2399
78,0.765
79,0.8479
80,-0.1455
81,-0.5956
82,0.7698
83,0.6492
84,0.838
85,1.505
86,-0.6513
87,0.6714
88,0.9251
89,0.4517
90,-0.006033
91,-0.4144
92,-0.06543
93,0.6562
94,1.264
95,-1.124
96,0.1888
97,0.4018
98,-0.2059
99,0.9343
100,-0.9232
101,0.4899
102,0.1214
103,0.6007
104,0.002719
105,0.2678
106,0.9041
107,0.6538
108,-0.567
109,-0.4646
110,0.2637
111,0.5343
112,0.6412
113,0.3062
114,-0.2094
115,0.2683
116,0.1508
117,-0.2317
118,0.4592
119,-0.1627
120,0.9756
121,0.1981
122,1.151
123,0.6554
124,0.07557
125,0.08836
126,0.3388
127,-1.246
128,0.3526
129,-0.2754
130,-0.5502
131,0.7873
132,0.3743
133,1.497
134,0.08045
135,-0.6409
136,1.273
137,-0.7396
138,0.9908
139,-0.5663
140,0.5102
141,-0.2161
142,-1.652
143,0.2516
144,1.15
145,0.1282
146,-0.5163
147,1.22
148,-0.4314
149,0.1551
150,-0.8828
151,0.4134
152,0.6584
153,-0.2188
154,-1.262
155,1.164
156,-0.1666
157,-0.392
158,-0.1129
159,0.1082
160,-0.7793
161,-0.3739
162,0.6498
163,-0.327
164,0.929
165,-0.1154
166,-1.141
167,-0.1323
168,-0.5242
169,-0.3412
170,0.5716
171,0.202
172,0.5414
173,0.9449
174,0.3502
175,0.7143
176,1.182
177,0.7761
178,0.09954
179,-1.411
180,-0.4622
181,-0.03813
182,0.6693
183,0.4282
184,0.3027
185,0.7054
186,1.718
187,-0.5581
188,0.664
189,0.1022
190,1.048
191,1.229
192,-0.5676
193,0.9288
194,0.6023
195,0.3044
196,0.7082
197,-1.006
198,-0.4224
199,1.245
200,0.408
201,1.041
202,-0.7674
203,-0.3657
204,-0.08577
205,0.08141
206,0.6579
207,0.64
208,0.8861
209,0.04339
210,0.3632
211,-0.01976
212,1.137
213,1.376
214,-0.5012
215,0.6115
216,-1.263
217,-0.616
218,0.1639
219,-0.4186
220,0.5627
221,-0.4802
222,0.1218
223,-0.6111
224,0.09198
225,0.524
226,-0.1575
227,-1.05
228,0.5271
229,-0.3708
230,-0.5906
231,1.003
232,0.2946
233,0.06922
234,0.3361
235,0.7392
236,-0.4618
237,0.4348
238,0.0727
239,0.2115
240,0.7392
241,0.3916
242,-0.7793
243,0.526
244,-0.263
245,0.6908
246,0.8864
247,0.8826
248,2.186
249,1.154
250,0.2022
251,-0.6788
252,1.338
253,-1.283
254,2.201
255,0.3182
256,0.3973
257,-0.3733
258,1.995
259,-0.4452
260,0.5835
261,-0.07344
262,1.242
263,0.2626
264,0.5905
265,0.7547
266,0.3505
267,0.2823
268,0.2224
269,0.2354
270,-0.2731
271,-0.2033
272,0.1528
273,-0.1158
274,0.6222
275,-0.3656
276,0.4165
277,-0.2965
278,0.5387
279,0.2188
280,-0.007527
281,0.2067
282,0.8756
283,0.2893
284,1.203
285,-0.1479
286,0.9122
287,1.129
288,-0.08333
289,-0.1782
290,0.7944
291,0.5447
292,0.6587
293,0.2301
294,-1.19
295,0.799
296,-0.4846
297,1.571
298,-0.06576
299,-0.2924
300,-0.4405
301,0.2369
302,0.6979
303,0.4491
304,0.1003
305,-0.06915
306,0.762
307,-0.4212
308,0.35
309,0.948
310,-0.5402
311,-0.5221
312,-0.3174
313,-0.5747
314,1.554
315,0.6936
316,-0.3186
317,0.7697
318,-0.02874
319,0.863
320,0.04743
321,0.08438
322,-0.2398
323,0.6353
324,-0.4459
325,1.284
326,0.8072
327,-0.829
328,-0.5547
329,0.6328
330,0.5205
331,1.04
332,0.1182
333,-0.8737
334,1.111
335,0.4709
336,0.9885
337,0.1759
338,1.033
339,0.2245
340,0.3175
341,-0.02999
342,-0.1728
343,0.6035
344,0.2369
345,0.7985
346,-0.1593
347,-0.05361
348,0.001753
349,0.3661
350,-1.036
