MDTU,plaq,Re(det),Im(det),link
1,0.0475305,0.0424583,0.0242898,0.0722499
2,0.0476194,0.057266,0.0280798,0.0550723
3,0.0505447,0.0618762,0.0358495,0.0685463
4,0.042272,0.0530798,0.0304324,0.0646823
5,0.042272,0.0530798,0.0304324,0.0646823
6,0.0494933,0.0589645,0.0278366,0.0574113
7,0.0409908,0.0544092,0.030574,0.058106
8,0.0394368,0.0443744,0.0263686,0.0567756
9,0.0424056,0.0364529,0.019612,0.0787257
10,0.0497293,0.0423981,0.0189408,0.0688583
11,0.0538267,0.0497526,0.0226819,0.0544893
12,0.0716447,0.0556265,0.0228965,0.0686028
13,0.0650294,0.050573,0.0192392,0.0697362
14,0.0650294,0.050573,0.0192392,0.0697362
15,0.0679865,0.0539061,0.018949,0.0713593
16,0.0582059,0.0563636,0.0223084,0.0602087
17,0.0604417,0.0646854,0.0266278,0.0581915
18,0.0604417,0.0646854,0.0266278,0.0581915
19,0.0592099,0.073911,0.0313489,0.0593026
20,0.066109,0.0785368,0.0268632,0.0478682
21,0.066109,0.0785369,0.0268632,0.0478682
22,0.0548793,0.0742129,0.0365723,0.0586905
23,0.0427524,0.0411403,0.02245,0.0564117
24,0.0570282,0.0597287,0.0238179,0.0644465
25,0.0587602,0.0606131,0.0245427,0.0666533
26,0.0587602,0.0606131,0.0245427,0.0666533
27,0.0658663,0.0685514,0.0252004,0.0611065
28,0.0465139,0.0485716,0.0279674,0.0623016
29,0.0471575,0.0643193,0.0361596,0.0754146
30,0.0471575,0.0643193,0.0361596,0.0754146
31,0.0485965,0.0601623,0.0336604,0.064507
32,0.0525092,0.0530298,0.0247425,0.0712627
33,0.0527432,0.0657598,0.0311082,0.052955
34,0.0363857,0.0386467,0.0264623,0.0743448
35,0.033832,0.03491,0.0289491,0.0711447
36,0.033832,0.03491,0.0289491,0.0711447
37,0.0375999,0.0425792,0.0304059,0.0576283
38,0.0340898,0.0361573,0.0264453,0.0619887
39,0.0386611,0.043387,0.0258239,0.0630484
40,0.0393711,0.0444512,0.027405,0.0663604
41,0.0424135,0.0511439,0.0271111,0.0530929
42,0.0573876,0.0658292,0.0302852,0.0643143
43,0.039598,0.0514954,0.0347186,0.0598815
44,0.0330024,0.0371156,0.0283345,0.0471427
45,0.0394096,0.0554367,0.0365208,0.0579071
46,0.0446364,0.0485119,0.0266975,0.0502435
47,0.0439458,0.0507637,0.0298389,0.0631186
48,0.0520574,0.0560252,0.0267176,0.0649926
49,0.044019,0.0494142,0.0265977,0.0565798
50,0.0565075,0.0576205,0.0245778,0.059367
51,0.0615205,0.0641822,0.0245256,0.0568842
52,0.0564974,0.0485047,0.0222208,0.0635563
53,0.0373699,0.030292,0.0200807,0.0558138
54,0.0380903,0.0287522,0.0178609,0.0679897
55,0.0380903,0.0287522,0.0178609,0.0679897
56,0.0414347,0.0282242,0.0163173,0.0632664
57,0.0412232,0.0300924,0.0195732,0.0592196
58,0.0401375,0.0394675,0.0241073,0.0578227
59,0.0351424,0.0379985,0.026912,0.04596
60,0.0421679,0.0470942,0.0303025,0.0690243
61,0.0370872,0.038561,0.0257104,0.0573369
62,0.0484026,0.0532817,0.0296038,0.0602444
63,0.0369531,0.0398324,0.0278394,0.0608211
64,0.0432144,0.0464203,0.0269685,0.0567438
65,0.0329499,0.0313924,0.0265194,0.0761219
66,0.0360954,0.0422075,0.0295982,0.0613635
67,0.0493974,0.0593632,0.0305478,0.058123
68,0.0360989,0.0500911,0.037813,0.0572212
69,0.0470177,0.072531,0.0408678,0.064632
70,0.0329577,0.053697,0.0450888,0.0608318
71,0.0367004,0.0515609,0.0357907,0.0578138
72,0.0324757,0.0390736,0.0307007,0.0552668
73,0.0512505,0.0612669,0.0309433,0.0419759
74,0.0412225,0.0508008,0.0328756,0.0707054
75,0.0420829,0.047153,0.0277843,0.0484049
76,0.0558158,0.0573146,0.0258743,0.0651518
77,0.065179,0.0682406,0.0261516,0.0562891
78,0.065179,0.0682406,0.0261516,0.0562891
79,0.0476442,0.0775798,0.0426151,0.0553077
80,0.0602409,0.104684,0.0462343,0.0635743
81,0.0551435,0.101841,0.0495678,0.0530017
82,0.0551435,0.101841,0.0495678,0.0530017
83,0.0524614,0.0752185,0.0341781,0.0784205
84,0.047366,0.0777001,0.0402766,0.064846
85,0.0432695,0.0563844,0.0316707,0.0644755
86,0.0409931,0.0521858,0.030684,0.066613
87,0.0542025,0.0630689,0.0271696,0.0528849
88,0.0546718,0.0628857,0.0275315,0.0662875
89,0.0489197,0.0548112,0.0294949,0.077831
90,0.0452504,0.0630243,0.0337576,0.0377853
91,0.0578744,0.0709175,0.0363893,0.0637777
92,0.074883,0.082827,0.0312582,0.077479
93,0.0562072,0.0730372,0.0346435,0.06787
94,0.0699643,0.0893468,0.0327687,0.0661751
95,0.0689672,0.0827004,0.0300833,0.0649904
96,0.0587226,0.0671321,0.0270389,0.0672736
97,0.0498521,0.0754752,0.0385064,0.0697072
98,0.0515415,0.0753559,0.0369781,0.0565086
99,0.0574533,0.0799989,0.0414763,0.057355
100,0.0380277,0.0376112,0.0261536,0.0580754
101,0.0381983,0.0351801,0.0258601,0.0505083
102,0.0506893,0.0495867,0.0241498,0.0684078
103,0.050431,0.0605802,0.0305071,0.0552012
104,0.0485486,0.0540141,0.0318646,0.0514957
105,0.0489822,0.0607992,0.033773,0.0504964
106,0.0526128,0.0589923,0.0277766,0.0614814
107,0.0407329,0.0429564,0.0273752,0.0614985
108,0.0393149,0.0366683,0.0230031,0.0569901
109,0.0431923,0.0405161,0.0237595,0.0849903
110,0.0387213,0.0457311,0.0313898,0.0592183
111,0.0372012,0.0413881,0.0255764,0.0584819
112,0.0385709,0.0389378,0.0254908,0.0558119
113,0.034012,0.0321527,0.0220908,0.0629174
114,0.0423875,0.0427013,0.0242383,0.0594938
115,0.03988,0.0386083,0.0225865,0.0716722
116,0.0390814,0.0411708,0.0256826,0.0634768
117,0.0390814,0.0411708,0.0256826,0.0634768
118,0.0445465,0.0448907,0.0206961,0.0575728
119,0.0348157,0.0332477,0.0253819,0.055482
120,0.0488586,0.0476624,0.0267742,0.0648157
121,0.039816,0.0355879,0.0248626,0.0611048
122,0.0511942,0.0535776,0.0260589,0.0715009
123,0.0404903,0.0439855,0.026098,0.0491426
124,0.0432733,0.0513074,0.0266103,0.0569768
125,0.0556739,0.0475085,0.0191751,0.0645382
126,0.0567556,0.0480192,0.0218428,0.0625695
127,0.059035,0.0446446,0.0183285,0.0591525
128,0.0570234,0.0502527,0.021561,0.0704251
129,0.0396661,0.0418986,0.0241158,0.0480705
130,0.0451582,0.0467452,0.0259054,0.0555758
131,0.033182,0.0321097,0.02302,0.0579881
132,0.037524,0.0329686,0.0221427,0.0635617
133,0.0336961,0.0279973,0.0194043,0.0763777
134,0.0348822,0.0303629,0.0246694,0.0626453
135,0.0362806,0.0372277,0.0274415,0.0699703
136,0.0362806,0.0372277,0.0274415,0.0699703
137,0.0394709,0.0371021,0.0247123,0.0588563
138,0.0420565,0.0393727,0.0220093,0.0659527
139,0.032364,0.0340323,0.0272717,0.074619
140,0.032364,0.0340323,0.0272717,0.074619
141,0.0370075,0.04553,0.0317252,0.0592208
142,0.0370075,0.04553,0.0317252,0.0592208
143,0.0386561,0.0458327,0.0298281,0.0667782
144,0.0451282,0.0596698,0.0329099,0.0513447
145,0.0442283,0.0566227,0.0337228,0.064303
146,0.0442283,0.0566227,0.0337228,0.064303
147,0.0518295,0.0645047,0.0282387,0.0533393
148,0.0660153,0.0632714,0.0228065,0.0622358
149,0.0679127,0.0634854,0.0220429,0.0573853
150,0.0549264,0.0422785,0.0208456,0.0664377
151,0.0512355,0.0403881,0.0205498,0.0558747
152,0.0371226,0.0411315,0.0296605,0.0626055
153,0.0453746,0.0411664,0.022884,0.0683753
154,0.0453746,0.0411664,0.022884,0.0683753
155,0.0390253,0.0390736,0.0258299,0.0589774
156,0.0455311,0.059084,0.0320539,0.0658736
157,0.0446292,0.0541749,0.0316632,0.0703214
158,0.060143,0.0671601,0.0296817,0.0504475
159,0.0329065,0.034151,0.0243827,0.0525407
160,0.0357339,0.0397074,0.0292461,0.069793
161,0.053606,0.0581024,0.0282754,0.071078
162,0.0403105,0.0492027,0.0324696,0.0656948
163,0.0403105,0.0492027,0.0324696,0.0656948
