t,cond_num
10,5.1619
20,5.07902
30,5.06679
40,5.0536
50,5.20059
60,5.08127
70,5.10155
80,5.15261
90,5.17306
100,5.10384
110,5.04362
120,5.09516
130,5.1079
140,5.07542
150,5.15657
160,5.11627
170,5.12966
180,5.2069
190,5.08016
200,5.08798
210,5.09642
220,5.10862
230,5.17764
240,5.14033
250,5.15045
260,5.09273
270,5.14764
280,5.14509
290,5.13459
300,5.07401
310,5.10832
320,5.10497
330,5.13787
340,5.10681
350,5.11757
360,5.11454
370,5.14776
380,5.11563
390,5.08032
400,5.09826
410,5.152
420,5.08488
430,5.17512
440,5.14061
450,5.19111
460,5.12684
470,5.08414
480,5.11425
490,5.10054
500,5.1497
510,5.11577
520,5.08514
530,5.07101
540,5.12137
550,5.13901
560,5.08661
570,5.09351
580,5.12719
590,5.1348
600,5.11936
610,5.11246
620,5.10369
630,5.08842
640,5.07598
650,5.11263
660,5.15665
670,5.15728
680,5.10033
690,5.12451
700,5.11476
710,5.04558
720,5.11005
730,5.09486
740,5.13164
750,5.14647
760,5.07223
770,5.06666
780,5.11523
790,5.155
800,5.06621
810,5.07333
820,5.11468
830,5.14001
840,5.08989
850,5.12155
860,5.10412
870,5.09579
880,5.11597
890,5.18144
900,5.0934
910,5.07643
920,5.19861
930,5.10172
940,5.09103
950,5.10059
960,5.12558
970,5.12516
980,5.10533
990,5.12893
1000,5.08333
1010,5.18789
1020,5.18255
1030,5.08628
1040,5.0936
1050,5.06883
1060,5.0818
1070,5.11187
1080,5.14827
1090,5.03786
1100,5.13299
1110,5.10567
1120,5.0695
1130,5.07814
1140,5.09131
1150,5.17286
1160,5.14007
1170,5.06057
1180,5.13178
1190,5.11501
1200,5.07798
1210,5.11376
1220,5.10592
1230,5.13322
1240,5.1006
1250,5.09343
1260,5.13901
1270,5.13565
1280,5.1315
1290,5.13601
1300,5.1017
1310,5.08296
1320,5.07984
1330,5.10857
1340,5.15526
1350,5.11643
1360,5.16924
1370,5.13231
1380,5.11609
1390,5.09889
1400,5.12124
1410,5.07448
1420,5.10182
1430,5.06738
1440,5.0929
1450,5.11952
1460,5.05797
1470,5.08993
1480,5.11144
1490,5.10671
1500,5.08445
1510,5.1784
1520,5.12656
1530,5.1191
1540,5.10638
1550,5.11848
1560,5.10121
1570,5.06262
1580,5.0633
1590,5.16706
1600,5.14238
1610,5.09282
1620,5.12158
1630,5.06823
1640,5.13279
1650,5.10677
1660,5.08234
1670,5.11648
1680,5.1502
1690,5.10639
1700,5.09656
1710,5.09129
1720,5.11027
1730,5.08769
1740,5.08405
1750,5.11833
1760,5.20774
1770,5.10327
1780,5.12043
1790,5.099
1800,5.06566
1810,5.07519
1820,5.1594
1830,5.12981
1840,5.12159
1850,5.0781
1860,5.14478
1870,5.10987
1880,5.1396
1890,5.06306
1900,5.11312
1910,5.06024
1920,5.14502
1930,5.07363
1940,5.06027
1950,5.10054
1960,5.08448
1970,5.11106
1980,5.11773
1990,5.1289
2000,5.10727
2010,5.10871
2020,5.15812
2030,5.13118
2040,5.11556
2050,5.15764
2060,5.03513
2070,5.08252
2080,5.0941
2090,5.13384
2100,5.06733
2110,5.13423
2120,5.13661
2130,5.11713
2140,5.17596
2150,5.1223
2160,5.0529
2170,5.16604
2180,5.06706
2190,5.12593
2200,5.18186
2210,5.11814
2220,5.14974
2230,5.04973
2240,5.13273
2250,5.07389
2260,5.13318
2270,5.08735
2280,5.08716
2290,5.07277
2300,5.10744
2310,5.14308
2320,5.12149
2330,5.11209
2340,5.11114
2350,5.07178
2360,5.08435
2370,5.12678
2380,5.06862
2390,5.09804
2400,5.07411
2410,5.10422
2420,5.10489
2430,5.1819
2440,5.10983
2450,5.09198
2460,5.10927
2470,5.09161
2480,5.11995
2490,5.14601
2500,5.06822
2510,5.10201
2520,5.17884
2530,5.05849
2540,5.12786
2550,5.13383
2560,5.10083
2570,5.07803
2580,5.12625
2590,5.09733
2600,5.09552
2610,5.10062
2620,5.09263
2630,5.14038
2640,5.05836
2650,5.06828
2660,5.12565
2670,5.19076
2680,5.12253
2690,5.10597
2700,5.12423
2710,5.06552
2720,5.09653
2730,5.15755
2740,5.14862
2750,5.13397
2760,5.1204
2770,5.10123
2780,5.13381
2790,5.085
2800,5.12192
2810,5.14026
2820,5.15051
2830,5.07127
2840,5.12385
2850,5.06044
2860,5.15098
2870,5.09898
2880,5.12454
2890,5.15298
2900,5.09936
2910,5.06842
2920,5.11413
2930,5.0746
2940,5.15146
2950,5.1402
2960,5.07639
2970,5.15644
2980,5.11097
2990,5.12293
3000,5.10139
3010,5.09642
3020,5.10098
3030,5.05983
3040,5.13628
3050,5.09817
3060,5.13425
3070,5.14234
3080,5.08545
3090,5.15141
3100,5.07809
3110,5.13066
3120,5.07781
3130,5.13002
3140,5.17357
3150,5.09431
3160,5.14029
3170,5.04985
3180,5.07868
3190,5.11442
3200,5.05441
3210,5.12095
3220,5.11925
3230,5.06183
3240,5.1301
3250,5.07917
3260,5.10222
3270,5.08951
3280,5.16207
3290,5.14305
3300,5.14066
3310,5.06164
3320,5.10308
3330,5.05475
3340,5.15512
3350,5.14093
3360,5.1145
3370,5.12549
3380,5.07107
3390,5.1111
3400,5.10023
3410,5.12543
3420,5.15678
3430,5.14768
3440,5.12264
3450,5.11442
3460,5.03892
3470,5.15781
3480,5.12873
3490,5.10335
3500,5.13986
