MDTU,min_min,min_max,max_min,max_max5
1,-0.109268,-0.00591134,0.0117656,0.0967534
2,-0.0936262,-0.00787396,0.0203901,0.095277
3,-0.102351,-0.00163327,0.0134927,0.0992134
4,-0.103084,-0.00648459,0.0166515,0.100124
5,-0.103084,-0.00648459,0.0166515,0.100124
6,-0.0973229,-0.00476304,0.026868,0.0910548
7,-0.0962572,-0.00615837,0.0256838,0.0953577
8,-0.10269,-0.00844486,0.0211756,0.10412
9,-0.106982,-0.00830198,0.00624937,0.0977391
10,-0.104498,-0.0121521,0.0035138,0.0996589
11,-0.100472,-0.0187737,0.0209357,0.0880297
12,-0.107989,-0.0152013,0.00746386,0.0903939
13,-0.122407,-0.0126476,0.00495541,0.0968525
14,-0.122407,-0.0126476,0.00495541,0.0968525
15,-0.112897,-0.00803281,0.000936284,0.0962394
16,-0.104095,-0.00999161,0.0139836,0.0905478
17,-0.10128,-0.012922,0.0172962,0.0914803
18,-0.10128,-0.012922,0.0172962,0.0914803
19,-0.0996893,-0.0105883,0.018008,0.0930379
20,-0.0897633,-0.0146363,0.0274487,0.0869231
21,-0.0897633,-0.0146363,0.0274487,0.0869231
22,-0.0948632,-0.0112119,0.0217481,0.0952587
23,-0.0924626,-0.0182225,0.010169,0.0933621
24,-0.110292,-0.0102137,0.0137706,0.0929695
25,-0.106765,-0.00946188,0.0146253,0.0942937
26,-0.106765,-0.00946188,0.0146253,0.0942937
27,-0.10688,-0.00968763,0.0131571,0.0957928
28,-0.109386,-0.00869758,0.018141,0.0978486
29,-0.100844,0.000936891,0.0138729,0.108755
30,-0.100844,0.000936891,0.0138729,0.108755
31,-0.0947362,-0.00362996,0.018679,0.102088
32,-0.104936,-0.00600105,0.0113247,0.0955127
33,-0.0916098,-0.0112723,0.0240324,0.0876623
34,-0.105899,-0.00508359,0.011516,0.0970343
35,-0.1039,-0.0117403,0.0103223,0.0978301
36,-0.1039,-0.0117403,0.0103223,0.0978301
37,-0.0900173,-0.0109174,0.0177571,0.0871643
38,-0.101446,-0.00804216,0.0155244,0.0848669
39,-0.0994016,-0.0129566,0.0143909,0.102234
40,-0.0998324,-0.00353913,0.0157445,0.0994416
41,-0.0909797,-0.0100582,0.0244612,0.0938322
42,-0.0982968,-0.00858475,0.0225351,0.094916
43,-0.103137,-0.00849392,0.0237239,0.0910759
44,-0.0934795,-0.016611,0.0212928,0.0913912
45,-0.0900131,-0.00744242,0.0237951,0.0976625
46,-0.09238,-0.0130986,0.0212258,0.0848893
47,-0.0983513,-0.000372346,0.00951048,0.0897954
48,-0.0985163,-0.00601361,0.00918079,0.0996078
49,-0.0999338,-0.0140571,0.025828,0.0927802
50,-0.100107,-0.0131696,0.0132298,0.0874844
51,-0.0925381,-0.0134628,0.014321,0.0895579
52,-0.107885,-0.0122828,0.00943388,0.0864686
53,-0.107205,-0.0247296,0.00960754,0.0828227
54,-0.107374,-0.0231286,0.00435441,0.093244
55,-0.107374,-0.0231286,0.00435441,0.093244
56,-0.121476,-0.027737,0.00671937,0.0950269
57,-0.104596,-0.0176811,0.00734137,0.087662
58,-0.102323,-0.0202314,0.0146271,0.0885582
59,-0.0871659,-0.0183371,0.0204223,0.0839799
60,-0.103678,-0.00324291,0.0133835,0.096819
61,-0.0997171,-0.0131718,0.0202494,0.0933884
62,-0.0982819,-0.0119041,0.0177818,0.092001
63,-0.0958258,-0.0138193,0.016454,0.0963203
64,-0.0971728,-0.0224907,0.0221193,0.0949262
65,-0.120806,-0.0050772,0.00554947,0.102008
66,-0.103454,-0.0128672,0.0214101,0.0976809
67,-0.105214,-0.00792453,0.0318258,0.0903707
68,-0.0925353,-0.00186643,0.0214771,0.093321
69,-0.097667,-0.000117814,0.0232907,0.103371
70,-0.0869131,-0.00183609,0.0285325,0.100119
71,-0.0873064,-0.00448387,0.0256535,0.102691
72,-0.0881086,-0.0128175,0.0186903,0.0952781
73,-0.0899194,-0.0165961,0.025248,0.0943062
