MDTU,0,2,4,6,8,10
10,0.0590568,0.0590929,0.0614298,0.0614757,0.0617414,0.0621608
20,0.0591934,0.0592504,0.0608343,0.0608494,0.0611113,0.0612297
30,0.0578926,0.0578953,0.0600685,0.0601438,0.0603379,0.0603535
40,0.0582224,0.05831,0.0590112,0.059052,0.0600715,0.0601076
50,0.0558687,0.0559052,0.0581277,0.0581484,0.0584033,0.0585734
60,0.0610932,0.0611607,0.0621328,0.0621625,0.0628444,0.062963
70,0.0612381,0.061386,0.0628167,0.0628315,0.0631498,0.063204
80,0.0564177,0.0564351,0.0576547,0.0577016,0.058612,0.0589597
90,0.0586912,0.0588114,0.0606987,0.0607509,0.0607887,0.0608757
100,0.0586425,0.0587182,0.060101,0.0602182,0.0617755,0.0622992
110,0.0581807,0.0582329,0.0585701,0.05862,0.0604881,0.0605518
120,0.0601284,0.0601545,0.061124,0.0612234,0.0622949,0.0628359
130,0.0586008,0.0586375,0.0593175,0.0593243,0.0601465,0.0602549
140,0.0583011,0.0583486,0.0590174,0.0590848,0.0599977,0.0600509
150,0.0588483,0.0588963,0.0597551,0.0597785,0.0602807,0.0603047
160,0.056246,0.0563372,0.0574433,0.057488,0.0588771,0.058897
170,0.0569108,0.0569504,0.0587026,0.0587297,0.0602782,0.0603576
180,0.0549575,0.0550705,0.0570605,0.0571227,0.057301,0.0574643
190,0.0561503,0.056178,0.0577527,0.0578066,0.058035,0.0581461
200,0.0591401,0.0592292,0.0606318,0.0607286,0.0611386,0.061167
210,0.0579222,0.0580137,0.0604659,0.0605296,0.0606003,0.0606619
220,0.0563083,0.0563913,0.0581676,0.0582404,0.0586029,0.0587363
230,0.0575244,0.0575728,0.0585388,0.0586801,0.0588156,0.0588241
240,0.0548935,0.0549318,0.0561971,0.0562353,0.0578208,0.0578703
250,0.0585928,0.0586762,0.0595679,0.0595821,0.0605775,0.0605867
260,0.0544341,0.0545583,0.056365,0.0563956,0.0569017,0.0569647
270,0.0583577,0.0583683,0.0598969,0.0599011,0.0606473,0.0606514
280,0.0595573,0.0595696,0.0605407,0.0605885,0.0606005,0.0606337
290,0.0585641,0.0586115,0.0598851,0.0599632,0.0609176,0.0611106
300,0.057642,0.0576976,0.0593268,0.059486,0.0598478,0.0600964
310,0.057428,0.0574664,0.0590059,0.0591147,0.0604638,0.0610816
320,0.0574995,0.0575881,0.0588767,0.0589847,0.0595556,0.0597522
330,0.0543467,0.0544452,0.0563338,0.0564189,0.0571533,0.0571997
340,0.0587461,0.0588481,0.0591341,0.0592517,0.0597696,0.0597739
350,0.0578374,0.057882,0.0584777,0.0585188,0.0589357,0.0589438
360,0.0577383,0.0577613,0.0595385,0.0595962,0.0605499,0.0607249
370,0.057951,0.0579622,0.0607972,0.0608436,0.06094,0.0609423
380,0.0574694,0.0575708,0.0596729,0.0597255,0.0607202,0.0608176
390,0.0595435,0.0596476,0.0608354,0.0609009,0.0613335,0.0614933
400,0.0581695,0.0582146,0.0601083,0.0601156,0.0603944,0.0605085
410,0.0571922,0.0572231,0.0583573,0.0583701,0.0592448,0.059294
420,0.0576081,0.0576349,0.0602127,0.0602175,0.0604417,0.0604916
430,0.0593152,0.0593251,0.0614316,0.0614485,0.0620801,0.0623335
440,0.0558346,0.0559579,0.0578145,0.0579951,0.058931,0.0589859
450,0.0613583,0.0614383,0.0617117,0.0617171,0.0621738,0.0622548
460,0.0576993,0.0578067,0.0592721,0.0592911,0.060334,0.0604201
470,0.0537019,0.0538219,0.0556139,0.0557747,0.0566788,0.0568629
480,0.0576728,0.0577207,0.0587556,0.0587646,0.0591486,0.0596613
490,0.0566924,0.0567385,0.0581499,0.0583147,0.0594302,0.0594475
500,0.0560137,0.0560772,0.0572641,0.0573098,0.0585398,0.0586703
510,0.0602295,0.0603201,0.0613757,0.0613784,0.0615356,0.0616757
520,0.0580492,0.058117,0.0587118,0.0588031,0.0598327,0.0601264
530,0.0538102,0.053868,0.0556946,0.0557008,0.0571995,0.0572439
540,0.0588722,0.0589737,0.0605035,0.0606127,0.0619921,0.0624382
550,0.0572511,0.0572807,0.0581962,0.0581995,0.0593253,0.0594498
560,0.0577736,0.0577779,0.058348,0.0583496,0.059375,0.0593897
570,0.0577935,0.0578389,0.0596564,0.0597562,0.059769,0.0598283
580,0.0585866,0.0585907,0.0597989,0.0600266,0.0605417,0.0609244
590,0.0578184,0.0578351,0.059517,0.059542,0.0599174,0.0600536
600,0.0599039,0.0599406,0.0610196,0.0610632,0.0616456,0.0616717
610,0.0573558,0.0574663,0.0595704,0.05964,0.0600383,0.0601434
620,0.056835,0.0568425,0.0579386,0.0579472,0.0586062,0.0591213
630,0.0573707,0.0573803,0.0587184,0.0587268,0.0601709,0.0608934
640,0.0600183,0.0601331,0.060948,0.0610256,0.0618114,0.0620953
650,0.0590696,0.0591291,0.060297,0.0603651,0.0617687,0.0620042
660,0.0602686,0.0603837,0.0611374,0.0612004,0.0619858,0.0622214
670,0.0568294,0.0568359,0.0579105,0.057963,0.0589223,0.0594477
680,0.0572152,0.0572307,0.057691,0.0577698,0.0591849,0.0593189
