t,walltime
10,23.43
20,23.45
30,23.46
40,23.39
50,23.43
60,23.43
70,23.41
80,23.37
90,23.46
100,23.44
110,23.46
120,23.41
130,23.44
140,23.46
150,23.45
160,23.45
170,23.45
180,23.41
190,23.43
200,23.46
210,23.42
220,23.39
230,23.48
240,23.42
250,23.51
260,23.5
270,23.5
280,23.58
290,23.45
300,23.46
310,23.43
320,23.48
330,23.47
340,23.46
350,23.5
360,23.45
370,23.47
380,23.51
390,23.45
400,23.39
410,23.48
420,23.48
430,23.43
440,23.41
450,23.44
460,23.4
470,23.46
480,23.51
490,23.54
500,23.49
510,23.48
520,23.48
530,23.51
540,23.44
550,23.48
560,23.47
570,23.47
580,23.47
590,23.4
600,23.38
610,23.43
620,23.45
630,23.59
640,23.48
650,23.52
660,23.52
670,23.47
680,23.49
690,23.39
700,23.51
710,23.5
720,23.48
730,23.47
740,23.58
750,23.43
760,23.46
770,23.48
780,23.44
790,23.49
800,23.43
810,23.56
820,23.52
830,23.54
840,23.54
850,23.44
860,23.42
870,23.5
880,23.5
890,23.57
900,23.48
910,23.51
920,23.46
930,23.59
940,23.48
950,23.6
960,23.51
970,23.58
980,23.57
990,23.53
1000,23.59
1010,23.49
1020,23.49
1030,23.57
1040,23.6
1050,23.52
1060,23.52
1070,23.5
1080,23.45
1090,23.51
1100,23.51
1110,23.58
1120,23.55
1130,23.54
1140,23.53
1150,23.57
1160,23.51
1170,23.55
1180,23.54
1190,23.56
1200,23.56
1210,23.61
1220,23.49
1230,23.45
1240,23.53
1250,23.58
1260,23.56
1270,23.56
1280,23.58
1290,23.52
1300,23.53
1310,23.58
1320,23.64
1330,23.62
1340,23.48
1350,23.61
1360,23.69
1370,23.65
1380,23.52
1390,23.58
1400,23.57
1410,23.63
1420,23.67
1430,23.68
1440,23.65
1450,23.67
1460,23.64
1470,23.64
1480,23.65
1490,23.66
1500,23.64
1510,23.63
1520,23.68
1530,23.7
1540,23.64
1550,23.54
1560,23.62
1570,23.7
1580,23.61
1590,23.67
1600,23.65
1610,23.6
1620,23.73
1630,23.67
1640,23.66
1650,23.66
1660,23.74
1670,23.68
1680,23.68
1690,23.66
1700,23.65
1710,23.63
1720,23.67
1730,23.68
1740,23.71
1750,23.8
1760,23.71
1770,23.72
1780,23.74
1790,23.81
1800,23.83
1810,23.8
1820,23.75
1830,23.8
1840,23.82
1850,23.75
1860,23.83
1870,23.76
1880,23.76
1890,23.83
1900,23.87
1910,23.88
1920,23.87
1930,23.94
1940,23.89
1950,23.87
1960,23.85
1970,23.74
1980,23.92
1990,23.94
2000,23.92
2010,23.85
2020,23.9
2030,23.99
2040,23.97
2050,23.94
2060,23.95
2070,24.07
2080,24.03
2090,23.96
2100,24
2110,24.01
2120,24.02
2130,23.96
2140,23.97
2150,24.05
2160,23.99
2170,24.07
2180,24.26
2190,24.09
2200,24.17
2210,24.15
2220,24.17
2230,24.12
2240,24.2
2250,24.14
2260,24.18
2270,24.24
2280,24.22
2290,24.18
2300,24.22
2310,24.27
2320,24.2
2330,24.25
2340,24.28
2350,24.31
2360,24.31
2370,24.4
2380,24.37
2390,24.51
2400,24.37
2410,24.36
2420,24.4
2430,24.41
2440,24.44
2450,24.59
2460,24.44
2470,24.47
2480,24.45
2490,24.47
2500,24.42
2510,24.72
2520,24.55
2530,24.41
2540,24.5
2550,24.59
2560,24.75
2570,24.57
2580,24.59
2590,24.59
2600,24.77
2610,24.6
2620,24.71
2630,24.67
2640,24.81
2650,24.76
2660,24.75
2670,24.77
2680,24.95
2690,24.8
2700,24.77
2710,24.94
2720,24.76
2730,24.76
2740,24.87
2750,24.77
2760,24.79
2770,24.75
2780,25.02
2790,24.86
2800,24.88
2810,25.21
2820,24.97
2830,25.03
2840,25.15
2850,24.93
2860,25.13
2870,24.98
2880,25
2890,25.12
2900,25.05
2910,24.98
2920,25.3
2930,25.05
2940,25.45
2950,25.09
2960,25.27
2970,25.21
2980,25.11
2990,25.38
3000,25.12
3010,25.35
3020,25.2
3030,25.42
3040,25.22
3050,25.24
3060,25.35
3070,25.24
3080,25.44
3090,25.16
3100,25.51
3110,25.29
3120,25.59
3130,25.42
3140,25.58
3150,25.38
3160,25.7
3170,25.32
3180,25.71
3190,25.56
3200,25.59
3210,25.67
3220,25.48
3230,25.77
3240,25.5
3250,25.84
3260,25.64
3270,25.67
3280,25.68
3290,25.56
3300,25.81
3310,25.62
3320,25.89
3330,25.98
3340,25.71
3350,26.07
3360,26.01
3370,25.82
3380,26.14
3390,26.13
3400,25.92
3410,26.26
3420,25.95
3430,25.96
3440,25.99
3450,26.09
3460,26.1
3470,25.84
3480,26.08
3490,26.23
3500,25.75
