MDTU,susyTrans,Im(bilin)
1830,0.0051735,-2.46174e-06
1840,0.0331112,9.12554e-06
1850,0.0012002,3.7631e-07
1860,0.0183998,-6.50154e-06
1870,0.020148,-1.2091e-06
1880,0.0191997,7.65736e-06
1890,0.0182832,-4.9045e-07
1900,-0.00303246,-7.25792e-06
1910,-0.0281841,-8.85233e-06
1920,0.00823011,9.22257e-06
1930,-0.0058296,5.64117e-06
1940,-0.0155175,9.491e-06
1950,-0.00183591,1.20538e-06
1960,0.0166059,-4.58498e-06
1970,0.00672151,-7.80271e-06
1980,-0.013818,9.25265e-06
1990,-0.00909362,9.34589e-06
2000,-0.000866115,-3.04987e-06
2010,-0.0102858,4.82661e-06
2020,0.0248708,7.69855e-06
2030,-0.0115371,1.67544e-06
2040,-0.00802515,1.02687e-05
2050,0.0159791,-9.6238e-06
2060,0.0202903,4.91425e-06
2070,0.00896759,2.07054e-06
2080,0.00127479,-7.64515e-06
2090,0.00717831,1.04272e-06
2100,0.023308,-9.26813e-06
2110,-0.00858418,9.72213e-06
2120,0.0186247,-7.89838e-06
2130,0.0280224,3.33957e-06
2140,-0.00431998,2.16593e-06
2150,-0.0155767,1.10541e-05
2160,0.0176207,-4.19917e-06
2170,-0.00291164,6.24044e-06
2180,0.002211,1.56993e-06
2190,-0.00236423,-1.59093e-06
2200,0.0280023,-7.06162e-06
2210,-0.00721125,-6.58956e-08
2220,-0.00508885,7.15791e-07
2230,-0.0126817,2.22982e-06
2240,-0.0119074,-1.06608e-06
2250,0.0194408,9.1878e-06
2260,-0.0145008,5.85734e-06
2270,-0.00840241,-5.11914e-06
2280,0.0125439,-7.32346e-06
2290,0.0112704,1.04189e-07
2300,-0.00693331,2.40451e-06
2310,0.000922458,4.17582e-06
2320,-0.0128597,4.42414e-06
2330,-0.00471958,1.9758e-06
2340,-0.015601,1.91585e-06
2350,-0.0125403,2.56024e-06
2360,-0.0106039,-4.69537e-06
2370,0.00263646,-2.39632e-06
2380,0.00478524,-6.55113e-06
2390,0.00930795,5.25061e-07
2400,0.00104324,3.03321e-06
2410,0.00548889,6.89846e-06
2420,-0.00102411,2.3576e-06
2430,0.0206318,-7.74573e-07
2440,-0.013845,4.14713e-06
2450,0.0167952,-4.59092e-06
