t,N_f,N_g
10,140,8400
20,140,8400
30,140,8400
40,140,8400
50,140,8400
60,140,8400
70,140,8400
80,140,8400
90,140,8400
100,140,8400
110,140,8400
120,140,8400
130,140,8400
140,140,8400
150,140,8400
160,140,8400
170,140,8400
180,140,8400
190,140,8400
200,140,8400
210,140,8400
220,140,8400
230,140,8400
240,140,8400
250,140,8400
260,140,8400
270,140,8400
280,140,8400
290,140,8400
300,140,8400
310,140,8400
320,140,8400
330,140,8400
340,140,8400
350,140,8400
360,140,8400
370,140,8400
380,140,8400
390,140,8400
400,140,8400
410,140,8400
420,140,8400
430,140,8400
440,140,8400
450,140,8400
460,140,8400
470,140,8400
480,140,8400
490,140,8400
500,140,8400
510,140,8400
520,140,8400
530,140,8400
540,140,8400
550,140,8400
560,140,8400
570,140,8400
580,140,8400
590,140,8400
600,140,8400
610,140,8400
620,140,8400
630,140,8400
640,140,8400
650,140,8400
660,140,8400
670,140,8400
680,140,8400
690,140,8400
700,140,8400
710,140,8400
720,140,8400
730,140,8400
740,140,8400
750,140,8400
760,140,8400
770,140,8400
780,140,8400
790,140,8400
800,140,8400
810,140,8400
820,140,8400
830,140,8400
840,140,8400
850,140,8400
860,140,8400
870,140,8400
880,140,8400
890,140,8400
900,140,8400
910,140,8400
920,140,8400
930,140,8400
940,140,8400
950,140,8400
960,140,8400
970,140,8400
980,140,8400
990,140,8400
1000,140,8400
1010,140,8400
1020,140,8400
1030,140,8400
1040,140,8400
1050,140,8400
1060,140,8400
1070,140,8400
1080,140,8400
1090,140,8400
1100,140,8400
1110,140,8400
1120,140,8400
1130,140,8400
1140,140,8400
1150,140,8400
1160,140,8400
1170,140,8400
1180,140,8400
1190,140,8400
1200,140,8400
1210,140,8400
1220,140,8400
1230,140,8400
1240,140,8400
1250,140,8400
1260,140,8400
1270,140,8400
1280,140,8400
1290,140,8400
1300,140,8400
1310,140,8400
1320,140,8400
1330,140,8400
1340,140,8400
1350,140,8400
1360,140,8400
1370,140,8400
1380,140,8400
1390,140,8400
1400,140,8400
1410,140,8400
1420,140,8400
1430,140,8400
1440,140,8400
1450,140,8400
1460,140,8400
1470,140,8400
1480,140,8400
1490,140,8400
1500,140,8400
1510,140,8400
1520,140,8400
1530,140,8400
1540,140,8400
1550,140,8400
1560,140,8400
1570,140,8400
1580,140,8400
1590,140,8400
1600,140,8400
1610,140,8400
1620,140,8400
1630,140,8400
1640,140,8400
1650,140,8400
1660,140,8400
1670,140,8400
1680,140,8400
1690,140,8400
1700,140,8400
1710,140,8400
1720,140,8400
1730,140,8400
1740,140,8400
1750,140,8400
1760,140,8400
1770,140,8400
1780,140,8400
1790,140,8400
1800,140,8400
1810,140,8400
1820,140,8400
1830,140,8400
1840,140,8400
1850,140,8400
1860,140,8400
1870,140,8400
1880,140,8400
1890,140,8400
1900,140,8400
1910,140,8400
1920,140,8400
1930,140,8400
1940,140,8400
1950,140,8400
1960,140,8400
1970,140,8400
1980,140,8400
1990,140,8400
2000,140,8400
2010,140,8400
2020,140,8400
2030,140,8400
2040,140,8400
2050,140,8400
2060,140,8400
2070,140,8400
2080,140,8400
2090,140,8400
2100,140,8400
2110,140,8400
2120,140,8400
2130,140,8400
2140,140,8400
2150,140,8400
2160,140,8400
2170,140,8400
2180,140,8400
2190,140,8400
2200,140,8400
2210,140,8400
2220,140,8400
2230,140,8400
2240,140,8400
2250,140,8400
2260,140,8400
2270,140,8400
2280,140,8400
2290,140,8400
2300,140,8400
2310,140,8400
2320,140,8400
2330,140,8400
2340,140,8400
2350,140,8400
2360,140,8400
2370,140,8400
2380,140,8400
2390,140,8400
2400,140,8400
2410,140,8400
2420,140,8400
2430,140,8400
2440,140,8400
2450,140,8400
2460,140,8400
2470,140,8400
2480,140,8400
2490,140,8400
2500,140,8400
2510,140,8400
2520,140,8400
2530,140,8400
2540,140,8400
2550,140,8400
2560,140,8400
2570,140,8400
2580,140,8400
2590,140,8400
2600,140,8400
2610,140,8400
2620,140,8400
2630,140,8400
2640,140,8400
2650,140,8400
2660,140,8400
2670,140,8400
2680,140,8400
2690,140,8400
2700,140,8400
2710,140,8400
2720,140,8400
2730,140,8400
2740,140,8400
2750,140,8400
2760,140,8400
2770,140,8400
2780,140,8400
2790,140,8400
2800,140,8400
2810,140,8400
2820,140,8400
2830,140,8400
2840,140,8400
2850,140,8400
2860,140,8400
2870,140,8400
2880,140,8400
2890,140,8400
2900,140,8400
2910,140,8400
2920,140,8400
2930,140,8400
2940,140,8400
2950,140,8400
2960,140,8400
2970,140,8400
2980,140,8400
2990,140,8400
3000,140,8400
3010,140,8400
3020,140,8400
3030,140,8400
3040,140,8400
3050,140,8400
3060,140,8400
3070,140,8400
3080,140,8400
3090,140,8400
3100,140,8400
3110,140,8400
3120,140,8400
3130,140,8400
3140,140,8400
3150,140,8400
3160,140,8400
3170,140,8400
3180,140,8400
3190,140,8400
3200,140,8400
3210,140,8400
3220,140,8400
3230,140,8400
3240,140,8400
3250,140,8400
3260,140,8400
3270,140,8400
3280,140,8400
3290,140,8400
3300,140,8400
3310,140,8400
3320,140,8400
3330,140,8400
3340,140,8400
3350,140,8400
3360,140,8400
3370,140,8400
3380,140,8400
3390,140,8400
3400,140,8400
3410,140,8400
3420,140,8400
3430,140,8400
3440,140,8400
3450,140,8400
3460,140,8400
3470,140,8400
3480,140,8400
3490,140,8400
3500,140,8400
