t,N_f,N_g
10,70,1400
20,70,1400
30,70,1400
40,70,1400
50,70,1400
60,70,1400
70,70,1400
80,70,1400
90,70,1400
100,70,1400
110,70,1400
120,70,1400
130,70,1400
140,70,1400
150,70,1400
160,70,1400
170,70,1400
180,70,1400
190,70,1400
200,70,1400
210,70,1400
220,70,1400
230,70,1400
240,70,1400
250,70,1400
260,70,1400
270,70,1400
280,70,1400
290,70,1400
300,70,1400
310,70,1400
320,70,1400
330,70,1400
340,70,1400
350,70,1400
360,70,1400
370,70,1400
380,70,1400
390,70,1400
400,70,1400
410,70,1400
420,70,1400
430,70,1400
440,70,1400
450,70,1400
460,70,1400
470,70,1400
480,70,1400
490,70,1400
500,70,1400
510,70,1400
520,70,1400
530,70,1400
540,70,1400
550,70,1400
560,70,1400
570,70,1400
580,70,1400
590,70,1400
600,70,1400
610,70,1400
620,70,1400
630,70,1400
640,70,1400
650,70,1400
660,70,1400
670,70,1400
680,70,1400
690,70,1400
700,70,1400
710,70,1400
720,70,1400
730,70,1400
740,70,1400
750,70,1400
760,70,1400
770,70,1400
780,70,1400
790,70,1400
800,70,1400
810,70,1400
820,70,1400
830,70,1400
840,70,1400
850,70,1400
860,70,1400
870,70,1400
880,70,1400
890,70,1400
900,70,1400
910,70,1400
920,70,1400
930,70,1400
940,70,1400
950,70,1400
960,70,1400
970,70,1400
980,70,1400
990,70,1400
1000,70,1400
1010,70,1400
1020,70,1400
1030,70,1400
1040,70,1400
1050,70,1400
1060,70,1400
1070,70,1400
1080,70,1400
1090,70,1400
1100,70,1400
1110,70,1400
1120,70,1400
1130,70,1400
1140,70,1400
1150,70,1400
1160,70,1400
1170,70,1400
1180,70,1400
1190,70,1400
1200,70,1400
1210,70,1400
1220,70,1400
1230,70,1400
1240,70,1400
1250,70,1400
1260,70,1400
1270,70,1400
1280,70,1400
1290,70,1400
1300,70,1400
1310,70,1400
1320,70,1400
1330,70,1400
1340,70,1400
1350,70,1400
1360,70,1400
1370,70,1400
1380,70,1400
1390,70,1400
1400,70,1400
1410,70,1400
1420,70,1400
1430,70,1400
1440,70,1400
1450,70,1400
1460,70,1400
1470,70,1400
1480,70,1400
1490,70,1400
1500,70,1400
1510,70,1400
1520,70,1400
1530,70,1400
1540,70,1400
1550,70,1400
1560,70,1400
1570,70,1400
1580,70,1400
1590,70,1400
1600,70,1400
1610,70,1400
1620,70,1400
1630,70,1400
1640,70,1400
1650,70,1400
1660,70,1400
1670,70,1400
1680,70,1400
1690,70,1400
1700,70,1400
1710,70,1400
1720,70,1400
1730,70,1400
1740,70,1400
1750,70,1400
1760,70,1400
1770,70,1400
1780,70,1400
1790,70,1400
1800,70,1400
1810,70,1400
1820,70,1400
1830,70,1400
1840,70,1400
1850,70,1400
1860,70,1400
1870,70,1400
1880,70,1400
1890,70,1400
1900,70,1400
1910,70,1400
1920,70,1400
1930,70,1400
1940,70,1400
1950,70,1400
1960,70,1400
1970,70,1400
1980,70,1400
1990,70,1400
2000,70,1400
2010,70,1400
2020,70,1400
2030,70,1400
2040,70,1400
2050,70,1400
2060,70,1400
2070,70,1400
2080,70,1400
2090,70,1400
2100,70,1400
2110,70,1400
2120,70,1400
2130,70,1400
2140,70,1400
2150,70,1400
2160,70,1400
2170,70,1400
2180,70,1400
2190,70,1400
2200,70,1400
2210,70,1400
2220,70,1400
2230,70,1400
2240,70,1400
2250,70,1400
2260,70,1400
2270,70,1400
2280,70,1400
2290,70,1400
2300,70,1400
2310,70,1400
2320,70,1400
2330,70,1400
2340,70,1400
2350,70,1400
2360,70,1400
2370,70,1400
2380,70,1400
2390,70,1400
2400,70,1400
2410,70,1400
2420,70,1400
2430,70,1400
2440,70,1400
2450,70,1400
2460,70,1400
2470,70,1400
2480,70,1400
2490,70,1400
2500,70,1400
2510,70,1400
2520,70,1400
2530,70,1400
2540,70,1400
2550,70,1400
2560,70,1400
2570,70,1400
2580,70,1400
2590,70,1400
2600,70,1400
2610,70,1400
2620,70,1400
2630,70,1400
2640,70,1400
2650,70,1400
2660,70,1400
2670,70,1400
2680,70,1400
2690,70,1400
2700,70,1400
2710,70,1400
2720,70,1400
2730,70,1400
2740,70,1400
2750,70,1400
2760,70,1400
2770,70,1400
2780,70,1400
2790,70,1400
2800,70,1400
2810,70,1400
2820,70,1400
2830,70,1400
2840,70,1400
2850,70,1400
2860,70,1400
2870,70,1400
2880,70,1400
2890,70,1400
2900,70,1400
2910,70,1400
2920,70,1400
2930,70,1400
2940,70,1400
2950,70,1400
2960,70,1400
2970,70,1400
2980,70,1400
2990,70,1400
3000,70,1400
3010,70,1400
3020,70,1400
3030,70,1400
3040,70,1400
3050,70,1400
3060,70,1400
3070,70,1400
3080,70,1400
3090,70,1400
3100,70,1400
3110,70,1400
3120,70,1400
3130,70,1400
3140,70,1400
3150,70,1400
3160,70,1400
3170,70,1400
3180,70,1400
3190,70,1400
3200,70,1400
3210,70,1400
3220,70,1400
3230,70,1400
3240,70,1400
3250,70,1400
3260,70,1400
3270,70,1400
3280,70,1400
3290,70,1400
3300,70,1400
3310,70,1400
3320,70,1400
3330,70,1400
3340,70,1400
3350,70,1400
3360,70,1400
3370,70,1400
3380,70,1400
3390,70,1400
3400,70,1400
3410,70,1400
3420,70,1400
3430,70,1400
3440,70,1400
3450,70,1400
3460,70,1400
3470,70,1400
3480,70,1400
3490,70,1400
3500,70,1400
