ReTr(L),ImTr(L)
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.980067,-0.0963075
0.972925,0.132662
0.972925,0.132662
0.970975,0.133761
0.978,0.0150428
0.966358,-0.051988
0.966358,-0.051988
0.956817,-0.203467
0.956817,-0.203467
0.919658,-0.335087
0.888408,-0.38918
0.855642,-0.468231
0.871058,-0.445855
0.896108,-0.379593
0.886092,-0.389846
0.863517,-0.434087
0.878117,-0.410222
0.865833,-0.435404
0.797055,-0.570532
0.780788,-0.579355
0.848025,-0.490482
0.906583,-0.355276
0.8866,-0.411844
0.813528,-0.533762
0.834508,-0.507941
0.779088,-0.573163
0.679124,-0.696149
0.679124,-0.696149
0.764457,-0.606426
0.768077,-0.61193
0.852625,-0.474559
0.914525,-0.327348
0.91275,-0.330453
0.85595,-0.450357
0.90195,-0.360295
0.90965,-0.333546
0.944308,-0.189466
0.9509,-0.202616
0.941708,-0.243384
0.926175,-0.308518
0.926175,-0.308518
0.897475,-0.368968
0.888692,-0.405441
0.828427,-0.509936
0.75308,-0.624523
0.75308,-0.624523
0.763277,-0.608698
0.656053,-0.722185
0.656053,-0.722185
0.671453,-0.706571
0.75613,-0.613047
0.744759,-0.627166
0.85965,-0.454906
