MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,5.81429,5.78579,-0.574979
2,5.81429,5.78579,-0.574979
3,5.81429,5.78579,-0.574979
4,5.81429,5.78579,-0.574979
5,5.81429,5.78579,-0.574979
6,5.81429,5.78579,-0.574979
7,5.81429,5.78579,-0.574979
8,5.81429,5.78579,-0.574979
9,5.81429,5.78579,-0.574979
10,5.81429,5.78579,-0.574979
11,5.81429,5.78579,-0.574979
12,5.81429,5.78579,-0.574979
13,5.81429,5.78579,-0.574979
14,5.81429,5.78579,-0.574979
15,5.81429,5.78579,-0.574979
16,5.81429,5.78579,-0.574979
17,5.81429,5.78579,-0.574979
18,5.81429,5.78579,-0.574979
19,5.81429,5.78579,-0.574979
20,5.81429,5.78579,-0.574979
21,5.81429,5.78579,-0.574979
22,5.81429,5.78579,-0.574979
23,5.81429,5.78579,-0.574979
24,5.81429,5.78579,-0.574979
25,5.81429,5.78579,-0.574979
26,5.81429,5.78579,-0.574979
27,5.81429,5.78579,-0.574979
28,5.81429,5.78579,-0.574979
29,5.81429,5.78579,-0.574979
30,5.81429,5.78579,-0.574979
31,5.81429,5.78579,-0.574979
32,5.81429,5.78579,-0.574979
33,5.81429,5.78579,-0.574979
34,5.81429,5.78579,-0.574979
35,5.81429,5.78579,-0.574979
36,5.81429,5.78579,-0.574979
37,5.81429,5.78579,-0.574979
38,5.81429,5.78579,-0.574979
39,5.81429,5.78579,-0.574979
40,5.81429,5.78579,-0.574979
41,5.81429,5.78579,-0.574979
42,5.81429,5.78579,-0.574979
43,5.81429,5.78579,-0.574979
44,5.81429,5.78579,-0.574979
45,5.81429,5.78579,-0.574979
46,5.81429,5.78579,-0.574979
47,5.81429,5.78579,-0.574979
48,5.81429,5.78579,-0.574979
49,5.81429,5.78579,-0.574979
50,4.6196,4.57504,0.640075
51,4.6196,4.57504,0.640075
52,3.64453,3.60791,0.515322
53,2.83,2.82978,0.0356126
54,2.36522,2.36124,-0.137203
55,2.36522,2.36124,-0.137203
56,2.30531,2.25738,-0.467657
57,2.30531,2.25738,-0.467657
58,1.94643,1.81977,-0.690674
59,1.8658,1.71457,-0.735829
60,1.73316,1.52465,-0.824196
61,1.65805,1.47764,-0.752135
62,1.64541,1.51653,-0.638357
63,1.59646,1.45895,-0.648194
64,1.5744,1.4071,-0.706253
65,1.60419,1.45613,-0.673127
66,1.55712,1.39558,-0.690642
67,1.56132,1.26622,-0.913463
68,1.37949,1.09946,-0.833173
69,1.50702,1.30417,-0.755159
70,1.45696,1.3542,-0.537459
71,1.3931,1.26671,-0.57979
72,1.40003,1.17338,-0.763712
73,1.41547,1.20609,-0.740876
74,1.30779,1.05675,-0.770456
75,1.35612,0.946689,-0.970998
76,1.35612,0.946689,-0.970998
77,1.26351,0.983318,-0.793435
78,1.34665,1.05625,-0.835345
79,1.38454,1.21383,-0.666024
80,1.29988,1.22334,-0.439456
81,1.26665,1.19223,-0.427762
82,1.25404,1.10569,-0.591671
83,1.29529,1.20501,-0.475107
84,1.27006,1.19158,-0.43952
85,1.30218,1.2756,-0.261743
86,1.29126,1.26368,-0.265459
87,1.29741,1.25425,-0.331866
88,1.25418,1.1908,-0.393659
89,1.25418,1.1908,-0.393659
90,1.29275,1.19755,-0.486906
91,1.3609,1.23857,-0.563907
92,1.30588,1.11043,-0.687208
93,1.4029,1.08216,-0.892769
94,1.4029,1.08216,-0.892769
95,1.328,1.04093,-0.82464
96,1.30223,0.884464,-0.955783
97,1.30223,0.884464,-0.955783
98,1.27612,0.884337,-0.920022
99,1.17045,0.900787,-0.747353
100,1.22925,0.94306,-0.788467
101,1.19889,1.06276,-0.554863
102,1.21639,1.03005,-0.646999
103,1.29537,1.23501,-0.390793
104,1.27352,1.22336,-0.353879
105,1.2909,1.22699,-0.401151
106,1.26979,1.20753,-0.39272
107,1.32463,1.21932,-0.517589
108,1.22856,1.15334,-0.423277
109,1.22961,1.20356,-0.251755
110,1.36079,1.17948,-0.678657
111,1.19161,0.948924,-0.720751
112,1.19161,0.948924,-0.720751
113,1.19161,0.948924,-0.720751
114,1.28442,0.897797,-0.91853
115,1.29796,0.784331,-1.03418
116,1.32209,0.692368,-1.12629
117,1.32209,0.692368,-1.12629
118,1.25509,0.682195,-1.0535
119,1.13599,0.731914,-0.868779
120,1.24185,1.09042,-0.594288
121,1.24605,1.12211,-0.541761
122,1.2685,1.15648,-0.521182
123,1.24051,1.19931,-0.317033
124,1.32761,1.22916,-0.501708
125,1.18163,1.06029,-0.52157
126,1.18163,1.06029,-0.52157
127,1.28778,1.06878,-0.718395
128,1.28778,1.06878,-0.718395
129,1.28778,1.06878,-0.718395
130,1.26591,1.09509,-0.635056
131,1.36475,1.30944,-0.384566
132,1.32292,1.30929,-0.189474
133,1.41113,1.40442,-0.137362
134,1.32235,1.3107,-0.175119
135,1.32235,1.3107,-0.175119
136,1.26141,1.2613,0.0168961
137,1.342,1.34199,0.00533009
138,1.2567,1.23678,0.222861
139,1.33948,1.33376,0.123689
140,1.33948,1.33376,0.123689
141,1.33948,1.33376,0.123689
142,1.33948,1.33376,0.123689
143,1.42629,1.41977,0.136213
144,1.40736,1.38771,0.2344
145,1.4411,1.43617,-0.11915
146,1.27103,1.27051,0.0366009
147,1.30856,1.2981,0.165126
148,1.21918,1.21162,0.135563
149,1.19756,1.19601,-0.061055
150,1.27107,1.25325,-0.212095
151,1.13409,1.13001,0.0960909
152,1.19451,1.1846,0.153618
153,1.19256,1.19159,-0.0480941
154,1.22738,1.19692,0.271733
155,1.27797,1.23726,0.319989
156,1.19489,1.18752,0.132463
157,1.3322,1.3076,0.25482
158,1.22469,1.19075,0.286324
159,1.26597,1.26393,-0.0718496
160,1.13323,1.1252,0.134721
161,1.26372,1.24661,0.207257
162,1.17041,1.13394,0.289907
163,1.24794,1.18925,0.378199
164,1.24876,1.23381,0.192673
165,1.29395,1.29076,0.0908975
166,1.24531,1.2425,0.0835456
167,1.24531,1.2425,0.0835456
168,1.29959,1.29914,0.0342941
169,1.19853,1.19615,0.0754852
170,1.26541,1.26438,0.0510402
171,1.20286,1.19241,-0.158175
172,1.26452,1.25497,-0.155106
173,1.26452,1.25497,-0.155106
174,1.26979,1.23855,-0.279939
175,1.2646,1.17386,-0.47038
176,1.27974,1.15351,-0.5542
177,1.24601,1.14574,-0.489695
178,1.19033,0.993367,-0.655818
179,1.20991,1.09406,-0.516627
180,1.20991,1.09406,-0.516627
181,1.29501,1.14437,-0.606199
182,1.26621,1.16983,-0.484538
183,1.29036,1.16836,-0.547697
184,1.29036,1.16836,-0.547697
185,1.42027,1.28961,-0.595041
186,1.2733,1.24455,-0.269025
187,1.2733,1.24455,-0.269025
188,1.31583,1.2741,-0.328751
189,1.23725,1.1897,-0.339705
190,1.35259,1.23072,-0.5611
191,1.32038,1.09901,-0.731843
192,1.23878,1.18344,-0.366111
193,1.20877,1.01393,-0.658083
194,1.2716,0.95694,-0.837401
195,1.38413,1.02108,-0.934457
