t,deltaS
1,-10.12
2,2.391
3,2.699
4,2.991
5,3.232
6,2.656
7,2.671
8,3.014
9,3.423
10,3.795
11,3.184
12,2.767
13,2.946
14,3.021
15,2.916
16,2.967
17,2.815
18,3.666
19,2.545
20,3.941
21,3.358
22,3.017
23,2.804
24,3.641
25,3.039
26,2.995
27,2.892
28,3.161
29,3.119
30,2.97
31,2.354
32,3.3
33,3.075
34,2.687
35,3.122
36,3.332
37,3.383
38,3.245
39,2.782
40,3.127
41,2.853
42,2.728
43,3.386
44,3.148
45,3.259
46,3.132
47,3.263
48,2.887
49,3.399
50,3.213
51,2.815
52,2.188
53,2.293
54,1.113
55,0.9362
56,1.196
57,0.5546
58,1.327
59,0.6151
60,0.7944
61,-0.1171
62,0.5111
63,-0.1566
64,0.2354
65,0.1257
66,0.6802
67,0.334
68,0.4357
69,-0.1089
70,0.07566
71,-0.1043
72,-0.3139
73,-0.1304
74,0.6655
75,-0.3017
76,0.2278
77,-0.3357
78,-0.04977
79,-0.1015
80,-0.3413
81,0.5408
82,0.0371
83,0.02982
84,0.5632
85,0.9338
86,-0.1794
87,-0.2436
88,-0.2101
89,0.409
90,-0.6497
91,0.2879
92,-0.4058
93,0.395
94,0.1649
95,0.3043
96,0.5244
97,0.6443
98,0.279
99,-0.4677
100,-0.4945
101,0.2976
102,0.06316
103,-0.2802
104,0.05346
105,0.001166
106,-0.4892
107,0.4851
108,0.1684
109,-0.08984
110,-0.119
111,0.2773
112,0.7893
113,0.5699
114,0.07093
115,0.4503
116,-0.05626
117,0.5052
118,0.5695
119,0.7462
120,0.1271
121,-0.7829
122,-0.1301
123,-0.2553
124,-0.02411
125,0.4913
126,0.5385
127,-0.02256
128,0.3997
129,0.4049
130,-0.2883
131,0.2573
132,0.2119
133,-0.1542
134,-0.2168
135,0.6076
136,0.1859
137,-1.177
138,0.7152
139,-0.4801
140,0.3589
141,0.4209
142,0.9507
143,-0.08063
144,-0.3866
145,0.4208
146,0.3092
147,-0.7904
148,0.7236
149,-0.1769
150,-0.3591
151,-0.288
152,0.3129
153,0.6892
154,0.1737
155,0.104
156,0.06344
157,-0.09026
158,0.5904
159,0.4575
160,-0.1774
161,-0.2621
162,0.1786
163,0.002655
164,-0.2856
165,0.3875
166,0.3882
167,0.495
168,0.2331
169,0.05549
170,0.4219
171,-0.03993
172,0.3732
173,0.6249
174,0.5139
175,0.1475
176,0.1953
