MDTU,0,2,4,6,8,10
860,0.025124,0.0251625,0.0267737,0.0269127,0.027379,0.0276006
870,0.0267858,0.0268446,0.0275494,0.0278015,0.027916,0.0280184
880,0.0236154,0.0236244,0.0245194,0.0246145,0.0250161,0.0250566
890,0.0228388,0.0230269,0.0246828,0.0248704,0.0258889,0.0259189
900,0.0278578,0.027984,0.0286518,0.0288458,0.0301729,0.0304434
910,0.023382,0.0234917,0.0249597,0.0250796,0.0262908,0.0263688
920,0.0249311,0.0250509,0.0269801,0.0269929,0.0274706,0.0279078
930,0.0244326,0.0245622,0.0261073,0.0262365,0.0276436,0.0278385
940,0.0224628,0.0225046,0.0232822,0.0236429,0.02553,0.0256546
950,0.0252825,0.0253577,0.0265667,0.0268375,0.0277416,0.027889
960,0.0238866,0.0239477,0.0257299,0.0259318,0.0264708,0.0267074
970,0.0228945,0.0231971,0.0239718,0.0244461,0.0251681,0.0253255
980,0.02447,0.024606,0.0258159,0.0260005,0.0264701,0.0265283
990,0.0230359,0.0231344,0.025008,0.0251103,0.0255663,0.0256141
1000,0.0255178,0.0255547,0.0274476,0.0274664,0.0276867,0.0279466
1010,0.0259545,0.0259876,0.0265879,0.0266722,0.0283283,0.0285623
1020,0.0249799,0.0250157,0.0257352,0.0259788,0.0264925,0.0270449
1030,0.0220006,0.0221689,0.025255,0.0253235,0.0254176,0.0264272
1040,0.0224234,0.0225039,0.0231082,0.0232418,0.0250667,0.0253286
1050,0.0256243,0.025831,0.0263696,0.0266531,0.0269077,0.0270247
1060,0.0234135,0.0236595,0.0245861,0.0246659,0.026499,0.0267413
1070,0.024761,0.0247793,0.026235,0.0262494,0.0263824,0.0266146
1080,0.0283285,0.0285187,0.0289599,0.029103,0.0293147,0.0296074
1090,0.0232852,0.0233974,0.0257383,0.025784,0.0257998,0.0260454
1100,0.0267791,0.027053,0.0280996,0.0281837,0.0292211,0.0298951
1110,0.0261059,0.0263481,0.0274833,0.027554,0.0281128,0.0282897
1120,0.027304,0.0275372,0.0279375,0.0281347,0.0290708,0.0291946
1130,0.0245879,0.0246547,0.0261848,0.0263219,0.0264268,0.0271929
1140,0.0244407,0.0247278,0.0255912,0.0256558,0.0272155,0.0277117
1150,0.0233605,0.0234459,0.0259362,0.0259628,0.0265317,0.026623
1160,0.024956,0.0252214,0.0264557,0.0265674,0.0279083,0.0283022
1170,0.0252418,0.0256926,0.0269182,0.0269573,0.0273435,0.0276739
1180,0.0241552,0.0242065,0.02579,0.0260235,0.0263999,0.0269196
1190,0.0276163,0.0280104,0.0283963,0.0284764,0.0287758,0.0287888
1200,0.0252072,0.0254188,0.0261543,0.0262821,0.0266795,0.0269545
1210,0.0257785,0.0258182,0.0273629,0.027446,0.0278866,0.0280676
1220,0.0240045,0.0243205,0.0246387,0.0249865,0.0271093,0.0274585
1230,0.0247306,0.0248664,0.026082,0.0261544,0.0271032,0.0272117
1240,0.0238833,0.0239406,0.025418,0.0254995,0.0268619,0.0269178
1250,0.0235427,0.0238629,0.0249191,0.0251591,0.0256735,0.0259201
1260,0.0232662,0.0235371,0.0251446,0.0254246,0.0254421,0.025593
1270,0.0251003,0.0252027,0.026275,0.0266278,0.0274254,0.0274455
1280,0.0228303,0.0228423,0.023889,0.0239351,0.0252521,0.0255225
