t,cond_num
10,5.19897
20,5.15779
30,5.15185
40,5.15725
50,5.15995
60,5.16207
70,5.21329
80,5.1647
90,5.21205
100,5.11005
110,5.21616
120,5.18963
130,5.14668
140,5.18162
150,5.14633
160,5.15383
170,5.13152
180,5.1778
190,5.13584
200,5.16639
210,5.14471
220,5.18522
230,5.22443
240,5.19495
250,5.14602
260,5.1766
270,5.13025
280,5.22615
290,5.10726
300,5.12763
310,5.15901
320,5.16254
330,5.26884
340,5.21114
350,5.13702
360,5.15939
370,5.10832
380,5.13491
390,5.12787
400,5.18025
410,5.1397
420,5.13181
430,5.13232
440,5.17576
450,5.17403
460,5.15344
470,5.1956
480,5.14444
490,5.11738
500,5.17432
510,5.14135
520,5.10343
530,5.16932
540,5.1664
550,5.1099
560,5.14225
570,5.19451
580,5.17848
590,5.18953
600,5.1125
610,5.11901
620,5.08964
630,5.16017
640,5.18578
650,5.2015
660,5.18266
670,5.20437
680,5.18538
690,5.12631
700,5.17186
710,5.1621
720,5.17223
730,5.15974
740,5.13522
750,5.19383
760,5.1797
770,5.17579
780,5.14596
790,5.11498
800,5.11856
810,5.16191
820,5.16775
830,5.19761
840,5.21704
850,5.1367
860,5.13954
870,5.19871
880,5.14771
890,5.26415
900,5.14719
910,5.18189
920,5.16619
930,5.13952
940,5.11779
950,5.16205
960,5.15462
970,5.13123
980,5.13849
990,5.08185
1000,5.14776
1010,5.18109
1020,5.16051
1030,5.09062
1040,5.12463
1050,5.15415
1060,5.15572
1070,5.09563
1080,5.18579
1090,5.18623
1100,5.14755
1110,5.17625
1120,5.23413
1130,5.15836
1140,5.20093
1150,5.26326
1160,5.14079
1170,5.17239
1180,5.08897
1190,5.11741
1200,5.17519
1210,5.18086
1220,5.07854
1230,5.15355
1240,5.13849
1250,5.22123
1260,5.21195
1270,5.16716
1280,5.07921
1290,5.19225
1300,5.15215
1310,5.15268
1320,5.21178
1330,5.09879
1340,5.20627
1350,5.15275
1360,5.10616
1370,5.19176
1380,5.16434
1390,5.15489
1400,5.17259
1410,5.16817
1420,5.20137
1430,5.16563
1440,5.18966
1450,5.15833
1460,5.17722
1470,5.14194
1480,5.15799
1490,5.16041
1500,5.13436
1510,5.19366
1520,5.11324
1530,5.20259
1540,5.18232
1550,5.17867
1560,5.13483
1570,5.17974
1580,5.1875
1590,5.18483
1600,5.19565
1610,5.16739
1620,5.06801
1630,5.09676
1640,5.11725
1650,5.1395
1660,5.11274
1670,5.18941
1680,5.21623
1690,5.14996
1700,5.19483
1710,5.12688
1720,5.1599
1730,5.16144
1740,5.18287
1750,5.17461
1760,5.1333
1770,5.15483
1780,5.20637
1790,5.15973
1800,5.20185
1810,5.15208
1820,5.17318
1830,5.11854
1840,5.21489
1850,5.14456
1860,5.17031
1870,5.11651
1880,5.17038
1890,5.13975
1900,5.16463
1910,5.2281
1920,5.15465
1930,5.15567
1940,5.14067
1950,5.15993
1960,5.18707
1970,5.18515
1980,5.15739
1990,5.15412
2000,5.20458
2010,5.18454
2020,5.18116
2030,5.08798
2040,5.18007
2050,5.13943
2060,5.19967
2070,5.09703
2080,5.14107
2090,5.0985
2100,5.18156
2110,5.12734
2120,5.15308
2130,5.07125
2140,5.16134
2150,5.18835
2160,5.12791
2170,5.13332
2180,5.26481
2190,5.12898
2200,5.22894
2210,5.14159
2220,5.12661
2230,5.23196
2240,5.1319
2250,5.14628
2260,5.20217
2270,5.1727
2280,5.17494
2290,5.14572
2300,5.07588
2310,5.1275
2320,5.15649
2330,5.16588
2340,5.17978
2350,5.17292
2360,5.16498
2370,5.13959
2380,5.23034
2390,5.16105
2400,5.14576
2410,5.21795
2420,5.18281
2430,5.1618
2440,5.18856
2450,5.16468
2460,5.21208
2470,5.14403
2480,5.1649
2490,5.10008
2500,5.23238
2510,5.1484
2520,5.15803
2530,5.16692
2540,5.16116
2550,5.11155
2560,5.1157
2570,5.20896
2580,5.2007
2590,5.17262
2600,5.10937
2610,5.12749
2620,5.22022
2630,5.16644
2640,5.13957
2650,5.11944
2660,5.15137
2670,5.15691
2680,5.20623
2690,5.16125
2700,5.15135
2710,5.18202
2720,5.13316
2730,5.15123
2740,5.11297
2750,5.1385
2760,5.1283
2770,5.17495
2780,5.13365
2790,5.13982
2800,5.2735
2810,5.16985
2820,5.18835
2830,5.16603
2840,5.15152
2850,5.20013
2860,5.09222
2870,5.15874
2880,5.16908
2890,5.20256
2900,5.1373
2910,5.16067
2920,5.1844
2930,5.19619
2940,5.14852
2950,5.19992
2960,5.18976
2970,5.15754
2980,5.18482
2990,5.10274
3000,5.1734
3010,5.11402
3020,5.13859
3030,5.149
3040,5.11948
3050,5.18086
3060,5.19854
3070,5.1803
3080,5.12087
3090,5.20985
3100,5.16518
3110,5.17599
3120,5.20335
3130,5.17333
3140,5.11635
3150,5.25572
3160,5.0984
3170,5.24501
3180,5.21775
3190,5.19965
3200,5.17156
3210,5.19832
3220,5.13798
3230,5.15047
3240,5.16251
3250,5.12051
3260,5.2041
3270,5.13869
3280,5.14012
3290,5.17096
3300,5.10074
3310,5.12675
3320,5.1231
3330,5.10591
3340,5.12807
3350,5.16361
3360,5.19226
3370,5.19723
3380,5.19161
3390,5.14344
3400,5.1774
3410,5.13203
3420,5.22335
3430,5.21389
3440,5.12959
3450,5.13491
3460,5.16789
3470,5.09796
3480,5.19004
3490,5.18522
3500,5.15526
