t,walltime
10,10.63
20,10.69
30,10.55
40,10.56
50,10.48
60,10.48
70,10.52
80,10.43
90,10.48
100,10.5
110,10.5
120,10.4
130,10.5
140,10.48
150,10.51
160,10.51
170,10.53
180,10.5
190,10.53
200,10.43
210,10.53
220,10.46
230,10.51
240,10.49
250,10.49
260,10.49
270,10.53
280,10.5
290,10.5
300,10.55
310,10.47
320,10.49
330,10.49
340,10.52
350,10.52
360,10.44
370,10.51
380,10.46
390,10.49
400,10.51
410,10.51
420,10.44
430,10.47
440,10.46
450,10.5
460,10.5
470,10.51
480,10.48
490,10.49
500,10.49
510,10.48
520,10.49
530,10.51
540,10.5
550,10.48
560,10.52
570,10.54
580,10.5
590,10.52
600,10.5
610,10.6
620,10.5
630,10.45
640,10.48
650,10.51
660,10.55
670,10.47
680,10.52
690,10.57
700,10.47
710,10.52
720,10.54
730,10.56
740,10.48
750,10.52
760,10.53
770,10.55
780,10.57
790,10.47
800,10.51
810,10.5
820,10.51
830,10.55
840,10.54
850,10.53
860,10.57
870,10.52
880,10.51
890,10.62
900,10.55
910,10.52
920,10.54
930,10.47
940,10.45
950,10.57
960,10.54
970,10.54
980,10.52
990,10.47
1000,10.57
1010,10.56
1020,10.51
1030,10.58
1040,10.48
1050,10.52
1060,10.53
1070,10.58
1080,10.57
1090,10.53
1100,10.5
1110,10.55
1120,10.55
1130,10.56
1140,10.55
1150,10.58
1160,10.53
1170,10.56
1180,10.5
1190,10.49
1200,10.51
1210,10.53
1220,10.54
1230,10.53
1240,10.58
1250,10.49
1260,10.57
1270,10.55
1280,10.53
1290,10.61
1300,10.58
1310,10.57
1320,10.58
1330,10.6
1340,10.57
1350,10.56
1360,10.51
1370,10.5
1380,10.56
1390,10.59
1400,10.55
1410,10.55
1420,10.59
1430,10.57
1440,10.52
1450,10.48
1460,10.56
1470,10.6
1480,10.62
1490,10.61
1500,10.6
1510,10.53
1520,10.57
1530,10.53
1540,10.57
1550,10.6
1560,10.58
1570,10.67
1580,10.57
1590,10.65
1600,10.62
1610,10.6
1620,10.55
1630,10.62
1640,10.6
1650,10.64
1660,10.65
1670,10.59
1680,10.61
1690,10.58
1700,10.6
1710,10.59
1720,10.67
1730,10.56
1740,10.58
1750,10.63
1760,10.56
1770,10.62
1780,10.63
1790,10.62
1800,10.65
1810,10.6
1820,10.63
1830,10.66
1840,10.65
1850,10.67
1860,10.73
1870,10.62
1880,10.72
1890,10.68
1900,10.67
1910,10.73
1920,10.63
1930,10.69
1940,10.67
1950,10.73
1960,10.64
1970,10.76
1980,10.82
1990,10.67
2000,10.72
2010,10.65
2020,10.77
2030,10.79
2040,10.66
2050,10.81
2060,10.74
2070,10.74
2080,10.8
2090,10.73
2100,10.83
2110,10.77
2120,10.88
2130,10.98
2140,10.75
2150,10.86
2160,10.88
2170,10.8
2180,10.87
2190,10.83
2200,10.79
2210,10.9
2220,10.81
2230,10.89
2240,10.98
2250,10.8
2260,10.95
2270,10.93
2280,10.79
2290,10.95
2300,10.88
2310,10.79
2320,10.95
2330,11.02
2340,10.87
2350,11
2360,10.83
2370,10.97
2380,10.97
2390,10.87
2400,11.04
2410,11.03
2420,10.87
2430,11.01
2440,11.02
2450,11.01
2460,10.83
2470,11.04
2480,11.02
2490,10.9
2500,11.09
2510,11.03
2520,10.95
2530,11.11
2540,11.05
2550,10.92
2560,11
2570,11.11
2580,10.93
2590,11.11
2600,11.21
2610,11.16
2620,10.98
2630,11.19
2640,11.14
2650,11.1
2660,11.1
2670,11.22
2680,11.21
2690,11
2700,11.17
2710,11.21
2720,11.19
2730,11.1
2740,11.17
2750,11.18
2760,11.16
2770,11.05
2780,11.21
2790,11.27
2800,11.07
2810,11.24
2820,11.23
2830,11.26
2840,11.01
2850,11.33
2860,11.36
2870,11.35
2880,11.3
2890,11.16
2900,11.39
2910,11.36
2920,11.39
2930,11.26
2940,11.2
2950,11.37
2960,11.32
2970,11.44
2980,11.15
2990,11.38
3000,11.42
3010,11.34
3020,11.46
3030,11.22
3040,11.37
3050,11.39
3060,11.41
3070,11.49
3080,11.43
3090,11.29
3100,11.48
3110,11.46
3120,11.5
3130,11.53
3140,11.42
3150,11.3
3160,11.57
3170,11.51
3180,11.55
3190,11.55
3200,11.53
3210,11.26
3220,11.53
3230,11.57
3240,11.58
3250,11.52
3260,11.55
3270,11.53
3280,11.29
3290,11.53
3300,11.54
3310,11.68
3320,11.65
3330,11.58
3340,11.61
3350,11.34
3360,11.6
3370,11.62
3380,11.62
3390,11.68
3400,11.7
3410,11.75
3420,11.71
3430,11.72
3440,11.64
3450,11.42
3460,11.67
3470,11.75
3480,11.77
3490,11.77
3500,11.77
