t,deltaS
1,-5.046
2,1.312
3,0.4238
4,1.085
5,1.455
6,0.4889
7,0.711
8,1.319
9,0.2772
10,0.6445
11,0.1924
12,0.6834
13,0.6409
14,0.354
15,0.8128
16,0.07032
17,0.3332
18,0.3128
19,0.7495
20,0.4549
21,-0.2769
22,0.2794
23,0.1548
24,-0.3846
25,0.03007
26,-0.4018
27,0.2223
28,0.4635
29,0.1275
30,0.5333
31,0.4217
32,0.4189
33,-0.1985
34,0.05542
35,0.3029
36,0.4128
37,-0.5967
38,0.1967
39,0.1053
40,0.08626
41,0.5704
42,0.2097
43,0.2915
44,-0.2603
45,-0.4114
46,0.8205
47,0.09143
48,-0.8225
49,-0.2573
50,-0.1177
51,0.3001
52,-0.3508
53,0.4562
54,0.3223
55,-0.419
56,-0.5291
57,0.2186
58,0.4129
59,-0.7205
60,0.7365
61,-0.06768
62,0.04777
63,-0.5524
64,0.2958
65,0.4262
66,0.5585
67,0.3914
68,-1.173
69,0.8454
70,0.5694
71,0.1648
72,1.497e-06
73,0.7666
74,-0.3708
75,0.2626
76,-0.7531
77,0.7266
78,1.089
79,0.03069
80,0.07127
81,0.3575
82,-0.1272
83,-0.2021
84,-0.6369
85,-0.2577
86,0.5589
87,0.2882
88,0.6772
89,-0.2682
90,0.01993
91,0.003419
92,0.146
93,0.3768
94,0.8718
95,-0.4773
96,0.5587
97,-0.3554
98,0.3308
99,-0.1444
100,0.1811
101,0.3971
102,-0.4739
103,0.474
104,-0.199
105,0.1639
106,0.09664
107,-0.2089
108,0.2816
109,0.4258
110,0.3933
111,0.1211
112,-0.1219
113,0.4153
114,-0.7561
115,-0.2991
116,0.3408
117,0.09181
118,0.1684
119,-0.03119
120,0.4354
121,0.3067
122,0.3678
123,0.2121
124,-0.03193
125,0.0618
126,0.3115
127,-0.1129
128,-0.5759
129,0.1793
130,-0.3976
131,0.1233
132,-0.3722
133,0.1609
134,-0.1522
135,0.3647
136,0.1199
137,0.1795
138,-0.4321
139,-0.2743
140,0.3041
141,0.6522
142,-0.1497
143,-0.2271
144,-0.8806
145,-0.02748
146,0.2475
147,0.2698
148,0.4996
149,0.5317
150,0.2885
151,-0.09726
152,-0.3707
153,-0.0002595
154,-0.4308
155,-0.2879
156,-0.1994
157,-0.4659
158,-0.2379
159,0.06149
160,0.2818
161,0.3897
162,-0.2618
163,-0.548
164,-0.2601
165,-0.2873
166,0.3537
167,0.0852
168,0.225
169,0.1909
170,0.3928
171,0.8658
172,0.2105
173,-0.01858
174,-0.1472
175,0.7916
176,0.1351
177,0.1076
178,-0.1173
179,0.07303
180,-0.2287
181,-0.01255
182,-0.1035
183,0.02682
184,0.08011
185,-0.6048
186,0.6163
187,-0.7842
188,-0.01299
189,0.6572
190,-0.2277
191,0.08942
192,-0.4439
193,0.1755
194,-0.03476
195,-0.1872
196,-0.1296
197,-0.001791
198,0.5433
199,0.2429
200,-0.5039
201,0.1799
202,-0.1334
203,0.1388
204,-0.1218
205,0.4383
206,-0.725
207,-0.06516
208,-0.8592
209,-0.2003
210,-0.226
211,0.07703
212,0.3918
213,-0.3029
214,-0.06744
215,-0.08179
216,0.4311
217,0.3526
218,-0.1001
219,-0.135
220,-0.3025
221,0.02225
222,0.268
223,0.1514
224,0.04788
225,0.08182
226,0.2412
227,-0.2356
228,0.4182
229,0.06777
230,0.6756
231,-0.225
232,0.1012
233,-0.6559
234,0.6871
235,0.1454
236,0.6053
237,-0.1128
238,0.1484
239,-0.1915
240,-0.1125
241,0.3051
242,0.319
243,0.8975
244,-0.4963
245,0.1915
246,0.1477
247,-0.07718
248,-0.02932
249,0.2314
250,-0.09084
251,0.508
252,-0.2536
253,0.5355
254,-0.03429
255,-0.4754
256,-0.0838
257,-0.357
258,0.3057
259,0.3778
260,-0.238
261,-0.2279
262,0.8679
263,-0.4053
264,0.08795
265,0.05226
266,-0.6686
267,0.1571
268,0.5435
269,0.7115
270,0.2279
271,-0.1694
272,0.5372
273,-0.5104
274,-0.3891
275,0.186
276,0.168
277,0.248
278,0.04247
279,-0.3309
280,-0.2109
281,0.1364
282,0.61
283,0.2144
284,-0.2377
285,0.3804
286,-0.05523
287,-0.1308
288,-0.2091
289,0.4026
290,-0.2722
291,-0.03061
292,-0.1218
293,0.2768
294,0.05581
295,-0.9006
296,-0.261
