t,e^(-dS)
457,0.879414
458,1.47728
459,0.741115
460,0.951686
461,0.739338
462,1.38916
463,1.02351
464,1.23343
465,1.20382
466,0.896013
467,0.706169
468,2.03888
469,0.737566
470,0.821601
471,0.766209
472,0.549251
473,0.813589
474,0.56513
475,0.904385
476,1.64988
477,1.08639
478,1.45049
479,0.883468
480,3.29696
481,0.707442
482,0.80276
483,1.20539
484,1.14031
485,1.16964
486,0.657178
487,0.680587
488,1.31587
489,0.52482
490,0.581119
491,1.3371
492,0.777945
493,0.822177
494,0.455254
495,1.16871
496,0.997522
497,0.436879
498,0.714052
499,0.668379
500,0.737123
501,1.28223
502,1.23158
503,1.24123
504,1.20286
505,0.440432
506,1.35189
507,0.957806
508,0.942424
509,0.624502
510,0.596128
511,0.545365
512,1.30356
513,0.871273
514,1.58202
515,0.938634
516,0.665511
517,0.875991
518,1.48914
519,0.624627
520,0.810341
521,0.54482
522,0.946845
523,1.66313
524,1.01475
525,1.30395
526,0.879062
527,1.02107
528,1.12524
529,0.628826
530,1.20454
531,0.578452
532,1.2101
533,0.622009
534,0.767129
535,0.939282
536,1.33563
537,0.852314
538,1.25533
539,0.779736
540,0.9882
541,1.19435
542,0.786943
543,0.624128
544,0.582923
545,1.25734
546,1.34178
547,0.609693
548,0.722527
549,1.1965
550,1.28351
551,1.22397
552,1.20623
553,0.787494
554,0.923929
555,1.66712
556,0.764143
557,1.26795
558,1.14935
559,1.02533
560,1.22924
561,1.16149
562,1.14396
563,1.23097
564,0.910128
565,0.758054
566,1.08474
567,0.87197
568,0.483695
569,0.991089
570,0.653051
571,0.888874
572,0.873192
573,1.13451
574,0.987993
575,0.772904
576,1.42049
577,1.55784
578,1.71326
579,0.787179
580,0.736976
581,0.999693
582,1.07879
583,0.661199
584,0.635972
585,0.849761
586,0.91621
587,1.76279
588,0.675637
589,0.818649
590,0.640888
591,1.38486
592,1.27928
593,1.30526
594,1.54574
595,1.28814
596,0.834102
597,1.09745
598,0.568929
599,0.956198
600,0.65377
601,1.07128
602,1.63722
603,0.272532
604,1.93267
605,1.12953
606,1.45863
607,2.87772
608,0.852996
609,0.834519
610,1.0095
611,0.586666
612,1.16754
613,1.18637
614,1.41652
615,0.511146
616,1.23405
617,1.00822
618,0.879502
619,1.02401
620,0.667844
621,1.14614
622,0.454753
623,0.647783
624,0.629204
625,1.02769
626,0.809531
627,1.52806
628,1.13055
629,1.25759
630,0.947271
631,1.00433
632,0.422486
633,1.5011
634,1.80237
635,1.60496
636,0.68963
637,0.983921
638,0.928672
639,1.14065
640,1.18057
641,0.620705
642,0.986857
643,0.993457
644,0.460151
645,0.748638
646,1.14993
647,0.752165
648,0.750812
649,0.941595
650,0.834018
651,1.78354
652,0.541019
653,1.46726
654,1.03562
655,0.491251
656,0.62688
657,0.797319
658,0.991944
659,0.748114
660,0.920738
661,0.973741
662,0.939225
663,0.841474
664,0.675366
665,1.27049
666,1.04977
667,1.48944
668,0.545256
669,0.494999
670,1.39487
671,1.44991
672,1.49691
673,1.00147
674,0.811801
675,0.489731
676,1.13735
677,0.740004
678,0.808399
679,0.854362
680,0.661993
681,0.907492
682,1.38251
683,1.1212
684,0.986887
685,1.04398
686,1.01195
687,0.722672
688,1.44109
689,0.71541
690,1.01835
691,2.57616
692,1.17046
693,0.628072
694,1.18459
695,1.01546
696,1.84375
697,0.835688
698,0.875115
699,0.789386
700,1.09241
701,1.64066
702,0.823987
703,1.32671
704,0.501125
705,2.06164
706,0.921005
707,0.957021
708,0.932338
709,0.725206
710,1.19148
711,0.966407
712,1.2452
713,0.992913
714,0.513143
715,1.73898
716,0.537622
717,0.949861
718,0.762998
719,0.450724
720,1.40649
721,0.44202
722,0.554993
723,1.96895
724,2.20406
725,0.859676
726,0.658691
727,0.818895
728,0.627382
729,1.06628
730,1.85466
731,0.785999
732,0.901315
733,0.673209
734,1.17339
735,0.746993
736,0.829859
737,0.903391
738,1.34528
739,0.991499
740,1.24471
741,1.22385
742,1.30761
743,0.996133
744,0.720651
745,1.04971
746,1.10827
747,1.38666
748,0.872494
749,1.11896
750,0.862345
751,1.45136
752,1.41298
753,1.1275
754,0.569783
755,1.36193
756,1.03202
757,0.626504
758,1.04425
759,1.00685
760,0.654489
761,1.6271
762,0.574072
763,1.69825
764,0.60236
765,1.03073
766,1.02717
767,0.906631
768,1.09237
769,0.769973
770,0.928783
771,1.33402
772,0.530996
773,1.53572
774,0.383199
775,0.890386
776,1.09154
777,0.593986
778,0.699143
779,0.927586
780,1.08266
781,0.977741
782,0.788124
783,0.899695
784,1.058
785,1.34501
786,0.637055
787,0.437359
788,1.01105
789,0.67368
790,0.600676
791,0.918292
792,1.02103
793,1.61397
794,0.558165
795,3.03133
796,0.577238
797,1.09872
798,1.43965
799,0.927196
800,0.95705
801,1.0511
802,1.43276
803,0.777012
804,0.771977
805,0.822752
806,0.871273
807,1.38722
808,0.693087
809,0.731177
810,1.71979
811,0.910756
812,0.839289
813,0.670387
814,0.689975
815,1.18661
816,1.16813
817,1.09585
818,0.799715
819,0.66365
820,1.0886
821,1.84707
822,0.773291
823,1.15408
824,1.06005
825,1.38555
826,1.06075
827,0.741782
828,1.18815
829,1.11851
830,0.677463
831,0.698165
832,1.21203
833,0.766746
834,1.43319
835,0.725713
836,0.397405
837,0.930968
838,1.86694
839,1.83107
840,0.913328
841,0.538698
842,1.07701
843,1.07448
844,0.611586
845,0.64623
846,1.51104
847,1.09043
848,1.50893
849,0.984974
850,1.93595
851,0.818321
852,0.464822
853,1.43161
854,0.803643
855,1.2839
856,0.907819
857,0.688803
858,0.602963
859,1.48795
860,0.64275
861,1.07757
862,0.644745
863,0.548537
864,0.501927
865,0.793819
866,0.763838
867,1.37616
868,0.911248
869,0.674017
870,1.10982
871,1.10893
872,1.17234
873,1.31141
874,0.667778
875,0.861311
876,0.955137
877,0.882673
878,1.81503
879,0.821191
880,1.834
881,1.29875
882,1.24073
883,0.486266
884,1.02621
885,1.37699
886,0.849166
887,0.91888
888,1.22826
889,0.864158
890,0.945832
891,0.966842
892,0.851888
893,0.952276
894,1.56863
895,1.60464
896,0.673747
897,1.31206
898,1.31036
899,0.767359
900,1.38223
901,1.32392
902,0.935972
903,0.695795
904,1.0476
905,0.791045
906,0.680179
907,1.1953
908,0.514737
909,0.453573
910,0.835354
911,0.609083
912,0.960204
913,0.66711
914,0.444947
915,0.902037
916,0.474687
917,0.816033
918,1.32963
919,2.46527
920,0.386509
921,0.893955
922,0.817422
923,1.01594
924,1.06127
925,0.758585
926,1.19053
927,0.848063
928,1.8925
929,1.35067
930,0.707583
931,1.73343
932,1.05174
933,0.680587
