t,|deltaS|
1,0.549
2,0.2428
3,0.7704
4,1.199
5,0.09007
6,0.3556
7,1.008
8,0.4331
9,0.2496
10,0.2788
11,0.3416
12,0.2703
13,0.559
14,0.02576
15,0.5789
16,0.2973
17,0.9853
18,0.1013
19,1.121
20,0.4495
21,0.08608
22,0.7966
23,0.7584
24,0.4044
25,0.6419
26,0.561
27,0.146
28,0.06985
29,0.535
30,0.7676
31,0.6453
32,0.01905
33,1.222
34,0.7862
35,0.2996
36,0.8708
37,0.1841
38,0.1421
39,0.2082
40,0.3621
41,0.4458
42,0.4302
43,0.27
44,0.01914
45,0.3845
46,0.007774
47,0.3826
48,0.06637
49,0.4811
50,0.1743
51,0.4445
52,0.7504
53,0.2663
54,0.1458
55,0.4298
56,0.3867
57,1.23
58,0.3692
59,1.223
60,1.225
61,0.5211
62,0.06646
63,0.2609
64,0.1202
65,1.099
66,0.02515
67,0.8651
68,1.261
69,0.355
70,0.4356
71,0.1736
72,0.00547
73,0.05233
74,0.3081
75,0.4412
76,0.7208
77,0.4477
78,0.3828
79,0.661
80,0.5934
81,0.6271
82,0.182
83,0.2807
84,0.6513
85,0.6229
86,0.5137
87,0.3081
88,0.5357
89,0.1807
90,0.2377
91,0.4919
92,0.331
93,0.5866
94,0.3291
95,0.6429
96,1.767
97,0.4071
98,0.1496
99,0.04196
100,0.3
101,0.3521
102,0.3288
103,0.2497
104,0.2756
105,0.473
106,0.2572
107,0.4056
108,0.8935
109,0.1354
110,0.04458
111,0.1174
112,0.1733
113,0.1382
114,0.1713
115,1
116,1.081
117,0.1259
118,0.4512
119,0.5316
120,0.8325
121,0.02231
122,0.1351
123,0.03524
124,0.4883
125,0.7323
126,0.3187
127,0.5602
128,0.06457
129,0.1696
130,0.4935
131,1.17
132,1.142
133,0.1788
134,0.005862
135,0.338
136,0.5873
137,1.165
138,0.309
139,0.2037
140,0.2896
141,0.02639
142,0.1819
143,0.4911
144,0.7336
145,0.1731
146,0.09343
147,0.2325
148,0.2472
149,0.4844
150,1.311
151,0.06454
152,0.01111
153,0.2193
154,0.8205
155,0.4934
156,0.2108
157,1.413
158,0.7224
159,0.5526
160,0.1249
161,0.6465
162,0.9941
163,0.5271
164,0.2969
165,0.1306
166,0.1657
167,1.283
168,0.4322
169,0.2578
170,0.5763
171,0.05063
172,0.5541
173,0.1068
174,0.5717
175,0.1645
176,0.4358
177,0.7498
178,0.5601
179,0.1615
180,0.6266
181,0.2103
182,0.1605
183,0.4055
184,0.2643
185,0.5455
186,0.3728
187,1.053
188,0.2867
189,0.7812
190,0.8863
191,0.5666
192,0.1229
193,1.079
194,0.6835
195,0.5451
196,0.1117
197,0.7138
198,0.3266
199,0.4244
200,0.7356
201,0.1032
202,0.4477
203,0.2084
204,0.4784
205,0.06655
206,0.8474
207,0.9763
208,0.2567
209,0.4203
210,0.768
211,0.1806
212,0.3621
213,0.6212
214,0.9415
215,0.2861
216,0.8156
217,0.1831
218,0.008213
219,0.2109
220,0.3599
221,1.021
222,1.694
223,0.6921
224,0.04571
225,0.214
226,0.1355
227,0.2727
228,0.9521
229,0.4638
230,0.5438
231,0.444
232,0.9261
233,0.3099
234,0.1819
235,1.149
236,1.119
237,0.6075
238,0.5936
239,0.2938
240,0.2248
241,0.4827
242,0.7528
243,0.4684
244,0.5571
245,0.5485
246,0.3646
247,0.4894
248,0.357
249,0.2596
250,0.1646
251,0.4296
252,0.6198
253,0.6316
254,0.9132
255,0.6248
256,0.03225
257,0.8585
258,0.3882
259,0.6282
260,0.08925
261,0.07109
262,0.07219
263,0.2307
264,0.5743
265,0.4001
266,0.181
267,0.6116
268,0.2238
269,0.5371
270,0.5711
271,0.2812
272,0.0148
273,0.5173
274,0.2552
275,0.3304
276,0.4758
277,0.4985
278,0.9995
279,0.739
280,0.7148
281,0.6777
282,0.5293
283,0.859
284,0.8036
285,0.02964
286,0.4014
287,0.7287
288,0.6148
289,0.2812
290,0.2721
291,1.164
292,0.03606
293,1.106
294,0.4625
295,0.1907
296,0.9526
297,1.089
298,0.1748
299,0.5076
300,0.5645
301,1.146
302,0.05858
303,0.2602
304,0.1391
305,0.1399
306,0.4681
307,0.4129
308,0.2138
309,0.358
310,0.4204
311,0.1559
312,0.04798
313,0.04124
314,0.1575
315,0.4359
316,0.147
317,0.1724
318,0.4636
319,0.6541
320,0.2308
