MDTU,min_ave,max_ave
216,-0.0804087,0.0398014
217,-0.0804087,0.0398014
218,-0.0704054,0.047576
219,-0.075324,0.0432998
220,-0.069038,0.0437713
221,-0.0674684,0.05319
222,-0.0661048,0.0538183
223,-0.0660228,0.0499586
224,-0.0626715,0.0488599
225,-0.0706978,0.046501
226,-0.0705338,0.0409069
227,-0.0719342,0.0469491
228,-0.0732177,0.0455273
229,-0.0788321,0.044183
230,-0.0703029,0.0419996
231,-0.0703029,0.0419996
232,-0.0739355,0.0451075
233,-0.070654,0.0487106
234,-0.0726919,0.0489064
235,-0.076703,0.0445557
236,-0.073695,0.0443164
237,-0.0736351,0.0425075
238,-0.0734895,0.0431866
239,-0.0682675,0.0426607
240,-0.0778431,0.0402186
241,-0.0781653,0.0477826
242,-0.0781653,0.0477826
243,-0.0791903,0.0467614
244,-0.0752811,0.0477841
245,-0.0764983,0.0413756
246,-0.0733249,0.0434078
247,-0.0733249,0.0434078
248,-0.0768798,0.0385306
249,-0.0704738,0.0420301
250,-0.0753575,0.044375
251,-0.0813999,0.0358392
252,-0.0828175,0.0308843
253,-0.0805016,0.035205
254,-0.0805016,0.035205
255,-0.0842921,0.0407065
256,-0.0842921,0.0407065
257,-0.0818293,0.0402861
258,-0.0818293,0.0402861
259,-0.0787389,0.0424406
260,-0.0775591,0.0455049
261,-0.0739262,0.0389092
262,-0.0739262,0.0389092
263,-0.0761999,0.0344122
264,-0.0878562,0.0316549
265,-0.0878562,0.0316549
266,-0.0878562,0.0316549
267,-0.093637,0.0252842
268,-0.0901221,0.0311858
269,-0.0785236,0.0350425
270,-0.0843797,0.0360466
271,-0.0791485,0.0366972
272,-0.0781429,0.0352547
273,-0.0739819,0.0394503
274,-0.0751491,0.0411731
275,-0.0792626,0.0359143
276,-0.0794433,0.0390512
277,-0.0794999,0.0401129
278,-0.0936587,0.0346498
279,-0.0818551,0.0399582
280,-0.0818551,0.0399582
281,-0.073097,0.0435178
282,-0.0712321,0.0440604
283,-0.0712321,0.0440604
284,-0.0703718,0.0433142
285,-0.0697804,0.0401034
286,-0.0664271,0.0491259
287,-0.0664271,0.0491259
288,-0.0685637,0.0522642
289,-0.0662882,0.0506212
290,-0.062904,0.0530433
291,-0.0691532,0.0480982
292,-0.0592566,0.0560905
293,-0.0699086,0.0471233
294,-0.0669489,0.051798
295,-0.0627082,0.0508938
296,-0.064935,0.0475771
297,-0.0726356,0.0496275
298,-0.066085,0.0493096
299,-0.067437,0.0501756
300,-0.0677015,0.053066
301,-0.0743397,0.0506192
302,-0.0761422,0.0465538
303,-0.0761422,0.0465538
304,-0.0780527,0.0366705
305,-0.0780527,0.0366705
306,-0.0760758,0.0386002
307,-0.0804033,0.0433452
308,-0.0787867,0.0466699
309,-0.0767876,0.0381668
310,-0.0846768,0.0417698
311,-0.0778944,0.0367373
312,-0.0778944,0.0367373
313,-0.072797,0.0449122
314,-0.0683026,0.0479032
315,-0.0683026,0.0479032
316,-0.0727267,0.0510026
317,-0.074724,0.0465251
318,-0.0757514,0.0446647
319,-0.0757514,0.0446647
320,-0.0757514,0.0446647
321,-0.0796519,0.0395907
322,-0.0773547,0.04014
323,-0.0773547,0.04014
324,-0.0770594,0.036643
325,-0.0925176,0.0373967
326,-0.0917709,0.0321221
327,-0.0859221,0.032032
328,-0.0909366,0.034769
329,-0.0865942,0.0356356
330,-0.0976698,0.0317114
331,-0.0888113,0.0345826
332,-0.094243,0.0292688
333,-0.100597,0.0283743
334,-0.100597,0.0283743
335,-0.0951672,0.0294135
336,-0.0892898,0.0316659
337,-0.0881973,0.0396172
338,-0.086327,0.0295211
339,-0.086327,0.0295211
340,-0.095822,0.0269111
341,-0.0910851,0.0303726
342,-0.0794419,0.0334867
343,-0.0794419,0.0334867
344,-0.0766462,0.0418254
345,-0.0778705,0.0409373
346,-0.0816113,0.0376965
347,-0.0762465,0.041053
348,-0.0787187,0.0350437
349,-0.0844805,0.032151
350,-0.0844805,0.032151
351,-0.0845195,0.0290045
352,-0.0831791,0.0329799
353,-0.0877729,0.0356253
354,-0.090404,0.0345702
355,-0.0846882,0.0324656
356,-0.0846882,0.0324656
357,-0.0817512,0.038423
358,-0.0817512,0.038423
359,-0.0764003,0.0392408
360,-0.0826816,0.039155
361,-0.0844454,0.0439873
362,-0.0844454,0.0439873
363,-0.0845922,0.0426849
364,-0.0780297,0.0396453
365,-0.0780297,0.0396453
366,-0.0803153,0.0443668
367,-0.0833952,0.0377388
368,-0.0811941,0.0340113
369,-0.0811941,0.0340113
370,-0.0788017,0.0477059
371,-0.0784681,0.041198
372,-0.0767319,0.0404887
373,-0.0772911,0.0411647
374,-0.0772911,0.0411647
375,-0.0772911,0.0411647
376,-0.08765,0.032477
377,-0.0822635,0.0362682
378,-0.0875956,0.0394033
379,-0.0881531,0.0366496
380,-0.0864276,0.0388143
381,-0.0886759,0.0328207
382,-0.0938802,0.0380091
383,-0.0897299,0.0330363
384,-0.0845054,0.0362964
385,-0.0772451,0.042291
386,-0.0760315,0.0411505
387,-0.0693866,0.0426829
388,-0.0664814,0.050442
389,-0.0741813,0.0388307
390,-0.0790196,0.0369991
391,-0.0830067,0.0392802
392,-0.0801842,0.0403439
393,-0.086461,0.0340096
394,-0.09152,0.0281924
395,-0.0869394,0.0355359
396,-0.0864797,0.0361763
397,-0.0949925,0.0307415
398,-0.0885841,0.0312541
399,-0.0917794,0.0332407
400,-0.0805286,0.0312201
401,-0.0803139,0.0345199
402,-0.0821247,0.0429388
403,-0.0809897,0.0471782
404,-0.0797685,0.038326
405,-0.0739727,0.0377171
406,-0.0739727,0.0377171
407,-0.084238,0.038229
408,-0.084238,0.038229
409,-0.0858067,0.0412738
410,-0.0719655,0.0402544
411,-0.0756526,0.0402567
412,-0.0756526,0.0402567
413,-0.0894638,0.0263015
414,-0.0991542,0.0269275
415,-0.0890792,0.0350038
416,-0.0833457,0.0423887
417,-0.0851261,0.0358178
418,-0.0833395,0.0330536
419,-0.0833395,0.0330536
420,-0.0799821,0.0363528
421,-0.0888101,0.033072
422,-0.0929917,0.0359308
423,-0.0817743,0.0322547
424,-0.0817743,0.0322547
425,-0.0870076,0.0356922
426,-0.0839203,0.0398118
427,-0.0839203,0.0398118
428,-0.0816844,0.0413056
429,-0.0825522,0.0396665
430,-0.0785639,0.0410275
431,-0.0766225,0.0410244
432,-0.0821886,0.0393879
433,-0.0705804,0.044449
434,-0.0755835,0.0423066
435,-0.0755021,0.041564
436,-0.0778404,0.0413
437,-0.0785239,0.0337974
438,-0.0778561,0.0428768
439,-0.076711,0.0423901
440,-0.076711,0.0423901
441,-0.0798526,0.0399042
442,-0.0756108,0.0360768
443,-0.0709942,0.0440569
444,-0.0670809,0.0460509
445,-0.0651685,0.0453762
446,-0.0655465,0.0494925
447,-0.0655465,0.0494925
448,-0.0648752,0.0530232
449,-0.0692947,0.0470242
450,-0.0685859,0.0517388
451,-0.0604311,0.0493841
452,-0.058295,0.056526
453,-0.0657786,0.0527623
454,-0.0612311,0.0583379
455,-0.0664033,0.0590094
456,-0.0707364,0.045891
457,-0.0714326,0.0439118
458,-0.0717121,0.0440617
459,-0.0744486,0.0418909
460,-0.0685844,0.0509685
461,-0.0580834,0.0494869
462,-0.0677702,0.0498171
463,-0.0677702,0.0498171
464,-0.0682723,0.0456441
465,-0.0720449,0.0502746
466,-0.069442,0.0456102
467,-0.069442,0.0456102
468,-0.0699408,0.0447958
469,-0.0699408,0.0447958
470,-0.0698883,0.047905
471,-0.0651586,0.0505496
472,-0.0736987,0.049078
473,-0.0671241,0.0492036
474,-0.0689555,0.0458066
475,-0.0715434,0.0468246
476,-0.0715434,0.0468246
477,-0.0715434,0.0468246
478,-0.0715434,0.0468246
479,-0.0598708,0.0480124
480,-0.0610023,0.0467372
481,-0.0602454,0.0517831
482,-0.0646111,0.0545895
483,-0.0646627,0.0545033
484,-0.0779755,0.0469587
485,-0.0712154,0.0450851
486,-0.0712154,0.0450851
487,-0.0699769,0.0409542
488,-0.0699769,0.0409542
489,-0.0720449,0.0399704
490,-0.0719302,0.0399748
491,-0.0770157,0.0459063
492,-0.0770157,0.0459063
493,-0.0685847,0.048237
494,-0.0669744,0.0413053
495,-0.0669744,0.0413053
496,-0.0691301,0.0475252
497,-0.073909,0.0471929
498,-0.073909,0.0471929
499,-0.0792717,0.0430362
500,-0.0823457,0.0448873
501,-0.0791182,0.0383695
502,-0.0895566,0.0307651
503,-0.0895566,0.0307651
504,-0.0955493,0.0347318
505,-0.092068,0.0277081
506,-0.0892764,0.0307634
507,-0.0795901,0.035493
508,-0.0835464,0.0332245
509,-0.0835464,0.0332245
510,-0.0851399,0.0336239
511,-0.0894038,0.0305581
512,-0.0911412,0.0279151
513,-0.0911412,0.0279151
514,-0.0937001,0.0261557
515,-0.0937001,0.0261557
516,-0.0885096,0.0286024
517,-0.0887898,0.0406509
518,-0.0878491,0.027753
519,-0.101154,0.0197524
520,-0.0958372,0.0200262
521,-0.10422,0.0222189
522,-0.0857992,0.0338194
523,-0.0817308,0.0406579
524,-0.080706,0.0395187
525,-0.0805058,0.0378456
526,-0.0720839,0.0416057
527,-0.0752178,0.045498
528,-0.0714075,0.0483403
529,-0.0714075,0.0483403
530,-0.0714075,0.0483403
531,-0.078165,0.0401947
532,-0.0869321,0.0355432
533,-0.0862911,0.0296732
534,-0.0889374,0.0288612
535,-0.0917875,0.0298409
536,-0.0833964,0.039044
537,-0.0876385,0.0361267
538,-0.0848843,0.0408584
539,-0.0686003,0.0438091
540,-0.0745808,0.0420567
541,-0.0729873,0.0455909
542,-0.0729873,0.0455909
543,-0.0741232,0.0450714
544,-0.0741232,0.0450714
545,-0.074178,0.0461902
546,-0.0709672,0.0505307
547,-0.0709672,0.0505307
548,-0.0709672,0.0505307
549,-0.0709672,0.0505307
550,-0.0734373,0.0450597
551,-0.0753056,0.0405413
552,-0.0824817,0.0367609
553,-0.0824817,0.0367609
554,-0.0731661,0.0486329
555,-0.0768761,0.0453868
556,-0.0768761,0.0453868
557,-0.0801781,0.0452385
558,-0.0730661,0.0459887
559,-0.0698553,0.0471691
560,-0.0577696,0.0558912
561,-0.0667814,0.0468791
562,-0.0636758,0.0515182
563,-0.06224,0.0510575
564,-0.0643817,0.0549048
565,-0.0688482,0.0564795
566,-0.0643331,0.0550227
567,-0.0696435,0.045684
568,-0.0721908,0.0440084
569,-0.0703138,0.0489547
570,-0.0770198,0.0448174
571,-0.0770198,0.0448174
572,-0.0760982,0.0379761
573,-0.0768544,0.0385028
574,-0.077899,0.0423257
575,-0.0807881,0.0366032
576,-0.0807881,0.0366032
577,-0.0824788,0.0345307
578,-0.0700322,0.0489469
579,-0.0702827,0.0455279
580,-0.0712425,0.0433933
581,-0.0712425,0.0433933
582,-0.0657914,0.0489039
583,-0.0657914,0.0489039
584,-0.072265,0.0449729
585,-0.0803551,0.0502187
586,-0.0803551,0.0502187
587,-0.0762263,0.0412581
588,-0.0777801,0.046539
589,-0.0727363,0.0443545
590,-0.0716784,0.0425654
591,-0.0779183,0.0414133
592,-0.0729813,0.0461632
593,-0.0708472,0.0443276
594,-0.0708472,0.0443276
595,-0.0808709,0.0411316
596,-0.0808709,0.0411316
597,-0.0861527,0.0406358
598,-0.0801888,0.0420544
599,-0.0801888,0.0420544
600,-0.0832228,0.030779
601,-0.0832228,0.030779
602,-0.0750801,0.0441887
603,-0.0822032,0.0412282
604,-0.0742317,0.0363943
605,-0.0789798,0.0340514
606,-0.0864155,0.0349912
607,-0.0820626,0.0391107
608,-0.0788315,0.0373961
609,-0.0800864,0.0332525
610,-0.0761424,0.0389661
611,-0.0786373,0.0424743
612,-0.0751392,0.0485523
613,-0.068746,0.0449961
614,-0.0627464,0.0518819
615,-0.0627464,0.0518819
