MDTU,|det-1|^2,1-Re(det),Im(det)
1,0.00465566,0.023005,-0.000134065
2,0.0579361,0.236267,-0.000265754
3,0.184983,0.428745,3.54276e-05
4,0.00685543,0.039861,1.21316e-05
5,0.00685543,0.039861,1.21316e-05
6,0.0315215,0.16813,8.65239e-05
7,0.0817749,0.283498,-7.05481e-05
8,0.0158214,0.095468,-0.000279142
9,0.0158214,0.095468,-0.000279142
10,0.0497153,0.219709,9.05051e-05
11,0.0497153,0.219709,9.0505e-05
12,0.0659061,0.253827,1.76849e-05
13,0.13807,0.369934,1.91127e-05
14,0.0218311,0.13959,6.7853e-05
15,0.0980149,0.310877,-1.48968e-05
16,0.0493839,0.218708,-0.000191356
17,0.0493839,0.218708,-0.000191356
18,0.2402,0.488913,-1.63599e-05
19,0.290957,0.538928,7.49844e-06
20,0.0821952,0.28481,7.93361e-05
21,0.0821952,0.28481,7.93362e-05
22,0.0821952,0.28481,7.93362e-05
23,0.308188,0.554407,-7.59927e-05
24,0.403429,0.634791,-3.2588e-05
25,0.466016,0.682084,9.3528e-06
26,0.466016,0.682084,9.3528e-06
27,0.444262,0.665906,2.51297e-05
28,0.44898,0.669769,1.04068e-06
29,0.489171,0.698947,-2.25386e-05
30,0.489171,0.698947,-2.25386e-05
31,0.471972,0.686743,-1.42921e-05
32,0.455267,0.674519,1.30935e-05
33,0.472423,0.687118,-8.0211e-06
34,0.427026,0.653141,7.03953e-06
35,0.290722,0.538264,-9.15036e-05
36,0.290722,0.538264,-9.15036e-05
37,0.248184,0.497638,-3.67408e-05
38,0.242482,0.49106,-0.000156216
39,0.242482,0.49106,-0.000156216
40,0.242482,0.49106,-0.000156216
41,0.328596,0.57265,-3.6649e-05
42,0.151627,0.388364,-3.61746e-05
43,0.176434,0.419258,3.38489e-05
44,0.181308,0.424546,1.29807e-06
45,0.136144,0.366522,-6.46966e-06
46,0.0609414,0.242356,0.000132333
47,0.0609414,0.242356,0.000132333
48,0.00436395,-0.00128,-3.96167e-05
49,0.0704779,-0.25685,7.47489e-05
50,0.0541743,0.230084,-5.96538e-05
51,0.0601627,0.238852,-5.2438e-05
52,0.112273,0.332277,-0.000100581
53,0.0990511,0.31208,6.44256e-05
54,0.170282,0.410617,4.98523e-05
55,0.170282,0.410617,4.98523e-05
56,0.110965,0.329981,2.31958e-05
57,0.107222,0.32423,-3.36959e-05
58,0.120933,0.346368,-2.14652e-05
59,0.0909355,0.298449,-1.68203e-05
60,0.0403201,0.194529,-7.28335e-05
61,0.0530496,0.22704,5.42118e-06
62,0.0874674,0.293727,-7.09944e-05
63,0.0136944,0.104499,-2.11489e-05
64,0.0209089,0.135977,-3.17174e-05
65,0.151052,0.387475,9.25406e-05
66,0.133411,0.363539,-4.42623e-05
67,0.0230876,0.144668,-4.51815e-05
68,0.0106411,0.093288,5.09763e-05
69,0.0122559,0.09504,8.1567e-05
70,0.0208873,0.139134,-1.89228e-06
71,0.0817247,0.282964,-0.000160971
72,0.0374318,0.185216,1.61792e-05
73,0.0549262,0.231546,-4.83731e-05
74,0.00630042,0.054502,4.32056e-05
75,0.0764246,0.273159,1.1793e-06
76,0.0764246,0.273159,1.1793e-06
77,0.019139,0.132014,-0.000106176
78,0.00269409,0.008906,-4.09685e-06
79,0.0270758,0.158429,-5.04668e-05
80,0.0270758,0.158429,-5.04668e-05
81,0.153707,0.390993,4.36774e-05
82,0.120039,0.345245,2.97191e-05
83,0.0858706,0.291528,-1.82182e-05
84,0.0947723,0.304199,1.45193e-05
85,0.109553,0.324717,-4.20163e-05
86,0.118416,0.34192,-0.000166517
87,0.118416,0.34192,-0.000166517
88,0.118416,0.34192,-0.000166517
89,0.118416,0.34192,-0.000166517
90,0.0902288,0.298563,7.50521e-06
91,0.0689341,0.260333,-2.61639e-05
92,0.284445,0.532653,2.77114e-05
93,0.391951,0.625666,-2.70317e-05
94,0.391951,0.625666,-2.70317e-05
95,0.36651,0.60499,-4.00196e-05
96,0.356838,0.596346,2.7452e-05
97,0.356838,0.596346,2.7452e-05
98,0.443901,0.665947,1.72783e-05
99,0.360771,0.600045,-6.89106e-06
100,0.452876,0.672754,2.18508e-05
101,0.448014,0.669066,-5.84192e-05
102,0.490572,0.700254,2.28799e-05
103,0.407873,0.638317,-2.08026e-05
104,0.485488,0.696547,-3.098e-05
105,0.485488,0.696547,-3.098e-05
106,0.426566,0.652931,-8.26287e-06
107,0.41951,0.647369,-6.96968e-05
108,0.52092,0.72149,-8.20691e-05
109,0.52092,0.72149,-8.20691e-05
110,0.523035,0.723,-2.29451e-05
111,0.44712,0.668531,-4.05993e-07
112,0.468365,0.684209,-2.97059e-05
113,0.468365,0.684209,-2.97059e-05
114,0.278363,0.526993,8.53331e-05
115,0.316266,0.561836,-1.05797e-05
116,0.336183,0.579215,-7.05014e-06
117,0.336183,0.579215,-7.05014e-06
118,0.245184,0.494077,8.1281e-05
119,0.271492,0.520437,-5.13525e-05
120,0.216653,0.464493,2.03965e-05
121,0.372813,0.610162,2.12095e-05
122,0.289205,0.537348,-4.10886e-06
123,0.306661,0.552702,3.55315e-05
124,0.331694,0.575568,2.35287e-05
125,0.306072,0.55258,-8.13724e-05
126,0.338824,0.581718,-5.33371e-05
127,0.355393,0.595832,1.08527e-05
128,0.140142,0.372689,3.92304e-05
129,0.0820308,0.279709,0.00010987
130,0.0314502,0.162283,-0.000103999
131,0.00269206,0.0158,-0.000157129
132,0.0387136,0.19309,-3.21962e-05
133,0.111195,0.331615,6.97745e-05
134,0.0571696,0.235108,6.86032e-05
135,0.0571696,0.235108,6.86032e-05
136,0.0571696,0.235108,6.86032e-05
137,0.0754721,0.272333,5.97585e-05
138,0.106875,0.324177,4.37809e-05
139,0.00712859,0.069745,5.18851e-05
140,0.00712859,0.069745,5.18851e-05
141,0.00712859,0.069745,5.18852e-05
142,0.00712859,0.069745,5.18852e-05
143,0.0151536,0.10745,-0.000132842
144,0.00431189,0.021807,7.18609e-05
145,0.0420834,0.201112,-8.90509e-07
146,0.0420834,0.201112,-8.90509e-07
147,0.0100352,0.084525,3.53147e-05
148,0.0642655,0.246453,-8.0533e-06
149,0.00733446,0.064165,-0.000225075
150,0.0712306,0.265008,-7.86079e-06
151,0.0712306,0.265008,-7.86064e-06
152,0.00936336,0.084575,4.91913e-05
153,0.179509,0.422468,-3.3176e-06
154,0.179509,0.422468,-3.3176e-06
155,0.218913,0.466963,-2.64637e-05
156,0.168001,0.40887,-5.39972e-06
157,0.366912,0.605094,-2.20881e-05
158,0.327778,0.57192,5.22701e-05
159,0.223225,0.470915,-6.37527e-05
160,0.254797,0.503663,-9.39256e-05
161,0.41564,0.644428,3.45566e-05
162,0.174679,0.41715,-1.20808e-05
163,0.174679,0.41715,-1.20808e-05
164,0.173969,0.41524,2.38869e-05
165,0.173807,0.415521,0.000179384
166,0.187817,0.431797,3.77127e-05
167,0.187817,0.431797,3.77127e-05
168,0.225132,0.473887,9.27067e-06
169,0.225132,0.473887,9.27067e-06
170,0.23006,0.478816,9.84066e-05
171,0.445492,0.667205,3.25425e-05
172,0.300782,0.547972,1.24773e-05
173,0.300782,0.547972,1.24773e-05
174,0.387956,0.622529,2.095e-05
175,0.53187,0.729032,-3.33081e-05
176,0.489662,0.699574,1.80863e-05
