MDTU,link
2,1.61061
3,1.47205
4,1.37899
5,1.30141
6,1.23237
7,1.18866
8,1.15234
9,1.12564
10,1.11044
11,1.07478
12,1.05786
13,1.05829
14,1.05225
15,1.04503
16,1.04514
17,1.03675
18,1.03091
19,1.02572
20,1.01759
21,1.01759
22,1.01642
23,1.01129
24,1.01223
25,1.01323
26,1.00859
27,1.01607
28,1.00582
29,1.00582
30,1.01221
31,1.01974
32,1.01276
33,1.00795
34,1.00795
35,0.998525
36,1.00517
37,1.00697
38,1.00697
39,1.00697
40,1.00571
41,1.00571
42,1.00571
43,0.998088
44,1.0029
45,0.996651
46,1.00118
47,1.00887
48,1.00887
49,0.996519
50,0.995525
51,1.00146
52,1.00122
53,1.00309
54,0.991792
55,1.01232
56,1.02335
57,1.02335
58,1.03068
59,1.02883
60,1.01932
61,1.02108
62,1.01466
63,1.01343
64,1.01343
65,1.01002
66,1.02253
67,1.02063
68,1.02813
69,1.03054
70,1.02509
71,1.02509
72,1.01988
73,1.01665
74,1.01926
75,1.01169
76,1.01314
77,1.01514
78,1.01416
79,1.01716
80,1.03054
81,1.03054
82,1.03305
83,1.03023
84,1.01958
85,1.013
86,1.02424
87,1.00855
88,1.01527
89,1.01527
90,1.00718
91,0.998184
92,1.01505
93,0.99603
94,1.00248
95,0.989807
96,0.998766
97,0.998766
98,0.998766
99,1.00053
100,0.99652
101,0.989006
102,0.989006
103,0.985431
104,0.985431
105,0.985431
106,0.974945
107,0.987439
108,0.978766
109,0.978766
110,0.977348
111,0.981088
112,0.976652
113,0.984175
114,0.997094
115,0.985906
116,0.980943
117,0.98181
118,0.984355
119,0.983045
120,0.986831
121,0.992545
122,0.992545
123,0.988052
124,0.988052
125,0.989701
126,0.989701
127,1.00342
128,1.01936
129,1.02109
130,1.0201
131,1.02235
132,1.00867
133,1.01678
134,1.01678
135,1.01059
136,1.01059
137,1.01711
138,1.01554
139,1.01554
140,1.01264
141,1.01264
142,1.01264
143,1.01264
144,1.01264
145,1.01505
146,1.01505
147,1.01636
148,1.01335
149,1.00112
150,1.00743
151,1.00743
152,1.00877
153,1.01734
154,1.01734
155,1.01464
156,1.01096
157,0.996195
158,1.01007
159,1.01117
160,1.01528
161,1.01248
162,1.02109
163,1.02467
164,1.02689
165,1.03287
166,1.0354
167,1.0354
168,1.02814
169,1.02814
170,1.01588
171,1.02531
172,1.03745
173,1.03101
174,1.03165
175,1.03319
176,1.01885
177,1.02555
178,1.01925
179,1.01391
180,1.01391
181,1.04257
182,1.04257
183,1.01428
184,1.01977
185,1.03384
186,1.01318
187,1.01236
188,1.01144
189,1.00233
190,1.00233
191,1.00758
192,1.00824
193,1.01113
194,0.997402
195,1.00898
196,1.01127
197,1.0022
198,1.00235
199,0.995162
200,0.994142
201,0.992187
202,1.00084
203,1.00084
204,1.00662
205,1.00662
206,1.00662
207,1.01349
208,1.01005
209,1.01215
210,1.01713
211,1.01259
212,0.998507
213,0.99959
214,1.00252
215,1.00252
216,0.999945
217,0.999945
218,1.00757
219,1.00757
220,1.00757
221,1.01359
222,1.02344
223,1.01156
224,1.01156
225,1.01219
226,1.01911
227,1.01904
228,1.01832
229,1.01121
230,1.01121
231,1.0021
232,1.01076
233,0.99785
234,0.99785
235,1.00403
236,1.00455
237,1.00651
238,1.00517
239,1.01875
240,1.01722
241,1.01418
242,1.01418
243,1.0034
244,0.996675
245,0.998636
246,1.00813
247,1.00813
248,1.00813
249,1.00325
250,1.00778
251,1.00038
252,1.01206
253,1.01298
254,1.01298
255,1.01298
256,1.01298
257,1.01004
258,1.00553
259,1.00553
260,1.01778
261,1.01778
262,1.01674
263,1.00881
264,1.00881
265,1.00295
266,1.00555
267,1.00098
268,1.00619
269,1.00439
270,0.998584
271,0.998584
272,0.998425
273,1.00324
274,1.00708
275,1.00366
276,1.00494
277,1.0155
278,1.01468
279,1.00843
280,1.01115
281,1.01115
282,1.01115
283,1.01115
284,1.01115
285,1.00841
286,1.00895
287,1.00895
288,1.01777
289,1.02261
290,1.01785
291,1.01696
292,1.01346
293,1.01346
294,1.01644
295,1.01768
296,1.01768
297,1.01768
298,1.03017
299,1.03017
300,1.02879
301,1.02879
302,1.02801
303,1.02156
304,1.02348
305,1.02348
306,1.01391
307,1.01391
308,1.01242
309,1.00196
310,1.00418
311,1.00339
312,1.00125
313,0.995489
314,1.0064
315,1.01084
316,1.01253
317,1.00797
318,1.00906
319,1.00906
320,1.01798
321,1.02637
322,1.0307
323,1.02412
324,1.02039
325,1.02146
326,1.02165
327,1.02165
328,1.01194
329,1.01066
330,1.01066
331,1.01066
332,1.00538
333,1.00325
334,1.00325
335,1.00141
336,1.00048
337,1.00252
338,1.00856
339,1.00856
340,1.00625
341,1.00625
342,0.99832
343,0.99832
344,1.00566
345,0.99598
346,1.00605
347,1.00605
348,1.00136
349,1.00002
350,1.00324
351,1.00016
352,1.0039
353,1.0039
354,0.984932
355,0.987676
356,0.992276
357,0.993587
358,0.993587
359,0.993587
360,0.990866
361,0.991123
362,0.991123
363,1.00047
364,0.995206
365,0.995206
366,0.994653
367,0.993643
368,0.987059
369,0.989662
370,0.993025
371,0.9954
372,1.00195
373,0.996424
374,0.991189
375,1.00163
376,1.01704
377,1.00772
378,1.01308
379,1.00297
380,0.995841
381,0.994667
382,0.990592
383,0.994512
384,0.994512
385,0.992294
386,0.992294
387,0.992294
388,0.99606
389,1.00248
390,0.99692
391,1.00185
392,1.00185
393,0.996574
394,0.996574
395,0.999535
396,1.00336
397,1.00336
398,1.00336
399,0.995466
400,0.991593
401,0.988958
402,0.988958
403,0.987413
404,0.980119
405,0.993617
406,0.993617
407,0.990355
408,0.990355
409,0.989537
410,1.0009
411,1.00602
412,1.00602
413,1.00602
414,1.00807
415,1.00401
416,1.0033
417,0.990198
418,0.990198
419,0.994863
420,1.00489
421,0.997489
422,0.989986
423,1.00327
424,1.00327
425,1.00327
426,0.995763
427,0.995763
428,1.005
429,0.996927
430,0.996927
