t,cost
10,24.612
20,9.636
30,4.3998
40,3.963
50,3.9444
60,3.9804
70,3.957
80,3.9606
90,3.9762
100,3.9642
110,3.9792
120,3.9648
130,3.9858
140,3.963
150,3.957
160,3.9612
170,3.9576
180,3.9606
190,3.963
200,3.9648
210,3.942
220,3.9678
230,3.9768
240,3.9606
250,3.9576
260,3.951
270,3.9582
280,3.954
290,3.9822
300,3.9468
310,3.9666
320,3.9624
330,3.9582
340,3.9714
350,3.9648
360,3.969
370,3.9816
380,3.9726
390,3.9552
400,4.0098
410,3.9624
420,3.9594
430,3.9882
440,3.9828
450,3.975
460,3.9906
470,3.9822
480,3.9702
490,4.0098
500,3.9786
510,3.9708
520,3.984
530,3.963
540,3.948
550,3.9732
560,3.9702
570,3.9714
580,3.9804
590,3.993
600,4.002
610,3.9786
620,3.9888
630,3.9642
640,3.9714
650,3.9876
660,3.9732
670,3.9678
680,3.9642
690,3.9654
700,3.9864
710,3.9828
720,3.9642
730,3.9564
740,3.9762
750,4.0056
760,3.96
770,3.9582
780,3.9486
790,3.9858
800,3.975
810,3.9582
820,3.9522
830,3.9858
840,3.9954
850,3.9942
860,3.9726
870,3.9828
880,3.9984
890,3.9522
900,3.972
910,3.9714
920,4.002
930,3.978
940,3.996
950,3.9834
960,3.9666
970,3.9948
980,3.9654
990,3.9804
1000,3.9786
1010,3.9552
1020,3.9606
1030,3.9864
1040,3.9606
1050,3.9678
1060,3.9984
1070,3.9714
1080,3.9792
1090,3.9576
1100,3.9726
1110,3.969
1120,3.9912
1130,3.972
1140,3.9636
1150,3.9732
1160,3.9936
1170,3.9654
1180,3.984
1190,3.9648
1200,3.9804
1210,3.9894
1220,3.972
1230,3.9978
1240,3.966
1250,3.9744
1260,3.9864
1270,3.9966
1280,3.987
1290,3.9504
1300,3.9828
1310,3.9798
1320,3.966
1330,3.9858
1340,3.9774
1350,4.0032
1360,3.9942
1370,3.9852
1380,3.9936
1390,3.9996
1400,3.9792
1410,3.9948
1420,4.0224
1430,4.014
1440,3.9906
1450,3.9918
1460,3.9876
1470,3.9948
1480,3.9834
1490,3.9714
1500,3.9888
1510,3.9882
1520,4.0158
1530,4.005
1540,4.0002
1550,4.014
1560,4.02
1570,4.0008
1580,4.0206
1590,4.0056
1600,4.0284
1610,4.02
1620,4.0212
1630,4.005
1640,4.0458
1650,4.0002
1660,3.9948
1670,4.0176
1680,4.0536
1690,4.0176
1700,4.0026
1710,4.0338
1720,4.0488
1730,4.0044
1740,4.02
1750,4.02
1760,4.0638
1770,4.026
1780,4.0404
1790,4.044
1800,4.0704
1810,4.0404
1820,4.0044
1830,4.0326
1840,4.074
1850,4.0212
1860,4.0362
1870,4.0488
1880,4.0722
1890,4.0224
1900,4.0506
1910,4.0614
1920,4.0542
1930,4.0308
1940,4.0572
1950,4.0788
1960,4.0644
1970,4.0512
1980,4.0302
1990,4.1004
2000,4.0392
2010,4.0668
2020,4.0656
2030,4.116
2040,4.0686
2050,4.083
2060,4.1142
2070,4.0542
2080,4.0488
2090,4.0572
2100,4.1442
2110,4.0728
2120,4.065
2130,4.0806
2140,4.0902
2150,4.0638
2160,4.068
2170,4.1262
2180,4.0596
2190,4.0746
2200,4.1034
2210,4.1016
2220,4.0752
2230,4.0944
2240,4.161
2250,4.104
2260,4.095
2270,4.1628
2280,4.0998
2290,4.0878
2300,4.11
2310,4.1748
2320,4.0824
2330,4.1178
2340,4.1778
2350,4.1196
2360,4.143
2370,4.2012
2380,4.131
2390,4.1226
2400,4.2156
2410,4.1196
2420,4.1142
2430,4.227
2440,4.1496
2450,4.14
2460,4.2258
2470,4.1316
2480,4.1808
2490,4.242
2500,4.1532
2510,4.1844
2520,4.2534
2530,4.1496
2540,4.1814
2550,4.2456
2560,4.1616
2570,4.1532
2580,4.2678
2590,4.1718
2600,4.1652
2610,4.2756
2620,4.1712
2630,4.1742
2640,4.2864
2650,4.176
2660,4.254
2670,4.179
2680,4.1694
2690,4.2672
2700,4.1922
2710,4.1886
2720,4.2636
2730,4.1994
2740,4.1916
2750,4.2756
2760,4.1574
2770,4.1688
2780,4.3014
2790,4.2114
2800,4.215
2810,4.2258
2820,4.1676
2830,4.3104
2840,4.1748
2850,4.1982
2860,4.3086
2870,4.1958
2880,4.1784
2890,4.305
2900,4.2306
2910,4.263
2920,4.2372
2930,4.2318
2940,4.3608
2950,4.2276
2960,4.203
2970,4.3608
2980,4.2546
2990,4.3872
3000,4.2468
3010,4.2648
3020,4.3944
3030,4.2642
3040,4.395
3050,4.2534
3060,4.3344
3070,4.3038
3080,4.2714
3090,4.41
3100,4.2678
3110,4.4232
3120,4.2618
3130,4.254
3140,4.437
3150,4.2846
3160,4.4202
3170,4.2888
3180,4.4232
3190,4.2606
3200,4.2828
3210,4.4166
3220,4.287
3230,4.4754
3240,4.2912
3250,4.401
3260,4.3428
3270,4.3272
3280,4.446
3290,4.3116
3300,4.4904
3310,4.3308
3320,4.5114
3330,4.3266
3340,4.4778
3350,4.3254
3360,4.5018
3370,4.3302
3380,4.4106
3390,4.4214
3400,4.3566
3410,4.4964
3420,4.3488
3430,4.5678
3440,4.338
3450,4.5324
3460,4.3464
3470,4.5426
3480,4.3512
3490,4.5738
3500,4.3668
